,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,TSD_POP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,TSD_POP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
1108,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area-Bus",2002,0,24,1926273.794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1926273.794,1926273.794,1926273.794,1926273.794,1926273.794,1926273.794,1926273.794,1926273.794,1926273.794,1926273.794,1926273.794,1926273.794,1926273.794
1109,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area-Bus",2003,0,24,2034604.03,72131.54025,-153152.2948,27983.119619999998,-517.3834551,26870.286289999996,-4667.813985,-15572.708869999999,0.0,0.0,0.0,0.0,0.0,162679.4154,72131.54025,-153152.2948,27983.119619999998,-517.3834551,26870.286289999996,-4667.813985,-15572.708869999999,0.0,0.0,0.0,0.0,0.0,162679.4154,1962472.48975,2187756.3248,2006620.91038,2035121.4134551,2007733.74371,2039271.843985,2050176.73887,2034604.03,2034604.03,2034604.03,2034604.03,2034604.03,1871924.6146
1110,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area-Bus",2004,0,24,2090096.74,31326.42847,6761.553129999999,30509.157919999998,-517.7339141,40282.548160000006,-70.25635019,-16587.31474,0.0,0.0,0.0,0.0,0.0,-37328.717919999996,103457.96872,-146390.74167000002,58492.277539999995,-1035.1173692,67152.83445,-4738.07033519,-32160.02361,0.0,0.0,0.0,0.0,0.0,125350.69748,1986638.77128,2236487.48167,2031604.46246,2091131.8573692,2022943.90555,2094834.81033519,2122256.76361,2090096.74,2090096.74,2090096.74,2090096.74,2090096.74,1964746.04252
1111,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area-Bus",2005,0,24,2195542.543,5581.295736,150425.9418,33463.62853,-437.9923103,50914.31198,1353.060438,-15613.17724,0.0,0.0,0.0,0.0,0.0,-126081.7104,109039.264456,4035.200129999983,91955.90607,-1473.1096794999999,118067.14643,-3385.00989719,-47773.20085,0.0,0.0,0.0,0.0,0.0,-731.0129199999938,2086503.2785440001,2191507.3428700003,2103586.63693,2197015.6526795,2077475.39657,2198927.55289719,2243315.74385,2195542.543,2195542.543,2195542.543,2195542.543,2195542.543,2196273.55592
1112,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area-Bus",2006,0,24,2275751.636,-12642.72768,1171.864031,31769.46375,-639.9466457999999,25666.466330000003,797.3247245,-21940.23296,9902.46084,0.0,0.0,0.0,0.0,46413.17633,96396.53677600001,5207.064160999983,123725.36981999999,-2113.0563253,143733.61276,-2587.6851726900004,-69713.43381,9902.46084,0.0,0.0,0.0,0.0,45682.16341000001,2179355.099224,2270544.571839,2152026.26618,2277864.6923253,2132018.02324,2278339.32117269,2345465.06981,2265849.17516,2275751.636,2275751.636,2275751.636,2275751.636,2230069.47259
1113,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area-Bus",2007,0,24,2189531.6119999997,-16839.16113,-140411.5747,4473.054722999999,233.28514429999998,12923.476279999999,8798.234008,1252.7370970000002,-12935.217770000001,0.0,0.0,0.0,0.0,56303.02502000001,79557.375646,-135204.510539,128198.42454299999,-1879.771181,156657.08904,6210.548835309999,-68460.696713,-3032.7569300000014,0.0,0.0,0.0,0.0,101985.18843000001,2109974.236354,2324736.1225389997,2061333.1874569997,2191411.3831809997,2032874.5229599997,2183321.0631646896,2257992.308713,2192564.36893,2189531.6119999997,2189531.6119999997,2189531.6119999997,2189531.6119999997,2087546.4235699996
1114,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area-Bus",2008,0,24,2274400.289,-82386.77003,71292.38602,-7769.292434999999,522.2006324,40936.43506,-23252.09264,7392.733114,0.0,0.0,0.0,0.0,0.0,81385.04956,-2829.3943839999993,-63912.124519000005,120429.13210799999,-1357.5705486000002,197593.52409999998,-17041.54380469,-61067.963598999995,-3032.7569300000014,0.0,0.0,0.0,0.0,183370.23799,2277229.683384,2338312.4135189997,2153971.1568919998,2275757.8595486,2076806.7648999998,2291441.8328046896,2335468.252599,2277433.04593,2274400.289,2274400.289,2274400.289,2274400.289,2091030.0510099998
1115,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area-Bus",2009,0,24,2370216.235,-7001.905745999999,52344.72688,-16730.104219999997,535.5651973,-100503.9157,65371.2552,15699.54611,10258.12953,0.0,0.0,0.0,0.0,79739.14547999999,-9831.30013,-11567.397639000003,103699.027888,-822.0053513000001,97089.60839999998,48329.71139531,-45368.417489,7225.372599999999,0.0,0.0,0.0,0.0,263109.38347,2380047.5351299997,2381783.6326389997,2266517.207112,2371038.2403512998,2273126.6266,2321886.52360469,2415584.652489,2362990.8624,2370216.235,2370216.235,2370216.235,2370216.235,2107106.8515299996
1116,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area-Bus",2010,0,24,2432422.6980000003,-17078.38778,-35977.49707,-21897.34419,519.3200644,47395.083119999996,2087.254985,1957.3751,-8517.657294,0.0,0.0,0.0,0.0,94421.60546,-26909.68791,-47544.894709,81801.683698,-302.68528690000016,144484.69152,50416.96638031,-43411.042389,-1292.2846940000018,0.0,0.0,0.0,0.0,357530.98893,2459332.38591,2479967.592709,2350621.0143020004,2432725.3832869004,2287938.0064800004,2382005.7316196905,2475833.740389,2433714.9826940005,2432422.6980000003,2432422.6980000003,2432422.6980000003,2432422.6980000003,2074891.7090700003
1117,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area-Bus",2011,0,24,2591914.848,-79162.61184,44328.23312,3150.51938,440.4776214,70875.45521,28349.5981,27596.915339999996,0.0,0.0,0.0,0.0,0.0,65181.34662999999,-106072.29975,-3216.661589000003,84952.20307799999,137.7923344999998,215360.14672999998,78766.56448031,-15814.127049000006,-1292.2846940000018,0.0,0.0,0.0,0.0,422712.33556,2697987.1477500005,2595131.509589,2506962.6449220004,2591777.0556655005,2376554.70127,2513148.2835196904,2607728.9750490002,2593207.1326940004,2591914.848,2591914.848,2591914.848,2591914.848,2169202.51244
