,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,TSD_POP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,TSD_POP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
1743,"Huntsville, AL Metro Area-Bus",2005,0,34,264990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264990.0,264990.0,264990.0,264990.0,264990.0,264990.0,264990.0,264990.0,264990.0,264990.0,264990.0,264990.0,264990.0
1744,"Huntsville, AL Metro Area-Bus",2006,0,34,342167.0,-22422.85735,26334.22696,3968.2364479999997,-101.0380953,3199.885749,2310.550834,291.81934110000003,-238.389861,0.0,0.0,0.0,0.0,65893.46812,-22422.85735,26334.22696,3968.2364479999997,-101.0380953,3199.885749,2310.550834,291.81934110000003,-238.389861,0.0,0.0,0.0,0.0,65893.46812,364589.85735,315832.77304,338198.763552,342268.0380953,338967.114251,339856.449166,341875.1806589,342405.389861,342167.0,342167.0,342167.0,342167.0,276273.53188
1745,"Huntsville, AL Metro Area-Bus",2007,0,34,331870.0,11777.40136,-8244.713098999999,3323.230263,-51.54633558,2023.0904489999998,781.3066331,117.70865520000001,205.3671043,0.0,0.0,0.0,0.0,-20043.00713,-10645.455989999999,18089.513861,7291.466710999999,-152.58443087999999,5222.976198,3091.8574671,409.52799630000004,-33.0227567,0.0,0.0,0.0,0.0,45850.46099000001,342515.45599,313780.486139,324578.533289,332022.58443088,326647.023802,328778.1425329,331460.4720037,331903.0227567,331870.0,331870.0,331870.0,331870.0,286019.53901
1746,"Huntsville, AL Metro Area-Bus",2008,0,34,274414.0,8966.768706,-28492.57895,2277.3046289999997,-40.785815299999996,5770.994964,-3307.220584,685.5877291,99.57850603,0.0,0.0,0.0,0.0,-42281.81965,-1678.6872839999978,-10403.065089,9568.77134,-193.37024617999998,10993.971162000002,-215.36311690000002,1095.1157254,66.55574933,0.0,0.0,0.0,0.0,3568.641340000009,276092.687284,284817.065089,264845.22866,274607.37024618,263420.028838,274629.3631169,273318.8842746,274347.44425067,274414.0,274414.0,274414.0,274414.0,270845.35865999997
1747,"Huntsville, AL Metro Area-Bus",2009,0,34,289395.0,-12003.4718,4369.956996,615.3589157,-42.46984665,-12198.35229,-413.22240469999997,907.5912159,-246.86786419999999,0.0,0.0,0.0,0.0,33895.96396,-13682.159083999997,-6033.108093,10184.1302557,-235.84009282999997,-1204.381127999999,-628.5855216,2002.7069413,-180.31211487,0.0,0.0,0.0,0.0,37464.60530000001,303077.159084,295428.108093,279210.8697443,289630.84009283,290599.381128,290023.5855216,287392.2930587,289575.31211487,289395.0,289395.0,289395.0,289395.0,251930.3947
1748,"Huntsville, AL Metro Area-Bus",2010,0,34,273690.0,16517.37095,2478.717684,2413.756761,-56.07839243,5968.61258,2638.704162,338.62536780000005,-1039.975761,0.0,0.0,0.0,0.0,-45887.7577,2835.2118660000033,-3554.3904089999996,12597.8870167,-291.91848525999995,4764.231452000001,2010.1186404,2341.3323091,-1220.2878758699999,0.0,0.0,0.0,0.0,-8423.152399999992,270854.788134,277244.390409,261092.1129833,273981.91848526,268925.768548,271679.8813596,271348.6676909,274910.28787587,273690.0,273690.0,273690.0,273690.0,282113.1524
1749,"Huntsville, AL Metro Area-Bus",2011,0,34,302089.0,-16681.66315,2609.4198850000002,1542.475661,-12.97028947,7960.593846,4655.700612,-2100.53828,904.6922703,0.0,0.0,0.0,0.0,30224.22787,-13846.451283999997,-944.9705239999994,14140.3626777,-304.88877472999997,12724.825298,6665.8192524,240.7940291,-315.59560556999986,0.0,0.0,0.0,0.0,21801.075470000007,315935.451284,303033.970524,287948.6373223,302393.88877473,289364.174702,295423.1807476,301848.2059709,302404.59560557,302089.0,302089.0,302089.0,302089.0,280287.92453
1750,"Huntsville, AL Metro Area-Bus",2012,0,34,424621.0,6674.221415999999,7165.379012,1250.410263,2.143590414,-290.45516269999996,-1696.107927,1980.6326789999998,90.64263509,0.0,0.0,0.0,0.0,107146.4116,-7172.229867999998,6220.408488000001,15390.7729407,-302.74518431599995,12434.3701353,4969.7113254,2221.4267081,-224.95297047999986,0.0,0.0,0.0,0.0,128947.48707000002,431793.229868,418400.591512,409230.2270593,424923.745184316,412186.6298647,419651.2886746,422399.5732919,424845.95297048,424621.0,424621.0,424621.0,424621.0,295673.51292999997
1751,"Huntsville, AL Metro Area-Bus",2013,0,34,473633.0,-22860.98192,4314.767715,1990.001864,-203.9195007,-2598.73598,-1670.346101,613.8469069,-509.2527305,0.0,0.0,0.0,0.0,70073.3273,-30033.211787999997,10535.176203,17380.774804700002,-506.6646850159999,9835.6341553,3299.3652243999995,2835.273615,-734.2057009799998,0.0,0.0,0.0,0.0,199020.81437000004,503666.211788,463097.823797,456252.2251953,474139.664685016,463797.3658447,470333.6347756,470797.726385,474367.20570098,473633.0,473633.0,473633.0,473633.0,274612.18562999996
1752,"Huntsville, AL Metro Area-Bus",2014,0,34,589596.0,3144.107446,9288.520606,1305.2213470000002,-0.18110218600000003,-4156.604827,-4296.475649,-748.7758913,-851.7945387,0.0,0.0,0.0,0.0,112407.0951,-26889.104342,19823.696809,18685.9961517,-506.8457872019999,5679.0293283,-997.1104246000004,2086.4977237000003,-1586.0002396799998,0.0,0.0,0.0,0.0,311427.9094700001,616485.104342,569772.303191,570910.0038483,590102.845787202,583916.9706717,590593.1104246,587509.5022763,591182.00023968,589596.0,589596.0,589596.0,589596.0,278168.0905299999
1753,"Huntsville, AL Metro Area-Bus",2015,0,34,603751.0,-6418.043970000001,-726.2574099999999,2126.282737,299.41056299999997,-26920.93358,6106.89069,-1539.204069,1594.10141,0.0,0.0,0.0,0.0,39768.87477,-33307.148312,19097.439399000003,20812.278888700002,-207.43522420199992,-21241.9042517,5109.7802654,547.2936547000004,8.101170320000165,0.0,0.0,0.0,0.0,351196.78424000007,637058.148312,584653.560601,582938.7211113,603958.435224202,624992.9042517,598641.2197346,603203.7063453,603742.89882968,603751.0,603751.0,603751.0,603751.0,252554.21575999993
1754,"Huntsville, AL Metro Area-Bus",2016,0,34,614938.0,3564.0212539999998,2082.369188,3110.996962,161.9541299,-8224.153358,-8754.854325,1288.8675380000002,-2169.651879,-16316.29335,0.0,0.0,0.0,36279.94527,-29743.127058,21179.808587000003,23923.275850700004,-45.48109430199992,-29466.0576097,-3645.0740596000005,1836.1611927000006,-2161.55070868,-16316.29335,0.0,0.0,0.0,387476.7295100001,644681.127058,593758.191413,591014.7241493,614983.481094302,644404.0576097,618583.0740596,613101.8388073,617099.55070868,631254.29335,614938.0,614938.0,614938.0,227461.2704899999
1755,"Huntsville, AL Metro Area-Bus",2017,0,34,614469.0,-1338.8909210000002,6630.454531,3687.119222,254.1562429,7220.591737000001,1041.744602,-2322.192911,553.7076216,-16618.620590000002,0.0,9074.496472,0.0,-8310.568687,-31082.017978999997,27810.263118000003,27610.395072700005,208.67514859800008,-22245.4658727,-2603.3294576000008,-486.0317182999995,-1607.8430870799998,-32934.91394,0.0,9074.496472,0.0,379166.1608230001,645551.017979,586658.736882,586858.6049273,614260.324851402,636714.4658727,617072.3294576,614955.0317183,616076.84308708,647403.91394,614469.0,605394.503528,614469.0,235302.83917699993
1756,"Huntsville, AL Metro Area-Bus",2018,0,34,626609.0,7641.542009999999,5529.779993,4359.224783,224.8863596,7362.290505,-1934.1734420000003,-1351.131512,-138.2435399,-16605.94592,0.0,0.0,0.0,7397.665528,-23440.475969,33340.043111000006,31969.619855700003,433.56150819800007,-14883.175367699998,-4537.502899600001,-1837.1632302999994,-1746.08662698,-49540.85986,0.0,9074.496472,0.0,386563.82635100005,650049.475969,593268.956889,594639.3801442999,626175.438491802,641492.1753677,631146.5028996,628446.1632303,628355.08662698,676149.85986,626609.0,617534.503528,626609.0,240045.17364899995
