,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,TSD_POP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,TSD_POP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
2177,"Lexington-Fayette, KY Metro Area-Bus",2002,0,31,3626070.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3626070.0,3626070.0,3626070.0,3626070.0,3626070.0,3626070.0,3626070.0,3626070.0,3626070.0,3626070.0,3626070.0,3626070.0,3626070.0
2178,"Lexington-Fayette, KY Metro Area-Bus",2003,0,31,3240300.0,-226873.0295,49378.15935,56714.47414,-41862.10185,46853.47664,5141.026674000001,9491.02491,0.0,0.0,0.0,0.0,0.0,-277521.7535,-226873.0295,49378.15935,56714.47414,-41862.10185,46853.47664,5141.026674000001,9491.02491,0.0,0.0,0.0,0.0,0.0,-277521.7535,3467173.0295,3190921.84065,3183585.52586,3282162.10185,3193446.52336,3235158.973326,3230808.97509,3240300.0,3240300.0,3240300.0,3240300.0,3240300.0,3517821.7535
2179,"Lexington-Fayette, KY Metro Area-Bus",2004,0,31,2832948.0,-520476.0636,-1734.859916,48994.66706,-33254.900330000004,54545.04249,12383.34845,8257.81851,0.0,0.0,0.0,0.0,0.0,38105.66036,-747349.0930999999,47643.299434,105709.1412,-75117.00218000001,101398.51913,17524.375124,17748.843419999997,0.0,0.0,0.0,0.0,0.0,-239416.09313999998,3580297.0931,2785304.700566,2727238.8588,2908065.00218,2731549.48087,2815423.624876,2815199.15658,2832948.0,2832948.0,2832948.0,2832948.0,2832948.0,3072364.09314
2180,"Lexington-Fayette, KY Metro Area-Bus",2005,0,31,2946238.0,-47962.72932,103530.9534,46721.18327,-24792.139740000002,64577.08651,10274.031490000001,5657.120688,0.0,0.0,0.0,0.0,0.0,-45509.62472,-795311.82242,151174.25283399998,152430.32447,-99909.14192000001,165975.60564,27798.406614,23405.964107999996,0.0,0.0,0.0,0.0,0.0,-284925.71786,3741549.82242,2795063.747166,2793807.67553,3046147.14192,2780262.39436,2918439.593386,2922832.035892,2946238.0,2946238.0,2946238.0,2946238.0,2946238.0,3231163.71786
2181,"Lexington-Fayette, KY Metro Area-Bus",2006,0,31,4681840.0,1071498.953,102209.6745,54990.26242000001,-26707.56767,35247.85047,17673.906740000002,10761.21255,7965.797175,0.0,0.0,0.0,0.0,382644.0565,276187.13058,253383.92733399998,207420.58689,-126616.70959000001,201223.45611,45472.313354,34167.176658,7965.797175,0.0,0.0,0.0,0.0,97718.33864000003,4405652.86942,4428456.072666,4474419.41311,4808456.70959,4480616.54389,4636367.686646,4647672.823342,4673874.202825,4681840.0,4681840.0,4681840.0,4681840.0,4584121.66136
2182,"Lexington-Fayette, KY Metro Area-Bus",2007,0,31,5388593.0,569575.6191,28035.7119,35258.49496,-16809.8642,45806.96612,-7510.597984999999,-15433.57657,-5614.983252,0.0,0.0,0.0,0.0,65775.35484,845762.74968,281419.639234,242679.08185000002,-143426.57379000002,247030.42223,37961.715369,18733.600088,2350.8139229999997,0.0,0.0,0.0,0.0,163493.69348000002,4542830.25032,5107173.360766,5145913.91815,5532019.57379,5141562.57777,5350631.284631,5369859.399912,5386242.186077,5388593.0,5388593.0,5388593.0,5388593.0,5225099.30652
2183,"Lexington-Fayette, KY Metro Area-Bus",2008,0,31,5540401.0,316293.5931,-63226.021929999995,5395.055453,-11204.27599,76376.92717000001,-53083.53243,4821.015407,3234.209437,0.0,0.0,0.0,0.0,-123474.41,1162056.34278,218193.617304,248074.13730300002,-154630.84978000002,323407.3494,-15121.817061000002,23554.615495,5585.023359999999,0.0,0.0,0.0,0.0,40019.28348000001,4378344.65722,5322207.382696,5292326.862697,5695031.84978,5216993.6506,5555522.817061,5516846.384505,5534815.97664,5540401.0,5540401.0,5540401.0,5540401.0,5500381.71652
2184,"Lexington-Fayette, KY Metro Area-Bus",2009,0,31,5626046.0,99405.66877999999,-61125.26847,36741.88457,-30074.999780000002,-237714.9273,158689.6507,1143.491258,-1661.913892,0.0,0.0,0.0,0.0,128976.1308,1261462.01156,157068.348834,284816.021873,-184705.84956000003,85692.4221,143567.833639,24698.106753,3923.109467999999,0.0,0.0,0.0,0.0,168995.41428000003,4364583.9884399995,5468977.651166,5341229.978127,5810751.84956,5540353.5779,5482478.166361,5601347.893247,5622122.890532,5626046.0,5626046.0,5626046.0,5626046.0,5457050.58572
2185,"Lexington-Fayette, KY Metro Area-Bus",2010,0,31,6361528.0,160751.0343,133232.9278,63737.7967,-7575.169226000001,119216.2999,84573.63699999999,-6575.425596,3376.7276659999998,0.0,0.0,0.0,0.0,163555.1083,1422213.04586,290301.276634,348553.818573,-192281.01878600003,204908.722,228141.47063899998,18122.681157,7299.837133999999,0.0,0.0,0.0,0.0,332550.52258,4939314.95414,6071226.723366,6012974.181427,6553809.018786,6156619.278,6133386.529361,6343405.318843,6354228.162866,6361528.0,6361528.0,6361528.0,6361528.0,6028977.47742
2186,"Lexington-Fayette, KY Metro Area-Bus",2011,0,31,5276889.0,-206037.2315,-377233.3173,28654.493980000003,-13015.62766,188518.1366,-34339.81724,75273.12791,-11440.74591,0.0,0.0,0.0,0.0,-727041.772,1216175.81436,-86932.04066599999,377208.31255300005,-205296.64644600003,393426.85860000004,193801.65339899997,93395.809067,-4140.908776,0.0,0.0,0.0,0.0,-394491.24942,4060713.18564,5363821.040666,4899680.687447,5482185.646446,4883462.1414,5083087.346601,5183493.190933,5281029.908776,5276889.0,5276889.0,5276889.0,5276889.0,5671380.24942
