,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,TSD_POP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,TSD_POP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
2241,"Logan, UT-ID Metro Area-Bus",2002,0,31,1559516.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1559516.0,1559516.0,1559516.0,1559516.0,1559516.0,1559516.0,1559516.0,1559516.0,1559516.0,1559516.0,1559516.0,1559516.0,1559516.0
2242,"Logan, UT-ID Metro Area-Bus",2003,0,31,1616833.0,28344.26657,-3820.2753,28847.40962,-18894.14568,23387.649530000002,32523.88563,-10691.10306,0.0,0.0,0.0,0.0,0.0,-23207.66514,28344.26657,-3820.2753,28847.40962,-18894.14568,23387.649530000002,32523.88563,-10691.10306,0.0,0.0,0.0,0.0,0.0,-23207.66514,1588488.73343,1620653.2753,1587985.59038,1635727.14568,1593445.35047,1584309.11437,1627524.10306,1616833.0,1616833.0,1616833.0,1616833.0,1616833.0,1640040.66514
2243,"Logan, UT-ID Metro Area-Bus",2004,0,31,1438724.0,20921.89053,-17265.08151,31738.398760000004,-17334.604030000002,25249.32144,40503.10999,-11415.378340000001,0.0,0.0,0.0,0.0,0.0,-250727.4899,49266.1571,-21085.35681,60585.80838,-36228.749710000004,48636.97097,73026.99562,-22106.4814,0.0,0.0,0.0,0.0,0.0,-273935.15504,1389457.8429,1459809.35681,1378138.19162,1474952.7497100001,1390087.02903,1365697.00438,1460830.4814,1438724.0,1438724.0,1438724.0,1438724.0,1438724.0,1712659.15504
2244,"Logan, UT-ID Metro Area-Bus",2005,0,31,1641989.0,117487.6481,5440.456813000001,23947.66477,-14075.35557,32073.09164,31230.601789999997,-10354.39834,0.0,0.0,0.0,0.0,0.0,11295.607829999999,166753.8052,-15644.899997,84533.47315,-50304.10528,80710.06261,104257.59741,-32460.87974,0.0,0.0,0.0,0.0,0.0,-262639.54721,1475235.1948,1657633.8999970001,1557455.52685,1692293.10528,1561278.93739,1537731.40259,1674449.87974,1641989.0,1641989.0,1641989.0,1641989.0,1641989.0,1904628.54721
2245,"Logan, UT-ID Metro Area-Bus",2006,0,31,1983394.0,170878.2796,11186.157959999999,24520.6446,-13381.079179999999,20057.63645,70746.70376,-12602.07077,-17151.12616,0.0,0.0,0.0,0.0,78436.03193,337632.0848,-4458.742037000002,109054.11775,-63685.184460000004,100767.69906,175004.30117,-45062.95051,-17151.12616,0.0,0.0,0.0,0.0,-184203.51528,1645761.9152,1987852.742037,1874339.88225,2047079.18446,1882626.30094,1808389.6988300001,2028456.95051,2000545.12616,1983394.0,1983394.0,1983394.0,1983394.0,2167597.51528
2246,"Logan, UT-ID Metro Area-Bus",2007,0,31,2108442.0,52313.93872,-11723.43043,41080.20758,-19200.21425,16016.721880000001,-66239.28017,-13596.9555,7153.27118,0.0,0.0,0.0,0.0,121722.3082,389946.02352,-16182.172467000002,150134.32533000002,-82885.39871000001,116784.42094,108765.021,-58659.906010000006,-9997.85498,0.0,0.0,0.0,0.0,-62481.20707999999,1718495.97648,2124624.172467,1958307.67467,2191327.39871,1991657.57906,1999676.979,2167101.90601,2118439.85498,2108442.0,2108442.0,2108442.0,2108442.0,2170923.20708
2247,"Logan, UT-ID Metro Area-Bus",2008,0,31,1930256.0,-817413.26,109153.2663,22298.297019999998,-13737.5213,30469.28841,-51317.26948,8137.894208,7604.266925,0.0,0.0,0.0,0.0,570838.0668,-427467.23648,92971.093833,172432.62235000002,-96622.92001,147253.70935,57447.75151999999,-50522.01180200001,-2393.588055,0.0,0.0,0.0,0.0,508356.85972000007,2357723.23648,1837284.906167,1757823.37765,2026878.92001,1783002.29065,1872808.24848,1980778.011802,1932649.588055,1930256.0,1930256.0,1930256.0,1930256.0,1421899.14028
2248,"Logan, UT-ID Metro Area-Bus",2009,0,31,1792303.0,37472.87155,0.0,665.7763424,-6740.771237000001,-87010.08983,116330.5386,-17316.35324,-1736.493677,0.0,0.0,0.0,0.0,-174110.2961,-389994.36493000004,92971.093833,173098.39869240002,-103363.69124700001,60243.61951999999,173778.29012,-67838.365042,-4130.081732000001,0.0,0.0,0.0,0.0,334246.56362000003,2182297.36493,1699331.906167,1619204.6013076,1895666.691247,1732059.38048,1618524.70988,1860141.365042,1796433.081732,1792303.0,1792303.0,1792303.0,1792303.0,1458056.4363799999
2249,"Logan, UT-ID Metro Area-Bus",2010,0,31,1898260.0,-6365.952664,0.0,-16523.23804,-4260.663662,41636.94807,-84307.89161,17344.34833,3767.888443,0.0,0.0,0.0,0.0,156639.1878,-396360.317594,92971.093833,156575.16065240002,-107624.35490900002,101880.56758999999,89470.39850999998,-50494.016712000004,-362.19328900000073,0.0,0.0,0.0,0.0,490885.75142000004,2294620.317594,1805288.906167,1741684.8393476,2005884.354909,1796379.43241,1808789.60149,1948754.016712,1898622.193289,1898260.0,1898260.0,1898260.0,1898260.0,1407374.24858
2250,"Logan, UT-ID Metro Area-Bus",2011,0,31,2063803.0,142.70180380000002,0.0,-4119.278553,-3398.489357,47957.61263,37924.218219999995,8375.632379,4561.413231,0.0,0.0,0.0,0.0,72910.99746,-396217.6157902,92971.093833,152455.8820994,-111022.84426600001,149838.18021999998,127394.61672999998,-42118.384333,4199.219942,0.0,0.0,0.0,0.0,563796.7488800001,2460020.6157902,1970831.906167,1911347.1179006,2174825.844266,1913964.81978,1936408.38327,2105921.384333,2059603.780058,2063803.0,2063803.0,2063803.0,2063803.0,1500006.25112
2251,"Logan, UT-ID Metro Area-Bus",2012,0,31,2101697.0,-14695.81099,0.0,18634.05936,-4233.322167,387.6893209,28598.740960000003,-10196.50312,-3711.59975,0.0,0.0,0.0,0.0,23425.78844,-410913.42678020004,92971.093833,171089.9414594,-115256.16643300002,150225.8695409,155993.35768999998,-52314.887453,487.62019199999986,0.0,0.0,0.0,0.0,587222.5373200001,2512610.4267802,2008725.906167,1930607.0585406,2216953.166433,1951471.1304591,1945703.64231,2154011.887453,2101209.379808,2101697.0,2101697.0,2101697.0,2101697.0,1514474.4626799999
2252,"Logan, UT-ID Metro Area-Bus",2013,0,31,1977942.0,-5014.062597,0.0,11010.04419,-970.7809464,-9353.784085,-47865.66063,15526.685769999998,2523.615398,0.0,0.0,0.0,0.0,-89229.85695,-415927.4893772,92971.093833,182099.98564939998,-116226.94737940002,140872.0854559,108127.69705999998,-36788.20168300001,3011.23559,0.0,0.0,0.0,0.0,497992.68037000013,2393869.4893772,1884970.906167,1795842.0143506,2094168.9473794,1837069.9145441,1869814.30294,2014730.201683,1974930.76441,1977942.0,1977942.0,1977942.0,1977942.0,1479949.3196299998
2253,"Logan, UT-ID Metro Area-Bus",2014,0,31,1942903.0,-217.46045209999997,0.0,10403.21647,-969.7880107999999,-11462.43793,13184.23036,-6927.040343000001,-1186.4398529999999,0.0,0.0,0.0,0.0,-37748.020130000004,-416144.9498293,92971.093833,192503.20211939997,-117196.73539020002,129409.6475259,121311.92741999998,-43715.24202600001,1824.795737,0.0,0.0,0.0,0.0,460244.6602400001,2359047.9498293,1849931.906167,1750399.7978806,2060099.7353902,1813493.3524741,1821591.07258,1986618.242026,1941078.204263,1942903.0,1942903.0,1942903.0,1942903.0,1482658.33976
2254,"Logan, UT-ID Metro Area-Bus",2015,0,31,1849234.0,-4151.779739,0.0,15946.280209999999,-4979.485136,-80757.92656,3030.5649350000003,-14646.278540000001,-12781.2651,0.0,0.0,0.0,0.0,4031.2723060000003,-420296.7295683,92971.093833,208449.48232939997,-122176.22052620002,48651.72096589999,124342.49235499998,-58361.52056600001,-10956.469363,0.0,0.0,0.0,0.0,464275.9325460001,2269530.7295683,1756262.906167,1640784.5176706,1971410.2205262,1800582.2790341,1724891.507645,1907595.520566,1860190.469363,1849234.0,1849234.0,1849234.0,1849234.0,1384958.067454
2255,"Logan, UT-ID Metro Area-Bus",2016,0,31,1684722.0,2362.157803,0.0,10722.260040000001,-2094.34015,-27765.38818,-20205.31809,12636.660109999999,1665.102758,0.0,0.0,0.0,0.0,-141577.3896,-417934.5717653,92971.093833,219171.74236939996,-124270.56067620002,20886.33278589999,104137.17426499998,-45724.86045600001,-9291.366605,0.0,0.0,0.0,0.0,322698.5429460001,2102656.5717653,1591750.906167,1465550.2576306001,1808992.5606762,1663835.6672141,1580584.825735,1730446.860456,1694013.366605,1684722.0,1684722.0,1684722.0,1684722.0,1362023.4570539999
2256,"Logan, UT-ID Metro Area-Bus",2017,0,31,1564678.0,953.1288374,0.0,14445.796180000001,-2558.6831079999997,19955.800330000002,14825.176580000001,-12354.92937,9630.585046,-45529.39599,0.0,0.0,0.0,-118466.8327,-416981.4429279,92971.093833,233617.53854939996,-126829.24378420002,40842.1331159,118962.35084499998,-58079.78982600001,339.2184410000009,-45529.39599,0.0,0.0,0.0,204231.71024600012,1981659.4429279,1471706.906167,1331060.4614506,1691507.2437842,1523835.8668841,1445715.649155,1622757.789826,1564338.781559,1610207.39599,1564678.0,1564678.0,1564678.0,1360446.2897539998
2257,"Logan, UT-ID Metro Area-Bus",2018,0,31,1507093.0,14464.53221,0.0,9318.35925,-2130.115127,25419.26712,4271.29633,-5586.983381,7057.099701,-42285.22228,0.0,0.0,0.0,-67229.4679,-402516.9107179,92971.093833,242935.89779939997,-128959.35891120002,66261.4002359,123233.64717499998,-63666.773207000006,7396.318142000001,-87814.61827,0.0,0.0,0.0,137002.2423460001,1909609.9107179,1414121.906167,1264157.1022006,1636052.3589112,1440831.5997641,1383859.352825,1570759.773207,1499696.681858,1594907.61827,1507093.0,1507093.0,1507093.0,1370090.7576539998
