,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,TSD_POP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,TSD_POP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
2508,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area-Rail",2004,1,10,2938807.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2938807.0,2938807.0,2938807.0,2938807.0,2938807.0,2938807.0,2938807.0,2938807.0,2938807.0,2938807.0,2938807.0,2938807.0,2938807.0
2509,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area-Rail",2005,1,10,7901668.0,4592138.629,7653.727040999999,23206.01486,-13354.70261,66990.14379,15015.36236,4653.375433,0.0,0.0,0.0,0.0,0.0,101461.6736,4592138.629,7653.727040999999,23206.01486,-13354.70261,66990.14379,15015.36236,4653.375433,0.0,0.0,0.0,0.0,0.0,101461.6736,3309529.3710000003,7894014.272959,7878461.98514,7915022.70261,7834677.85621,7886652.63764,7897014.624567,7901668.0,7901668.0,7901668.0,7901668.0,7901668.0,7800206.3264
2510,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area-Rail",2006,1,10,9356982.0,1048089.3879999999,185453.94199999998,65428.43405,-39545.78115,94533.03233,52914.2811,14145.10392,-7108.485363,0.0,0.0,0.0,0.0,-12987.94842,5640228.017,193107.669041,88634.44891,-52900.48376,161523.17612000002,67929.64345999999,18798.479353,-7108.485363,0.0,0.0,0.0,0.0,88473.72518,3716753.983,9163874.330959,9268347.55109,9409882.48376,9195458.82388,9289052.35654,9338183.520647,9364090.485363,9356982.0,9356982.0,9356982.0,9356982.0,9268508.27482
2511,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area-Rail",2007,1,10,9101036.0,388952.6743,-11040.97443,26456.32146,-19189.97764,91548.39923,18228.92294,6438.886355,-8417.712512,0.0,0.0,0.0,0.0,-753290.6305,6029180.6913,182066.69461099998,115090.77037000001,-72090.4614,253071.57535,86158.5664,25237.365707999998,-15526.197875,0.0,0.0,0.0,0.0,-664816.90532,3071855.3087,8918969.305389,8985945.22963,9173126.4614,8847964.42465,9014877.4336,9075798.634292,9116562.197875,9101036.0,9101036.0,9101036.0,9101036.0,9765852.90532
2512,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area-Rail",2008,1,10,10221683.0,241098.4203,118668.71,10186.067509999999,-14052.22332,128996.4122,-1309.615112,10649.25677,8194.83102,0.0,0.0,0.0,0.0,609198.2974,6270279.1116,300735.404611,125276.83788,-86142.68472,382067.98755,84848.951288,35886.622478,-7331.366855,0.0,0.0,0.0,0.0,-55618.60791999998,3951403.8883999996,9920947.595389,10096406.16212,10307825.68472,9839615.01245,10136834.048712,10185796.377522,10229014.366855,10221683.0,10221683.0,10221683.0,10221683.0,10277301.60792
2513,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area-Rail",2009,1,10,9945324.0,257716.7554,-457096.9709,-5884.204379,-22965.55243,-438568.7302,184723.609,16889.53849,-3066.124091,0.0,0.0,0.0,0.0,205284.4655,6527995.867000001,-156361.56628900004,119392.633501,-109108.23715,-56500.74264999997,269572.560288,52776.160968,-10397.490946,0.0,0.0,0.0,0.0,149665.85758,3417328.1329999994,10101685.566289,9825931.366499,10054432.23715,10001824.74265,9675751.439712,9892547.839032,9955721.490946,9945324.0,9945324.0,9945324.0,9945324.0,9795658.14242
2514,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area-Rail",2010,1,10,11134288.0,2340228.934,-337067.7993,12841.91977,-12784.531079999999,210742.0965,49146.82599,12322.13399,-8946.995759,0.0,0.0,146760.8239,0.0,-1230265.115,8868224.801,-493429.36558900005,132234.553271,-121892.76823,154241.35385000004,318719.38627799996,65098.294958,-19344.486705,0.0,0.0,146760.8239,0.0,-1080599.25742,2266063.198999999,11627717.365589,11002053.446729,11256180.76823,10980046.64615,10815568.613722,11069189.705042,11153632.486705,11134288.0,11134288.0,10987527.1761,11134288.0,12214887.25742
2515,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area-Rail",2011,1,10,11104281.0,-88677.00516,91764.88842,50395.94893,-20908.25102,329954.5685,30776.578869999998,21466.6553,10025.62881,0.0,0.0,0.0,0.0,-457065.9027,8779547.79584,-401664.4771690001,182630.502201,-142801.01925,484195.92235,349495.96514799993,86564.950258,-9318.857895,0.0,0.0,146760.8239,0.0,-1537665.16012,2324733.2041599993,11505945.477169,10921650.497799,11247082.01925,10620085.07765,10754785.034852,11017716.049742,11113599.857895,11104281.0,11104281.0,10957520.1761,11104281.0,12641946.16012
2516,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area-Rail",2012,1,10,11198514.0,-23977.013219999997,112790.5309,46251.05192,-1169.2157789999999,-7397.46401,-10544.1513,-32797.61952,-13317.48882,0.0,-28492.44059,0.0,0.0,53604.29494,8755570.782620002,-288873.94626900007,228881.554121,-143970.235029,476798.45834,338951.8138479999,53767.330738,-22636.346715,0.0,-28492.44059,146760.8239,0.0,-1484060.86518,2442943.2173799984,11487387.946269,10969632.445879,11342484.235029,10721715.54166,10859562.186152,11144746.669262,11221150.346715,11198514.0,11227006.44059,11051753.1761,11198514.0,12682574.86518
2517,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area-Rail",2013,1,10,10950158.0,900262.8308,86245.76299,109793.334,-31318.93673,-53900.51984,40646.716810000005,770.3727576,3360.144918,0.0,-28734.232760000003,0.0,0.0,-1285202.735,9655833.613420002,-202628.18327900005,338674.888121,-175289.171759,422897.9385,379598.5306579999,54537.7034956,-19276.201797,0.0,-57226.67335,146760.8239,0.0,-2769263.60018,1294324.3865799978,11152786.183279,10611483.111879,11125447.171759,10527260.0615,10570559.469342,10895620.2965044,10969434.201797,10950158.0,11007384.67335,10803397.1761,10950158.0,13719421.60018
