,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,TSD_POP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,TSD_POP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
2554,"Modesto, CA Metro Area-Bus",2002,0,32,1570121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1570121.0,1570121.0,1570121.0,1570121.0,1570121.0,1570121.0,1570121.0,1570121.0,1570121.0,1570121.0,1570121.0,1570121.0,1570121.0
2555,"Modesto, CA Metro Area-Bus",2003,0,32,2919116.0,1129723.08,405330.7382,11697.496640000001,-14471.93074,33402.482410000004,8435.970248,-108.00497639999999,0.0,0.0,0.0,0.0,0.0,-561961.5423,1129723.08,405330.7382,11697.496640000001,-14471.93074,33402.482410000004,8435.970248,-108.00497639999999,0.0,0.0,0.0,0.0,0.0,-561961.5423,1789392.92,2513785.2618,2907418.50336,2933587.93074,2885713.51759,2910680.029752,2919224.0049764,2919116.0,2919116.0,2919116.0,2919116.0,2919116.0,3481077.5423
2556,"Modesto, CA Metro Area-Bus",2004,0,32,3000010.0,-78311.70746,99685.21892,23611.56424,-26045.2716,42628.733680000005,22635.98951,-401.5846053,0.0,0.0,0.0,0.0,0.0,-686.7579177,1051411.3725400001,505015.95712000004,35309.060880000005,-40517.20234,76031.21609,31071.959757999997,-509.5895817,0.0,0.0,0.0,0.0,0.0,-562648.3002177,1948598.6274599999,2494994.04288,2964700.93912,3040527.20234,2923978.7839099998,2968938.040242,3000519.5895817,3000010.0,3000010.0,3000010.0,3000010.0,3000010.0,3562658.3002177
2557,"Modesto, CA Metro Area-Bus",2005,0,32,2703289.0,-18985.71876,-63730.73828,24412.39879,-24073.386130000003,54261.820620000006,21958.2597,-412.71324330000004,0.0,0.0,0.0,0.0,0.0,-288653.9972,1032425.6537800002,441285.21884000005,59721.459670000004,-64590.58847,130293.03671000001,53030.21945799999,-922.302825,0.0,0.0,0.0,0.0,0.0,-851302.2974176999,1670863.3462199997,2262003.78116,2643567.54033,2767879.58847,2572995.96329,2650258.780542,2704211.302825,2703289.0,2703289.0,2703289.0,2703289.0,2703289.0,3554591.2974177
2558,"Modesto, CA Metro Area-Bus",2006,0,32,3106829.925,653592.7569,-45027.524560000005,18938.81418,-25789.01807,33154.25342,27952.73878,0.0,-12137.78327,0.0,0.0,0.0,0.0,-245274.5257,1686018.4106800002,396257.69428000005,78660.27385,-90379.60654000001,163447.29013,80982.95823799999,-922.302825,-12137.78327,0.0,0.0,0.0,0.0,-1096576.8231177,1420811.5143199996,2710572.23072,3028169.65115,3197209.53154,2943382.6348699997,3025846.9667619998,3107752.227825,3118967.70827,3106829.925,3106829.925,3106829.925,3106829.925,4203406.7481177
2559,"Modesto, CA Metro Area-Bus",2007,0,32,3100902.883,-127043.7254,56185.638779999994,-194.75419019999998,-5975.427093,22779.713180000002,-702.5420105000001,-1709.2813469999999,6531.366943999999,0.0,0.0,0.0,0.0,47014.573430000004,1558974.6852800003,452443.33306000003,78465.5196598,-96355.03363300001,186227.00331,80280.4162275,-2631.584172,-5606.4163260000005,0.0,0.0,0.0,0.0,-1049562.2496876998,1541928.1977199996,2648459.54994,3022437.3633402,3197257.916633,2914675.87969,3020622.4667725,3103534.467172,3106509.299326,3100902.883,3100902.883,3100902.883,3100902.883,4150465.1326877
2560,"Modesto, CA Metro Area-Bus",2008,0,32,3271633.89,-13966.24701,15380.13555,-2861.031708,-6439.081131,46798.49386,33247.49727,-22528.75498,7451.297208,0.0,0.0,0.0,0.0,113828.2392,1545008.4382700003,467823.46861000004,75604.48795180001,-102794.11476400001,233025.49717,113527.9134975,-25160.339152,1844.8808819999995,0.0,0.0,0.0,0.0,-935734.0104876999,1726625.4517299999,2803810.4213900003,3196029.4020482,3374428.004764,3038608.3928300003,3158105.9765025,3296794.229152,3269789.009118,3271633.89,3271633.89,3271633.89,3271633.89,4207367.9004877005
2561,"Modesto, CA Metro Area-Bus",2009,0,32,2941942.3060000003,57568.567670000004,-172970.723,-14183.571780000002,-7212.777456999999,-124084.0042,-9599.466129999999,20091.40964,-4903.898555,0.0,0.0,0.0,0.0,-76922.34926,1602577.0059400003,294852.74561000004,61420.91617180001,-110006.89222100002,108941.49296999999,103928.4473675,-5068.929511999999,-3059.0176730000003,0.0,0.0,0.0,0.0,-1012656.3597476999,1339365.30006,2647089.56039,2880521.3898282005,3051949.1982210004,2833000.8130300003,2838013.8586325003,2947011.2355120005,2945001.3236730006,2941942.3060000003,2941942.3060000003,2941942.3060000003,2941942.3060000003,3954598.6657477003
2562,"Modesto, CA Metro Area-Bus",2010,0,32,3043381.05,70519.46529,159788.3833,14104.18101,-13723.849180000001,53486.899580000005,42690.27616,6686.00514,-7052.37731,0.0,0.0,0.0,0.0,-237293.1496,1673096.4712300003,454641.12891,75525.09718180001,-123730.74140100002,162428.39255,146618.7235275,1617.0756280000014,-10111.394983,0.0,0.0,0.0,0.0,-1249949.5093477,1370284.5787699996,2588739.92109,2967855.9528182,3167111.7914009998,2880952.65745,2896762.3264725,3041763.974372,3053492.444983,3043381.05,3043381.05,3043381.05,3043381.05,4293330.5593477
2563,"Modesto, CA Metro Area-Bus",2011,0,32,3520847.9069999997,171883.4554,97547.306,5330.624022999999,-11456.80904,78133.4721,39767.44795,17847.2436,9144.088423000001,0.0,0.0,0.0,0.0,49246.16693,1844979.9266300004,552188.4349100001,80855.72120480001,-135187.55044100003,240561.86465,186386.1714775,19464.319228000004,-967.3065599999991,0.0,0.0,0.0,0.0,-1200703.3424177,1675867.9803699993,2968659.4720899994,3439992.1857951996,3656035.457441,3280286.04235,3334461.7355225,3501383.5877719996,3521815.2135599996,3520847.9069999997,3520847.9069999997,3520847.9069999997,3520847.9069999997,4721551.2494177
2564,"Modesto, CA Metro Area-Bus",2012,0,32,3565537.7860000003,-3846.570469,1284.903422,12445.38045,1597.61996,12236.82529,16480.84157,-33985.01489,-6331.989154,0.0,0.0,0.0,0.0,45062.95936,1841133.3561610004,553473.3383320001,93301.1016548,-133589.93048100002,252798.68994,202867.0130475,-14520.695661999995,-7299.295713999999,0.0,0.0,0.0,0.0,-1155640.3830577,1724404.4298389999,3012064.447668,3472236.6843452,3699127.716481,3312739.0960600004,3362670.7729525003,3580058.4816620005,3572837.081714,3565537.7860000003,3565537.7860000003,3565537.7860000003,3565537.7860000003,4721178.169057701
2565,"Modesto, CA Metro Area-Bus",2013,0,32,3763218.834,30538.74989,18011.191730000002,13991.324340000001,-8991.746761,-25400.18348,58.02844721,14008.034419999998,12859.40095,0.0,0.0,0.0,0.0,142539.7979,1871672.1060510005,571484.530062,107292.42599480001,-142581.677242,227398.50646,202925.04149471,-512.6612419999965,5560.105236,0.0,0.0,0.0,0.0,-1013100.5851577,1891546.7279489993,3191734.3039379995,3655926.4080052,3905800.511242,3535820.32754,3560293.79250529,3763731.4952419996,3757658.728764,3763218.834,3763218.834,3763218.834,3763218.834,4776319.4191577
2566,"Modesto, CA Metro Area-Bus",2014,0,32,3746481.6939999997,74808.86722999999,10634.499170000001,21002.62947,1976.5580559999999,-26749.3936,-54932.08296,-6983.056686,-10147.247790000001,-101700.5064,0.0,0.0,0.0,76895.91755,1946480.9732810005,582119.029232,128295.05546480001,-140605.119186,200649.11286,147992.95853471,-7495.717927999996,-4587.142554000001,-101700.5064,0.0,0.0,0.0,-936204.6676077,1800000.7207189992,3164362.6647679997,3618186.6385351997,3887086.8131859996,3545832.5811399994,3598488.7354652896,3753977.4119279995,3751068.8365539997,3848182.2003999995,3746481.6939999997,3746481.6939999997,3746481.6939999997,4682686.3616077
2567,"Modesto, CA Metro Area-Bus",2015,0,32,3474104.8789999997,78006.24195,-165937.4627,20443.54708,-4941.366362,-102844.3097,-34461.50599,28716.486380000002,-2247.2727670000004,-101248.1873,0.0,0.0,0.0,8775.978911,2024487.2152310004,416181.56653199997,148738.6025448,-145546.485548,97804.80316,113531.45254470999,21220.768452000004,-6834.415321000001,-202948.6937,0.0,0.0,0.0,-927428.6886967,1449617.6637689993,3057923.3124679998,3325366.2764552,3619651.3645479996,3376300.0758399996,3360573.4264552896,3452884.110548,3480939.2943209996,3677053.5727,3474104.8789999997,3474104.8789999997,3474104.8789999997,4401533.5676967
2568,"Modesto, CA Metro Area-Bus",2016,0,32,3017304.4260000004,46040.81292,-68886.77972,12137.00738,-767.1785846,-65186.86305,-18434.058719999997,-26900.48428,-7288.153104999999,-93887.23881,0.0,0.0,0.0,-237749.5393,2070528.0281510004,347294.786812,160875.6099248,-146313.6641326,32617.940109999996,95097.39382470999,-5679.715827999997,-14122.568426000002,-296835.93251,0.0,0.0,0.0,-1165178.2279967,946776.3978490001,2670009.6391880005,2856428.8160752,3163618.0901326006,2984686.4858900006,2922207.0321752904,3022984.1418280005,3031426.9944260004,3314140.3585100006,3017304.4260000004,3017304.4260000004,3017304.4260000004,4182482.6539967004
2569,"Modesto, CA Metro Area-Bus",2017,0,32,2775226.267,61124.44445,12004.34885,13119.1502,-689.8381717999999,31077.14057,-37344.95424,-25216.42023,-3618.6870590000003,-81542.26515,0.0,0.0,0.0,-208889.5064,2131652.472601,359299.135662,173994.7601248,-147003.5023044,63695.08068,57752.43958470999,-30896.136057999996,-17741.255485,-378378.19766,0.0,0.0,0.0,-1374067.7343967,643573.7943989998,2415927.131338,2601231.5068752,2922229.7693044,2711531.18632,2717473.82741529,2806122.403058,2792967.522485,3153604.46466,2775226.267,2775226.267,2775226.267,4149294.0013967
2570,"Modesto, CA Metro Area-Bus",2018,0,32,2742487.315,-75184.60247,61603.66609,11402.29991,-613.7849065,45881.222219999996,-29407.54495,-22625.31229,-3951.9829700000005,-75000.13395,0.0,0.0,0.0,57066.17423,2056467.8701310002,420902.801752,185397.0600348,-147617.2872109,109576.3029,28344.894634709988,-53521.448348,-21693.238455000002,-453378.33161,0.0,0.0,0.0,-1317001.5601667,686019.4448689998,2321584.513248,2557090.2549652,2890104.6022109,2632911.0121,2714142.42036529,2796008.763348,2764180.553455,3195865.64661,2742487.315,2742487.315,2742487.315,4059488.8751667
