,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,TSD_POP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,TSD_POP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
2674,"New Haven-Milford, CT Metro Area-Bus",2002,0,21,10502859.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10502859.63,10502859.63,10502859.63,10502859.63,10502859.63,10502859.63,10502859.63,10502859.63,10502859.63,10502859.63,10502859.63,10502859.63,10502859.63
2675,"New Haven-Milford, CT Metro Area-Bus",2003,0,21,9979869.748,-279366.5522,68936.6591,66494.26303,-68148.55591,163671.0485,129725.7923,-65541.43194,0.0,0.0,0.0,0.0,0.0,-532063.2777,-279366.5522,68936.6591,66494.26303,-68148.55591,163671.0485,129725.7923,-65541.43194,0.0,0.0,0.0,0.0,0.0,-532063.2777,10259236.3002,9910933.0889,9913375.48497,10048018.30391,9816198.6995,9850143.955699999,10045411.17994,9979869.748,9979869.748,9979869.748,9979869.748,9979869.748,10511933.0257
2676,"New Haven-Milford, CT Metro Area-Bus",2004,0,21,10763190.92,1763257.506,94363.89044,72737.17532000001,-62037.17364,160038.7873,151269.6091,-65688.36775,0.0,0.0,0.0,0.0,0.0,-1395623.105,1483890.9538,163300.54954,139231.43835,-130185.72954999999,323709.8358,280995.4014,-131229.79969,0.0,0.0,0.0,0.0,0.0,-1927686.3827,9279299.9662,10599890.37046,10623959.48165,10893376.64955,10439481.0842,10482195.5186,10894420.71969,10763190.92,10763190.92,10763190.92,10763190.92,10763190.92,12690877.3027
2677,"New Haven-Milford, CT Metro Area-Bus",2005,0,21,11337546.38,216421.3488,323916.2039,85401.22751,-59911.39082000001,223278.14399999997,148757.3301,-64958.4203,0.0,0.0,0.0,0.0,0.0,-323075.2514,1700312.3026,487216.75344,224632.66586,-190097.12037,546987.9798,429752.7315,-196188.21999,0.0,0.0,0.0,0.0,0.0,-2250761.6341,9637234.0774,10850329.62656,11112913.714140002,11527643.500370001,10790558.4002,10907793.648500001,11533734.599990001,11337546.38,11337546.38,11337546.38,11337546.38,11337546.38,13588308.0141
2678,"New Haven-Milford, CT Metro Area-Bus",2006,0,21,12210592.46,-12763.698540000001,-436024.1192,127520.2762,-73259.71832999999,154916.1823,243827.9236,-97070.8457,-6800.662942,0.0,0.0,0.0,0.0,985753.0263,1687548.60406,51192.634239999985,352152.94206000003,-263356.83869999996,701904.1621,673580.6551,-293259.06569,-6800.662942,0.0,0.0,0.0,0.0,-1265008.6077999999,10523043.855940001,12159399.825760001,11858439.517940002,12473949.298700001,11508688.2979,11537011.804900002,12503851.52569,12217393.122942,12210592.46,12210592.46,12210592.46,12210592.46,13475601.0678
2679,"New Haven-Milford, CT Metro Area-Bus",2007,0,21,12230505.55,707456.9588,70885.06902000001,21591.13805,-19620.21078,61093.25035,-82686.32788,11765.204940000001,-3662.722833,0.0,0.0,0.0,0.0,-749779.3276,2395005.56286,122077.70326,373744.08011000004,-282977.04948,762997.41245,590894.32722,-281493.86075,-10463.385774999999,0.0,0.0,0.0,0.0,-2014787.9353999998,9835499.98714,12108427.84674,11856761.46989,12513482.599480001,11467508.13755,11639611.22278,12511999.410750002,12240968.935775,12230505.55,12230505.55,12230505.55,12230505.55,14245293.4854
2680,"New Haven-Milford, CT Metro Area-Bus",2008,0,21,13142721.7,772770.3817,138272.7391,-1108.1506140000001,-20371.644780000002,203826.0059,-39551.73346,9258.209403,3669.7968200000005,0.0,0.0,0.0,0.0,-174145.6283,3167775.9445599997,260350.44236,372635.92949600006,-303348.69426,966823.4183499999,551342.59376,-272235.651347,-6793.588954999998,0.0,0.0,0.0,0.0,-2188933.5637,9974945.75544,12882371.257639999,12770085.770504,13446070.394259999,12175898.28165,12591379.106239999,13414957.351347,13149515.288955,13142721.7,13142721.7,13142721.7,13142721.7,15331655.2637
2681,"New Haven-Milford, CT Metro Area-Bus",2009,0,21,12636849.74,158921.7231,-256935.1224,-28248.17781,-24674.50214,-558697.3023,178442.6422,-16263.520069999999,-39370.09652,0.0,0.0,0.0,0.0,84333.45231000001,3326697.66766,3415.3199599999934,344387.75168600003,-328023.1964,408126.11604999995,729785.23596,-288499.171417,-46163.685475,0.0,0.0,0.0,0.0,-2104600.1113899997,9310152.07234,12633434.42004,12292461.988314,12964872.9364,12228723.62395,11907064.504040001,12925348.911417,12683013.425475,12636849.74,12636849.74,12636849.74,12636849.74,14741449.85139
2682,"New Haven-Milford, CT Metro Area-Bus",2010,0,21,12801114.13,135310.3065,151803.9118,70705.60364,-49985.06692,267642.9584,186527.4709,82852.92596000001,0.0,0.0,0.0,0.0,0.0,-702690.2144,3462007.9741599998,155219.23176,415093.355326,-378008.26332,675769.07445,916312.7068599999,-205646.24545699998,-46163.685475,0.0,0.0,0.0,0.0,-2807290.3257899997,9339106.155840002,12645894.89824,12386020.774674,13179122.393320002,12125345.055550002,11884801.42314,13006760.375457,12847277.815475,12801114.13,12801114.13,12801114.13,12801114.13,15608404.45579
2683,"New Haven-Milford, CT Metro Area-Bus",2011,0,21,13397278.47,123471.8463,521178.0911,-955.4025747999999,-15870.51886,396279.6428,-43962.70811,56481.949779999995,30760.365469999997,0.0,0.0,0.0,0.0,-498322.6902,3585479.8204599996,676397.32286,414137.9527512,-393878.78218000004,1072048.71725,872349.9987499999,-149164.295677,-15403.320005000001,0.0,0.0,0.0,0.0,-3305613.0159899998,9811798.649540002,12720881.14714,12983140.5172488,13791157.25218,12325229.75275,12524928.471250001,13546442.765677001,13412681.790005,13397278.47,13397278.47,13397278.47,13397278.47,16702891.48599
