,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,TSD_POP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,TSD_POP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
2737,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area-Rail",2002,1,100,2028458449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2028458449.0,2028458449.0,2028458449.0,2028458449.0,2028458449.0,2028458449.0,2028458449.0,2028458449.0,2028458449.0,2028458449.0,2028458449.0,2028458449.0,2028458449.0
2738,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area-Rail",2003,1,100,1999850730.0,102656433.3,-69669017.54,10207227.68,-23884397.44,31610431.16,17315139.6,-4877946.492,0.0,0.0,0.0,0.0,0.0,-88607668.33,102656433.3,-69669017.54,10207227.68,-23884397.44,31610431.16,17315139.6,-4877946.492,0.0,0.0,0.0,0.0,0.0,-88607668.33,1897194296.7,2069519747.54,1989643502.32,2023735127.44,1968240298.84,1982535590.4,2004728676.492,1999850730.0,1999850730.0,1999850730.0,1999850730.0,1999850730.0,2088458398.33
2739,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area-Rail",2004,1,100,2115153452.0,60373082.08,11065412.12,14992495.78,-22913285.76,33407804.85,22191766.74,-4946386.2,0.0,0.0,0.0,0.0,0.0,-585213.6829,163029515.38,-58603605.42000001,25199723.46,-46797683.2,65018236.010000005,39506906.34,-9824332.692,0.0,0.0,0.0,0.0,0.0,-89192882.0129,1952123936.62,2173757057.42,2089953728.54,2161951135.2,2050135215.99,2075646545.66,2124977784.692,2115153452.0,2115153452.0,2115153452.0,2115153452.0,2115153452.0,2204346334.0129
2740,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area-Rail",2005,1,100,2507212523.0,20700545.93,137459539.7,15424633.94,-21891072.4,46127459.71,21324270.27,-4650927.031,0.0,0.0,0.0,0.0,0.0,172015917.9,183730061.31,78855934.27999997,40624357.4,-68688755.6,111145695.72,60831176.61,-14475259.723000001,0.0,0.0,0.0,0.0,0.0,82823035.88710001,2323482461.69,2428356588.7200003,2466588165.6,2575901278.6,2396066827.28,2446381346.39,2521687782.723,2507212523.0,2507212523.0,2507212523.0,2507212523.0,2507212523.0,2424389487.1129
2741,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area-Rail",2006,1,100,2603647775.0,47224484.19,12034543.55,19881513.94,-31069536.78,33816284.6,39186793.2,-8608749.485,-1503915.108,0.0,0.0,0.0,0.0,-15675471.19,230954545.5,90890477.82999997,60505871.34,-99758292.38,144961980.32,100017969.81,-23084009.208,-1503915.108,0.0,0.0,0.0,0.0,67147564.69710001,2372693229.5,2512757297.17,2543141903.66,2703406067.38,2458685794.68,2503629805.19,2626731784.208,2605151690.108,2603647775.0,2603647775.0,2603647775.0,2603647775.0,2536500210.3029
2742,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area-Rail",2007,1,100,2751026060.0,12622811.52,38641368.79,2094652.779,-6242105.252,11543594.8,-12429836.38,3943294.04,781231.6741,0.0,0.0,0.0,0.0,96310051.49,243577357.02,129531846.61999997,62600524.119,-106000397.632,156505575.12,87588133.43,-19140715.168,-722683.4339000001,0.0,0.0,0.0,0.0,163457616.1871,2507448702.98,2621494213.38,2688425535.881,2857026457.632,2594520484.88,2663437926.57,2770166775.168,2751748743.4339,2751026060.0,2751026060.0,2751026060.0,2751026060.0,2587568443.8129
2743,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area-Rail",2008,1,100,2818659239.0,64398530.19,-15975664.36,9049172.776,-17352572.32,47877287.21,-1163034.064,378512.4398,-825205.3286,0.0,0.0,0.0,0.0,-18813468.71,307975887.21000004,113556182.25999998,71649696.89500001,-123352969.95199999,204382862.33,86425099.36600001,-18762202.7282,-1547888.7625000002,0.0,0.0,0.0,0.0,144644147.47709998,2510683351.79,2705103056.7400002,2747009542.105,2942012208.952,2614276376.67,2732234139.634,2837421441.7282,2820207127.7625,2818659239.0,2818659239.0,2818659239.0,2818659239.0,2674015091.5229
2744,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area-Rail",2009,1,100,2717269400.0,15832204.94,-53220792.32,-8461783.161,-10361312.18,-120003598.0,26399072.99,3686426.6960000005,-1690731.909,0.0,0.0,0.0,0.0,45789116.24,323808092.15000004,60335389.939999975,63187913.73400001,-133714282.132,84379264.33000001,112824172.356,-15075776.0322,-3238620.6715,0.0,0.0,0.0,0.0,190433263.7171,2393461307.85,2656934010.06,2654081486.266,2850983682.132,2632890135.67,2604445227.644,2732345176.0322,2720508020.6715,2717269400.0,2717269400.0,2717269400.0,2717269400.0,2526836136.2829
2745,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area-Rail",2010,1,100,2812782058.0,-39197040.74,-890835.8872,-6691010.267999999,1512091.34,53068335.0,5957743.788,5988062.821,0.0,0.0,0.0,0.0,0.0,76518182.95,284611051.41,59444554.05279998,56496903.46600001,-132202190.792,137447599.33,118781916.14400001,-9087713.211199999,-3238620.6715,0.0,0.0,0.0,0.0,266951446.6671,2528171006.59,2753337503.9472,2756285154.534,2944984248.792,2675334458.67,2694000141.856,2821869771.2111998,2816020678.6715,2812782058.0,2812782058.0,2812782058.0,2812782058.0,2545830611.3329
2746,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area-Rail",2011,1,100,2875478447.0,-41061554.45,-63855900.22,4954451.508,-12177683.34,83698405.84,23886656.16,7168300.387,0.0,0.0,-7217308.863,0.0,0.0,69702097.25,243549496.96000004,-4411346.167200021,61451354.974000014,-144379874.132,221146005.17000002,142668572.30400002,-1919412.8241999988,-3238620.6715,0.0,-7217308.863,0.0,0.0,336653543.9171,2631928950.04,2879889793.1672,2814027092.026,3019858321.132,2654332441.83,2732809874.696,2877397859.8242,2878717067.6715,2875478447.0,2882695755.863,2875478447.0,2875478447.0,2538824903.0829
