,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,TSD_POP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,TSD_POP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
2836,"Omaha-Council Bluffs, NE-IA Metro Area-Bus",2002,0,32,3457539.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3457539.0,3457539.0,3457539.0,3457539.0,3457539.0,3457539.0,3457539.0,3457539.0,3457539.0,3457539.0,3457539.0,3457539.0,3457539.0
2837,"Omaha-Council Bluffs, NE-IA Metro Area-Bus",2003,0,32,3253923.0,29285.448669999998,-179608.48,25795.754719999997,-24838.204569999998,44675.839889999996,19187.318040000002,-2377.624691,0.0,0.0,0.0,0.0,0.0,-111503.3146,29285.448669999998,-179608.48,25795.754719999997,-24838.204569999998,44675.839889999996,19187.318040000002,-2377.624691,0.0,0.0,0.0,0.0,0.0,-111503.3146,3224637.55133,3433531.48,3228127.24528,3278761.20457,3209247.16011,3234735.68196,3256300.624691,3253923.0,3253923.0,3253923.0,3253923.0,3253923.0,3365426.3146
2838,"Omaha-Council Bluffs, NE-IA Metro Area-Bus",2004,0,32,3209735.0,226009.8654,96620.29441,26155.07632,-22178.077380000002,54774.362960000006,25525.60677,-2013.9140489999997,0.0,0.0,0.0,0.0,0.0,-464441.4811,255295.31407000002,-82988.18559000001,51950.83104,-47016.281950000004,99450.20285,44712.92481,-4391.53874,0.0,0.0,0.0,0.0,0.0,-575944.7957,2954439.68593,3292723.18559,3157784.16896,3256751.28195,3110284.79715,3165022.0751900002,3214126.53874,3209735.0,3209735.0,3209735.0,3209735.0,3209735.0,3785679.7957
2839,"Omaha-Council Bluffs, NE-IA Metro Area-Bus",2005,0,32,3297973.0,-111158.9282,25142.282369999997,25787.52535,-20039.47851,73165.95108,24884.62368,-2427.857215,0.0,0.0,0.0,0.0,0.0,76013.25499,144136.38587000003,-57845.90322000001,77738.35639,-67055.76046,172616.15393,69597.54849,-6819.395955,0.0,0.0,0.0,0.0,0.0,-499931.54071000003,3153836.61413,3355818.90322,3220234.64361,3365028.76046,3125356.84607,3228375.45151,3304792.395955,3297973.0,3297973.0,3297973.0,3297973.0,3297973.0,3797904.54071
2840,"Omaha-Council Bluffs, NE-IA Metro Area-Bus",2006,0,32,3599193.0,24965.34083,113621.7812,30477.965180000003,-21756.983369999998,39455.89567,30982.725019999998,-1134.1434689999999,0.0,0.0,0.0,0.0,0.0,80109.18478,169101.72670000003,55775.87797999999,108216.32157,-88812.74383,212072.0496,100580.27351,-7953.539424,0.0,0.0,0.0,0.0,0.0,-419822.35593,3430091.2733,3543417.12202,3490976.67843,3688005.74383,3387120.9504,3498612.72649,3607146.539424,3599193.0,3599193.0,3599193.0,3599193.0,3599193.0,4019015.35593
2841,"Omaha-Council Bluffs, NE-IA Metro Area-Bus",2007,0,32,3710238.0,44884.67605,86300.30623999999,17486.546609999998,-12997.59849,35214.38405,15206.99672,-6184.396706,-12934.13321,0.0,0.0,0.0,0.0,-58196.75223,213986.40275000004,142076.18422,125702.86817999999,-101810.34232000001,247286.43365,115787.27023,-14137.93613,-12934.13321,0.0,0.0,0.0,0.0,-478019.10816,3496251.59725,3568161.81578,3584535.13182,3812048.34232,3462951.56635,3594450.72977,3724375.93613,3723172.13321,3710238.0,3710238.0,3710238.0,3710238.0,4188257.10816
2842,"Omaha-Council Bluffs, NE-IA Metro Area-Bus",2008,0,32,3947938.0,87056.4254,-54712.9953,13073.04695,-10409.57581,52588.23175,-9731.967947,30754.05155,8915.495614,0.0,0.0,0.0,0.0,120318.8265,301042.82815,87363.18891999999,138775.91512999998,-112219.91813,299874.6654,106055.302283,16616.115420000002,-4018.6375960000005,0.0,0.0,0.0,0.0,-357700.28166,3646895.17185,3860574.81108,3809162.08487,4060157.91813,3648063.3346,3841882.697717,3931321.88458,3951956.637596,3947938.0,3947938.0,3947938.0,3947938.0,4305638.28166
2843,"Omaha-Council Bluffs, NE-IA Metro Area-Bus",2009,0,32,3675281.0,27316.26363,74283.81082,6403.927828,-14537.5848,-169389.1461,29137.85123,7067.367711,4740.4916729999995,0.0,0.0,0.0,0.0,-233204.6695,328359.09178,161646.99974,145179.84295799996,-126757.50293,130485.51929999999,135193.153513,23683.483131,721.854076999999,0.0,0.0,0.0,0.0,-590904.9511599999,3346921.90822,3513634.00026,3530101.157042,3802038.50293,3544795.4807,3540087.846487,3651597.516869,3674559.145923,3675281.0,3675281.0,3675281.0,3675281.0,4266185.95116
2844,"Omaha-Council Bluffs, NE-IA Metro Area-Bus",2010,0,32,3746554.0,28119.58565,42436.6208,32004.666289999997,-17138.01774,77879.45602,3823.7980450000005,-24693.30084,0.0,0.0,0.0,0.0,0.0,-72471.89792999999,356478.67743000004,204083.62054,177184.50924799996,-143895.52067,208364.97531999997,139016.951558,-1009.817708999999,721.854076999999,0.0,0.0,0.0,0.0,-663376.8490899999,3390075.32257,3542470.37946,3569369.490752,3890449.52067,3538189.02468,3607537.048442,3747563.817709,3745832.145923,3746554.0,3746554.0,3746554.0,3746554.0,4409930.84909
2845,"Omaha-Council Bluffs, NE-IA Metro Area-Bus",2011,0,32,4000853.0,-79072.05179,102443.4376,11572.833709999999,-10210.84153,111025.7439,-5367.286818,19379.36939,-1123.826622,0.0,0.0,0.0,0.0,106740.8322,277406.62564000004,306527.05814,188757.34295799996,-154106.3622,319390.71921999997,133649.66474,18369.551681,-401.972545000001,0.0,0.0,0.0,0.0,-556636.0168899999,3723446.37436,3694325.94186,3812095.657042,4154959.3622,3681462.28078,3867203.33526,3982483.448319,4001254.972545,4000853.0,4000853.0,4000853.0,4000853.0,4557489.01689
