,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,TSD_POP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,TSD_POP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
2853,"Orlando-Kissimmee-Sanford, FL Metro Area-Bus",2002,0,24,21052568.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21052568.0,21052568.0,21052568.0,21052568.0,21052568.0,21052568.0,21052568.0,21052568.0,21052568.0,21052568.0,21052568.0,21052568.0,21052568.0
2854,"Orlando-Kissimmee-Sanford, FL Metro Area-Bus",2003,0,24,22002176.0,473866.42600000004,-1416345.6130000001,295733.8802,-207994.798,293669.8465,-36638.97625,-2896.2148850000003,0.0,0.0,0.0,0.0,0.0,1600249.554,473866.42600000004,-1416345.6130000001,295733.8802,-207994.798,293669.8465,-36638.97625,-2896.2148850000003,0.0,0.0,0.0,0.0,0.0,1600249.554,21528309.574,23418521.613,21706442.1198,22210170.798,21708506.1535,22038814.97625,22005072.214885,22002176.0,22002176.0,22002176.0,22002176.0,22002176.0,20401926.446
2855,"Orlando-Kissimmee-Sanford, FL Metro Area-Bus",2004,0,24,23118059.0,141127.6763,925079.1182,357305.166,-200338.22699999998,435614.8427,16811.47926,-1513.4785789999999,0.0,0.0,0.0,0.0,0.0,-593969.0242,614994.1023,-491266.4948000001,653039.0462,-408333.025,729284.6891999999,-19827.49699,-4409.693464,0.0,0.0,0.0,0.0,0.0,1006280.5298,22503064.8977,23609325.4948,22465019.9538,23526392.025,22388774.3108,23137886.49699,23122468.693464,23118059.0,23118059.0,23118059.0,23118059.0,23118059.0,22111778.4702
2856,"Orlando-Kissimmee-Sanford, FL Metro Area-Bus",2005,0,24,23748009.0,391965.6522,-810965.5136,394813.9289,-191626.3976,563150.9995,18715.45322,-9539.78479,0.0,0.0,0.0,0.0,0.0,299843.855,1006959.7545,-1302232.0084000002,1047852.9750999999,-599959.4226,1292435.6886999998,-1112.0437700000002,-13949.478254,0.0,0.0,0.0,0.0,0.0,1306124.3848,22741049.2455,25050241.0084,22700156.0249,24347968.4226,22455573.311300002,23749121.04377,23761958.478254,23748009.0,23748009.0,23748009.0,23748009.0,23748009.0,22441884.615199998
2857,"Orlando-Kissimmee-Sanford, FL Metro Area-Bus",2006,0,24,24506488.0,98061.33077999999,-558478.9819,397414.8904,-190733.6431,277620.4339,67237.01756000001,27787.89641,-49819.77562,0.0,0.0,0.0,0.0,702028.8959,1105021.08528,-1860710.9903000002,1445267.8654999998,-790693.0657,1570056.1226,66124.97379,13838.418156000002,-49819.77562,0.0,0.0,0.0,0.0,2008153.2807,23401466.91472,26367198.9903,23061220.1345,25297181.0657,22936431.8774,24440363.02621,24492649.581844,24556307.77562,24506488.0,24506488.0,24506488.0,24506488.0,22498334.7193
2858,"Orlando-Kissimmee-Sanford, FL Metro Area-Bus",2007,0,24,26091386.92,1488554.1630000002,1051006.7759999998,232219.9112,-150646.5592,139166.7752,-68265.16471,-127786.6517,-22046.48579,0.0,0.0,0.0,0.0,-1018778.559,2593575.24828,-809704.2143000003,1677487.7766999998,-941339.6249,1709222.8978,-2140.1909199999936,-113948.233544,-71866.26141,0.0,0.0,0.0,0.0,989374.7217,23497811.67172,26901091.1343,24413899.1433,27032726.5449,24382164.022200003,26093527.11092,26205335.153544,26163253.181410003,26091386.92,26091386.92,26091386.92,26091386.92,25102012.1983
2859,"Orlando-Kissimmee-Sanford, FL Metro Area-Bus",2008,0,24,26201053.47,953807.5592,-961638.9028,53515.37578,-130174.4929,487815.9148,433621.6301,71891.96892,7828.792388,0.0,0.0,0.0,0.0,-778030.0376,3547382.80748,-1771343.1171000004,1731003.1524799997,-1071514.1178000001,2197038.8126,431481.43918,-42056.264624,-64037.469022000005,0.0,0.0,0.0,0.0,211344.68409999995,22653670.66252,27972396.5871,24470050.31752,27272567.5878,24004014.657399997,25769572.030819997,26243109.734624,26265090.939021997,26201053.47,26201053.47,26201053.47,26201053.47,25989708.7859
2860,"Orlando-Kissimmee-Sanford, FL Metro Area-Bus",2009,0,24,23530787.37,-1111425.313,-1295377.222,-104572.6872,-132779.392,-1157803.436,521114.8431,113795.8152,-23570.947940000002,0.0,0.0,0.0,0.0,412978.9471,2435957.49448,-3066720.3391000004,1626430.4652799997,-1204293.5098,1039235.3765999998,952596.2822799999,71739.550576,-87608.416962,0.0,0.0,0.0,0.0,624323.6312,21094829.875520002,26597507.7091,21904356.90472,24735080.8798,22491551.9934,22578191.08772,23459047.819424,23618395.786962003,23530787.37,23530787.37,23530787.37,23530787.37,22906463.7388
2861,"Orlando-Kissimmee-Sanford, FL Metro Area-Bus",2010,0,24,25569156.13,1060089.51,637616.0175,226629.3473,-136716.1865,470523.9998,287073.622,-30734.90388,35323.57878,0.0,0.0,0.0,0.0,-610640.0958,3496047.0044799997,-2429104.3216000004,1853059.8125799997,-1341009.6963000002,1509759.3764,1239669.90428,41004.646695999996,-52284.838182,0.0,0.0,0.0,0.0,13683.535399999935,22073109.12552,27998260.4516,23716096.31742,26910165.8263,24059396.753599998,24329486.22572,25528151.483303998,25621440.968181998,25569156.13,25569156.13,25569156.13,25569156.13,25555472.5946
2862,"Orlando-Kissimmee-Sanford, FL Metro Area-Bus",2011,0,24,27704395.57,-193763.1946,1307626.4109999998,155841.3525,-122661.82400000001,745029.0534,156710.7892,134026.6982,30702.19738,0.0,0.0,0.0,0.0,-127513.8459,3302283.8098799996,-1121477.9106000005,2008901.1650799997,-1463671.5203000002,2254788.4298,1396380.69348,175031.344896,-21582.640801999998,0.0,0.0,0.0,0.0,-113830.31050000007,24402111.76012,28825873.4806,25695494.40492,29168067.0903,25449607.1402,26308014.87652,27529364.225104,27725978.210802,27704395.57,27704395.57,27704395.57,27704395.57,27818225.8805
