,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,TSD_POP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,TSD_POP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
3291,"Riverside-San Bernardino-Ontario, CA Metro Area-Bus",2002,0,22,23975563.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23975563.0,23975563.0,23975563.0,23975563.0,23975563.0,23975563.0,23975563.0,23975563.0,23975563.0,23975563.0,23975563.0,23975563.0,23975563.0
3292,"Riverside-San Bernardino-Ontario, CA Metro Area-Bus",2003,0,22,27095379.0,3474142.877,371588.6504,391134.2953,-326852.6365,510051.9777,32902.33113,-85609.35352,0.0,0.0,0.0,0.0,0.0,-1379889.5469999998,3474142.877,371588.6504,391134.2953,-326852.6365,510051.9777,32902.33113,-85609.35352,0.0,0.0,0.0,0.0,0.0,-1379889.5469999998,23621236.123,26723790.3496,26704244.7047,27422231.6365,26585327.0223,27062476.66887,27180988.35352,27095379.0,27095379.0,27095379.0,27095379.0,27095379.0,28475268.547
3293,"Riverside-San Bernardino-Ontario, CA Metro Area-Bus",2004,0,22,26335894.0,1683316.9409999999,-175676.0501,492982.64200000005,-339338.8132,395682.0131,106075.4172,-94891.95509,0.0,0.0,0.0,0.0,0.0,-2843278.402,5157459.818,195912.6003,884116.9373000001,-666191.4497,905733.9908,138977.74833,-180501.30861,0.0,0.0,0.0,0.0,0.0,-4223167.948999999,21178434.182,26139981.3997,25451777.0627,27002085.4497,25430160.0092,26196916.25167,26516395.30861,26335894.0,26335894.0,26335894.0,26335894.0,26335894.0,30559061.949
3294,"Riverside-San Bernardino-Ontario, CA Metro Area-Bus",2005,0,22,25419087.0,-189150.8577,546933.5065,424217.8197,-286865.6393,476342.9309,83673.49818,-83204.06257000001,0.0,0.0,0.0,0.0,0.0,-1890565.074,4968308.9603,742846.1068,1308334.7570000002,-953057.0889999999,1382076.9217,222651.24651,-263705.37118,0.0,0.0,0.0,0.0,0.0,-6113733.022999999,20450778.0397,24676240.8932,24110752.243,26372144.089,24037010.0783,25196435.75349,25682792.37118,25419087.0,25419087.0,25419087.0,25419087.0,25419087.0,31532820.023
3295,"Riverside-San Bernardino-Ontario, CA Metro Area-Bus",2006,0,22,26380230.0,1501294.189,-265833.502,415981.4725,-302490.5705,311750.1873,195852.6412,-102957.1524,-38101.03093,0.0,0.0,0.0,0.0,-757855.2652,6469603.149300001,477012.6048,1724316.2295000001,-1255547.6594999998,1693827.1090000002,418503.88771000004,-366662.52358000004,-38101.03093,0.0,0.0,0.0,0.0,-6871588.288199999,19910626.8507,25903217.3952,24655913.7705,27635777.6595,24686402.891,25961726.11229,26746892.52358,26418331.03093,26380230.0,26380230.0,26380230.0,26380230.0,33251818.2882
3296,"Riverside-San Bernardino-Ontario, CA Metro Area-Bus",2007,0,22,25957946.0,-4903.279179,-280166.1492,106722.4085,-98867.73451000001,193423.5499,-215032.4757,0.0,-31638.105880000003,0.0,0.0,0.0,0.0,-90421.62667,6464699.870121,196846.4556,1831038.638,-1354415.39401,1887250.6589000002,203471.41201000003,-366662.52358000004,-69739.13681,0.0,0.0,0.0,0.0,-6962009.9148699995,19493246.129878998,25761099.5444,24126907.362,27312361.39401,24070695.3411,25754474.58799,26324608.52358,26027685.13681,25957946.0,25957946.0,25957946.0,25957946.0,32919955.91487
3297,"Riverside-San Bernardino-Ontario, CA Metro Area-Bus",2008,0,22,27714332.0,917092.2816,382306.9745,-1428.960412,-67841.47168,391754.5381,353878.4483,157613.6213,7788.753073000001,0.0,0.0,0.0,0.0,-448970.6394,7381792.151721001,579153.4301,1829609.677588,-1422256.86569,2279005.197,557349.86031,-209048.90228000004,-61950.383737,0.0,0.0,0.0,0.0,-7410980.554269999,20332539.848279,27135178.5699,25884722.322412,29136588.86569,25435326.803,27156982.13969,27923380.90228,27776282.383737,27714332.0,27714332.0,27714332.0,27714332.0,35125312.55427
3298,"Riverside-San Bernardino-Ontario, CA Metro Area-Bus",2009,0,22,27323478.0,26179.10134,652565.0448,-98368.8614,-61328.13115,-1051127.7859999998,463070.145,-34295.22477,-8313.267103,0.0,0.0,0.0,0.0,-247487.093,7407971.253061,1231718.4749,1731240.816188,-1483584.99684,1227877.4110000003,1020420.00531,-243344.12705000004,-70263.65084,0.0,0.0,0.0,0.0,-7658467.64727,19915506.746939,26091759.5251,25592237.183812,28807062.99684,26095600.589,26303057.99469,27566822.12705,27393741.65084,27323478.0,27323478.0,27323478.0,27323478.0,34981945.64727
3299,"Riverside-San Bernardino-Ontario, CA Metro Area-Bus",2010,0,22,27122102.0,-283246.5987,-434923.9523,302791.0253,-157611.5064,496763.013,250759.9063,0.0,65656.79837,0.0,0.0,0.0,0.0,-429730.6632,7124724.654361,796794.5226,2034031.841488,-1641196.50324,1724640.4240000003,1271179.91161,-243344.12705000004,-4606.852469999998,0.0,0.0,0.0,0.0,-8088198.31047,19997377.345638998,26325307.4774,25088070.158512,28763298.50324,25397461.576,25850922.08839,27365446.12705,27126708.85247,27122102.0,27122102.0,27122102.0,27122102.0,35210300.31047
3300,"Riverside-San Bernardino-Ontario, CA Metro Area-Bus",2011,0,22,29415840.0,-565022.3573,-81417.55279,124851.0536,-96375.63812999999,696312.4121,57423.4579,91575.04759,-81246.47223,0.0,0.0,0.0,0.0,2162998.067,6559702.297061,715376.96981,2158882.895088,-1737572.14137,2420952.8361000004,1328603.36951,-151769.07946000004,-85853.3247,0.0,0.0,0.0,0.0,-5925200.24347,22856137.702939,28700463.03019,27256957.104911998,31153412.14137,26994887.1639,28087236.63049,29567609.07946,29501693.3247,29415840.0,29415840.0,29415840.0,29415840.0,35341040.24347
