,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,TSD_POP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,TSD_POP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
3325,"Rochester, MN Metro Area-Bus",2003,0,33,1215904.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1215904.0,1215904.0,1215904.0,1215904.0,1215904.0,1215904.0,1215904.0,1215904.0,1215904.0,1215904.0,1215904.0,1215904.0,1215904.0
3326,"Rochester, MN Metro Area-Bus",2004,0,33,681137.0,-449995.4632,-260296.5521,12392.19082,-2901.229058,20467.714519999998,8678.187389,4525.072138,0.0,0.0,0.0,0.0,0.0,57581.96181,-449995.4632,-260296.5521,12392.19082,-2901.229058,20467.714519999998,8678.187389,4525.072138,0.0,0.0,0.0,0.0,0.0,57581.96181,1131132.4632,941433.5521,668744.80918,684038.229058,660669.28548,672458.812611,676611.927862,681137.0,681137.0,681137.0,681137.0,681137.0,623555.03819
3327,"Rochester, MN Metro Area-Bus",2005,0,33,1301017.0,431380.7425,178516.0354,5733.833057,-1481.617649,15526.526780000002,4974.460566,2676.003204,0.0,0.0,0.0,0.0,0.0,-160293.9829,-18614.720700000005,-81780.51670000001,18126.023877,-4382.846707,35994.2413,13652.647955,7201.075342,0.0,0.0,0.0,0.0,0.0,-102712.02109,1319631.7207,1382797.5167,1282890.976123,1305399.846707,1265022.7587,1287364.352045,1293815.924658,1301017.0,1301017.0,1301017.0,1301017.0,1301017.0,1403729.02109
3328,"Rochester, MN Metro Area-Bus",2006,0,33,1427340.0,178728.175,6570.1512170000005,11373.35027,-2977.585907,15564.951869999999,10316.007309999999,2598.003982,0.0,0.0,0.0,0.0,0.0,-102411.7162,160113.45429999998,-75210.365483,29499.374147000002,-7360.432613999999,51559.19317,23968.655265,9799.079324,0.0,0.0,0.0,0.0,0.0,-205123.73729,1267226.5457000001,1502550.365483,1397840.625853,1434700.432614,1375780.80683,1403371.344735,1417540.920676,1427340.0,1427340.0,1427340.0,1427340.0,1427340.0,1632463.73729
3329,"Rochester, MN Metro Area-Bus",2007,0,33,1545364.0,-1962.145594,53172.6693,4088.581733,-1798.6509440000002,13965.046869999998,9711.902901000001,13019.67671,-3421.5967490000003,0.0,0.0,0.0,0.0,29766.01862,158151.30870599998,-22037.696183,33587.95588,-9159.083558,65524.24004,33680.558166,22818.756033999998,-3421.5967490000003,0.0,0.0,0.0,0.0,-175357.71867,1387212.691294,1567401.696183,1511776.04412,1554523.083558,1479839.75996,1511683.441834,1522545.243966,1548785.596749,1545364.0,1545364.0,1545364.0,1545364.0,1720721.71867
3330,"Rochester, MN Metro Area-Bus",2008,0,33,1727625.0,98307.46309,4741.290263,2169.321724,-2009.0558420000002,21903.70542,-5966.625943,-13442.01586,-6938.69331,0.0,0.0,0.0,0.0,83732.13516,256458.771796,-17296.40592,35757.277604,-11168.1394,87427.94545999999,27713.932223000003,9376.740173999999,-10360.290058999999,0.0,0.0,0.0,0.0,-91625.58351,1471166.228204,1744921.40592,1691867.722396,1738793.1394,1640197.05454,1699911.067777,1718248.259826,1737985.290059,1727625.0,1727625.0,1727625.0,1727625.0,1819250.58351
3331,"Rochester, MN Metro Area-Bus",2009,0,33,1584502.0,-11688.91838,-52920.21018,5859.479356,-2455.184457,-74125.0049,7478.130895,-1663.006659,7792.032526999999,0.0,0.0,0.0,0.0,-23214.1452,244769.853416,-70216.6161,41616.75696,-13623.323857,13302.940559999988,35192.063118000005,7713.733514999999,-2568.2575319999996,0.0,0.0,0.0,0.0,-114839.72871,1339732.146584,1654718.6161,1542885.24304,1598125.323857,1571199.05944,1549309.936882,1576788.266485,1587070.257532,1584502.0,1584502.0,1584502.0,1584502.0,1699341.72871
3332,"Rochester, MN Metro Area-Bus",2010,0,33,1520556.0,11865.14458,-54853.72467,1291.6977949999998,-1666.0098619999999,33575.70586,14875.674030000002,4475.224373,-5694.098631,0.0,0.0,0.0,0.0,-66363.11658999999,256634.997996,-125070.34077000001,42908.454755,-15289.333718999998,46878.64641999999,50067.73714800001,12188.957887999999,-8262.356163,0.0,0.0,0.0,0.0,-181202.8453,1263921.002004,1645626.3407700001,1477647.545245,1535845.333719,1473677.35358,1470488.262852,1508367.042112,1528818.356163,1520556.0,1520556.0,1520556.0,1520556.0,1701758.8453
3333,"Rochester, MN Metro Area-Bus",2011,0,33,1645272.0,-6589.301122999999,26711.49036,3995.4322549999997,-1738.2228899999998,45060.3037,1667.746162,1255.7075630000002,5941.900929,0.0,0.0,0.0,0.0,47431.17175,250045.69687299998,-98358.85041000001,46903.88701,-17027.556609,91938.95012,51735.48331000001,13444.665450999999,-2320.455234,0.0,0.0,0.0,0.0,-133771.67354999998,1395226.303127,1743630.85041,1598368.11299,1662299.556609,1553333.04988,1593536.51669,1631827.334549,1647592.455234,1645272.0,1645272.0,1645272.0,1645272.0,1779043.67355
3334,"Rochester, MN Metro Area-Bus",2012,0,33,1739071.0,-24020.557630000003,91380.07311,7218.654836,-1033.201182,-1096.049389,13024.96815,5668.659686,1975.5624870000001,0.0,0.0,0.0,0.0,853.5679369999999,226025.13924299998,-6978.777300000016,54122.541846,-18060.757791,90842.90073099999,64760.45146000001,19113.325137,-344.8927469999999,0.0,0.0,0.0,0.0,-132918.10561299996,1513045.860757,1746049.7773,1684948.458154,1757131.757791,1648228.099269,1674310.5485399999,1719957.674863,1739415.892747,1739071.0,1739071.0,1739071.0,1739071.0,1871989.105613
