,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,TSD_POP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,TSD_POP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
3358,"Rockford, IL Metro Area-Bus",2002,0,32,1475160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1475160.0,1475160.0,1475160.0,1475160.0,1475160.0,1475160.0,1475160.0,1475160.0,1475160.0,1475160.0,1475160.0,1475160.0,1475160.0
3359,"Rockford, IL Metro Area-Bus",2003,0,32,1350373.0,12964.39713,-19548.520940000002,12125.95563,-8320.889704000001,19060.95983,20049.810380000003,-3648.6278490000004,0.0,0.0,0.0,0.0,0.0,-157301.16199999998,12964.39713,-19548.520940000002,12125.95563,-8320.889704000001,19060.95983,20049.810380000003,-3648.6278490000004,0.0,0.0,0.0,0.0,0.0,-157301.16199999998,1337408.60287,1369921.52094,1338247.04437,1358693.889704,1331312.04017,1330323.18962,1354021.627849,1350373.0,1350373.0,1350373.0,1350373.0,1350373.0,1507674.162
3360,"Rockford, IL Metro Area-Bus",2004,0,32,1273117.0,-11166.8209,10396.575929999999,16437.04519,-7083.902725,22731.275709999998,22464.43885,-3339.982465,0.0,0.0,0.0,0.0,0.0,-128044.1845,1797.5762299999988,-9151.945010000003,28563.00082,-15404.792429000001,41792.235539999994,42514.24923,-6988.6103140000005,0.0,0.0,0.0,0.0,0.0,-285345.3465,1271319.42377,1282268.94501,1244553.99918,1288521.792429,1231324.76446,1230602.75077,1280105.610314,1273117.0,1273117.0,1273117.0,1273117.0,1273117.0,1558462.3465
3361,"Rockford, IL Metro Area-Bus",2005,0,32,1318215.0,3545.946662,32461.777469999997,15205.670880000001,-6000.127442,29020.71858,18686.40649,-2974.164857,0.0,0.0,0.0,0.0,0.0,-47049.1368,5343.522891999999,23309.832459999994,43768.671700000006,-21404.919871000002,70812.95412,61200.65572,-9962.775171000001,0.0,0.0,0.0,0.0,0.0,-332394.48329999996,1312871.477108,1294905.16754,1274446.3283,1339619.919871,1247402.04588,1257014.34428,1328177.775171,1318215.0,1318215.0,1318215.0,1318215.0,1318215.0,1650609.4833
3362,"Rockford, IL Metro Area-Bus",2006,0,32,1445028.0,-319.4841374,-869.0168955,21761.881709999998,-6450.732643,15770.70325,33496.83851,-3893.481624,2771.231797,0.0,0.0,0.0,0.0,63799.902389999996,5024.038754599999,22440.815564499993,65530.55341000001,-27855.652514,86583.65737,94697.49423000001,-13856.256795000001,2771.231797,0.0,0.0,0.0,0.0,-268594.58090999996,1440003.9612454,1422587.1844355,1379497.44659,1472883.652514,1358444.34263,1350330.50577,1458884.256795,1442256.768203,1445028.0,1445028.0,1445028.0,1445028.0,1713622.58091
3363,"Rockford, IL Metro Area-Bus",2007,0,32,1554541.0,-2743.186812,12688.35539,8237.114884,-3836.024015,14138.105669999999,-20559.13854,-397.5594549,-433.4545655,0.0,0.0,0.0,0.0,102705.7681,2280.8519425999993,35129.17095449999,73767.668294,-31691.676529,100721.76304,74138.35569000001,-14253.816249900001,2337.7772314999997,0.0,0.0,0.0,0.0,-165888.81280999997,1552260.1480574,1519411.8290455,1480773.331706,1586232.676529,1453819.23696,1480402.64431,1568794.8162499,1552203.2227685,1554541.0,1554541.0,1554541.0,1554541.0,1720429.81281
3364,"Rockford, IL Metro Area-Bus",2008,0,32,1788823.0,44771.55192,37953.56218,-4169.647473,-3512.268402,22033.77853,6546.509868,-3844.967044,3268.0506969999997,0.0,0.0,0.0,0.0,129104.8046,47052.4038626,73082.73313449998,69598.020821,-35203.944931,122755.54157,80684.865558,-18098.7832939,5605.827928499999,0.0,0.0,0.0,0.0,-36784.00820999997,1741770.5961374,1715740.2668655,1719224.979179,1824026.944931,1666067.45843,1708138.134442,1806921.7832939,1783217.1720715,1788823.0,1788823.0,1788823.0,1788823.0,1825607.0082099999
3365,"Rockford, IL Metro Area-Bus",2009,0,32,1584178.0,-4626.699267,-63578.834820000004,-19817.20708,-3157.912537,-76750.74952,25017.86573,17931.99883,-10167.54847,0.0,0.0,0.0,0.0,-71451.72963,42425.70459559999,9503.89831449998,49780.813741,-38361.857468,46004.792050000004,105702.73128800001,-166.78446389999954,-4561.720541500001,0.0,0.0,0.0,0.0,-108235.73783999997,1541752.2954044,1574674.1016855,1534397.186259,1622539.857468,1538173.20795,1478475.268712,1584344.7844639,1588739.7205415,1584178.0,1584178.0,1584178.0,1584178.0,1692413.73784
3366,"Rockford, IL Metro Area-Bus",2010,0,32,1595189.0,9760.385967,-35747.81965,3551.3340700000003,-1812.599287,33568.840280000004,18229.32655,-5765.194697,3806.6916490000003,0.0,0.0,0.0,0.0,-13858.82589,52186.090562599995,-26243.921335500017,53332.147810999995,-40174.456755,79573.63233000001,123932.05783800001,-5931.979160899999,-755.0288925000004,0.0,0.0,0.0,0.0,-122094.56372999997,1543002.9094374,1621432.9213355,1541856.852189,1635363.456755,1515615.36767,1471256.942162,1601120.9791609,1595944.0288925,1595189.0,1595189.0,1595189.0,1595189.0,1717283.56373
3367,"Rockford, IL Metro Area-Bus",2011,0,32,1702918.0,5907.432248,15240.210619999998,408.89646539999995,-2799.5649399999998,47271.98525,2755.543943,-329.1653941,-1913.128069,0.0,0.0,0.0,0.0,40588.451960000006,58093.52281059999,-11003.71071550002,53741.044276399996,-42974.021694999996,126845.61758,126687.601781,-6261.144555,-2668.1569615000008,0.0,0.0,0.0,0.0,-81506.11176999996,1644824.4771894,1713921.7107155,1649176.9557236,1745892.021695,1576072.38242,1576230.398219,1709179.144555,1705586.1569615,1702918.0,1702918.0,1702918.0,1702918.0,1784424.1117699998
