,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,TSD_POP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,TSD_POP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
3437,"Salem, OR Metro Area-Bus",2004,0,24,5479089.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5479089.0,5479089.0,5479089.0,5479089.0,5479089.0,5479089.0,5479089.0,5479089.0,5479089.0,5479089.0,5479089.0,5479089.0,5479089.0
3438,"Salem, OR Metro Area-Bus",2005,0,24,5392202.0,50050.40384,-122977.6721,82459.66465,-57657.23071,99101.45116,44876.38661,43516.17652,0.0,0.0,0.0,0.0,0.0,-224159.1647,50050.40384,-122977.6721,82459.66465,-57657.23071,99101.45116,44876.38661,43516.17652,0.0,0.0,0.0,0.0,0.0,-224159.1647,5342151.59616,5515179.6721,5309742.33535,5449859.23071,5293100.54884,5347325.61339,5348685.82348,5392202.0,5392202.0,5392202.0,5392202.0,5392202.0,5616361.1647
3439,"Salem, OR Metro Area-Bus",2006,0,24,5490201.0,-225994.1475,-34511.1944,107036.2255,-60481.015770000005,66132.19364,37570.64248,57426.83375,-22600.33776,0.0,0.0,0.0,0.0,180046.5021,-175943.74365999998,-157488.8665,189495.89015,-118138.24648,165233.6448,82447.02909,100943.01027,-22600.33776,0.0,0.0,0.0,0.0,-44112.66259999998,5666144.74366,5647689.8665,5300705.10985,5608339.24648,5324967.3552,5407753.97091,5389257.98973,5512801.33776,5490201.0,5490201.0,5490201.0,5490201.0,5534313.6626
3440,"Salem, OR Metro Area-Bus",2007,0,24,5066719.0,-603482.8992,-170993.6166,20943.133159999998,-20625.79965,40254.924510000004,72738.5176,-6039.414393999999,11541.83467,0.0,0.0,0.0,0.0,229256.0146,-779426.64286,-328482.4831,210439.02331,-138764.04613,205488.56931000002,155185.54669,94903.595876,-11058.503089999998,0.0,0.0,0.0,0.0,185143.352,5846145.64286,5395201.4831,4856279.97669,5205483.04613,4861230.43069,4911533.45331,4971815.404124,5077777.50309,5066719.0,5066719.0,5066719.0,5066719.0,4881575.648
3441,"Salem, OR Metro Area-Bus",2008,0,24,5182174.0,18918.65648,-144631.6197,24597.397559999998,-22994.9334,76466.37994,-80386.26707999999,37782.47575,0.0,0.0,0.0,0.0,0.0,208446.4647,-760507.98638,-473114.1028,235036.42086999997,-161758.97953,281954.94925,74799.27961,132686.071626,-11058.503089999998,0.0,0.0,0.0,0.0,393589.8167,5942681.98638,5655288.1028,4947137.57913,5343932.97953,4900219.05075,5107374.72039,5049487.928374,5193232.50309,5182174.0,5182174.0,5182174.0,5182174.0,4788584.1833
3442,"Salem, OR Metro Area-Bus",2009,0,24,4217005.0,-308351.4289,-454738.9893,-4172.15617,-22166.37635,-196545.4944,107761.661,-35525.8659,-18622.76594,0.0,0.0,0.0,0.0,-81991.97982000001,-1068859.41528,-927853.0921,230864.26469999997,-183925.35588000002,85409.45485000001,182560.94061,97160.20572599999,-29681.26903,0.0,0.0,0.0,0.0,311597.83688,5285864.41528,5144858.0921,3986140.7353,4400930.35588,4131595.54515,4034444.05939,4119844.794274,4246686.26903,4217005.0,4217005.0,4217005.0,4217005.0,3905407.16312
3443,"Salem, OR Metro Area-Bus",2010,0,24,4135793.0,26404.69809,476152.8951,-28976.907010000003,-7802.355240000001,76668.57454,-30148.08367,14238.292940000001,7597.640912000001,0.0,0.0,0.0,0.0,-621191.7728,-1042454.7171900001,-451700.197,201887.35768999998,-191727.71112000002,162078.02939,152412.85694,111398.49866599998,-22083.628118,0.0,0.0,0.0,0.0,-309593.93592,5178247.71719,4587493.197,3933905.64231,4327520.71112,3973714.97061,3983380.14306,4024394.501334,4157876.628118,4135793.0,4135793.0,4135793.0,4135793.0,4445386.93592
3444,"Salem, OR Metro Area-Bus",2011,0,24,3792323.0,-120803.1975,-81461.4874,9887.828303,-16042.58299,106179.2334,55666.316679999996,7688.675225,28636.392710000004,0.0,0.0,0.0,0.0,-328774.7717,-1163257.91469,-533161.6844,211775.18599299996,-207770.29411000002,268257.26279,208079.17362,119087.17389099998,6552.764592000003,0.0,0.0,0.0,0.0,-638368.70762,4955580.91469,4325484.6844,3580547.814007,4000093.29411,3524065.73721,3584243.82638,3673235.826109,3785770.235408,3792323.0,3792323.0,3792323.0,3792323.0,4430691.7076200005
3445,"Salem, OR Metro Area-Bus",2012,0,24,3424964.0,32288.44895,-197253.1012,-5542.023475,-2191.833376,13180.3461,15642.743540000001,32223.642410000004,-19292.10851,0.0,0.0,0.0,0.0,-233150.5921,-1130969.46574,-730414.7856000001,206233.16251799997,-209962.127486,281437.60889000003,223721.91715999998,151310.81630099998,-12739.343917999995,0.0,0.0,0.0,0.0,-871519.29972,4555933.46574,4155378.7856,3218730.8374820002,3634926.127486,3143526.39111,3201242.08284,3273653.183699,3437703.343918,3424964.0,3424964.0,3424964.0,3424964.0,4296483.2997200005
3446,"Salem, OR Metro Area-Bus",2013,0,24,3352311.0,6185.86606,36248.72281,5999.2107240000005,5976.789699,-24398.763730000002,4097.802249,-25818.56981,-2054.415036,0.0,0.0,0.0,0.0,-78499.92032,-1124783.59968,-694166.0627900001,212232.37324199997,-203985.33778700003,257038.84516000003,227819.71940899998,125492.24649099998,-14793.758953999995,0.0,0.0,0.0,0.0,-950019.22004,4477094.59968,4046477.06279,3140078.626758,3556296.337787,3095272.15484,3124491.280591,3226818.753509,3367104.758954,3352311.0,3352311.0,3352311.0,3352311.0,4302330.22004
