,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,TSD_POP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,TSD_POP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
3528,"San Antonio-New Braunfels, TX Metro Area-Bus",2002,0,23,37202802.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37202802.0,37202802.0,37202802.0,37202802.0,37202802.0,37202802.0,37202802.0,37202802.0,37202802.0,37202802.0,37202802.0,37202802.0,37202802.0
3529,"San Antonio-New Braunfels, TX Metro Area-Bus",2003,0,23,36613881.0,-1397400.389,242435.1825,599467.9588,-539700.7721,462768.6715,382882.0688,151298.5823,0.0,0.0,0.0,0.0,0.0,-449377.776,-1397400.389,242435.1825,599467.9588,-539700.7721,462768.6715,382882.0688,151298.5823,0.0,0.0,0.0,0.0,0.0,-449377.776,38011281.389,36371445.8175,36014413.0412,37153581.7721,36151112.3285,36230998.9312,36462582.4177,36613881.0,36613881.0,36613881.0,36613881.0,36613881.0,37063258.776
3530,"San Antonio-New Braunfels, TX Metro Area-Bus",2004,0,23,37027640.0,-890596.3301,371603.1992,592857.0405,-478382.3036,659395.5257,471520.7139,143846.044,0.0,0.0,0.0,0.0,0.0,-436257.4448,-2287996.7191,614038.3817,1192324.9993,-1018083.0756999999,1122164.1972,854402.7827,295144.6263,0.0,0.0,0.0,0.0,0.0,-885635.2208,39315636.7191,36413601.6183,35835315.0007,38045723.0757,35905475.8028,36173237.2173,36732495.3737,37027640.0,37027640.0,37027640.0,37027640.0,37027640.0,37913275.2208
3531,"San Antonio-New Braunfels, TX Metro Area-Bus",2005,0,23,39650533.0,661696.3706,460719.775,587713.0135,-422512.8518,904020.0285,444178.9646,125020.0997,0.0,0.0,0.0,0.0,0.0,-211765.3438,-1626300.3484999998,1074758.1567000002,1780038.0128000001,-1440595.9275,2026184.2257,1298581.7473,420164.726,0.0,0.0,0.0,0.0,0.0,-1097400.5646,41276833.3485,38575774.8433,37870494.9872,41091128.9275,37624348.7743,38351951.2527,39230368.274,39650533.0,39650533.0,39650533.0,39650533.0,39650533.0,40747933.5646
3532,"San Antonio-New Braunfels, TX Metro Area-Bus",2006,0,23,42690040.0,61368.328389999995,-161763.3421,701727.9685,-457226.4126,478799.8623,685082.4158,174948.7889,23798.07271,0.0,0.0,0.0,0.0,1522763.7880000002,-1564932.02011,912994.8146000002,2481765.9813,-1897822.3401,2504984.088,1983664.1631,595113.5149000001,23798.07271,0.0,0.0,0.0,0.0,425363.22340000025,44254972.020109996,41777045.1854,40208274.0187,44587862.3401,40185055.912,40706375.8369,42094926.4851,42666241.92729,42690040.0,42690040.0,42690040.0,42690040.0,42264676.7766
3533,"San Antonio-New Braunfels, TX Metro Area-Bus",2007,0,23,41705818.0,395785.92,-634599.4521,345170.8294,-258096.8804,252408.3625,-85009.1944,-20551.59934,25622.37123,0.0,0.0,0.0,0.0,-995354.3724,-1169146.10011,278395.36250000016,2826936.8107000003,-2155919.2205,2757392.4505,1898654.9687,574561.9155600001,49420.44394,0.0,0.0,0.0,0.0,-569991.1489999997,42874964.10011,41427422.6375,38878881.1893,43861737.2205,38948425.5495,39807163.0313,41131256.08444,41656397.55606,41705818.0,41705818.0,41705818.0,41705818.0,42275809.149
3534,"San Antonio-New Braunfels, TX Metro Area-Bus",2008,0,23,45828925.0,1367831.899,65021.34027000001,269505.0267,-190340.1077,725235.9829,33466.94763,48800.59421,-25016.630709999998,0.0,0.0,0.0,0.0,1795561.0469999998,198685.79888999998,343416.70277000015,3096441.8374,-2346259.3282,3482628.4333999995,1932121.9163300002,623362.5097700001,24403.81323,0.0,0.0,0.0,0.0,1225569.898,45630239.20111,45485508.29723,42732483.1626,48175184.3282,42346296.5666,43896803.08367,45205562.49023,45804521.18677,45828925.0,45828925.0,45828925.0,45828925.0,44603355.102
3535,"San Antonio-New Braunfels, TX Metro Area-Bus",2009,0,23,41936065.0,-206990.7659,-1396526.17,243416.6066,-226019.5989,-2037204.269,407381.0406,-207598.2465,-27489.816710000003,0.0,0.0,0.0,0.0,-501523.68700000003,-8304.967010000022,-1053109.4672299998,3339858.444,-2572278.9271,1445424.1643999994,2339502.9569300003,415764.2632700001,-3086.003480000003,0.0,0.0,0.0,0.0,724046.211,41944369.96701,42989174.46723,38596206.556,44508343.9271,40490640.8356,39596562.04307,41520300.73673,41939151.00348,41936065.0,41936065.0,41936065.0,41936065.0,41212018.789
3536,"San Antonio-New Braunfels, TX Metro Area-Bus",2010,0,23,42019381.0,2104482.121,288012.0242,666052.3103,-324312.61,864908.2572,-628762.5111,161859.449,12583.03161,0.0,0.0,0.0,0.0,-3104397.232,2096177.1539899998,-765097.4430299998,4005910.7543,-2896591.5371,2310332.4215999995,1710740.4458300003,577623.7122700001,9497.028129999997,0.0,0.0,0.0,0.0,-2380351.0209999997,39923203.84601,42784478.44303,38013470.2457,44915972.5371,39709048.5784,40308640.55417,41441757.28773,42009883.97187,42019381.0,42019381.0,42019381.0,42019381.0,44399732.021
3537,"San Antonio-New Braunfels, TX Metro Area-Bus",2011,0,23,44744989.0,432951.2062,344759.5823,301766.3714,-177851.7257,1222182.856,579359.3914,-101046.3351,-163560.6566,0.0,0.0,0.0,0.0,243410.7461,2529128.36019,-420337.86072999984,4307677.1257,-3074443.2627999997,3532515.2775999997,2290099.83723,476577.3771700001,-154063.62847,0.0,0.0,0.0,0.0,-2136940.2748999996,42215860.63981,45165326.86073,40437311.8743,47819432.2628,41212473.7224,42454889.16277,44268411.62283,44899052.62847,44744989.0,44744989.0,44744989.0,44744989.0,46881929.2749
3538,"San Antonio-New Braunfels, TX Metro Area-Bus",2012,0,23,45966223.0,-33943.482489999995,212220.0902,319197.3843,-107785.7626,-43021.80171,-9483.746003,-141364.6662,67169.58166,0.0,0.0,0.0,0.0,959557.7889,2495184.8777,-208117.77052999983,4626874.51,-3182229.0253999997,3489493.47589,2280616.091227,335212.71097000013,-86894.04681,0.0,0.0,0.0,0.0,-1177382.4859999996,43471038.1223,46174340.77053,41339348.49,49148452.0254,42476729.52411,43685606.908773,45631010.28903,46053117.04681,45966223.0,45966223.0,45966223.0,45966223.0,47143605.486
3539,"San Antonio-New Braunfels, TX Metro Area-Bus",2013,0,23,43822104.0,608771.4029,-702693.0681,356590.1495,15853.792119999998,-281319.2884,36093.15509,63283.892270000004,-27572.17293,0.0,0.0,0.0,0.0,-2201430.975,3103956.2806,-910810.8386299999,4983464.6595,-3166375.23328,3208174.18749,2316709.246317,398496.60324000014,-114466.21974,0.0,0.0,0.0,0.0,-3378813.4609999997,40718147.7194,44732914.83863,38838639.3405,46988479.23328,40613929.81251,41505394.753683,43423607.39676,43936570.21974,43822104.0,43822104.0,43822104.0,43822104.0,47200917.461
3540,"San Antonio-New Braunfels, TX Metro Area-Bus",2014,0,23,41617458.0,134692.1153,55824.264970000004,384250.5809,-49181.63297,-384582.9345,-82951.53946,27139.12,0.0,-1184286.741,0.0,0.0,0.0,-1099692.383,3238648.3959000004,-854986.5736599999,5367715.2404000005,-3215556.86625,2823591.25299,2233757.706857,425635.72324000014,-114466.21974,-1184286.741,0.0,0.0,0.0,-4478505.844,38378809.6041,42472444.57366,36249742.7596,44833014.86625,38793866.74701,39383700.293143,41191822.27676,41731924.21974,42801744.741,41617458.0,41617458.0,41617458.0,46095963.844
3541,"San Antonio-New Braunfels, TX Metro Area-Bus",2015,0,23,37983886.0,1463401.6369999999,-332698.8936,368244.99600000004,-59818.57225,-1900251.736,-384250.534,-142897.4476,-24963.629240000002,-1124706.465,0.0,614139.1096,0.0,-2045951.892,4702050.0329,-1187685.4672599998,5735960.236400001,-3275375.4385,923339.5169899999,1849507.172857,282738.2756400001,-139429.84898,-2308993.2060000002,0.0,614139.1096,0.0,-6524457.736,33281835.967100002,39171571.46726,32247925.7636,41259261.4385,37060546.48301,36134378.827143,37701147.72436,38123315.84898,40292879.206,37983886.0,37369746.8904,37983886.0,44508343.736
3542,"San Antonio-New Braunfels, TX Metro Area-Bus",2016,0,23,37072704.0,570441.8978,273112.7007,339330.1252,-43065.25462,-517407.5133,-85918.9532,-52222.33111,-34171.000060000006,-1026509.6479999999,0.0,0.0,0.0,-314921.4448,5272491.9307,-914572.7665599999,6075290.3616,-3318440.69312,405932.0036899999,1763588.219657,230515.94453000012,-173600.84904,-3335502.8540000003,0.0,614139.1096,0.0,-6839379.180799999,31800212.0693,37987276.76656,30997413.6384,40391144.69312,36666771.99631,35309115.780343,36842188.05547,37246304.84904,40408206.854,37072704.0,36458564.8904,37072704.0,43912083.1808
