,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,TSD_POP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,TSD_POP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
3579,"San Francisco-Oakland-Fremont, CA Metro Area-Bus",2002,0,10,280596112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280596112.0,280596112.0,280596112.0,280596112.0,280596112.0,280596112.0,280596112.0,280596112.0,280596112.0,280596112.0,280596112.0,280596112.0,280596112.0
3580,"San Francisco-Oakland-Fremont, CA Metro Area-Bus",2003,0,10,279471194.0,4875024.778,5833715.562999999,685016.3426,-3721215.4280000003,5969353.123,2373269.756,-597731.2231,0.0,0.0,0.0,0.0,0.0,-16761880.13,4875024.778,5833715.562999999,685016.3426,-3721215.4280000003,5969353.123,2373269.756,-597731.2231,0.0,0.0,0.0,0.0,0.0,-16761880.13,274596169.222,273637478.437,278786177.6574,283192409.428,273501840.877,277097924.244,280068925.2231,279471194.0,279471194.0,279471194.0,279471194.0,279471194.0,296233074.13
3581,"San Francisco-Oakland-Fremont, CA Metro Area-Bus",2004,0,10,266756173.0,-14270500.7,-4383446.007,1440714.8490000002,-3575468.233,4081202.357,3091499.4930000002,-633700.0267,0.0,0.0,0.0,0.0,0.0,1638891.1269999999,-9395475.921999998,1450269.555999999,2125731.1916,-7296683.661,10050555.48,5464769.249,-1231431.2497999999,0.0,0.0,0.0,0.0,0.0,-15122989.003,276151648.922,265305903.444,264630441.8084,274052856.661,256705617.52,261291403.751,267987604.2498,266756173.0,266756173.0,266756173.0,266756173.0,266756173.0,281879162.003
3582,"San Francisco-Oakland-Fremont, CA Metro Area-Bus",2005,0,10,264107490.0,-12676492.39,142064.97,1505118.731,-3122311.356,4824875.787,2631613.059,-513310.2144,0.0,0.0,0.0,0.0,0.0,4842836.8,-22071968.312,1592334.525999999,3630849.9226,-10418995.017,14875431.267,8096382.308,-1744741.4641999998,0.0,0.0,0.0,0.0,0.0,-10280152.203000002,286179458.312,262515155.474,260476640.0774,274526485.017,249232058.733,256011107.692,265852231.4642,264107490.0,264107490.0,264107490.0,264107490.0,264107490.0,274387642.203
3583,"San Francisco-Oakland-Fremont, CA Metro Area-Bus",2006,0,10,265726829.0,2217856.43,-4150309.653,2087817.6630000002,-3475337.189,3239123.3989999997,4264934.553,-852515.4941,-712146.7719,0.0,0.0,0.0,0.0,-882250.9951,-19854111.882,-2557975.1270000013,5718667.5856,-13894332.206,18114554.666,12361316.861000001,-2597256.9583,-712146.7719,0.0,0.0,0.0,0.0,-11162403.1981,285580940.88199997,268284804.127,260008161.4144,279621161.206,247612274.334,253365512.139,268324085.9583,266438975.7719,265726829.0,265726829.0,265726829.0,265726829.0,276889232.1981
3584,"San Francisco-Oakland-Fremont, CA Metro Area-Bus",2007,0,10,260241763.0,3320679.937,-2684869.023,897830.2394,-1338568.8390000002,1948346.416,-1880414.904,512315.31299999997,79732.0657,0.0,0.0,0.0,0.0,-6287900.022000001,-16533431.945,-5242844.150000001,6616497.825,-15232901.045,20062901.082000002,10480901.957000002,-2084941.6453,-632414.7062,0.0,0.0,0.0,0.0,-17450303.2201,276775194.945,265484607.15,253625265.175,275474664.045,240178861.91799998,249760861.04299998,262326704.6453,260874177.7062,260241763.0,260241763.0,260241763.0,260241763.0,277692066.2201
3585,"San Francisco-Oakland-Fremont, CA Metro Area-Bus",2008,0,10,265452470.0,1949236.22,2877166.376,1351707.295,-2363148.8680000002,3927540.7860000003,527687.8679,322436.3402,234329.0667,0.0,0.0,0.0,0.0,-3697805.423,-14584195.725,-2365677.774000001,7968205.12,-17596049.913,23990441.868,11008589.824900001,-1762505.3051,-398085.63950000005,0.0,0.0,0.0,0.0,-21148108.6431,280036665.725,267818147.774,257484264.88,283048519.913,241462028.132,254443880.1751,267214975.3051,265850555.6395,265452470.0,265452470.0,265452470.0,265452470.0,286600578.6431
3586,"San Francisco-Oakland-Fremont, CA Metro Area-Bus",2009,0,10,267107018.0,4424610.813,-506673.6034,-467704.8765,-1725155.668,-10067876.33,3436319.9280000003,-109540.3137,-477396.9809,0.0,0.0,0.0,0.0,7347427.256,-10159584.912,-2872351.377400001,7500500.2435,-19321205.581,13922565.538,14444909.7529,-1872045.6188,-875482.6204000001,0.0,0.0,0.0,0.0,-13800681.3871,277266602.912,269979369.3774,259606517.7565,286428223.581,253184452.462,252662108.2471,268979063.6188,267982500.6204,267107018.0,267107018.0,267107018.0,267107018.0,280907699.3871
3587,"San Francisco-Oakland-Fremont, CA Metro Area-Bus",2010,0,10,242334372.0,-23114842.96,-15494158.55,1220013.034,-1352298.231,4856222.442,2788016.575,1363165.07,-160220.275,-3434514.526,0.0,0.0,0.0,7985713.885,-33274427.872,-18366509.9274,8720513.2775,-20673503.812,18778787.98,17232926.3279,-508880.5488,-1035702.8954000002,-3434514.526,0.0,0.0,0.0,-5814967.5021,275608799.872,260700881.9274,233613858.7225,263007875.812,223555584.02,225101445.6721,242843252.5488,243370074.8954,245768886.526,242334372.0,242334372.0,242334372.0,248149339.5021
3588,"San Francisco-Oakland-Fremont, CA Metro Area-Bus",2011,0,10,244342301.0,-5929501.927,2635772.3109999998,1230813.531,-1568704.2869999998,6221510.084,2846281.235,-399754.5252,-145360.7622,-3115982.9760000003,0.0,0.0,0.0,439684.544,-39203929.799,-15730737.6164,9951326.8085,-22242208.099,25000298.064,20079207.5629,-908635.074,-1181063.6576,-6550497.502,0.0,0.0,0.0,-5375282.9581,283546230.799,260073038.6164,234390974.1915,266584509.099,219342002.936,224263093.4371,245250936.074,245523364.6576,250892798.502,244342301.0,244342301.0,244342301.0,249717583.9581
