,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,TSD_POP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,TSD_POP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
3766,"Seattle-Tacoma-Bellevue, WA Metro Area-Bus",2002,0,10,115986521.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115986521.6,115986521.6,115986521.6,115986521.6,115986521.6,115986521.6,115986521.6,115986521.6,115986521.6,115986521.6,115986521.6,115986521.6,115986521.6
3767,"Seattle-Tacoma-Bellevue, WA Metro Area-Bus",2003,0,10,116856078.4,6394614.698,3097956.296,1232744.65,-1446836.378,2467477.1859999998,-351479.3085,-493627.1012,0.0,0.0,0.0,0.0,0.0,-10281499.17,6394614.698,3097956.296,1232744.65,-1446836.378,2467477.1859999998,-351479.3085,-493627.1012,0.0,0.0,0.0,0.0,0.0,-10281499.17,110461463.702,113758122.104,115623333.75,118302914.77800001,114388601.214,117207557.70850001,117349705.5012,116856078.4,116856078.4,116856078.4,116856078.4,116856078.4,127137577.57000001
3768,"Seattle-Tacoma-Bellevue, WA Metro Area-Bus",2004,0,10,121192508.8,2586446.72,271499.9099,1490778.37,-1360349.1609999998,1706484.65,-49513.80876,-489323.2496,0.0,0.0,0.0,0.0,0.0,167059.8852,8981061.418,3369456.2059,2723523.02,-2807185.539,4173961.8359999997,-400993.11725999997,-982950.3507999999,0.0,0.0,0.0,0.0,0.0,-10114439.2848,112211447.382,117823052.5941,118468985.78,123999694.339,117018546.964,121593501.91725999,122175459.15079999,121192508.8,121192508.8,121192508.8,121192508.8,121192508.8,131306948.0848
3769,"Seattle-Tacoma-Bellevue, WA Metro Area-Bus",2005,0,10,125667083.4,12938617.23,-6835745.921,1515300.428,-1268045.445,2192034.751,-51940.6576,-465964.8417,0.0,0.0,0.0,0.0,0.0,-2882267.4930000002,21919678.648000002,-3466289.7151,4238823.448,-4075230.984,6365996.586999999,-452933.77485999995,-1448915.1925,0.0,0.0,0.0,0.0,0.0,-12996706.777800001,103747404.752,129133373.11510001,121428259.952,129742314.384,119301086.81300001,126120017.17486,127115998.5925,125667083.4,125667083.4,125667083.4,125667083.4,125667083.4,138663790.1778
3770,"Seattle-Tacoma-Bellevue, WA Metro Area-Bus",2006,0,10,135212951.6,-11528525.39,6775528.654,1833395.44,-1382117.369,1541233.042,265032.7159,-629477.1811,-301247.1338,0.0,0.0,0.0,0.0,13675075.8,10391153.258000001,3309238.9389,6072218.888,-5457348.353,7907229.628999999,-187901.05895999994,-2078392.3736,-301247.1338,0.0,0.0,0.0,0.0,678369.0221999995,124821798.342,131903712.6611,129140732.712,140670299.953,127305721.971,135400852.65895998,137291343.9736,135514198.7338,135212951.6,135212951.6,135212951.6,135212951.6,134534582.5778
3771,"Seattle-Tacoma-Bellevue, WA Metro Area-Bus",2007,0,10,144724095.2,1398367.811,-3050644.3430000003,971504.9954,-753143.7314,991400.3439,-698236.6995,0.0,202976.8606,0.0,0.0,0.0,0.0,10498574.21,11789521.069000002,258594.5958999996,7043723.883400001,-6210492.0844,8898629.9729,-886137.7584599999,-2078392.3736,-98270.2732,0.0,0.0,0.0,0.0,11176943.2322,132934574.13099998,144465500.6041,137680371.3166,150934587.2844,135825465.22709998,145610232.95845997,146802487.5736,144822365.4732,144724095.2,144724095.2,144724095.2,144724095.2,133547151.96779999
3772,"Seattle-Tacoma-Bellevue, WA Metro Area-Bus",2008,0,10,158237098.4,4526767.201,551502.9984,643426.6529999999,-702951.2882,2184160.529,-389849.3847,0.0,-130196.4487,0.0,0.0,0.0,0.0,6768131.351,16316288.270000003,810097.5942999996,7687150.536400001,-6913443.3726,11082790.501899999,-1275987.14316,-2078392.3736,-228466.7219,0.0,0.0,0.0,0.0,17945074.5832,141920810.13,157427000.8057,150549947.86360002,165150541.7726,147154307.89810002,159513085.54316,160315490.7736,158465565.1219,158237098.4,158237098.4,158237098.4,158237098.4,140292023.8168
3773,"Seattle-Tacoma-Bellevue, WA Metro Area-Bus",2009,0,10,150407082.3,772108.7823,-10841517.84,201720.3661,-978414.0445,-6001494.495,2015368.299,43546.53815,0.0,0.0,0.0,0.0,0.0,6764940.321,17088397.052300002,-10031420.2457,7888870.902500001,-7891857.4171,5081296.0068999985,739381.1558400001,-2034845.8354500001,-228466.7219,0.0,0.0,0.0,0.0,24710014.904200003,133318685.2477,160438502.5457,142518211.3975,158298939.71710002,145325786.2931,149667701.14416,152441928.13545,150635549.0219,150407082.3,150407082.3,150407082.3,150407082.3,125697067.39580001
3774,"Seattle-Tacoma-Bellevue, WA Metro Area-Bus",2010,0,10,146443404.8,281623.167,-3878660.2,197685.8197,-735370.7666,2734522.867,1675741.9309999999,466314.3131,-180384.9017,0.0,0.0,0.0,0.0,-4438155.56,17370020.2193,-13910080.445700001,8086556.722200001,-8627228.1837,7815818.873899998,2415123.08684,-1568531.5223500002,-408851.6236,0.0,0.0,0.0,0.0,20271859.344200004,129073384.58070001,160353485.2457,138356848.0778,155070632.9837,138627585.92610002,144028281.71316,148011936.32235003,146852256.42360002,146443404.8,146443404.8,146443404.8,146443404.8,126171545.45580001
3775,"Seattle-Tacoma-Bellevue, WA Metro Area-Bus",2011,0,10,148687291.0,-3035637.225,15686105.23,656339.3246,-766679.8122,3759677.64,810418.3359,302527.4997,131861.7964,-1882998.076,0.0,0.0,0.0,-13307049.29,14334382.994300002,1776024.7842999995,8742896.0468,-9393907.995900001,11575496.513899999,3225541.42274,-1266004.0226500002,-276989.8272,-1882998.076,0.0,0.0,0.0,6964810.054200005,134352908.0057,146911266.2157,139944394.9532,158081198.9959,137111794.4861,145461749.57726,149953295.02265,148964280.8272,150570289.076,148687291.0,148687291.0,148687291.0,141722480.9458
