,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,TSD_POP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,TSD_POP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
225,"Atlanta-Sandy Springs-Marietta, GA Metro Area-Rail",2002,1,10,77539119.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77539119.08,77539119.08,77539119.08,77539119.08,77539119.08,77539119.08,77539119.08,77539119.08,77539119.08,77539119.08,77539119.08,77539119.08,77539119.08
226,"Atlanta-Sandy Springs-Marietta, GA Metro Area-Rail",2003,1,10,68311271.06,-2534694.545,-40830.04362,1335833.023,-604187.9727,1081621.0729999999,882180.6765,101410.7256,0.0,0.0,0.0,0.0,0.0,-9380702.518,-2534694.545,-40830.04362,1335833.023,-604187.9727,1081621.0729999999,882180.6765,101410.7256,0.0,0.0,0.0,0.0,0.0,-9380702.518,70845965.605,68352101.10362001,66975438.037,68915459.0327,67229649.987,67429090.38350001,68209860.3344,68311271.06,68311271.06,68311271.06,68311271.06,68311271.06,77691973.57800001
227,"Atlanta-Sandy Springs-Marietta, GA Metro Area-Rail",2004,1,10,69856830.54,-88444.11679,826883.3389,1183222.499,-472009.8676,1352475.4819999998,966113.2409999999,89341.94307000001,0.0,0.0,0.0,0.0,0.0,-2384061.961,-2623138.66179,786053.29528,2519055.522,-1076197.8403,2434096.5549999997,1848293.9175,190752.66867,0.0,0.0,0.0,0.0,0.0,-11764764.478999998,72479969.20179,69070777.24472001,67337775.018,70933028.3803,67422733.98500001,68008536.6225,69666077.87133001,69856830.54,69856830.54,69856830.54,69856830.54,69856830.54,81621595.01900001
228,"Atlanta-Sandy Springs-Marietta, GA Metro Area-Rail",2005,1,10,69356252.82,-3188305.671,807375.3878,1221897.74,-417909.2249,1701697.532,890342.5625,57689.26002,0.0,0.0,0.0,0.0,0.0,-1462381.563,-5811444.33279,1593428.6830799999,3740953.262,-1494107.0652,4135794.0869999994,2738636.48,248441.92869000003,0.0,0.0,0.0,0.0,0.0,-13227146.042,75167697.15279,67762824.13691999,65615299.55799999,70850359.8852,65220458.732999995,66617616.339999996,69107810.89130999,69356252.82,69356252.82,69356252.82,69356252.82,69356252.82,82583398.86199999
229,"Atlanta-Sandy Springs-Marietta, GA Metro Area-Rail",2006,1,10,73691648.77,3582235.278,309781.3231,1407371.4619999998,-407324.1268,810792.728,1415639.753,162404.5139,-83179.73233,0.0,0.0,0.0,0.0,-3110950.6210000003,-2229209.0547900004,1903210.0061799998,5148324.723999999,-1901431.192,4946586.8149999995,4154276.233,410846.44259,-83179.73233,0.0,0.0,0.0,0.0,-16338096.662999999,75920857.82479,71788438.76381999,68543324.046,75593079.962,68745061.955,69537372.537,73280802.32741,73774828.50232999,73691648.77,73691648.77,73691648.77,73691648.77,90029745.433
230,"Atlanta-Sandy Springs-Marietta, GA Metro Area-Rail",2007,1,10,81144795.0,-686231.0675,717307.2271,780050.4499,-251579.6917,418478.1238,-583889.3919,-263130.1885,-22104.74925,0.0,0.0,0.0,0.0,7359383.168,-2915440.1222900003,2620517.23328,5928375.1739,-2153010.8837,5365064.9388,3570386.8411,147716.25409,-105284.48157999999,0.0,0.0,0.0,0.0,-8978713.495,84060235.12229,78524277.76672,75216419.8261,83297805.8837,75779730.0612,77574408.1589,80997078.74591,81250079.48158,81144795.0,81144795.0,81144795.0,81144795.0,90123508.495
231,"Atlanta-Sandy Springs-Marietta, GA Metro Area-Rail",2008,1,10,85651429.17,5723993.941000001,2260880.909,326821.9915,-229858.9478,1517118.37,110017.3355,55838.743010000006,-170229.6592,0.0,0.0,0.0,0.0,-5409551.384,2808553.8187100003,4881398.142279999,6255197.1654,-2382869.8315000003,6882183.3088,3680404.1766,203554.9971,-275514.14078,0.0,0.0,0.0,0.0,-14388264.878999999,82842875.35129,80770031.02772,79396232.0046,88034299.0015,78769245.8612,81971024.99340001,85447874.1729,85926943.31078,85651429.17,85651429.17,85651429.17,85651429.17,100039694.049
232,"Atlanta-Sandy Springs-Marietta, GA Metro Area-Rail",2009,1,10,78784916.35,-1556831.236,-2166660.555,-184750.4942,-243953.0895,-3784867.625,1888617.476,147425.8692,25699.94684,0.0,0.0,0.0,0.0,-1048641.658,1251722.5827100002,2714737.587279999,6070446.671200001,-2626822.921,3097315.6837999998,5569021.6526,350980.8663,-249814.19394000003,0.0,0.0,0.0,0.0,-15436906.536999999,77533193.76729,76070178.76271999,72714469.67879999,81411739.271,75687600.6662,73215894.69739999,78433935.48369999,79034730.54394,78784916.35,78784916.35,78784916.35,78784916.35,94221822.887
233,"Atlanta-Sandy Springs-Marietta, GA Metro Area-Rail",2010,1,10,76592260.67,-8168349.625,-3394730.475,-754199.042,3678.811725,1575391.1409999998,1370570.195,16260.531159999999,-47257.99067,0.0,0.0,0.0,0.0,7163587.802999999,-6916627.04229,-679992.8877200009,5316247.6292,-2623144.109275,4672706.8248,6939591.8476,367241.39746,-297072.18461,0.0,0.0,0.0,0.0,-8273318.733999999,83508887.71229,77272253.55772,71276013.0408,79215404.779275,71919553.8452,69652668.8224,76225019.27254,76889332.85461,76592260.67,76592260.67,76592260.67,76592260.67,84865579.404
234,"Atlanta-Sandy Springs-Marietta, GA Metro Area-Rail",2011,1,10,73909571.67,-9723701.301,-1872983.896,461952.1359,-195049.3534,2231730.26,580704.1139,15807.985830000001,68965.8445,0.0,0.0,0.0,0.0,5956642.191000001,-16640328.343290001,-2552976.7837200006,5778199.7651,-2818193.462675,6904437.084799999,7520295.9615,383049.38329,-228106.34011,0.0,0.0,0.0,0.0,-2316676.5429999987,90549900.01329,76462548.45372,68131371.9049,76727765.132675,67005134.585200004,66389275.7085,73526522.28671001,74137678.01011,73909571.67,73909571.67,73909571.67,73909571.67,76226248.213
235,"Atlanta-Sandy Springs-Marietta, GA Metro Area-Rail",2012,1,10,70196147.95,729228.6275,-2753991.019,476430.782,18810.76309,-20518.784219999998,-171884.2647,10169.18477,-88640.57873,0.0,-189644.3435,0.0,0.0,-1693279.218,-15911099.715790002,-5306967.802720001,6254630.5471,-2799382.699585,6883918.30058,7348411.6968,393218.56806,-316746.91884,0.0,-189644.3435,0.0,0.0,-4009955.760999999,86107247.66579,75503115.75272,63941517.4029,72995530.64958501,63312229.64942,62847736.2532,69802929.38194,70512894.86884001,70196147.95,70385792.2935,70196147.95,70196147.95,74206103.711
