,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,TSD_POP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,TSD_POP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
765,"Chattanooga, TN-GA Metro Area-Bus",2002,0,33,2722493.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2722493.0,2722493.0,2722493.0,2722493.0,2722493.0,2722493.0,2722493.0,2722493.0,2722493.0,2722493.0,2722493.0,2722493.0,2722493.0
766,"Chattanooga, TN-GA Metro Area-Bus",2003,0,33,2637165.0,4734.45046,2918.48785,32493.03451,-9347.156951,37977.0345,33438.70824,-2994.8381510000004,0.0,0.0,0.0,0.0,0.0,-185670.8055,4734.45046,2918.48785,32493.03451,-9347.156951,37977.0345,33438.70824,-2994.8381510000004,0.0,0.0,0.0,0.0,0.0,-185670.8055,2632430.54954,2634246.51215,2604671.96549,2646512.156951,2599187.9655,2603726.29176,2640159.838151,2637165.0,2637165.0,2637165.0,2637165.0,2637165.0,2822835.8055
767,"Chattanooga, TN-GA Metro Area-Bus",2004,0,33,2548194.0,31710.54001,-314.21487,29371.13895,-8224.486975,52212.48192,38921.67869,-3082.17925,0.0,0.0,0.0,0.0,0.0,-232157.2528,36444.990470000004,2604.2729799999997,61864.173460000005,-17571.643926,90189.51642,72360.38693000001,-6077.017401000001,0.0,0.0,0.0,0.0,0.0,-417828.0583,2511749.00953,2545589.72702,2486329.82654,2565765.643926,2458004.48358,2475833.61307,2554271.017401,2548194.0,2548194.0,2548194.0,2548194.0,2548194.0,2966022.0583
768,"Chattanooga, TN-GA Metro Area-Bus",2005,0,33,2758223.0,27903.171939999997,28802.17412,30881.633939999996,-7216.583942,62073.46378,37550.77009,-1927.4647870000001,0.0,0.0,0.0,0.0,0.0,27230.517839999997,64348.162410000004,31406.447099999998,92745.8074,-24788.227868,152262.9802,109911.15702000001,-8004.482188000001,0.0,0.0,0.0,0.0,0.0,-390597.54046,2693874.83759,2726816.5529,2665477.1926,2783011.227868,2605960.0198,2648311.84298,2766227.482188,2758223.0,2758223.0,2758223.0,2758223.0,2758223.0,3148820.54046
769,"Chattanooga, TN-GA Metro Area-Bus",2006,0,33,2372919.0,-202628.4787,-160717.6229,46856.155210000004,-7250.747281999999,32244.347980000002,46716.02699,-5686.278964,-2481.347967,0.0,0.0,0.0,0.0,-131148.7836,-138280.31629,-129311.1758,139601.96261000002,-32038.975150000002,184507.32817999998,156627.18401000003,-13690.761152000001,-2481.347967,0.0,0.0,0.0,0.0,-521746.32406,2511199.31629,2502230.1758,2233317.03739,2404957.97515,2188411.67182,2216291.81599,2386609.761152,2375400.347967,2372919.0,2372919.0,2372919.0,2372919.0,2894665.32406
770,"Chattanooga, TN-GA Metro Area-Bus",2007,0,33,2713242.0,268131.4101,58124.86819,26784.21787,-5433.2689439999995,13475.26766,24201.36823,8175.712145999999,-4978.029617,0.0,0.0,0.0,0.0,-63999.21914,129851.09380999999,-71186.30760999999,166386.18048,-37472.244094,197982.59584,180828.55224000002,-5515.049006000002,-7459.377584,0.0,0.0,0.0,0.0,-585745.5432,2583390.90619,2784428.30761,2546855.81952,2750714.244094,2515259.40416,2532413.44776,2718757.049006,2720701.377584,2713242.0,2713242.0,2713242.0,2713242.0,3298987.5432
771,"Chattanooga, TN-GA Metro Area-Bus",2008,0,33,2709821.0,-78720.47921,-11963.618540000001,-4851.969966,-4283.192432,50727.952189999996,-19078.912940000002,-6152.267442,4888.359967,0.0,0.0,0.0,0.0,66833.48964,51130.614599999986,-83149.92614999998,161534.210514,-41755.436526000005,248710.54803,161749.6393,-11667.316448000001,-2571.0176169999995,0.0,0.0,0.0,0.0,-518912.05356,2658690.3854,2792970.92615,2548286.789486,2751576.436526,2461110.45197,2548071.3607,2721488.316448,2712392.017617,2709821.0,2709821.0,2709821.0,2709821.0,3228733.05356
772,"Chattanooga, TN-GA Metro Area-Bus",2009,0,33,2571528.0,17927.21249,8175.486870000001,-13181.50583,-4616.276342,-119744.806,19308.3598,3544.0809369999997,-2437.80464,0.0,0.0,0.0,0.0,-45971.37768,69057.82708999999,-74974.43927999999,148352.704684,-46371.712868,128965.74203000001,181057.99910000002,-8123.235511000002,-5008.822257,0.0,0.0,0.0,0.0,-564883.43124,2502470.17291,2646502.43928,2423175.295316,2617899.712868,2442562.25797,2390470.0009,2579651.235511,2576536.822257,2571528.0,2571528.0,2571528.0,2571528.0,3136411.43124
773,"Chattanooga, TN-GA Metro Area-Bus",2010,0,33,2676616.0,8657.908217,-4009.0518079999997,9901.925534,-4305.089793,51420.533489999994,21059.20165,7795.194115,-6933.939526,0.0,0.0,0.0,0.0,20804.07354,77715.735307,-78983.491088,158254.630218,-50676.802661,180386.27552,202117.20075000002,-328.04139600000144,-11942.761783,0.0,0.0,0.0,0.0,-544079.3576999999,2598900.264693,2755599.491088,2518361.369782,2727292.802661,2496229.72448,2474498.79925,2676944.041396,2688558.761783,2676616.0,2676616.0,2676616.0,2676616.0,3220695.3577
774,"Chattanooga, TN-GA Metro Area-Bus",2011,0,33,2734656.0,-77620.16023,10088.31806,4721.777816,-3945.068032,77990.71173,29175.99475,7375.123248999999,4018.040478,0.0,0.0,0.0,0.0,8236.983729000001,95.57507700000133,-68895.17302799999,162976.408034,-54621.870693000004,258376.98725,231293.19550000003,7047.081852999998,-7924.721305,0.0,0.0,0.0,0.0,-535842.373971,2734560.424923,2803551.173028,2571679.591966,2789277.870693,2476279.0127499998,2503362.8045,2727608.918147,2742580.721305,2734656.0,2734656.0,2734656.0,2734656.0,3270498.373971
