,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,TSD_POP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,TSD_POP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
799,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area-Bus",2002,0,10,338752394.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,338752394.0,338752394.0,338752394.0,338752394.0,338752394.0,338752394.0,338752394.0,338752394.0,338752394.0,338752394.0,338752394.0,338752394.0,338752394.0
800,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area-Bus",2003,0,10,325612907.0,5290857.8780000005,548180.5993,1611232.134,-2505648.976,4377115.549,2778959.354,-232947.7863,0.0,0.0,0.0,0.0,0.0,-25120312.35,5290857.8780000005,548180.5993,1611232.134,-2505648.976,4377115.549,2778959.354,-232947.7863,0.0,0.0,0.0,0.0,0.0,-25120312.35,320322049.122,325064726.4007,324001674.866,328118555.976,321235791.451,322833947.646,325845854.7863,325612907.0,325612907.0,325612907.0,325612907.0,325612907.0,350733219.35
801,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area-Bus",2004,0,10,328810085.0,269393.5619,-3087938.2410000004,2070901.031,-2342481.526,5481149.847,3485564.0069999998,-201527.9427,0.0,0.0,0.0,0.0,0.0,-2431907.03,5560251.439900001,-2539757.6417000005,3682133.165,-4848130.502,9858265.396,6264523.361,-434475.72900000005,0.0,0.0,0.0,0.0,0.0,-27552219.380000003,323249833.5601,331349842.6417,325127951.835,333658215.502,318951819.604,322545561.639,329244560.729,328810085.0,328810085.0,328810085.0,328810085.0,328810085.0,356362304.38
802,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area-Bus",2005,0,10,341232204.0,-3672979.0710000005,2871902.102,2082841.657,-2133680.415,7495230.165,3254043.667,-226110.8195,0.0,0.0,0.0,0.0,0.0,2758472.6180000002,1887272.3689000001,332144.46029999945,5764974.822,-6981810.917,17353495.561,9518567.027999999,-660586.5485,0.0,0.0,0.0,0.0,0.0,-24793746.762000002,339344931.6311,340900059.5397,335467229.178,348214014.917,323878708.439,331713636.972,341892790.5485,341232204.0,341232204.0,341232204.0,341232204.0,341232204.0,366025950.762
803,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area-Bus",2006,0,10,334718468.0,3437688.52,1377994.104,3507525.242,-2658850.355,4082393.106,4968523.166999999,-140811.2069,-306978.7452,0.0,0.0,0.0,0.0,-20970566.93,5324960.888900001,1710138.5642999995,9272500.064,-9640661.272,21435888.667,14487090.194999998,-801397.7554,-306978.7452,0.0,0.0,0.0,0.0,-45764313.692,329393507.1111,333008329.4357,325445967.936,344359129.272,313282579.333,320231377.805,335519865.7554,335025446.7452,334718468.0,334718468.0,334718468.0,334718468.0,380482781.69200003
804,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area-Bus",2007,0,10,345663403.0,5227692.499,1979299.0780000002,857583.2145,-475597.0823,3274874.307,-816059.6023,-414198.8735,-100403.0705,0.0,0.0,0.0,0.0,1341407.459,10552653.3879,3689437.6422999995,10130083.2785,-10116258.3543,24710762.974,13671030.592699999,-1215596.6289,-407381.81570000004,0.0,0.0,0.0,0.0,-44422906.233,335110749.6121,341973965.3577,335533319.7215,355779661.3543,320952640.026,331992372.4073,346878999.6289,346070784.8157,345663403.0,345663403.0,345663403.0,345663403.0,390086309.233
805,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area-Bus",2008,0,10,366305274.0,-639795.2825,9262891.094,5433.518799,-774653.1213,4899369.567,-1294741.3020000001,618786.4078,-414557.9983,0.0,0.0,0.0,0.0,8946671.474,9912858.1054,12952328.736299999,10135516.797299,-10890911.4756,29610132.541,12376289.2907,-596810.2210999998,-821939.814,0.0,0.0,0.0,0.0,-35476234.759,356392415.8946,353352945.2637,356169757.202701,377196185.4756,336695141.459,353928984.7093,366902084.2211,367127213.814,366305274.0,366305274.0,366305274.0,366305274.0,401781508.759
806,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area-Bus",2009,0,10,350464312.0,-4441517.201,-8799982.891,-2025057.823,-475049.6656,-15716593.72,6652748.366,1135673.863,109910.9047,0.0,0.0,0.0,0.0,7491741.778,5471340.904399999,4152345.8452999983,8110458.974299,-11365961.1412,13893538.821,19029037.6567,538863.6419,-712028.9093,0.0,0.0,0.0,0.0,-27984492.981000002,344992971.0956,346311966.1547,342353853.025701,361830273.1412,336570773.179,331435274.3433,349925448.3581,351176340.9093,350464312.0,350464312.0,350464312.0,350464312.0,378448804.981
807,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area-Bus",2010,0,10,338143702.0,-31784839.61,165705.6496,-1223724.551,701607.6390000001,7426362.766,3332241.1789999995,-505912.0518,-525315.9403,0.0,0.0,0.0,0.0,10918761.32,-26313498.7056,4318051.494899998,6886734.423299,-10664353.5022,21319901.587,22361278.835699998,32951.59010000003,-1237344.8496,0.0,0.0,0.0,0.0,-17065731.661000002,364457200.7056,333825650.5051,331256967.576701,348808055.5022,316823800.413,315782423.1643,338110750.4099,339381046.8496,338143702.0,338143702.0,338143702.0,338143702.0,355209433.661
808,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area-Bus",2011,0,10,343552023.0,-8049178.897000001,902455.7077,455298.1657,-610418.8429,10020583.2,542757.9888,1562078.622,304474.1827,-4347918.1680000005,0.0,0.0,0.0,4905194.607,-34362677.6026,5220507.202599999,7342032.588998999,-11274772.3451,31340484.787,22904036.8245,1595030.2121000001,-932870.6669000001,-4347918.1680000005,0.0,0.0,0.0,-12160537.054000001,377914700.6026,338331515.7974,336209990.411001,354826795.3451,312211538.213,320647986.1755,341956992.7879,344484893.6669,347899941.168,343552023.0,343552023.0,343552023.0,355712560.054
