,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,TSD_POP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,TSD_POP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
816,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area-Rail",2002,1,10,254000735.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254000735.0,254000735.0,254000735.0,254000735.0,254000735.0,254000735.0,254000735.0,254000735.0,254000735.0,254000735.0,254000735.0,254000735.0,254000735.0
817,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area-Rail",2003,1,10,250813333.0,18000416.38,3838346.7430000002,1208121.783,-1878766.594,3282015.378,2083698.096,-174667.1314,0.0,0.0,0.0,0.0,0.0,-30212439.74,18000416.38,3838346.7430000002,1208121.783,-1878766.594,3282015.378,2083698.096,-174667.1314,0.0,0.0,0.0,0.0,0.0,-30212439.74,232812916.62,246974986.257,249605211.217,252692099.594,247531317.622,248729634.904,250988000.1314,250813333.0,250813333.0,250813333.0,250813333.0,250813333.0,281025772.74
818,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area-Rail",2004,1,10,249835185.0,-794629.6138,-2135636.8109999998,1595175.064,-1804368.274,4222023.858,2684862.631,-155233.0818,0.0,0.0,0.0,0.0,0.0,-4544015.706,17205786.7662,1702709.9320000005,2803296.847,-3683134.868,7504039.236,4768560.727,-329900.2132,0.0,0.0,0.0,0.0,0.0,-34756455.445999995,232629398.2338,248132475.068,247031888.153,253518319.868,242331145.764,245066624.273,250165085.2132,249835185.0,249835185.0,249835185.0,249835185.0,249835185.0,284591640.446
819,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area-Rail",2005,1,10,260442650.0,1915998.675,3721639.685,1582576.553,-1621204.657,5694996.292,2472474.656,-171802.6332,0.0,0.0,0.0,0.0,0.0,-3235960.003,19121785.4412,5424349.617000001,4385873.4,-5304339.524999999,13199035.528,7241035.382999999,-501702.84640000004,0.0,0.0,0.0,0.0,0.0,-37992415.44899999,241320864.5588,255018300.383,256056776.6,265746989.525,247243614.472,253201614.617,260944352.8464,260442650.0,260442650.0,260442650.0,260442650.0,260442650.0,298435065.449
820,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area-Rail",2006,1,10,271497060.0,13298615.39,-7528395.322000001,2677089.555,-2029345.4840000002,3115852.685,3792184.105,-107472.98599999999,-234298.9816,0.0,0.0,0.0,0.0,-1726613.479,32420400.8312,-2104045.705,7062962.955,-7333685.009,16314888.213000001,11033219.488,-609175.8324000001,-234298.9816,0.0,0.0,0.0,0.0,-39719028.927999996,239076659.1688,273601105.705,264434097.045,278830745.009,255182171.787,260463840.512,272106235.8324,271731358.9816,271497060.0,271497060.0,271497060.0,271497060.0,311216088.928
821,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area-Rail",2007,1,10,269795228.0,6742575.32,3661536.5560000003,695603.4509999999,-385766.6126,2656318.163,-661922.7918,-335965.2578,-81439.00338,0.0,0.0,0.0,0.0,-14147673.03,39162976.1512,1557490.8510000003,7758566.4059999995,-7719451.621599999,18971206.376000002,10371296.6962,-945141.0902000001,-315737.98498,0.0,0.0,0.0,0.0,-53866701.958,230632251.8488,268237737.149,262036661.594,277514679.6216,250824021.624,259423931.3038,270740369.0902,270110965.98498,269795228.0,269795228.0,269795228.0,269795228.0,323661929.958
822,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area-Rail",2008,1,10,279550450.0,-4698084.151000001,2444620.33,4240.939106,-604627.8364,3824027.994,-1010564.0970000001,482971.6381,-323568.4446,0.0,0.0,0.0,0.0,9718647.344,34464892.000199996,4002111.1810000003,7762807.345105999,-8324079.458,22795234.37,9360732.5992,-462169.4521000001,-639306.42958,0.0,0.0,0.0,0.0,-44148054.61399999,245085557.9998,275548338.819,271787642.654894,287874529.458,256755215.63,270189717.4008,280012619.4521,280189756.42958,279550450.0,279550450.0,279550450.0,279550450.0,323698504.61399996
823,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area-Rail",2009,1,10,278039387.0,583223.1168,-6048196.304,-1545448.198,-362540.0922,-11994315.01,5077128.098999999,866703.709,83879.88119,0.0,0.0,0.0,0.0,11880465.75,35048115.117,-2046085.1229999992,6217359.147105999,-8686619.5502,10800919.360000001,14437860.698199999,404534.2568999999,-555426.54839,0.0,0.0,0.0,0.0,-32267588.863999993,242991271.88300002,280085472.123,271822027.852894,286726006.5502,267238467.64,263601526.3018,277634852.7431,278594813.54839,278039387.0,278039387.0,278039387.0,278039387.0,310306975.86399996
824,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area-Rail",2010,1,10,285098802.0,14563270.14,2793285.539,-970836.7222,556617.4677,5891673.647000001,2643619.516,-401363.1972,-416757.1905,0.0,0.0,0.0,0.0,-18225069.96,49611385.257,747200.4160000007,5246522.424906,-8130002.0825000005,16692593.007000003,17081480.214199997,3171.059699999925,-972183.73889,0.0,0.0,0.0,0.0,-50492658.82399999,235487416.743,284351601.584,279852279.575094,293228804.0825,268406208.993,268017321.7858,285095630.9403,286070985.73889,285098802.0,285098802.0,285098802.0,285098802.0,335591460.824
825,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area-Rail",2011,1,10,297642623.0,-1658221.323,3909191.5710000005,383875.1419,-514661.902,8448645.498,457615.0657,1317033.9740000002,256711.0499,0.0,-731534.1424,0.0,0.0,590725.5857,47953163.934,4656391.987000002,5630397.566806,-8644663.9845,25141238.505000003,17539095.279899996,1320205.0337,-715472.68899,0.0,-731534.1424,0.0,0.0,-49901933.238299996,249689459.06599998,292986231.013,292012225.433194,306287286.9845,272501384.495,280103527.7201,296322417.9663,298358095.68899,297642623.0,298374157.1424,297642623.0,297642623.0,347544556.23829997
