,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,TSD_POP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,TSD_POP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
1350,"Fargo, ND-MN Metro Area-Bus",2002,0,31,779808.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,779808.0,779808.0,779808.0,779808.0,779808.0,779808.0,779808.0,779808.0,779808.0,779808.0,779808.0,779808.0,779808.0
1351,"Fargo, ND-MN Metro Area-Bus",2003,0,31,694527.0,-131826.8048,-33973.09565,13874.47369,-11583.280420000001,10076.11985,5157.580021,16698.323809999998,0.0,0.0,0.0,0.0,0.0,47358.75701,-131826.8048,-33973.09565,13874.47369,-11583.280420000001,10076.11985,5157.580021,16698.323809999998,0.0,0.0,0.0,0.0,0.0,47358.75701,826353.8048,728500.09565,680652.52631,706110.28042,684450.88015,689369.419979,677828.67619,694527.0,694527.0,694527.0,694527.0,694527.0,647168.2429899999
1352,"Fargo, ND-MN Metro Area-Bus",2004,0,31,891087.0,88663.50075,42940.77164,13971.70006,-9145.465063,11691.20289,6148.547075,14140.55302,0.0,0.0,0.0,0.0,0.0,14801.48838,-43163.304050000006,8967.675989999996,27846.17375,-20728.745483,21767.32274,11306.127096,30838.876829999997,0.0,0.0,0.0,0.0,0.0,62160.245390000004,934250.30405,882119.32401,863240.82625,911815.745483,869319.67726,879780.872904,860248.12317,891087.0,891087.0,891087.0,891087.0,891087.0,828926.75461
1353,"Fargo, ND-MN Metro Area-Bus",2005,0,31,1148965.0,46297.30006,30740.52716,14389.47135,-10136.12045,20312.33976,8018.9121239999995,16455.336890000002,0.0,0.0,0.0,0.0,0.0,125054.3226,3133.9960099999953,39708.20315,42235.6451,-30864.865933,42079.6625,19325.03922,47294.21372,0.0,0.0,0.0,0.0,0.0,187214.56799,1145831.00399,1109256.79685,1106729.3549,1179829.865933,1106885.3375,1129639.96078,1101670.7862800001,1148965.0,1148965.0,1148965.0,1148965.0,1148965.0,961750.43201
1354,"Fargo, ND-MN Metro Area-Bus",2006,0,31,1228158.0,-5190.814646,-28774.546810000003,20202.391059999998,-12927.55905,13745.8503,11139.904840000001,23634.864380000003,689.6036583,0.0,0.0,0.0,0.0,57472.82676,-2056.8186360000045,10933.656339999998,62438.03616,-43792.424983000004,55825.5128,30464.94406,70929.0781,689.6036583,0.0,0.0,0.0,0.0,244687.39475,1230214.818636,1217224.34366,1165719.96384,1271950.424983,1172332.4872,1197693.05594,1157228.9219,1227468.3963417,1228158.0,1228158.0,1228158.0,1228158.0,983470.60525
1355,"Fargo, ND-MN Metro Area-Bus",2007,0,31,1327012.0,11328.23362,40310.72106,14023.4154,-7578.313770000001,12016.25683,10156.0554,9754.311405,-1472.943672,0.0,0.0,0.0,0.0,8058.6383510000005,9271.414983999995,51244.3774,76461.45156,-51370.738753000005,67841.76963,40620.99946,80683.389505,-783.3400137000001,0.0,0.0,0.0,0.0,252746.033101,1317740.585016,1275767.6226,1250550.54844,1378382.738753,1259170.23037,1286391.00054,1246328.610495,1327795.3400137,1327012.0,1327012.0,1327012.0,1327012.0,1074265.966899
1356,"Fargo, ND-MN Metro Area-Bus",2008,0,31,1611655.0,77189.432,364238.7778,7063.2473310000005,-4453.187542000001,18808.82428,654.6558781,-19122.06863,1194.8792529999998,0.0,0.0,0.0,0.0,-183169.893,86460.846984,415483.1552,83524.69889100001,-55823.926295000005,86650.59391,41275.6553381,61561.320875,411.53923929999974,0.0,0.0,0.0,0.0,69576.140101,1525194.153016,1196171.8448,1528130.301109,1667478.926295,1525004.40609,1570379.3446619,1550093.679125,1611243.4607607,1611655.0,1611655.0,1611655.0,1611655.0,1542078.859899
1357,"Fargo, ND-MN Metro Area-Bus",2009,0,31,1769035.0,38893.54636,-389836.55799999996,5848.689881,-8334.725559,-69149.22785,6466.4303899999995,-3765.033114,-3381.011455,0.0,0.0,0.0,0.0,573808.6066,125354.39334400001,25646.59720000002,89373.388772,-64158.651854,17501.36606,47742.0857281,57796.287761,-2969.4722157,0.0,0.0,0.0,0.0,643384.746701,1643680.606656,1743388.4028,1679661.611228,1833193.651854,1751533.63394,1721292.9142719,1711238.712239,1772004.4722157,1769035.0,1769035.0,1769035.0,1769035.0,1125650.253299
1358,"Fargo, ND-MN Metro Area-Bus",2010,0,31,1996970.0,85116.25663999999,73024.64492,23822.59852,-13212.13091,37485.97277,-26406.45258,-2796.702846,3718.9730369999997,0.0,0.0,0.0,0.0,42333.54761,210470.64998400002,98671.24212000002,113195.987292,-77370.782764,54987.33883,21335.633148099998,54999.584915,749.5008212999996,0.0,0.0,0.0,0.0,685718.294311,1786499.350016,1898298.75788,1883774.012708,2074340.782764,1941982.66117,1975634.3668519,1941970.415085,1996220.4991787,1996970.0,1996970.0,1996970.0,1996970.0,1311251.705689
1359,"Fargo, ND-MN Metro Area-Bus",2011,0,31,2097791.0,104491.4612,33227.58442,9848.571086,-5968.093049,59178.4023,10792.9337,22100.866840000002,-6579.3089740000005,0.0,0.0,0.0,0.0,-135244.1133,314962.11118400004,131898.82654000004,123044.558378,-83338.875813,114165.74113000001,32128.566848099996,77100.451755,-5829.808152700001,0.0,0.0,0.0,0.0,550474.1810110001,1782828.888816,1965892.17346,1974746.441622,2181129.875813,1983625.25887,2065662.4331519,2020690.548245,2103620.8081527,2097791.0,2097791.0,2097791.0,2097791.0,1547316.8189889998
