,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,TSD_POP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,TSD_POP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
1791,"Ithaca, NY Metro Area-Bus",2007,0,31,3104940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3104940.0,3104940.0,3104940.0,3104940.0,3104940.0,3104940.0,3104940.0,3104940.0,3104940.0,3104940.0,3104940.0,3104940.0,3104940.0
1792,"Ithaca, NY Metro Area-Bus",2008,0,31,3314278.0,145675.5563,82637.19726,3717.831467,10106.46804,54036.6034,-12761.136709999999,-49369.52063,-31510.225889999998,0.0,0.0,0.0,0.0,5878.777160000001,145675.5563,82637.19726,3717.831467,10106.46804,54036.6034,-12761.136709999999,-49369.52063,-31510.225889999998,0.0,0.0,0.0,0.0,5878.777160000001,3168602.4437,3231640.80274,3310560.168533,3304171.53196,3260241.3966,3327039.13671,3363647.52063,3345788.22589,3314278.0,3314278.0,3314278.0,3314278.0,3308399.22284
1793,"Ithaca, NY Metro Area-Bus",2009,0,31,3351818.0,180147.5026,-86366.58654,732.6447642999999,9166.842418,-141104.4228,62272.06727000001,21959.40378,23949.53457,0.0,0.0,0.0,0.0,-24071.05411,325823.0589,-3729.389280000003,4450.4762313,19273.310458,-87067.81940000001,49510.93056000001,-27410.11685,-7560.691319999998,0.0,0.0,0.0,0.0,-18192.27695,3025994.9411,3355547.38928,3347367.5237687,3332544.689542,3438885.8194,3302307.0694399998,3379228.11685,3359378.69132,3351818.0,3351818.0,3351818.0,3351818.0,3370010.27695
1794,"Ithaca, NY Metro Area-Bus",2010,0,31,3577579.0,-25607.98591,45814.39629,-17211.630090000002,11531.98625,65461.084010000006,-91379.67475,45965.52198,-1005.4205279999999,0.0,0.0,0.0,0.0,194734.9848,300215.07299,42085.007009999994,-12761.153858700003,30805.296708,-21606.73539,-41868.74419,18555.40513,-8566.111847999999,0.0,0.0,0.0,0.0,176542.70785,3277363.9270099998,3535493.99299,3590340.1538587,3546773.703292,3599185.73539,3619447.74419,3559023.59487,3586145.111848,3577579.0,3577579.0,3577579.0,3577579.0,3401036.29215
1795,"Ithaca, NY Metro Area-Bus",2011,0,31,3944625.0,-1151.528481,78076.74248,-3387.328253,11480.47779,106456.04699999999,-132522.3487,-36481.88635,-4290.630643,0.0,0.0,0.0,0.0,353962.3569,299063.544509,120161.74948999999,-16148.482111700003,42285.774498,84849.31160999999,-174391.09289,-17926.48122,-12856.742490999999,0.0,0.0,0.0,0.0,530505.06475,3645561.455491,3824463.25051,3960773.4821117,3902339.225502,3859775.68839,4119016.09289,3962551.48122,3957481.742491,3944625.0,3944625.0,3944625.0,3944625.0,3414119.93525
1796,"Ithaca, NY Metro Area-Bus",2012,0,31,4128242.0,-282669.8591,36186.27225,15722.267230000001,-25898.08381,5974.668074,-30864.47597,8692.793695,8292.630738,0.0,0.0,0.0,0.0,449836.7559,16393.685409000027,156348.02174,-426.21488170000157,16387.690688,90823.97968399999,-205255.56886,-9233.687525000001,-4564.111752999999,0.0,0.0,0.0,0.0,980341.82065,4111848.314591,3971893.9782600002,4128668.2148817,4111854.309312,4037418.020316,4333497.56886,4137475.687525,4132806.111753,4128242.0,4128242.0,4128242.0,4128242.0,3147900.17935
1797,"Ithaca, NY Metro Area-Bus",2013,0,31,4388699.0,41489.32368,70394.83972,23837.119459999998,3432.1278810000003,-24145.222980000002,197902.4406,568.0029624,12403.64228,0.0,0.0,0.0,0.0,-72623.41295,57883.00908900003,226742.86146,23410.904578299997,19819.818569,66678.75670399998,-7353.128259999998,-8665.684562600001,7839.530527000001,0.0,0.0,0.0,0.0,907718.4077,4330815.990911,4161956.13854,4365288.0954217,4368879.181431,4322020.243296,4396052.12826,4397364.6845626,4380859.469473,4388699.0,4388699.0,4388699.0,4388699.0,3480980.5923
1798,"Ithaca, NY Metro Area-Bus",2014,0,31,4296844.0,4471.056871,3075.003306,6858.454465999999,7589.659097,-30146.5824,-171608.0628,59878.87436,19794.159819999997,0.0,0.0,0.0,0.0,11021.34706,62354.06596000003,229817.86476599998,30269.359044299996,27409.477666,36532.174303999986,-178961.19106,51213.1897974,27633.690346999996,0.0,0.0,0.0,0.0,918739.7547599999,4234489.93404,4067026.135234,4266574.6409557,4269434.522334,4260311.825696,4475805.19106,4245630.8102026,4269210.309653,4296844.0,4296844.0,4296844.0,4296844.0,3378104.24524
1799,"Ithaca, NY Metro Area-Bus",2015,0,31,4185394.0,42369.24057,-66229.11882,-40110.59925,-34.06224279,-184805.7723,56945.86099,-77038.57824,-48707.12058,0.0,0.0,0.0,0.0,200603.4335,104723.30653000003,163588.74594599998,-9841.240205700004,27375.415423209997,-148273.59799600003,-122015.33007000001,-25825.3884426,-21073.430233000006,0.0,0.0,0.0,0.0,1119343.18826,4080670.69347,4021805.254054,4195235.2402057,4158018.58457679,4333667.597996,4307409.33007,4211219.3884426,4206467.430233,4185394.0,4185394.0,4185394.0,4185394.0,3066050.81174
1800,"Ithaca, NY Metro Area-Bus",2016,0,31,4023365.0,-48274.95054,-63901.9724,506.0613819,1678.3954780000001,-57051.77941,14395.70276,41374.78879,23925.48614,0.0,0.0,0.0,0.0,-74154.13822000001,56448.35599000003,99686.77354599998,-9335.178823800004,29053.810901209996,-205325.37740600004,-107619.62731000001,15549.400347399998,2852.0559069999945,0.0,0.0,0.0,0.0,1045189.05004,3966916.64401,3923678.226454,4032700.1788238,3994311.18909879,4228690.377406,4130984.62731,4007815.5996526,4020512.944093,4023365.0,4023365.0,4023365.0,4023365.0,2978175.94996
