,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,TSD_POP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,TSD_POP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
1803,"Jackson, MI Metro Area-Bus",2004,0,34,489471.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,489471.0,489471.0,489471.0,489471.0,489471.0,489471.0,489471.0,489471.0,489471.0,489471.0,489471.0,489471.0,489471.0
1804,"Jackson, MI Metro Area-Bus",2005,0,34,526465.0,1493.332761,3721.290071,7235.480722,-8608.839694,11157.497809999999,17238.96675,3514.3120380000005,0.0,0.0,0.0,0.0,0.0,527.7720694,1493.332761,3721.290071,7235.480722,-8608.839694,11157.497809999999,17238.96675,3514.3120380000005,0.0,0.0,0.0,0.0,0.0,527.7720694,524971.667239,522743.709929,519229.519278,535073.839694,515307.50219,509226.03325,522950.687962,526465.0,526465.0,526465.0,526465.0,526465.0,525937.2279306
1805,"Jackson, MI Metro Area-Bus",2006,0,34,548603.0,21620.80165,-1462.565468,8918.324489,-9551.828669,6298.459118,27795.845980000002,4217.809737,-946.8090522,0.0,0.0,0.0,0.0,-36425.82868,23114.134411000003,2258.7246029999997,16153.805211,-18160.668363,17455.956928,45034.812730000005,7732.121775,-946.8090522,0.0,0.0,0.0,0.0,-35898.0566106,525488.865589,546344.275397,532449.194789,566763.668363,531147.043072,503568.18727,540870.878225,549549.8090522,548603.0,548603.0,548603.0,548603.0,584501.0566106
1806,"Jackson, MI Metro Area-Bus",2007,0,34,475722.0,-1763.42922,-51545.832669999996,-1372.1479689999999,-4379.423298,5367.513421,-674.8933137,2041.664597,164.6098386,0.0,0.0,0.0,0.0,-20729.705140000002,21350.705191,-49287.108066999994,14781.657242000001,-22540.091661,22823.470349,44359.91941630001,9773.786371999999,-782.1992136,0.0,0.0,0.0,0.0,-56627.761750599995,454371.294809,525009.108067,460940.342758,498262.091661,452898.529651,431362.0805837,465948.213628,476504.1992136,475722.0,475722.0,475722.0,475722.0,532349.7617506
1807,"Jackson, MI Metro Area-Bus",2008,0,34,512065.0,3282.566185,5753.166178,-3337.5803809999998,-3188.040425,6742.796226,-4168.987524,3778.2928009999996,571.2238083,0.0,0.0,0.0,0.0,26967.615980000002,24633.271376,-43533.941888999994,11444.076861000001,-25728.132085999998,29566.266575,40190.93189230001,13552.079172999998,-210.97540530000003,0.0,0.0,0.0,0.0,-29660.145770599993,487431.728624,555598.941889,500620.923139,537793.1320859999,482498.733425,471874.0681077,498512.920827,512275.9754053,512065.0,512065.0,512065.0,512065.0,541725.1457706
1808,"Jackson, MI Metro Area-Bus",2009,0,34,510828.0,9356.764605,-7749.619718000001,-3653.817353,-4384.480506,-21970.52059,7362.667968000001,-5430.866241,614.8627127000001,0.0,0.0,0.0,0.0,24681.8332,33990.035981,-51283.561606999996,7790.259508000001,-30112.612591999998,7595.745985000001,47553.59986030001,8121.212931999999,403.88730740000005,0.0,0.0,0.0,0.0,-4978.312570599992,476837.964019,562111.561607,503037.740492,540940.612592,503232.254015,463274.4001397,502706.787068,510424.1126926,510828.0,510828.0,510828.0,510828.0,515806.3125706
1809,"Jackson, MI Metro Area-Bus",2010,0,34,566594.0,13453.2437,22009.73873,-160.41805390000002,-4611.414107,10824.480290000001,10489.46165,9361.677773000001,-1224.548758,0.0,0.0,0.0,0.0,-6979.174531000001,47443.279681,-29273.822876999995,7629.841454100001,-34724.026698999995,18420.226275,58043.06151030001,17482.890704999998,-820.6614505999999,0.0,0.0,0.0,0.0,-11957.487101599992,519150.720319,595867.822877,558964.1585459,601318.026699,548173.773725,508550.93848969997,549111.109295,567414.6614506,566594.0,566594.0,566594.0,566594.0,578551.4871016
1810,"Jackson, MI Metro Area-Bus",2011,0,34,573460.0,8382.692909000001,8372.034593,-561.4338649,-4841.982038,16790.50145,3048.978123,-5893.490785,1872.8971179999999,0.0,0.0,0.0,0.0,-20515.44773,55825.972590000005,-20901.788283999995,7068.407589200001,-39566.008737,35210.727725000004,61092.03963330001,11589.399919999998,1052.2356674,0.0,0.0,0.0,0.0,-32472.934831599992,517634.02741,594361.788284,566391.5924108,613026.0087369999,538249.272275,512367.96036669996,561870.60008,572407.7643326,573460.0,573460.0,573460.0,573460.0,605932.9348315999
1811,"Jackson, MI Metro Area-Bus",2012,0,34,543284.0,-5478.0679119999995,-4955.867793,566.3204316,-1047.06943,-382.0283106,3950.60426,-2283.445311,-1374.689192,0.0,0.0,0.0,0.0,-19208.97294,50347.904678000006,-25857.656076999996,7634.728020800001,-40613.078167,34828.699414400005,65042.64389330001,9305.954608999999,-322.45352460000004,0.0,0.0,0.0,0.0,-51681.90777159999,492936.095322,569141.656077,535649.2719792,583897.078167,508455.30058559997,478241.35610669997,533978.045391,543606.4535246,543284.0,543284.0,543284.0,543284.0,594965.9077716
1812,"Jackson, MI Metro Area-Bus",2013,0,34,522344.0,20123.951409999998,1623.963209,675.0586078,365.8095963,-2614.926411,877.9095085000001,3975.9664060000005,-1302.3517650000001,0.0,0.0,0.0,0.0,-44784.05884,70471.856088,-24233.692867999995,8309.7866286,-40247.2685707,32213.773003400005,65920.5534018,13281.921015,-1624.8052896000002,0.0,0.0,0.0,0.0,-96465.96661159999,451872.143912,546577.692868,514034.2133714,562591.2685707,490130.2269966,456423.4465982,509062.07898500003,523968.8052896,522344.0,522344.0,522344.0,522344.0,618809.9666116
