,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,TSD_POP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,TSD_POP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
2474,"Milwaukee-Waukesha-West Allis, WI Metro Area-Bus",2002,0,21,57063465.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57063465.43,57063465.43,57063465.43,57063465.43,57063465.43,57063465.43,57063465.43,57063465.43,57063465.43,57063465.43,57063465.43,57063465.43,57063465.43
2475,"Milwaukee-Waukesha-West Allis, WI Metro Area-Bus",2003,0,21,56377833.35,-1308138.637,305554.9778,280128.0484,-400139.1137,737333.1856,389539.9013,66770.80451,0.0,0.0,0.0,0.0,0.0,-732477.6139,-1308138.637,305554.9778,280128.0484,-400139.1137,737333.1856,389539.9013,66770.80451,0.0,0.0,0.0,0.0,0.0,-732477.6139,57685971.987,56072278.372200005,56097705.3016,56777972.463700004,55640500.164400004,55988293.4487,56311062.545490004,56377833.35,56377833.35,56377833.35,56377833.35,56377833.35,57110310.9639
2476,"Milwaukee-Waukesha-West Allis, WI Metro Area-Bus",2004,0,21,54647583.06,-699024.5368,-1136000.236,281916.2877,-378071.6099,949026.7308,521362.3552,73734.61362,0.0,0.0,0.0,0.0,0.0,-1316430.0790000001,-2007163.1738,-830445.2582,562044.3361,-778210.7235999999,1686359.9164,910902.2565,140505.41813,0.0,0.0,0.0,0.0,0.0,-2048907.6929000001,56654746.2338,55478028.3182,54085538.723900005,55425793.7836,52961223.1436,53736680.803500004,54507077.64187,54647583.06,54647583.06,54647583.06,54647583.06,54647583.06,56696490.752900004
2477,"Milwaukee-Waukesha-West Allis, WI Metro Area-Bus",2005,0,21,55553175.62,-271564.2192,-111422.6625,256343.4682,-354051.5095,1245692.367,473894.4284,52654.284889999995,0.0,0.0,0.0,0.0,0.0,-382299.383,-2278727.393,-941867.9207,818387.8043,-1132262.2330999998,2932052.2834,1384796.6849,193159.70302000002,0.0,0.0,0.0,0.0,0.0,-2431207.0759,57831903.013,56495043.540699996,54734787.815699995,56685437.853099994,52621123.3366,54168378.9351,55360015.91698,55553175.62,55553175.62,55553175.62,55553175.62,55553175.62,57984382.6959
2478,"Milwaukee-Waukesha-West Allis, WI Metro Area-Bus",2006,0,21,55068332.0,-1064668.176,-1158172.384,375720.5745,-335319.8761,664620.4506,682590.8651,137744.6804,33342.767739999996,0.0,0.0,0.0,0.0,208082.4848,-3343395.569,-2100040.3047,1194108.3788,-1467582.1091999998,3596672.734,2067387.55,330904.38342,33342.767739999996,0.0,0.0,0.0,0.0,-2223124.5911,58411727.569,57168372.3047,53874223.6212,56535914.1092,51471659.266,53000944.45,54737427.61658,55034989.23226,55068332.0,55068332.0,55068332.0,55068332.0,57291456.5911
2479,"Milwaukee-Waukesha-West Allis, WI Metro Area-Bus",2007,0,21,51415848.21,-837396.8464,-484377.1983,404228.9179,-357560.4671,538786.7202,-35512.69964,-207954.7697,-33031.941139999995,0.0,0.0,0.0,0.0,-2634933.024,-4180792.4154000003,-2584417.503,1598337.2967,-1825142.5762999998,4135459.4542,2031874.85036,122949.61372000002,310.8266000000003,0.0,0.0,0.0,0.0,-4858057.6151,55596640.6254,54000265.713,49817510.9133,53240990.7863,47280388.7558,49383973.35964,51292898.59628,51415537.3834,51415848.21,51415848.21,51415848.21,51415848.21,56273905.825100005
2480,"Milwaukee-Waukesha-West Allis, WI Metro Area-Bus",2008,0,21,51708534.88,-777423.4552,71705.66826,50335.26139,-115794.435,728758.7862,13782.76454,-187114.3113,0.0,0.0,0.0,0.0,0.0,519536.5227,-4958215.8706,-2512711.83474,1648672.55809,-1940937.0113,4864218.2404,2045657.6149,-64164.69757999998,310.8266000000003,0.0,0.0,0.0,0.0,-4338521.0924,56666750.7506,54221246.71474,50059862.32191,53649471.8913,46844316.6396,49662877.2651,51772699.577580005,51708224.0534,51708534.88,51708534.88,51708534.88,51708534.88,56047055.9724
2481,"Milwaukee-Waukesha-West Allis, WI Metro Area-Bus",2009,0,21,47237416.07,-40546.2355,-315599.0037,-190822.2666,-153642.9966,-2218592.23,922223.4063,174588.6636,-15510.634059999998,0.0,0.0,0.0,0.0,-2608598.546,-4998762.1061,-2828310.83844,1457850.29149,-2094580.0078999999,2645626.0103999996,2967881.0212,110423.96602000002,-15199.807459999998,0.0,0.0,0.0,0.0,-6947119.6384000005,52236178.1761,50065726.90844,45779565.77851,49331996.0779,44591790.0596,44269535.0488,47126992.10398,47252615.87746,47237416.07,47237416.07,47237416.07,47237416.07,54184535.7084
2482,"Milwaukee-Waukesha-West Allis, WI Metro Area-Bus",2010,0,21,44917764.05,-1491330.59,-469146.6668,70605.79282999999,-58491.41872,1000964.0809999999,351737.8225,126899.2389,-28334.679669999998,0.0,0.0,0.0,0.0,-1787157.073,-6490092.6961,-3297457.50524,1528456.08432,-2153071.42662,3646590.0913999993,3319618.8437,237323.20492000002,-43534.487129999994,0.0,0.0,0.0,0.0,-8734276.7114,51407856.74609999,48215221.55524,43389307.965679996,47070835.476619996,41271173.9586,41598145.2063,44680440.845079996,44961298.53713,44917764.05,44917764.05,44917764.05,44917764.05,53652040.7614
2483,"Milwaukee-Waukesha-West Allis, WI Metro Area-Bus",2011,0,21,45649979.57,-622037.0485,78384.92512,89914.71071,-99784.65921,1331097.368,142141.4646,306943.5871,-26943.270010000004,0.0,0.0,0.0,0.0,-457756.4074,-7112129.7446,-3219072.58012,1618370.79503,-2252856.08583,4977687.459399999,3461760.3083,544266.79202,-70477.75714,0.0,0.0,0.0,0.0,-9192033.118800001,52762109.3146,48869052.15012,44031608.77497,47902835.65583,40672292.1106,42188219.2617,45105712.77798,45720457.32714,45649979.57,45649979.57,45649979.57,45649979.57,54842012.6888
