,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,TSD_POP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,TSD_POP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
3002,"Phoenix-Mesa-Glendale, AZ Metro Area-Bus",2002,0,10,41024104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41024104.0,41024104.0,41024104.0,41024104.0,41024104.0,41024104.0,41024104.0,41024104.0,41024104.0,41024104.0,41024104.0,41024104.0,41024104.0
3003,"Phoenix-Mesa-Glendale, AZ Metro Area-Bus",2003,0,10,43351302.0,865362.5576,-2581441.12,806373.2129,-653312.6477,872739.6883,-45551.41708,-121168.8496,0.0,0.0,0.0,0.0,0.0,3288977.703,865362.5576,-2581441.12,806373.2129,-653312.6477,872739.6883,-45551.41708,-121168.8496,0.0,0.0,0.0,0.0,0.0,3288977.703,42485939.4424,45932743.12,42544928.7871,44004614.6477,42478562.3117,43396853.41708,43472470.8496,43351302.0,43351302.0,43351302.0,43351302.0,43351302.0,40062324.297
3004,"Phoenix-Mesa-Glendale, AZ Metro Area-Bus",2004,0,10,47554149.0,1727437.6609999998,-34062.89805,855111.1805,-612349.8294,633072.1724,57002.2996,-131015.6924,0.0,0.0,0.0,0.0,0.0,1688484.735,2592800.2186,-2615504.01805,1661484.3934,-1265662.4771,1505811.8607,11450.88252,-252184.54200000002,0.0,0.0,0.0,0.0,0.0,4977462.438,44961348.7814,50169653.01805,45892664.6066,48819811.4771,46048337.1393,47542698.11748,47806333.542,47554149.0,47554149.0,47554149.0,47554149.0,47554149.0,42576686.562
3005,"Phoenix-Mesa-Glendale, AZ Metro Area-Bus",2005,0,10,50900969.0,2082836.835,1443508.39,939512.9072,-580133.7579,860122.0339,72289.58258999999,-114356.0985,0.0,0.0,0.0,0.0,0.0,-1502156.07,4675637.0536,-1171995.6280500002,2600997.3005999997,-1845796.2349999999,2365933.8946,83740.46510999999,-366540.6405,0.0,0.0,0.0,0.0,0.0,3475306.368,46225331.9464,52072964.62805,48299971.6994,52746765.235,48535035.105399996,50817228.53489,51267509.6405,50900969.0,50900969.0,50900969.0,50900969.0,50900969.0,47425662.632
3006,"Phoenix-Mesa-Glendale, AZ Metro Area-Bus",2006,0,10,51522059.0,750819.7207,-578119.6699,1064051.394,-616672.4596,624270.5185,141340.6725,-244514.4117,-45791.44468,0.0,0.0,0.0,0.0,-457432.0358,5426456.7743,-1750115.29795,3665048.6946,-2462468.6946,2990204.4131000005,225081.13760999998,-611055.0522,-45791.44468,0.0,0.0,0.0,0.0,3017874.3321999996,46095602.2257,53272174.29795,47857010.3054,53984527.6946,48531854.586899996,51296977.86239,52133114.0522,51567850.44468,51522059.0,51522059.0,51522059.0,51522059.0,48504184.6678
3007,"Phoenix-Mesa-Glendale, AZ Metro Area-Bus",2007,0,10,51370969.0,3088170.2989999996,-556655.7989,575365.952,-332643.4048,377766.9698,-1208.716367,259377.65,-61790.98355,0.0,0.0,0.0,0.0,-3505793.6010000003,8514627.0733,-2306771.0968500003,4240414.646600001,-2795112.0994,3367971.3829000005,223872.421243,-351677.4022,-107582.42822999999,0.0,0.0,0.0,0.0,-487919.26880000066,42856341.926699996,53677740.09685,47130554.3534,54166081.0994,48002997.6171,51147096.578757,51722646.4022,51478551.42823,51370969.0,51370969.0,51370969.0,51370969.0,51858888.2688
3008,"Phoenix-Mesa-Glendale, AZ Metro Area-Bus",2008,0,10,57541627.0,4242782.05,2541564.273,287057.2735,-223054.4398,775285.1566,-14285.0286,-239738.0086,0.0,0.0,0.0,0.0,0.0,-1483572.218,12757409.123300001,234793.17614999972,4527471.920100001,-3018166.5392,4143256.5395000004,209587.392643,-591415.4108,-107582.42822999999,0.0,0.0,0.0,0.0,-1971491.4868000008,44784217.8767,57306833.82385,53014155.0799,60559793.5392,53398370.4605,57332039.607357,58133042.4108,57649209.42823,57541627.0,57541627.0,57541627.0,57541627.0,59513118.4868
3009,"Phoenix-Mesa-Glendale, AZ Metro Area-Bus",2009,0,10,50556970.0,-2775637.2389999996,-3510322.4510000004,9930.155147,-187355.2103,-2182394.401,964331.8282,317536.212,-69010.319,0.0,0.0,0.0,0.0,192118.1276,9981771.884300001,-3275529.2748500006,4537402.075247001,-3205521.7495,1960862.1385000004,1173919.2208429999,-273879.19879999995,-176592.74722999998,0.0,0.0,0.0,0.0,-1779373.3592000008,40575198.1157,53832499.27485,46019567.924752995,53762491.7495,48596107.8615,49383050.779157,50830849.1988,50733562.74723,50556970.0,50556970.0,50556970.0,50556970.0,52336343.3592
3010,"Phoenix-Mesa-Glendale, AZ Metro Area-Bus",2010,0,10,46138876.0,-2443066.456,-1233298.176,-544402.5996,374859.5531,919166.7601,474687.8363,62639.463370000005,-106060.9713,0.0,0.0,0.0,0.0,-1896430.2580000001,7538705.428300001,-4508827.450850001,3992999.475647001,-2830662.1964,2880028.8986000004,1648607.057143,-211239.73542999994,-282653.71852999995,0.0,0.0,0.0,0.0,-3675803.617200001,38600170.5717,50647703.45085,42145876.524353,48969538.1964,43258847.1014,44490268.942857,46350115.73543,46421529.71853,46138876.0,46138876.0,46138876.0,46138876.0,49814679.6172
3011,"Phoenix-Mesa-Glendale, AZ Metro Area-Bus",2011,0,10,48065396.0,-1169771.7140000002,747402.2501,129847.5554,-92587.25296,1184534.74,248430.6185,53987.78091,27692.34718,0.0,0.0,0.0,0.0,820950.8623,6368933.714300001,-3761425.200750001,4122847.031047001,-2923249.44936,4064563.6386,1897037.675643,-157251.95451999994,-254961.37134999994,0.0,0.0,0.0,0.0,-2854852.754900001,41696462.2857,51826821.20075,43942548.968953,50988645.44936,44000832.3614,46168358.324357,48222647.95452,48320357.37135,48065396.0,48065396.0,48065396.0,48065396.0,50920248.7549
