,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,TSD_POP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,TSD_POP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
4127,"Terre Haute, IN Metro Area-Bus",2002,0,34,138084.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138084.0,138084.0,138084.0,138084.0,138084.0,138084.0,138084.0,138084.0,138084.0,138084.0,138084.0,138084.0,138084.0
4128,"Terre Haute, IN Metro Area-Bus",2003,0,34,144784.0,8277.068931,4635.829206,1412.866566,-189.61647050000002,1784.2224410000001,3160.865031,-445.72287400000005,0.0,0.0,0.0,0.0,0.0,-12829.04286,8277.068931,4635.829206,1412.866566,-189.61647050000002,1784.2224410000001,3160.865031,-445.72287400000005,0.0,0.0,0.0,0.0,0.0,-12829.04286,136506.931069,140148.170794,143371.133434,144973.6164705,142999.777559,141623.134969,145229.722874,144784.0,144784.0,144784.0,144784.0,144784.0,157613.04286
4129,"Terre Haute, IN Metro Area-Bus",2004,0,34,136896.0,3927.8149789999998,-4015.6907049999995,1657.6463880000001,-183.67380569999997,2437.196998,3918.6206899999997,-467.3498783,0.0,0.0,0.0,0.0,0.0,-15146.979940000001,12204.88391,620.1385010000008,3070.512954,-373.2902762,4221.419439,7079.485720999999,-913.0727523,0.0,0.0,0.0,0.0,0.0,-27976.0228,124691.11609,136275.861499,133825.487046,137269.2902762,132674.580561,129816.514279,137809.0727523,136896.0,136896.0,136896.0,136896.0,136896.0,164872.0228
4130,"Terre Haute, IN Metro Area-Bus",2005,0,34,152042.0,-15505.917430000001,3806.9652939999996,1459.809396,-145.2030331,3120.5461010000004,3445.2926509999998,-488.8134664,0.0,0.0,0.0,0.0,0.0,20437.37955,-3301.033520000001,4427.103795000001,4530.32235,-518.4933093,7341.965540000001,10524.778371999999,-1401.8862187,0.0,0.0,0.0,0.0,0.0,-7538.643249999997,155343.03352,147614.896205,147511.67765,152560.49330929999,144700.03446,141517.221628,153443.8862187,152042.0,152042.0,152042.0,152042.0,152042.0,159580.64325
4131,"Terre Haute, IN Metro Area-Bus",2006,0,34,163267.0,44129.292219999996,6917.712118,2272.400173,-199.4655749,1818.9819289999998,6384.8358530000005,-386.49004019999995,-500.9245482,0.0,0.0,0.0,0.0,-54666.571260000004,40828.25869999999,11344.815913000002,6802.722523,-717.9588841999999,9160.947469,16909.614224999998,-1788.3762588999998,-500.9245482,0.0,0.0,0.0,0.0,-62205.214510000005,122438.74130000001,151922.184087,156464.277477,163984.9588842,154106.052531,146357.385775,165055.3762589,163767.9245482,163267.0,163267.0,163267.0,163267.0,225472.21451000002
4132,"Terre Haute, IN Metro Area-Bus",2007,0,34,210629.0,19795.148259999998,4140.542929,213.5483491,15.4389723,1597.398873,-2732.2208140000002,-1130.414051,245.0905975,0.0,0.0,0.0,0.0,25012.13938,60623.40695999999,15485.358842000001,7016.2708721,-702.5199118999999,10758.346342,14177.393410999997,-2918.7903098999996,-255.8339507,0.0,0.0,0.0,0.0,-37193.075130000005,150005.59304,195143.64115799998,203612.7291279,211331.5199119,199870.653658,196451.606589,213547.7903099,210884.8339507,210629.0,210629.0,210629.0,210629.0,247822.07513
4133,"Terre Haute, IN Metro Area-Bus",2008,0,34,319926.0,63489.79304,4414.786875,-183.917867,48.24580599,2985.416748,1135.089402,1585.25619,442.7971023,0.0,0.0,0.0,0.0,31998.527280000002,124113.19999999998,19900.145717,6832.3530051,-654.2741059099999,13743.76309,15312.482812999997,-1333.5341198999995,186.9631516,0.0,0.0,0.0,0.0,-5194.547850000003,195812.80000000002,300025.854283,313093.6469949,320580.27410591,306182.23691,304613.517187,321259.5341199,319739.0368484,319926.0,319926.0,319926.0,319926.0,325120.54785
4134,"Terre Haute, IN Metro Area-Bus",2009,0,34,282282.0,-3.231923389,-9368.967712,-892.6670436,59.01271247,-13726.6573,2886.1651309999997,484.536465,-1340.905934,0.0,0.0,0.0,0.0,-16044.44375,124109.96807661098,10531.178005,5939.685961499999,-595.2613934399999,17.105789999999615,18198.647943999997,-848.9976548999995,-1153.9427824,0.0,0.0,0.0,0.0,-21238.9916,158172.031923389,271750.821995,276342.3140385,282877.26139344,282264.89421,264083.35205600003,283130.9976549,283435.9427824,282282.0,282282.0,282282.0,282282.0,303520.9916
4135,"Terre Haute, IN Metro Area-Bus",2010,0,34,277568.0,1698.5722829999997,2564.605729,1464.619539,-98.31113974,5981.574907,-4964.88684,-698.190004,593.4303996,0.0,0.0,0.0,0.0,-11200.19715,125808.54035961098,13095.783734,7404.3055005,-693.5725331799999,5998.680697,13233.761103999997,-1547.1876588999994,-560.5123828,0.0,0.0,0.0,0.0,-32439.18875,151759.45964038902,264472.216266,270163.6944995,278261.57253318,271569.319303,264334.238896,279115.1876589,278128.5123828,277568.0,277568.0,277568.0,277568.0,310007.18875
4136,"Terre Haute, IN Metro Area-Bus",2011,0,34,328772.0,-5492.511444,9385.128129,-53.28056773,65.50342798,8225.476982,6727.826523000001,-1466.344511,166.59507309999998,0.0,0.0,0.0,0.0,33518.96017,120316.02891561098,22480.911863,7351.024932769999,-628.0691052,14224.157679,19961.587626999997,-3013.5321698999996,-393.9173097,0.0,0.0,0.0,0.0,1079.7714199999973,208455.97108438902,306291.088137,321420.97506723,329400.0691052,314547.842321,308810.412373,331785.5321699,329165.9173097,328772.0,328772.0,328772.0,328772.0,327692.22858
