,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,TSD_POP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,TSD_POP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
4320,"Wheeling, WV-OH Metro Area-Bus",2002,0,34,502392.7224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502392.7224,502392.7224,502392.7224,502392.7224,502392.7224,502392.7224,502392.7224,502392.7224,502392.7224,502392.7224,502392.7224,502392.7224,502392.7224
4321,"Wheeling, WV-OH Metro Area-Bus",2003,0,34,468993.9444,-7516.853651,-296.2734847,2646.411068,-242.21328030000004,6491.558542,5240.293994,7415.391958,0.0,0.0,0.0,0.0,0.0,-47134.74142,-7516.853651,-296.2734847,2646.411068,-242.21328030000004,6491.558542,5240.293994,7415.391958,0.0,0.0,0.0,0.0,0.0,-47134.74142,476510.798051,469290.2178847,466347.53333199996,469236.1576803,462502.38585799997,463753.650406,461578.55244199996,468993.9444,468993.9444,468993.9444,468993.9444,468993.9444,516128.68581999996
4322,"Wheeling, WV-OH Metro Area-Bus",2004,0,34,473843.5902,2537.537379,6072.895507,4114.9589909999995,-219.9106148,7894.730311,6171.744447,7249.916686,0.0,0.0,0.0,0.0,0.0,-29979.67082,-4979.316272,5776.6220223,6761.370058999999,-462.1238951,14386.288853,11412.038441,14665.308644,0.0,0.0,0.0,0.0,0.0,-77114.41224,478822.906472,468066.96817769995,467082.220141,474305.7140951,459457.301347,462431.551759,459178.281556,473843.5902,473843.5902,473843.5902,473843.5902,473843.5902,550958.00244
4323,"Wheeling, WV-OH Metro Area-Bus",2005,0,34,480221.3922,-3723.771231,231.3212477,3945.136255,-183.2556967,10801.2708,5557.31386,6795.582402,0.0,0.0,0.0,0.0,0.0,-17389.70704,-8703.087503,6007.94327,10706.506313999998,-645.3795918000001,25187.559653,16969.352301,21460.891046,0.0,0.0,0.0,0.0,0.0,-94504.11928000001,488924.479703,474213.44893,469514.885886,480866.7717918,455033.832547,463252.039899,458760.501154,480221.3922,480221.3922,480221.3922,480221.3922,480221.3922,574725.51148
4324,"Wheeling, WV-OH Metro Area-Bus",2006,0,34,460549.8894,-12972.837309999999,-12723.86681,5193.944316,-276.6677337,5745.215364,9273.604661,9743.590124,0.0,0.0,0.0,0.0,0.0,-23068.40246,-21675.924812999998,-6715.92354,15900.45063,-922.0473255,30932.775017,26242.956961999997,31204.48117,0.0,0.0,0.0,0.0,0.0,-117572.52174000001,482225.814213,467265.81294,444649.43877,461471.9367255,429617.114383,434306.932438,429345.40823,460549.8894,460549.8894,460549.8894,460549.8894,460549.8894,578122.41114
4325,"Wheeling, WV-OH Metro Area-Bus",2007,0,34,414490.3518,-6364.405877,-37634.67293,-1251.992623,125.90297269999999,4506.004729,-4049.841669,-949.4573673,-138.147809,0.0,0.0,0.0,0.0,-953.4939122999999,-28040.33069,-44350.596470000004,14648.458007,-796.1443528000001,35438.779746,22193.115292999995,30255.023802699998,-138.147809,0.0,0.0,0.0,0.0,-118526.0156523,442530.68249,458840.94827,399841.893793,415286.4961528,379051.572054,392297.236507,384235.3279973,414628.499609,414490.3518,414490.3518,414490.3518,414490.3518,533016.3674523
4326,"Wheeling, WV-OH Metro Area-Bus",2008,0,34,429347.0496,-12027.845440000001,8562.193043000001,-248.95220189999998,54.21379619,5874.910094,2951.947464,-3237.748336,-248.6260326,0.0,0.0,0.0,0.0,13504.1745,-40068.17613,-35788.403427000005,14399.5058051,-741.93055661,41313.68984,25145.062756999996,27017.275466699997,-386.77384159999997,0.0,0.0,0.0,0.0,-105021.84115230001,469415.22573,465135.453027,414947.5437949,430088.98015661,388033.35976,404201.98684300005,402329.77413330006,429733.8234416,429347.0496,429347.0496,429347.0496,429347.0496,534368.8907523
4327,"Wheeling, WV-OH Metro Area-Bus",2009,0,34,402314.46,5148.894059,-10043.24001,-1315.3135359999999,36.49728738,-18421.44687,-4132.156388,-1003.0098619999999,-1799.522409,0.0,0.0,0.0,0.0,3909.038936,-34919.282071,-45831.643437000006,13084.1922691,-705.4332692300001,22892.24297,21012.906368999997,26014.2656047,-2186.2962506,0.0,0.0,0.0,0.0,-101112.80221630001,437233.74207100004,448146.103437,389230.2677309,403019.89326923003,379422.21703,381301.55363100005,376300.1943953,404500.75625060004,402314.46,402314.46,402314.46,402314.46,503427.2622163
4328,"Wheeling, WV-OH Metro Area-Bus",2010,0,34,384089.8182,8793.894585,917.1868053,1562.622379,-125.32602920000001,8525.070952,-5874.063223,83.03425475,2542.647651,0.0,0.0,0.0,0.0,-34740.55244,-26125.387486,-44914.456631700006,14646.8146481,-830.7592984300001,31417.313922,15138.843145999996,26097.29985945,356.35140040000033,0.0,0.0,0.0,0.0,-135853.3546563,410215.205686,429004.27483169996,369443.0035519,384920.57749843,352672.504278,368950.975054,357992.51834054996,383733.4667996,384089.8182,384089.8182,384089.8182,384089.8182,519943.1728563
4329,"Wheeling, WV-OH Metro Area-Bus",2011,0,34,393029.3868,11138.43311,2730.3813649999997,-1148.682788,51.46583926,11382.15485,8684.766266,-554.4520836,-345.53424049999995,0.0,0.0,0.0,0.0,-23894.786809999998,-14986.954376,-42184.075266700005,13498.1318601,-779.29345917,42799.468772,23823.609411999998,25542.847775849998,10.817159900000377,0.0,0.0,0.0,0.0,-159748.1414663,408016.34117599996,435213.4620667,379531.25493989995,393808.68025916995,350229.918028,369205.777388,367486.53902415,393018.5696401,393029.3868,393029.3868,393029.3868,393029.3868,552777.5282663
