,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,WEIGHTED_POP_DENSITY_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,WEIGHTED_POP_DENSITY_log_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_WEIGHTED_POP_DENSITY_log_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
162,"Appleton, WI Metro Area-Bus",2002,0,34,742435.8942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,742435.8942,742435.8942,742435.8942,742435.8942,742435.8942,742435.8942,742435.8942,742435.8942,742435.8942,742435.8942,742435.8942,742435.8942,742435.8942
163,"Appleton, WI Metro Area-Bus",2003,0,34,675977.3202,-11692.847590000001,-45361.4046,1960.227705,9.936737646000001,12970.50354,10850.27549,5490.566672,0.0,0.0,0.0,0.0,0.0,-39438.469860000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,675977.3202,675977.3202,675977.3202,675977.3202,675977.3202,675977.3202,675977.3202,675977.3202,675977.3202,675977.3202,675977.3202,675977.3202,675977.3202
164,"Appleton, WI Metro Area-Bus",2004,0,34,715854.594,-14681.15133,11285.14809,1351.177845,-22.16875585,15395.30349,12273.25851,4848.573812,0.0,0.0,0.0,0.0,0.0,9312.614211,-11692.847590000001,-45361.4046,1960.227705,9.936737646000001,12970.50354,10850.27549,5490.566672,0.0,0.0,0.0,0.0,0.0,-39438.469860000005,727547.4415900001,761215.9986,713894.3662950001,715844.657262354,702884.0904600001,705004.31851,710364.027328,715854.594,715854.594,715854.594,715854.594,715854.594,755293.06386
165,"Appleton, WI Metro Area-Bus",2005,0,34,712982.7432,-2701.344935,-20064.53123,1312.990239,32.51286173,22100.249340000002,11910.163540000001,4762.832972,0.0,0.0,0.0,0.0,0.0,-19678.0702,-26373.99892,-34076.25651,3311.40555,-12.232018204,28365.80703,23123.534,10339.140484,0.0,0.0,0.0,0.0,0.0,-30125.855649000005,739356.7421200001,747058.99971,709671.33765,712994.9752182041,684616.93617,689859.2092,702643.602716,712982.7432,712982.7432,712982.7432,712982.7432,712982.7432,743108.5988490001
166,"Appleton, WI Metro Area-Bus",2006,0,34,716381.2656,-10193.91157,-16338.05968,1975.842166,-1.742918415,11530.92208,18051.645080000002,4955.288777000001,-125.7321189,0.0,0.0,0.0,0.0,-5915.504836,-29075.343855000003,-54140.78774,4624.395789,20.280843525999998,50466.056370000006,35033.69754,15101.973456,0.0,0.0,0.0,0.0,0.0,-49803.92584900001,745456.609455,770522.0533400001,711756.8698110001,716360.984756474,665915.20923,681347.5680600001,701279.2921440001,716381.2656,716381.2656,716381.2656,716381.2656,716381.2656,766185.191449
167,"Appleton, WI Metro Area-Bus",2007,0,34,739004.0112,9819.066066,13539.884869999998,517.8763908,-121.3040453,9471.423998999999,-4671.4390969999995,3174.044879,50.53881352,0.0,0.0,0.0,0.0,-9582.686039,-39269.255425,-70478.84742,6600.2379550000005,18.537925111,61996.97845000001,53085.34262,20057.262233,-125.7321189,0.0,0.0,0.0,0.0,-55719.43068500001,778273.2666249999,809482.85862,732403.7732449999,738985.4732748889,677007.0327499999,685918.6685799999,718946.7489669999,739129.7433189,739004.0112,739004.0112,739004.0112,739004.0112,794723.441885
168,"Appleton, WI Metro Area-Bus",2008,0,34,752994.8790000001,-6768.994339,-3008.471735,734.1169562000001,389.164372,14165.11106,-6881.073369,-6559.260808,130.343868,0.0,0.0,0.0,0.0,21979.82244,-29450.189359000004,-56938.96255000001,7118.114345800001,-102.76612018899999,71468.40244900002,48413.903523,23231.307112000002,-75.19330538,0.0,0.0,0.0,0.0,-65302.11672400001,782445.068359,809933.8415500001,745876.7646542001,753097.6451201891,681526.476551,704580.9754770001,729763.5718880001,753070.07230538,752994.8790000001,752994.8790000001,752994.8790000001,752994.8790000001,818296.995724
169,"Appleton, WI Metro Area-Bus",2009,0,34,686055.7704,13398.96502,-54167.53761,-264.00155950000004,-594.9817552000001,-43254.27666,7304.890383,8368.405253,53.12180761,0.0,0.0,0.0,0.0,2356.309185,-36219.183698,-59947.43428500001,7852.231302000001,286.398251811,85633.51350900001,41532.830154,16672.046304000003,55.15056261999999,0.0,0.0,0.0,0.0,-43322.294284,722274.9540980001,746003.204685,678203.539098,685769.372148189,600422.2568910001,644522.9402460001,669383.7240960001,686000.61983738,686055.7704,686055.7704,686055.7704,686055.7704,729378.0646840001
170,"Appleton, WI Metro Area-Bus",2010,0,34,711074.8008,7979.274787,29629.915839999998,1875.669716,664.3311614,19683.58786,-10071.73331,-1968.5998510000002,-435.44125589999993,0.0,0.0,0.0,0.0,-22912.67821,-22820.218678,-114114.97189500001,7588.229742500001,-308.58350338900004,42379.23684900001,48837.720537,25040.451557000004,108.27237022999998,0.0,0.0,0.0,0.0,-40965.985099000005,733895.019478,825189.7726949999,703486.5710575,711383.384303389,668695.563951,662237.080263,686034.3492429999,710966.5284297699,711074.8008,711074.8008,711074.8008,711074.8008,752040.785899
171,"Appleton, WI Metro Area-Bus",2011,0,34,791718.0179999999,-3321.437339,7694.486284999999,734.1038173,1494.910927,28572.59541,28130.54013,-4699.762148,0.0,0.0,0.0,0.0,0.0,20822.1512,-14840.943891,-84485.05605500001,9463.8994585,355.747658011,62062.82470900001,38765.987227000005,23071.851706000005,-327.16888566999995,0.0,0.0,0.0,0.0,-63878.663309,806558.9618909999,876203.074055,782254.1185415,791362.2703419889,729655.1932909999,752952.0307729999,768646.1662939999,792045.18688567,791718.0179999999,791718.0179999999,791718.0179999999,791718.0179999999,855596.6813089999
