,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,WEIGHTED_POP_DENSITY_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,WEIGHTED_POP_DENSITY_log_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_WEIGHTED_POP_DENSITY_log_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
196,"Athens-Clarke County, GA Metro Area-Bus",2009,0,33,11144687.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11144687.86,11144687.86,11144687.86,11144687.86,11144687.86,11144687.86,11144687.86,11144687.86,11144687.86,11144687.86,11144687.86,11144687.86,11144687.86
197,"Athens-Clarke County, GA Metro Area-Bus",2010,0,33,11114972.5,168671.50100000002,-137940.2989,-62473.011739999994,-788267.5606,301672.9304,-169998.0582,32894.652519999996,-12964.76425,0.0,0.0,0.0,0.0,653774.6212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11114972.5,11114972.5,11114972.5,11114972.5,11114972.5,11114972.5,11114972.5,11114972.5,11114972.5,11114972.5,11114972.5,11114972.5,11114972.5
198,"Athens-Clarke County, GA Metro Area-Bus",2011,0,33,11586179.62,-74066.23137000001,835648.1558,5122.814529,1171936.122,439107.6073,117542.3418,11471.43374,10982.88434,0.0,0.0,0.0,0.0,-2233362.6,168671.50100000002,-137940.2989,-62473.011739999994,-788267.5606,301672.9304,-169998.0582,32894.652519999996,-12964.76425,0.0,0.0,0.0,0.0,653774.6212,11417508.118999999,11724119.9189,11648652.63174,12374447.180599999,11284506.689599998,11756177.678199999,11553284.96748,11599144.384249998,11586179.62,11586179.62,11586179.62,11586179.62,10932404.998799998
199,"Athens-Clarke County, GA Metro Area-Bus",2012,0,33,12936904.49,145151.6824,90870.8655,13765.1004,5951.424128000001,-4338.972982,257099.4292,12812.34992,6949.521468999999,0.0,0.0,0.0,0.0,814512.3002,94605.26963000001,697707.8569,-57350.19721099999,383668.5614,740780.5377,-52455.716400000005,44366.08626,-1981.8799099999997,0.0,0.0,0.0,0.0,-1579587.9788000002,12842299.22037,12239196.6331,12994254.687211,12553235.9286,12196123.952300001,12989360.2064,12892538.40374,12938886.36991,12936904.49,12936904.49,12936904.49,12936904.49,14516492.4688
200,"Athens-Clarke County, GA Metro Area-Bus",2013,0,33,12763695.7,285663.9254,-36789.976539999996,19780.28689,-65158.97029,-83806.0248,206885.0891,-166681.4981,3651.044636,0.0,0.0,0.0,0.0,-331378.3251,239756.95203,788578.7224,-43585.096810999996,389619.985528,736441.564718,204643.7128,57178.43618,4967.641559,0.0,0.0,0.0,0.0,-765075.6786000001,12523938.74797,11975116.977599999,12807280.796811,12374075.714472,12027254.135281999,12559051.9872,12706517.26382,12758728.058441,12763695.7,12763695.7,12763695.7,12763695.7,13528771.3786
201,"Athens-Clarke County, GA Metro Area-Bus",2014,0,33,12626341.04,114391.6984,-207470.8027,-5453.07855,68048.73702999999,-126698.274,-256603.2963,187573.1534,-9900.705354000002,0.0,0.0,0.0,0.0,103469.4732,525420.87743,751788.74586,-23804.809920999996,324461.01523799996,652635.539918,411528.8019,-109503.06192000001,8618.686195,0.0,0.0,0.0,0.0,-1096454.0037000002,12100920.16257,11874552.29414,12650145.849921,12301880.024761999,11973705.500082,12214812.2381,12735844.10192,12617722.353805,12626341.04,12626341.04,12626341.04,12626341.04,13722795.043699998
202,"Athens-Clarke County, GA Metro Area-Bus",2015,0,33,12093528.46,372573.1991,-354948.9585,37135.82507,-187022.6507,-759452.5848,-38258.787860000004,151615.749,2672.4539489999997,-298991.6943,0.0,0.0,0.0,534341.0061,639812.57583,544317.94316,-29257.888471,392509.7522679999,525937.265918,154925.50560000003,78070.09148,-1282.0191590000013,0.0,0.0,0.0,0.0,-992984.5305000002,11453715.884170001,11549210.516840002,12122786.348471,11701018.707732001,11567591.194082001,11938602.954400001,12015458.368520001,12094810.479159001,12093528.46,12093528.46,12093528.46,12093528.46,13086512.990500001
203,"Athens-Clarke County, GA Metro Area-Bus",2016,0,33,7351944.517000001,236003.4402,-1822014.979,43539.34194,235729.9007,-194255.7999,-252913.6593,-134686.5391,-5117.7359670000005,-286374.695,0.0,0.0,0.0,-2609119.351,1012385.7749300001,189368.98466000002,7877.936599000001,205487.10156799993,-233515.31888199993,116666.71774000002,229685.84048,1390.4347899999984,-298991.6943,0.0,0.0,0.0,-458643.5244000002,6339558.742070001,7162575.532340001,7344066.580401001,7146457.4154320005,7585459.835882001,7235277.799260001,7122258.676520001,7350554.082210001,7650936.211300001,7351944.517000001,7351944.517000001,7351944.517000001,7810588.041400001
204,"Athens-Clarke County, GA Metro Area-Bus",2017,0,33,7256761.506,147731.4171,31532.0666,15070.90606,35945.94421,97225.72854,22472.17365,-14070.7388,-3888.7865229999998,-174094.0103,0.0,39726.74916,0.0,-290870.9714,1248389.2151300001,-1632645.99434,51417.278539,441217.0022679999,-427771.1187819999,-136246.94155999998,94999.30138000002,-3727.301177000002,-585366.3892999999,0.0,0.0,0.0,-3067762.8754000003,6008372.29087,8889407.50034,7205344.227461,6815544.5037320005,7684532.624782,7393008.44756,7161762.20462,7260488.807177,7842127.8953,7256761.506,7256761.506,7256761.506,10324524.3814
205,"Athens-Clarke County, GA Metro Area-Bus",2018,0,33,7252138.45,298398.5275,41771.468539999994,16634.30749,62133.43177,96615.5167,-28920.70243,-31478.097760000004,-3646.5660270000003,-171840.0771,0.0,0.0,0.0,-280186.9742,1396120.63223,-1601113.92774,66488.184599,477162.9464779999,-330545.39024199994,-113774.76790999998,80928.56258000003,-7616.087700000002,-759460.3995999999,0.0,39726.74916,0.0,-3358633.8468000004,5856017.817770001,8853252.37774,7185650.265401,6774975.503522,7582683.840242,7365913.21791,7171209.8874200005,7259754.5377,8011598.8496,7252138.45,7212411.70084,7252138.45,10610772.2968
