,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,WEIGHTED_POP_DENSITY_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,WEIGHTED_POP_DENSITY_log_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_WEIGHTED_POP_DENSITY_log_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
354,"Beaumont-Port Arthur, TX Metro Area-Bus",2006,0,34,631080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,631080.0,631080.0,631080.0,631080.0,631080.0,631080.0,631080.0,631080.0,631080.0,631080.0,631080.0,631080.0,631080.0
355,"Beaumont-Port Arthur, TX Metro Area-Bus",2007,0,34,651843.0,-4416.409125,2106.4258,-284.0856562,-942.7927445,5038.7833200000005,-5032.114433,7013.504784999999,-44.51789303,0.0,0.0,0.0,0.0,17414.01427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,651843.0,651843.0,651843.0,651843.0,651843.0,651843.0,651843.0,651843.0,651843.0,651843.0,651843.0,651843.0,651843.0
356,"Beaumont-Port Arthur, TX Metro Area-Bus",2008,0,34,632950.0,-24489.49144,3045.4380760000004,800.7935193,-480.0484095,15337.46115,-17221.64785,-6974.599253,68.97992957,0.0,0.0,0.0,0.0,11228.4841,-4416.409125,2106.4258,-284.0856562,-942.7927445,5038.7833200000005,-5032.114433,7013.504784999999,-44.51789303,0.0,0.0,0.0,0.0,17414.01427,637366.409125,630843.5742,633234.0856562,633892.7927445,627911.21668,637982.114433,625936.495215,632994.51789303,632950.0,632950.0,632950.0,632950.0,615535.98573
357,"Beaumont-Port Arthur, TX Metro Area-Bus",2009,0,34,613245.0,23261.53425,-622.4704034,-718.8171784,5876.878702,-37658.72917,11828.953809999999,3929.62054,-66.97352981,0.0,0.0,0.0,0.0,-23815.072480000003,-28905.900565000004,5151.863876,516.7078630999999,-1422.841154,20376.244469999998,-22253.762283,38.90553199999886,24.462036539999993,0.0,0.0,0.0,0.0,28642.49837,642150.900565,608093.136124,612728.2921369,614667.841154,592868.75553,635498.762283,613206.094468,613220.53796346,613245.0,613245.0,613245.0,613245.0,584602.50163
358,"Beaumont-Port Arthur, TX Metro Area-Bus",2010,0,34,579555.0,-3622.567442,-3680.258411,230.82960419999998,-11328.567509999999,17123.26331,47813.39638,1357.0398699999998,-194.64493230000002,0.0,0.0,0.0,0.0,-80987.38799,-5644.366315000003,4529.393472600001,-202.10931530000005,4454.037548,-17282.4847,-10424.808473000001,3968.5260719999987,-42.51149327000001,0.0,0.0,0.0,0.0,4827.425889999999,585199.366315,575025.6065274,579757.1093153,575100.962452,596837.4847,589979.808473,575586.473928,579597.51149327,579555.0,579555.0,579555.0,579555.0,574727.57411
359,"Beaumont-Port Arthur, TX Metro Area-Bus",2011,0,34,560715.0,-2263.385498,11234.26555,627.2422782000001,19304.47386,22855.09881,-17178.6499,-3491.037011,184.0100781,0.0,0.0,0.0,0.0,-49773.04758,-9266.933757000003,849.1350616000009,28.72028889999993,-6874.529961999999,-159.22139000000243,37388.587906999994,5325.565941999998,-237.15642557000004,0.0,0.0,0.0,0.0,-76159.9621,569981.933757,559865.8649384,560686.2797111,567589.529962,560874.22139,523326.412093,555389.434058,560952.15642557,560715.0,560715.0,560715.0,560715.0,636874.9621
360,"Beaumont-Port Arthur, TX Metro Area-Bus",2012,0,34,579242.0,-189.354438,11677.78842,-228.17678109999997,-5157.2392899999995,-727.1604745,2193.772163,-165.2324819,79.1167267,0.0,0.0,0.0,0.0,11143.9558,-11530.319255000002,12083.400611600002,655.9625671,12429.943898,22695.877419999997,20209.938006999993,1834.5289309999985,-53.14634747000005,0.0,0.0,0.0,0.0,-125933.00968,590772.319255,567158.5993884,578586.0374329,566812.056102,556546.12258,559032.061993,577407.471069,579295.14634747,579242.0,579242.0,579242.0,579242.0,705175.00968
361,"Beaumont-Port Arthur, TX Metro Area-Bus",2013,0,34,546509.0,-7757.028359,-15337.105769999998,1428.3776599999999,-1290.8177230000001,-4777.193472,-11155.813409999999,2523.560015,0.0,0.0,0.0,0.0,0.0,2887.207244,-11719.673693000002,23761.189031600003,427.78578600000003,7272.704608,21968.716945499997,22403.710169999995,1669.2964490999984,25.97037922999995,0.0,0.0,0.0,0.0,-114789.05388,558228.673693,522747.8109684,546081.214214,539236.295392,524540.2830545,524105.28983,544839.7035509,546483.02962077,546509.0,546509.0,546509.0,546509.0,661298.05388
362,"Beaumont-Port Arthur, TX Metro Area-Bus",2014,0,34,540555.0,-74.60076055,3366.8026130000003,450.7132904,-8598.313531,-6460.170765999999,3830.6375869999997,1451.553987,-115.64799860000001,0.0,0.0,0.0,0.0,291.7340628,-19476.702052,8424.083261600004,1856.163446,5981.886885,17191.523473499998,11247.896759999996,4192.856464099998,25.97037922999995,0.0,0.0,0.0,0.0,-111901.846636,560031.702052,532130.9167384,538698.836554,534573.113115,523363.4765265,529307.10324,536362.1435359,540529.02962077,540555.0,540555.0,540555.0,540555.0,652456.846636
363,"Beaumont-Port Arthur, TX Metro Area-Bus",2015,0,34,509858.0,4256.647365,-18829.20782,399.1789272,-2048.553708,-33028.03348,-24065.58109,-3493.5953979999995,95.34187706,0.0,0.0,0.0,0.0,42530.09557,-19551.302812550002,11790.885874600004,2306.8767364,-2616.426646,10731.352707499998,15078.534346999995,5644.410451099999,-89.67761937000006,0.0,0.0,0.0,0.0,-111610.11257320001,529409.30281255,498067.11412539997,507551.1232636,512474.426646,499126.6472925,494779.465653,504213.5895489,509947.67761937,509858.0,509858.0,509858.0,509858.0,621468.1125732
