,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,WEIGHTED_POP_DENSITY_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,WEIGHTED_POP_DENSITY_log_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_WEIGHTED_POP_DENSITY_log_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
666,"Champaign-Urbana, IL Metro Area-Bus",2002,0,21,9189452.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9189452.0,9189452.0,9189452.0,9189452.0,9189452.0,9189452.0,9189452.0,9189452.0,9189452.0,9189452.0,9189452.0,9189452.0,9189452.0
667,"Champaign-Urbana, IL Metro Area-Bus",2003,0,21,9989148.0,-421399.1038,-12667.84462,61889.41557999999,26.13005197,160541.5641,178633.3787,35276.25429,0.0,0.0,0.0,0.0,0.0,810741.5251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9989148.0,9989148.0,9989148.0,9989148.0,9989148.0,9989148.0,9989148.0,9989148.0,9989148.0,9989148.0,9989148.0,9989148.0,9989148.0
668,"Champaign-Urbana, IL Metro Area-Bus",2004,0,21,9930155.0,69203.65913,-63670.37275,71965.00302999999,-2175.0041739999997,227501.6638,232723.4485,40562.86995,0.0,0.0,0.0,0.0,0.0,-645682.7423,-421399.1038,-12667.84462,61889.41557999999,26.13005197,160541.5641,178633.3787,35276.25429,0.0,0.0,0.0,0.0,0.0,810741.5251,10351554.1038,9942822.84462,9868265.58442,9930128.86994803,9769613.4359,9751521.6213,9894878.74571,9930155.0,9930155.0,9930155.0,9930155.0,9930155.0,9119413.4749
669,"Champaign-Urbana, IL Metro Area-Bus",2005,0,21,9734246.0,954536.3794,88983.73869,73728.81195,6396.713455,306569.1041,216913.5421,29309.838219999998,0.0,0.0,0.0,0.0,0.0,-1962155.948,-352195.44467,-76338.21737,133854.41861,-2148.87412203,388043.2279,411356.8272,75839.12424,0.0,0.0,0.0,0.0,0.0,165058.78279999993,10086441.44467,9810584.21737,9600391.58139,9736394.87412203,9346202.7721,9322889.1728,9658406.87576,9734246.0,9734246.0,9734246.0,9734246.0,9734246.0,9569187.2172
670,"Champaign-Urbana, IL Metro Area-Bus",2006,0,21,9605867.0,5680.0669100000005,-202819.90899999999,79155.25553,-10238.75361,157429.9424,310232.0834,71265.55996,-7550.783391,0.0,0.0,0.0,0.0,-530795.2214,602340.93473,12645.52132,207583.23056,4247.83933297,694612.3319999999,628270.3693,105148.96246000001,0.0,0.0,0.0,0.0,0.0,-1797097.1652000002,9003526.06527,9593221.47868,9398283.76944,9601619.16066703,8911254.668,8977596.6307,9500718.03754,9605867.0,9605867.0,9605867.0,9605867.0,9605867.0,11402964.1652
671,"Champaign-Urbana, IL Metro Area-Bus",2007,0,21,8834498.0,-1465401.175,-167613.5973,25385.47308,5713.683056,127001.1426,-40111.96871,-96477.10887000001,6439.782698,0.0,0.0,0.0,0.0,813971.9575,608021.00164,-190174.38767999999,286738.48609,-5990.9142770299995,852042.2744,938502.4527,176414.52242,-7550.783391,0.0,0.0,0.0,0.0,-2327892.3866000003,8226476.99836,9024672.38768,8547759.51391,8840488.91427703,7982455.7256000005,7895995.5473,8658083.47758,8842048.783391,8834498.0,8834498.0,8834498.0,8834498.0,11162390.3866
672,"Champaign-Urbana, IL Metro Area-Bus",2008,0,21,9625883.0,657212.8986,-10246.868859999999,833.1013216,21711.769080000002,169338.2491,-1827.489843,240147.1416,-3115.593532,0.0,0.0,0.0,0.0,-318959.5815,-857380.17336,-357787.98497999995,312123.95917000005,-277.2312210299997,979043.417,898390.48399,79937.41354999998,-1111.000693,0.0,0.0,0.0,0.0,-1513920.4291000003,10483263.17336,9983670.98498,9313759.04083,9626160.23122103,8646839.583,8727492.51601,9545945.58645,9626994.000693,9625883.0,9625883.0,9625883.0,9625883.0,11139803.4291
673,"Champaign-Urbana, IL Metro Area-Bus",2009,0,21,9814735.0,219977.2116,26000.35181,-9502.603143,-89289.07305,-552939.4927,355900.8862,-179865.6864,-679.0328164,0.0,0.0,0.0,0.0,443395.9302,-200167.27476000006,-368034.85383999994,312957.0604916001,21434.53785897,1148381.6661,896562.994147,320084.55515,-4226.594225,0.0,0.0,0.0,0.0,-1832880.0106000002,10014902.27476,10182769.853839999,9501777.9395084,9793300.46214103,8666353.3339,8918172.005853,9494650.44485,9818961.594225,9814735.0,9814735.0,9814735.0,9814735.0,11647615.0106
674,"Champaign-Urbana, IL Metro Area-Bus",2010,0,21,10248572.0,1121961.9440000001,-113905.4212,53395.27988,203222.9583,281594.0148,-274178.9782,73311.85026,-2076.918147,0.0,0.0,0.0,0.0,-925036.5888,19809.93683999995,-342034.5020299999,303454.4573486001,-67854.53519103001,595442.1734000001,1252463.880347,140218.86874999997,-4905.6270414,0.0,0.0,0.0,0.0,-1389484.0804,10228762.06316,10590606.50203,9945117.5426514,10316426.53519103,9653129.8266,8996108.119653,10108353.13125,10253477.6270414,10248572.0,10248572.0,10248572.0,10248572.0,11638056.0804
675,"Champaign-Urbana, IL Metro Area-Bus",2011,0,21,10680363.0,904567.3949,310033.0149,-20872.643,-191968.9906,411810.8264,240699.2342,64387.30142,-4336.987811999999,0.0,0.0,0.0,0.0,-1369175.05,1141771.88084,-455939.9232299999,356849.7372286001,135368.42310897,877036.1882000001,978284.902147,213530.71900999997,-6982.5451883999995,0.0,0.0,0.0,0.0,-2314520.6692000004,9538591.11916,11136302.92323,10323513.2627714,10544994.57689103,9803326.8118,9702078.097853,10466832.28099,10687345.5451884,10680363.0,10680363.0,10680363.0,10680363.0,12994883.6692
676,"Champaign-Urbana, IL Metro Area-Bus",2012,0,21,11258845.0,57541.473210000004,-98897.27352999999,2949.387994,-202695.7761,-9597.203954999999,-248204.0522,78984.9273,4898.515069,0.0,0.0,0.0,0.0,991109.1185,2046339.27574,-145906.9083299999,335977.0942286001,-56600.56749103,1288847.0146,1218984.136347,277918.02043,-11319.533000399999,0.0,0.0,0.0,0.0,-3683695.7192,9212505.72426,11404751.90833,10922867.9057714,11315445.56749103,9969997.9854,10039860.863653,10980926.97957,11270164.5330004,11258845.0,11258845.0,11258845.0,11258845.0,14942540.7192
677,"Champaign-Urbana, IL Metro Area-Bus",2013,0,21,12532124.0,405111.3529,252943.5055,-6434.248703,80799.87524,-73042.87739,254318.3481,-58745.41335,-1985.459608,0.0,0.0,0.0,0.0,401650.0424,2103880.74895,-244804.1818599999,338926.4822226001,-259296.34359103,1279249.810645,970780.084147,356902.94772999996,-6421.017931399999,0.0,0.0,0.0,0.0,-2692586.6007000003,10428243.25105,12776928.18186,12193197.5177774,12791420.34359103,11252874.189355,11561343.915853,12175221.05227,12538545.0179314,12532124.0,12532124.0,12532124.0,12532124.0,15224710.6007
678,"Champaign-Urbana, IL Metro Area-Bus",2014,0,21,13470668.0,315707.4294,114867.4996,30386.92265,272758.188,-151811.6547,-358291.4044,95470.27558,-3093.888206,0.0,0.0,0.0,0.0,632787.9773,2508992.1018499997,8139.323640000104,332492.23351960006,-178496.46835103,1206206.933255,1225098.432247,298157.53437999997,-8406.477539399999,0.0,0.0,0.0,0.0,-2290936.5583,10961675.89815,13462528.67636,13138175.7664804,13649164.46835103,12264461.066745,12245569.567753,13172510.46562,13479074.4775394,13470668.0,13470668.0,13470668.0,13470668.0,15761604.5583
