,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,WEIGHTED_POP_DENSITY_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,WEIGHTED_POP_DENSITY_log_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_WEIGHTED_POP_DENSITY_log_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
828,"Cincinnati-Middletown, OH-KY-IN Metro Area-Bus",2002,0,24,29636167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29636167.0,29636167.0,29636167.0,29636167.0,29636167.0,29636167.0,29636167.0,29636167.0,29636167.0,29636167.0,29636167.0,29636167.0,29636167.0
829,"Cincinnati-Middletown, OH-KY-IN Metro Area-Bus",2003,0,24,29331833.0,-774865.3341,-188224.2846,105681.9786,-383.6251152,517749.7641,224933.5423,72147.5068,0.0,0.0,0.0,0.0,0.0,-244927.4317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29331833.0,29331833.0,29331833.0,29331833.0,29331833.0,29331833.0,29331833.0,29331833.0,29331833.0,29331833.0,29331833.0,29331833.0,29331833.0
830,"Cincinnati-Middletown, OH-KY-IN Metro Area-Bus",2004,0,24,28659580.0,-297353.055,-138335.4144,102880.5641,-1642.708951,668029.0261,311495.644,73573.17219,0.0,0.0,0.0,0.0,0.0,-1388246.495,-774865.3341,-188224.2846,105681.9786,-383.6251152,517749.7641,224933.5423,72147.5068,0.0,0.0,0.0,0.0,0.0,-244927.4317,29434445.3341,28847804.2846,28553898.0214,28659963.6251152,28141830.2359,28434646.4577,28587432.4932,28659580.0,28659580.0,28659580.0,28659580.0,28659580.0,28904507.4317
831,"Cincinnati-Middletown, OH-KY-IN Metro Area-Bus",2005,0,24,26807888.0,-414008.5788,-1678821.485,96510.44452,6394.381811,884794.0202,299033.0165,65536.74356,0.0,0.0,0.0,0.0,0.0,-1053098.616,-1072218.3891,-326559.699,208562.5427,-2026.3340662,1185778.7902,536429.1863,145720.67899,0.0,0.0,0.0,0.0,0.0,-1633173.9267000002,27880106.3891,27134447.699,26599325.4573,26809914.3340662,25622109.2098,26271458.8137,26662167.32101,26807888.0,26807888.0,26807888.0,26807888.0,26807888.0,28441061.9267
832,"Cincinnati-Middletown, OH-KY-IN Metro Area-Bus",2006,0,24,25873478.0,-726526.4832,-567551.6661,106371.4054,-11556.46783,433558.4146,344522.1196,83088.57463999999,4728.315087,0.0,0.0,0.0,0.0,-581264.9111,-1486226.9679,-2005381.1840000001,305072.98722,4368.0477448,2070572.8103999998,835462.2028,211257.42255,0.0,0.0,0.0,0.0,0.0,-2686272.5427,27359704.9679,27878859.184,25568405.01278,25869109.9522552,23802905.1896,25038015.7972,25662220.57745,25873478.0,25873478.0,25873478.0,25873478.0,25873478.0,28559750.5427
833,"Cincinnati-Middletown, OH-KY-IN Metro Area-Bus",2007,0,24,26343691.0,-1333044.002,222278.3563,45630.88807,10979.15149,342078.5722,130079.6686,-3812.501879,-4562.701190999999,0.0,0.0,0.0,0.0,1092116.904,-2212753.4511,-2572932.8501000004,411444.39262,-7188.420085199999,2504131.2249999996,1179984.3224,294345.99718999997,4728.315087,0.0,0.0,0.0,0.0,-3267537.4538000003,28556444.4511,28916623.8501,25932246.60738,26350879.4200852,23839559.775,25163706.6776,26049345.00281,26338962.684913,26343691.0,26343691.0,26343691.0,26343691.0,29611228.4538
834,"Cincinnati-Middletown, OH-KY-IN Metro Area-Bus",2008,0,24,25174717.0,38086.7601,-1830740.8,17068.6864,13092.01552,504951.6687,-39072.354119999996,13590.76566,0.0,0.0,0.0,0.0,0.0,151382.2945,-3545797.4531000005,-2350654.4938000003,457075.28069,3790.7314048000007,2846209.7971999994,1310063.991,290533.495311,165.61389600000075,0.0,0.0,0.0,0.0,-2175420.5498,28720514.4531,27525371.4938,24717641.71931,25170926.2685952,22328507.202800002,23864653.009,24884183.504689,25174551.386104,25174717.0,25174717.0,25174717.0,25174717.0,27350137.5498
835,"Cincinnati-Middletown, OH-KY-IN Metro Area-Bus",2009,0,24,22382864.0,-794285.7023,-1079072.226,-32513.6296,-63426.54433,-1446110.995,297499.9534,96640.11722999999,-2663.780171,0.0,0.0,0.0,0.0,129980.373,-3507710.6930000004,-4181395.2938,474143.96709,16882.7469248,3351161.4658999993,1270991.63688,304124.26097099995,165.61389600000075,0.0,0.0,0.0,0.0,-2024038.2553,25890574.693,26564259.2938,21908720.03291,22365981.2530752,19031702.5341,21111872.36312,22078739.739029,22382698.386104,22382864.0,22382864.0,22382864.0,22382864.0,24406902.2553
836,"Cincinnati-Middletown, OH-KY-IN Metro Area-Bus",2010,0,24,19734033.0,-1604299.8169999998,-1318404.955,-53522.387189999994,212718.4865,642185.5033,168898.2794,-244386.6112,3158.215732,0.0,0.0,0.0,0.0,-457135.1991,-4301996.395300001,-5260467.5198,441630.33749,-46543.79740519999,1905050.4708999991,1568491.59028,400764.3782009999,-2498.166274999999,0.0,0.0,0.0,0.0,-1894057.8823000002,24036029.3953,24994500.5198,19292402.66251,19780576.7974052,17828982.5291,18165541.40972,19333268.621799,19736531.166275,19734033.0,19734033.0,19734033.0,19734033.0,21628090.8823
837,"Cincinnati-Middletown, OH-KY-IN Metro Area-Bus",2011,0,24,20175958.0,-99534.65976000001,549131.1458,5697.177207,-181135.1159,792958.125,126109.1239,40754.84142,-3480.0306270000005,0.0,0.0,0.0,0.0,-801634.5555,-5906296.212300001,-6578872.4748,388107.9503,166174.6890948,2547235.974199999,1737389.86968,156377.7670009999,660.049457000001,0.0,0.0,0.0,0.0,-2351193.0814,26082254.212300003,26754830.474799998,19787850.0497,20009783.3109052,17628722.0258,18438568.13032,20019580.232999,20175297.950543,20175958.0,20175958.0,20175958.0,20175958.0,22527151.0814
838,"Cincinnati-Middletown, OH-KY-IN Metro Area-Bus",2012,0,24,20944431.0,188628.5455,359458.0309,12492.89511,-3763.242642,-18129.79427,32663.00252,71482.68745,2846.821924,0.0,0.0,0.0,0.0,116693.7809,-6005830.872060001,-6029741.329,393805.127507,-14960.426805199997,3340194.099199999,1863498.99358,197132.6084209999,-2819.9811699999996,0.0,0.0,0.0,0.0,-3152827.6369000003,26950261.87206,26974172.329,20550625.872493,20959391.4268052,17604236.9008,19080932.00642,20747298.391579,20947250.98117,20944431.0,20944431.0,20944431.0,20944431.0,24097258.6369
839,"Cincinnati-Middletown, OH-KY-IN Metro Area-Bus",2013,0,24,20266351.0,68894.58873999999,-47161.09908,-6837.433492,107797.1199,-135879.0804,82305.14987000001,-4629.126838,-2954.836319,0.0,0.0,0.0,0.0,-738654.2025,-5817202.326560001,-5670283.2981,406298.022617,-18723.669447199998,3322064.304929999,1896161.9961,268615.2958709999,26.840754000000288,0.0,0.0,0.0,0.0,-3036133.856,26083553.32656,25936634.298100002,19860052.977383,20285074.6694472,16944286.695070002,18370189.0039,19997735.704129,20266324.159246,20266351.0,20266351.0,20266351.0,20266351.0,23302484.856
840,"Cincinnati-Middletown, OH-KY-IN Metro Area-Bus",2014,0,24,19998183.0,577343.8508,134868.497,25583.305669999998,-25755.93007,-245502.5406,-227323.3253,77797.99616,-1429.636886,0.0,0.0,109510.6527,0.0,-685726.8519,-5748307.737820001,-5717444.39718,399460.589125,89073.45045280001,3186185.2245299993,1978467.1459700002,263986.1690329999,-2927.9955649999997,0.0,0.0,0.0,0.0,-3774788.0585000003,25746490.73782,25715627.39718,19598722.410875,19909109.5495472,16811997.77547,18019715.85403,19734196.830967,20001110.995565,19998183.0,19998183.0,19998183.0,19998183.0,23772971.0585
841,"Cincinnati-Middletown, OH-KY-IN Metro Area-Bus",2015,0,24,19469806.0,-101247.5155,52209.55953,17386.00748,111062.6212,-1164552.144,-314181.476,-123391.0902,-705.3722767,-473556.876,0.0,0.0,0.0,1412354.233,-5170963.887020001,-5582575.90018,425043.894795,63317.52038280001,2940682.6839299994,1751143.8206700003,341784.1651929999,-4357.6324509999995,0.0,0.0,109510.6527,0.0,-4460514.9104,24640769.88702,25052381.90018,19044762.105205,19406488.4796172,16529123.316070002,17718662.17933,19128021.834807,19474163.632451,19469806.0,19469806.0,19360295.3473,19469806.0,23930320.9104
842,"Cincinnati-Middletown, OH-KY-IN Metro Area-Bus",2016,0,24,18307151.0,242048.7657,-222612.0445,14136.527930000002,47400.17041,-386222.1995,-230341.1116,-22939.44439,-8925.671865999999,-461044.9112,0.0,0.0,0.0,-147900.5245,-5272211.402520001,-5530366.34065,442429.902275,174380.14158280002,1776130.5399299993,1436962.3446700003,218393.07499299987,-5063.004727699999,-473556.876,0.0,109510.6527,0.0,-3048160.6774000004,23579362.40252,23837517.34065,17864721.097725,18132770.8584172,16531020.460070001,16870188.65533,18088757.925007,18312214.0047277,18780707.876,18307151.0,18197640.3473,18307151.0,21355311.6774
843,"Cincinnati-Middletown, OH-KY-IN Metro Area-Bus",2017,0,24,17386467.0,13178.04291,153611.1199,27154.985539999998,29454.28832,262022.1161,104570.2403,-8091.578973999999,4520.723317,-433513.2464,0.0,0.0,0.0,-1066103.248,-5030162.636820001,-5752978.3851499995,456566.430205,221780.3119928,1389908.3404299994,1206621.2330700003,195453.63060299988,-13988.676593699998,-934601.7871999999,0.0,109510.6527,0.0,-3196061.2019,22416629.63682,23139445.38515,16929900.569795,17164686.6880072,15996558.659570001,16179845.766929999,17191013.369397,17400455.6765937,18321068.7872,17386467.0,17276956.3473,17386467.0,20582528.2019
844,"Cincinnati-Middletown, OH-KY-IN Metro Area-Bus",2018,0,24,16681391.0,-187567.3995,100479.9514,18029.15144,91593.49242000001,304209.1654,-565.8750391,-11525.69489,1226.5695039999998,-411711.4538,0.0,0.0,-1062420.3909999998,455610.4769,-5016984.59391,-5599367.265249999,483721.415745,251234.6003128,1651930.4565299994,1311191.4733700003,187362.05162899988,-9467.953276699998,-1368115.0336,0.0,109510.6527,0.0,-4262164.4499,21698375.59391,22280758.265249997,16197669.584255,16430156.3996872,15029460.54347,15370199.52663,16494028.948371,16690858.9532767,18049506.0336,16681391.0,16571880.3473,16681391.0,20943555.4499
