,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,WEIGHTED_POP_DENSITY_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,WEIGHTED_POP_DENSITY_log_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_WEIGHTED_POP_DENSITY_log_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
913,"Columbia, MO Metro Area-Bus",2002,0,33,496539.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,496539.0,496539.0,496539.0,496539.0,496539.0,496539.0,496539.0,496539.0,496539.0,496539.0,496539.0,496539.0,496539.0
914,"Columbia, MO Metro Area-Bus",2003,0,33,482363.0,51905.08601,-98190.32809,4606.207926,72.06953042,8674.635627,-1684.4326640000002,-3390.8333820000003,0.0,0.0,0.0,0.0,0.0,35076.76192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,482363.0,482363.0,482363.0,482363.0,482363.0,482363.0,482363.0,482363.0,482363.0,482363.0,482363.0,482363.0,482363.0
915,"Columbia, MO Metro Area-Bus",2004,0,33,523318.0,0.0,20693.81999,3588.692274,219.15932790000002,10985.76025,-109.2409111,-3188.119403,0.0,0.0,0.0,0.0,0.0,8284.826312000001,51905.08601,-98190.32809,4606.207926,72.06953042,8674.635627,-1684.4326640000002,-3390.8333820000003,0.0,0.0,0.0,0.0,0.0,35076.76192,471412.91399000003,621508.32809,518711.792074,523245.93046958,514643.364373,525002.432664,526708.833382,523318.0,523318.0,523318.0,523318.0,523318.0,488241.23808
916,"Columbia, MO Metro Area-Bus",2005,0,33,514097.0,0.0,-2705.953492,4359.025177,-1015.3520980000001,16156.155709999999,303.5900793,-3190.6100260000003,0.0,0.0,0.0,0.0,0.0,-23026.54146,51905.08601,-77496.50809999999,8194.9002,291.22885832000003,19660.395877,-1793.6735751,-6578.952785,0.0,0.0,0.0,0.0,0.0,43361.588231999995,462191.91399000003,591593.5081,505902.0998,513805.77114168,494436.604123,515890.6735751,520675.952785,514097.0,514097.0,514097.0,514097.0,514097.0,470735.411768
917,"Columbia, MO Metro Area-Bus",2006,0,33,854010.0,79130.72205,39682.141560000004,4255.935964,2068.051728,8314.384194,308.7505432,-3397.8614039999998,-126.9185212,0.0,0.0,0.0,0.0,200761.8104,51905.08601,-80202.46159199999,12553.925377,-724.1232396800001,35816.551586999994,-1490.0834958,-9769.562811,0.0,0.0,0.0,0.0,0.0,20335.046771999994,802104.91399,934212.461592,841456.074623,854734.12323968,818193.448413,855500.0834958,863779.562811,854010.0,854010.0,854010.0,854010.0,854010.0,833674.953228
918,"Columbia, MO Metro Area-Bus",2007,0,33,715052.0,-113916.5036,-23051.43911,2691.030174,-3635.70246,11291.041790000001,3162.608935,-2701.47445,0.0,0.0,0.0,0.0,0.0,-14153.71432,131035.80806,-40520.32003199999,16809.861341,1343.9284883199998,44130.93578099999,-1181.3329526,-13167.424215,-126.9185212,0.0,0.0,0.0,0.0,221096.857172,584016.19194,755572.320032,698242.138659,713708.07151168,670921.064219,716233.3329526,728219.424215,715178.9185212,715052.0,715052.0,715052.0,715052.0,493955.142828
919,"Columbia, MO Metro Area-Bus",2008,0,33,1553757.0,0.0,68382.57626,185.8333943,-2316.884149,13706.002730000002,7802.388695999999,5712.783311,-100.87939940000001,0.0,0.0,0.0,0.0,742684.3887,17119.30446,-63571.75914199999,19500.891515,-2291.77397168,55421.977570999996,1981.2759824000002,-15868.898664999999,-126.9185212,0.0,0.0,0.0,0.0,206943.142852,1536637.69554,1617328.759142,1534256.108485,1556048.77397168,1498335.0224290001,1551775.7240176,1569625.898665,1553883.9185212,1553757.0,1553757.0,1553757.0,1553757.0,1346813.857148
920,"Columbia, MO Metro Area-Bus",2009,0,33,1958423.0,961501.8645,-27418.565469999998,732.2895316,42556.87056,-89252.44648,4999.394276,-2859.4363510000003,548.1446772999999,0.0,0.0,0.0,0.0,-439561.4825,17119.30446,4810.817118000014,19686.7249093,-4608.65812068,69127.980301,9783.664678399999,-10156.115353999998,-227.7979206,0.0,0.0,0.0,0.0,949627.531552,1941303.69554,1953612.182882,1938736.2750907,1963031.65812068,1889295.019699,1948639.3353216,1968579.115354,1958650.7979206,1958423.0,1958423.0,1958423.0,1958423.0,1008795.468448
921,"Columbia, MO Metro Area-Bus",2010,0,33,2069027.0,-31976.83157,-23968.60596,9640.608167,-126204.0923,56189.00512,54317.10435,-3460.119232,-207.2241112,0.0,0.0,0.0,0.0,181189.8526,978621.16896,-22607.748351999984,20419.0144409,37948.21243932001,-20124.466178999995,14783.0589544,-13015.551704999998,320.3467566999999,0.0,0.0,0.0,0.0,510066.049052,1090405.83104,2091634.748352,2048607.9855591,2031078.78756068,2089151.466179,2054243.9410456,2082042.551705,2068706.6532433,2069027.0,2069027.0,2069027.0,2069027.0,1558960.950948
922,"Columbia, MO Metro Area-Bus",2011,0,33,2192062.0,-192166.2547,7198.9593939999995,4846.220706,206944.6581,83138.18926,-40374.9213,-5936.960841,-437.8314568,0.0,0.0,0.0,0.0,80673.16229,946644.33739,-46576.35431199998,30059.622607899997,-88255.87986068,36064.538941000006,69100.1633044,-16475.670937,113.12264549999989,0.0,0.0,0.0,0.0,691255.901652,1245417.66261,2238638.354312,2162002.3773921,2280317.87986068,2155997.461059,2122961.8366956,2208537.670937,2191948.8773545,2192062.0,2192062.0,2192062.0,2192062.0,1500806.098348
