,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,WEIGHTED_POP_DENSITY_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,WEIGHTED_POP_DENSITY_log_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_WEIGHTED_POP_DENSITY_log_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
1121,"Denver-Aurora-Broomfield, CO Metro Area-Rail",2002,1,10,10423313.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10423313.26,10423313.26,10423313.26,10423313.26,10423313.26,10423313.26,10423313.26,10423313.26,10423313.26,10423313.26,10423313.26,10423313.26,10423313.26
1122,"Denver-Aurora-Broomfield, CO Metro Area-Rail",2003,1,10,10629595.41,1749434.604,307556.3127,39523.74225,-341.92014480000006,211422.2745,82024.90307,13833.22941,0.0,0.0,0.0,0.0,0.0,-2322747.248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10629595.41,10629595.41,10629595.41,10629595.41,10629595.41,10629595.41,10629595.41,10629595.41,10629595.41,10629595.41,10629595.41,10629595.41,10629595.41
1123,"Denver-Aurora-Broomfield, CO Metro Area-Rail",2004,1,10,10023114.52,615021.8772,-360576.591,40261.3073,777.9894662,224541.1946,117025.9884,14106.995359999999,0.0,0.0,0.0,0.0,0.0,-1249905.717,1749434.604,307556.3127,39523.74225,-341.92014480000006,211422.2745,82024.90307,13833.22941,0.0,0.0,0.0,0.0,0.0,-2322747.248,8273679.915999999,9715558.2073,9983590.77775,10023456.4401448,9811692.2455,9941089.61693,10009281.29059,10023114.52,10023114.52,10023114.52,10023114.52,10023114.52,12345861.768
1124,"Denver-Aurora-Broomfield, CO Metro Area-Rail",2005,1,10,10443359.22,58542.61922000001,184604.7464,34800.3284,-869.4888921,302594.4721,104096.4865,10344.55947,0.0,0.0,0.0,0.0,0.0,-291043.4851,2364456.4812000003,-53020.278300000005,79785.04955,436.0693214,435963.4691,199050.89147,27940.22477,0.0,0.0,0.0,0.0,0.0,-3572652.965,8078902.7388,10496379.498300001,10363574.17045,10442923.150678601,10007395.7509,10244308.32853,10415418.99523,10443359.22,10443359.22,10443359.22,10443359.22,10443359.22,14016012.185
1125,"Denver-Aurora-Broomfield, CO Metro Area-Rail",2006,1,10,11524345.24,1157124.85,22029.4421,42726.37763,-267.1766336,172460.1974,152141.2053,18483.86404,368.3692617,0.0,0.0,0.0,0.0,-535207.4375,2422999.1004200005,131584.4681,114585.37795,-433.41957070000007,738557.9412,303147.37797000003,38284.78424,0.0,0.0,0.0,0.0,0.0,-3863696.4501,9101346.13958,11392760.7719,11409759.86205,11524778.6595707,10785787.2988,11221197.86203,11486060.45576,11524345.24,11524345.24,11524345.24,11524345.24,11524345.24,15388041.6901
1126,"Denver-Aurora-Broomfield, CO Metro Area-Rail",2007,1,10,18791012.62,8245273.642999999,-538523.7794,34104.20104,5022.659548,125721.1108,-1918.3639660000001,-16970.06708,-2438.692615,0.0,0.0,0.0,0.0,-289721.5497,3580123.9504200006,153613.91019999998,157311.75558,-700.5962043000001,911018.1386,455288.58327000006,56768.64828,368.3692617,0.0,0.0,0.0,0.0,-4398903.8876,15210888.669580001,18637398.7098,18633700.86442,18791713.2162043,17879994.4814,18335724.036730003,18734243.971720003,18790644.2507383,18791012.62,18791012.62,18791012.62,18791012.62,23189916.507600002
1127,"Denver-Aurora-Broomfield, CO Metro Area-Rail",2008,1,10,20622681.96,-181883.0757,-484541.9429,34397.73537,-22179.78832,367246.8328,203997.3429,126417.0407,0.0,0.0,0.0,0.0,0.0,1800541.9319999998,11825397.593419999,-384909.8692,191415.95662,4322.0633437,1036739.2494,453370.2193040001,39798.5812,-2070.3233533,0.0,0.0,0.0,0.0,-4688625.4373,8797284.366580002,21007591.8292,20431266.00338,20618359.8966563,19585942.7106,20169311.740696,20582883.3788,20624752.283353303,20622681.96,20622681.96,20622681.96,20622681.96,25311307.3973
1128,"Denver-Aurora-Broomfield, CO Metro Area-Rail",2009,1,10,19747534.37,-729435.3867,-582764.443,10857.72969,43810.96324,-1244092.0990000002,276011.4038,-119692.2775,-2909.444026,0.0,0.0,0.0,0.0,1400390.235,11643514.517719999,-869451.8121,225813.69199000002,-17857.7249763,1403986.0822,657367.5622040001,166215.6219,-2070.3233533,0.0,0.0,0.0,0.0,-2888083.5053000003,8104019.852280002,20616986.1821,19521720.67801,19765392.094976302,18343548.2878,19090166.807796,19581318.7481,19749604.693353303,19747534.37,19747534.37,19747534.37,19747534.37,22635617.8753
1129,"Denver-Aurora-Broomfield, CO Metro Area-Rail",2010,1,10,19819826.96,-445739.4505,313388.0215,11522.38189,4947.079061,621363.0635,63721.66506,56827.54316,0.0,0.0,0.0,106707.1905,0.0,-655931.879,10914079.131019998,-1452216.2551,236671.42168000003,25953.238263699997,159893.9831999999,933378.966004,46523.3444,-4979.767379299999,0.0,0.0,0.0,0.0,-1487693.2703000002,8905747.828980003,21272043.2151,19583155.53832,19793873.7217363,19659932.976800002,18886447.993996,19773303.6156,19824806.7273793,19819826.96,19819826.96,19819826.96,19819826.96,21307520.2303
1130,"Denver-Aurora-Broomfield, CO Metro Area-Rail",2011,1,10,20682298.17,-33839.1442,-807363.1402,34881.159419999996,-91887.93258,678451.2638,40109.75153,-23351.84122,2097.391961,0.0,0.0,0.0,0.0,1090636.2140000002,10468339.680519998,-1138828.2336,248193.80357000002,30900.317324699998,781257.0467,997100.6310640001,103350.88756,-4979.767379299999,0.0,0.0,106707.1905,0.0,-2143625.1493,10213958.489480004,21821126.4036,20434104.366430003,20651397.8526753,19901041.1233,19685197.538936,20578947.282440003,20687277.9373793,20682298.17,20682298.17,20575590.979500003,20682298.17,22825923.319300003
1131,"Denver-Aurora-Broomfield, CO Metro Area-Rail",2012,1,10,20626684.56,1032667.0340000001,-406692.2763,46631.87386,385442.6436,5241.3772770000005,85813.45325,-21323.57961,-2917.8546690000003,0.0,0.0,0.0,0.0,-1177027.74,10434500.536319997,-1946191.3738,283074.96299,-60987.6152553,1459708.3105,1037210.3825940001,79999.04634,-2882.3754182999996,0.0,0.0,106707.1905,0.0,-1052988.9353,10192184.023680001,22572875.933799997,20343609.597009998,20687672.1752553,19166976.2495,19589474.177405998,20546685.51366,20629566.9354183,20626684.56,20626684.56,20519977.3695,20626684.56,21679673.4953
1132,"Denver-Aurora-Broomfield, CO Metro Area-Rail",2013,1,10,23759578.69,3351350.815,-3166205.945,55368.396889999996,363849.6778,-123744.44099999999,1799.078021,-36442.98905,-5819.606879999999,0.0,0.0,0.0,0.0,3213324.4680000003,11467167.570319997,-2352883.6501,329706.83685,324455.0283447,1464949.687777,1123023.835844,58675.46673,-5800.2300873,0.0,0.0,106707.1905,0.0,-2230016.6753000002,12292411.119680004,26112462.3401,23429871.853150003,23435123.661655303,22294629.002223,22636554.854156002,23700903.223270003,23765378.9200873,23759578.69,23759578.69,23652871.499500003,23759578.69,25989595.3653
1133,"Denver-Aurora-Broomfield, CO Metro Area-Rail",2014,1,10,26347235.17,1820161.4880000001,4567750.51,78271.87111000001,414215.4488,-185557.7064,-308565.5754,17512.816609999998,4190.661136,0.0,-249215.9041,0.0,0.0,-3847585.582,14818518.385319997,-5519089.5951000005,385075.23374,688304.7061447001,1341205.246777,1124822.913865,22232.477680000004,-11619.8369673,0.0,0.0,106707.1905,0.0,983307.7927000001,11528716.784680005,31866324.765100002,25962159.936260004,25658930.4638553,25006029.923223004,25222412.256135,26325002.69232,26358855.006967302,26347235.17,26347235.17,26240527.979500003,26347235.17,25363927.3773
1134,"Denver-Aurora-Broomfield, CO Metro Area-Rail",2015,1,10,25503266.85,-108211.3394,-542658.9636,77317.43416,418781.8796,-1466544.0680000002,-460952.8318,-127814.666,-6504.515927,0.0,-276358.0162,0.0,0.0,1586961.6940000001,16638679.873319997,-951339.0851000007,463347.10485,1102520.1549447002,1155647.5403769999,816257.338465,39745.294290000005,-7429.1758313,0.0,-249215.9041,106707.1905,0.0,-2864277.7893,8864586.976680005,26454605.935100004,25039919.74515,24400746.695055302,24347619.309623003,24687009.511535,25463521.555710003,25510696.0258313,25503266.85,25752482.754100002,25396559.659500003,25503266.85,28367544.6393
1135,"Denver-Aurora-Broomfield, CO Metro Area-Rail",2016,1,10,28885145.51,3493767.732,-1438567.6409999998,63734.36157000001,293061.7551,-515206.5035,-12922.276170000001,-30048.10482,-7195.484412000001,0.0,-267505.5727,0.0,0.0,2038690.247,16530468.533919996,-1493998.0487000006,540664.53901,1521302.0345447003,-310896.5276230003,355304.50666500005,-88069.37170999999,-13933.6917583,0.0,-525573.9203,106707.1905,0.0,-1277316.0952999997,12354676.976080006,30379143.558700003,28344480.970990002,27363843.475455303,29196042.037623003,28529841.003335003,28973214.88171,28899079.201758303,28885145.51,29410719.4303,28778438.319500003,28885145.51,30162461.6053
1136,"Denver-Aurora-Broomfield, CO Metro Area-Rail",2017,1,10,31576757.57,3810027.896,-585249.8648,75423.39018,250027.5862,462515.9912,-269182.1187,10643.43526,-4075.110803,0.0,-302978.3375,0.0,0.0,-694921.6985,20024236.265919995,-2932565.6897000005,604398.9005799999,1814363.7896447002,-826103.0311230003,342382.230495,-118117.47652999999,-21129.1761703,0.0,-793079.493,106707.1905,0.0,761374.1517000003,11552521.304080006,34509323.2597,30972358.66942,29762393.7803553,32402860.601123,31234375.339505002,31694875.04653,31597886.7461703,31576757.57,32369837.063,31470050.3795,31576757.57,30815383.4183
1137,"Denver-Aurora-Broomfield, CO Metro Area-Rail",2018,1,10,32921882.01,-1452830.28,-1381782.7240000002,72675.10671000001,404508.8979,693980.9585,-249252.056,0.0,-5568.455442,0.0,-331210.8471,0.0,-1929534.686,5381789.715,23834264.161919996,-3517815.5545000006,679822.2907599999,2064391.3758447003,-363587.0399230003,73200.11179500003,-107474.04126999999,-25204.2869733,0.0,-1096057.8305000002,106707.1905,0.0,66452.45320000022,9087617.848080005,36439697.564500004,32242059.719240002,30857490.634155303,33285469.049923003,32848681.898205,33029356.05127,32947086.296973303,32921882.01,34017939.840500005,32815174.819500003,32921882.01,32855429.5568
