,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,WEIGHTED_POP_DENSITY_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,WEIGHTED_POP_DENSITY_log_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_WEIGHTED_POP_DENSITY_log_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
1575,"Harrisonburg, VA Metro Area-Bus",2006,0,31,1396604.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1396604.0,1396604.0,1396604.0,1396604.0,1396604.0,1396604.0,1396604.0,1396604.0,1396604.0,1396604.0,1396604.0,1396604.0,1396604.0
1576,"Harrisonburg, VA Metro Area-Bus",2007,0,31,1471087.0,-25181.92439,19604.34221,4644.5652310000005,1773.4615410000001,10709.62339,5741.869164,18124.72986,49.26250008,0.0,0.0,0.0,0.0,39120.9512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1471087.0,1471087.0,1471087.0,1471087.0,1471087.0,1471087.0,1471087.0,1471087.0,1471087.0,1471087.0,1471087.0,1471087.0,1471087.0
1577,"Harrisonburg, VA Metro Area-Bus",2008,0,31,1558750.0,76592.15005,-23399.16001,1192.8058939999999,626.3783949,37223.98935,11996.354370000001,6191.313177,1090.069066,0.0,0.0,0.0,0.0,-25339.78623,-25181.92439,19604.34221,4644.5652310000005,1773.4615410000001,10709.62339,5741.869164,18124.72986,49.26250008,0.0,0.0,0.0,0.0,39120.9512,1583931.92439,1539145.65779,1554105.434769,1556976.538459,1548040.37661,1553008.130836,1540625.27014,1558700.73749992,1558750.0,1558750.0,1558750.0,1558750.0,1519629.0488
1578,"Harrisonburg, VA Metro Area-Bus",2009,0,31,1761789.0,80553.89816,26544.5305,-291.8055712,-7074.394445999999,-92196.49184,57542.712510000005,-3212.5052149999997,549.9061408,0.0,0.0,0.0,0.0,145725.8406,51410.22566,-3794.8178000000007,5837.371125000001,2399.8399359,47933.612740000004,17738.223534,24316.043037,1139.3315660800001,0.0,0.0,0.0,0.0,13781.164970000002,1710378.77434,1765583.8178,1755951.628875,1759389.1600641,1713855.38726,1744050.776466,1737472.956963,1760649.66843392,1761789.0,1761789.0,1761789.0,1761789.0,1748007.83503
1579,"Harrisonburg, VA Metro Area-Bus",2010,0,31,1951766.0,63934.375570000004,66840.07504,4173.557206,40675.221,47689.45143,-32889.52549,-24364.22064,-1739.133777,0.0,0.0,0.0,0.0,22084.45058,131964.12381999998,22749.7127,5545.565553800001,-4674.554510099999,-44262.8791,75280.936044,21103.537822,1689.2377068800001,0.0,0.0,0.0,0.0,159507.00557,1819801.8761800001,1929016.2873,1946220.4344462,1956440.5545101,1996028.8791,1876485.063956,1930662.462178,1950076.76229312,1951766.0,1951766.0,1951766.0,1951766.0,1792258.99443
1580,"Harrisonburg, VA Metro Area-Bus",2011,0,31,2296223.0,114586.0483,64972.71505,4033.2473689999997,-47040.26724,77106.38045,2456.375106,-17038.422980000003,137.69195630000002,0.0,0.0,0.0,0.0,141837.7066,195898.49938999998,89589.78774,9719.1227598,36000.6664899,3426.5723300000027,42391.410554,-3260.682818000001,-49.89607011999988,0.0,0.0,0.0,0.0,181591.45615,2100324.50061,2206633.21226,2286503.8772402,2260222.3335101,2292796.42767,2253831.589446,2299483.682818,2296272.89607012,2296223.0,2296223.0,2296223.0,2296223.0,2114631.54385
1581,"Harrisonburg, VA Metro Area-Bus",2012,0,31,2608335.0,88888.9649,44271.25434,3108.022502,15684.49607,-859.9253492999999,62695.74359,60159.8066,-1052.672689,0.0,0.0,0.0,0.0,26580.02317,310484.54769,154562.50279,13752.370128800001,-11039.600750099999,80532.95277999999,44847.78566,-20299.105798000004,87.79588618000014,0.0,0.0,0.0,0.0,323429.16275,2297850.45231,2453772.49721,2594582.6298712,2619374.6007501,2527802.04722,2563487.21434,2628634.105798,2608247.20411382,2608335.0,2608335.0,2608335.0,2608335.0,2284905.83725
1582,"Harrisonburg, VA Metro Area-Bus",2013,0,31,2798167.0,91636.24897,11967.88976,1470.56993,45982.38517,-16896.94686,-9354.506544,-50812.08013,2761.531052,0.0,0.0,0.0,0.0,114588.0514,399373.51259,198833.75712999998,16860.3926308,4644.895319900001,79673.02743069999,107543.52924999999,39860.700802,-964.8768028199999,0.0,0.0,0.0,0.0,350009.18592,2398793.48741,2599333.24287,2781306.6073692,2793522.1046801,2718493.9725693,2690623.47075,2758306.299198,2799131.87680282,2798167.0,2798167.0,2798167.0,2798167.0,2448157.81408
1583,"Harrisonburg, VA Metro Area-Bus",2014,0,31,2806256.0,42750.30282,-32696.702569999998,3358.1497659999995,36650.2171,-27775.88386,-104552.6333,8672.660362,-789.4740367,0.0,0.0,0.0,0.0,84326.00744,491009.76156,210801.64688999997,18330.962560800002,50627.280489900004,62776.080570699996,98189.02270599999,-10951.379328000003,1796.65424918,0.0,0.0,0.0,0.0,464597.23732,2315246.23844,2595454.35311,2787925.0374392,2755628.7195101,2743479.9194293,2708066.977294,2817207.379328,2804459.34575082,2806256.0,2806256.0,2806256.0,2806256.0,2341658.76268
1584,"Harrisonburg, VA Metro Area-Bus",2015,0,31,2767818.0,114269.7157,-23934.44509,631.890945,29036.82893,-168791.4469,43770.80126,18671.01045,-1385.4268630000001,0.0,0.0,0.0,0.0,-42503.242589999994,533760.06438,178104.94431999998,21689.1123268,87277.49758990001,35000.196710699995,-6363.6105940000125,-2278.718966000002,1007.18021248,0.0,0.0,0.0,0.0,548923.24476,2234057.93562,2589713.05568,2746128.8876732,2680540.5024101,2732817.8032893,2774181.610594,2770096.718966,2766810.81978752,2767818.0,2767818.0,2767818.0,2767818.0,2218894.75524
