,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,WEIGHTED_POP_DENSITY_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,WEIGHTED_POP_DENSITY_log_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_WEIGHTED_POP_DENSITY_log_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
1622,"Hickory-Lenoir-Morganton, NC Metro Area-Bus",2009,0,34,145230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145230.0,145230.0,145230.0,145230.0,145230.0,145230.0,145230.0,145230.0,145230.0,145230.0,145230.0,145230.0,145230.0
1623,"Hickory-Lenoir-Morganton, NC Metro Area-Bus",2010,0,34,134222.0,701.459297,-16527.54754,154.1655036,-990.0347509,3931.196659,-1709.160457,-991.7664717,-15.36703647,0.0,0.0,0.0,0.0,4621.917546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134222.0,134222.0,134222.0,134222.0,134222.0,134222.0,134222.0,134222.0,134222.0,134222.0,134222.0,134222.0,134222.0
1624,"Hickory-Lenoir-Morganton, NC Metro Area-Bus",2011,0,34,148127.0,41751.53362,13848.428269999999,-22.66137783,2478.231093,5302.568339,2069.716631,684.123487,-37.86935667,0.0,0.0,0.0,0.0,-61536.95228,701.459297,-16527.54754,154.1655036,-990.0347509,3931.196659,-1709.160457,-991.7664717,-15.36703647,0.0,0.0,0.0,0.0,4621.917546,147425.540703,164654.54754,147972.8344964,149117.0347509,144195.803341,149836.160457,149118.7664717,148142.36703647,148127.0,148127.0,148127.0,148127.0,143505.082454
1625,"Hickory-Lenoir-Morganton, NC Metro Area-Bus",2012,0,34,148031.0,16812.94052,-218.2571079,20.13167237,-3358.508546,-55.47290582,1191.127883,-501.202858,31.35212211,0.0,0.0,0.0,0.0,-13672.74755,42452.992917,-2679.119270000001,131.50412577,1488.1963421,9233.764998,360.5561739999998,-307.64298470000006,-53.236393140000004,0.0,0.0,0.0,0.0,-56915.034734,105578.007083,150710.11927,147899.49587423,146542.8036579,138797.235002,147670.443826,148338.6429847,148084.23639314,148031.0,148031.0,148031.0,148031.0,204946.034734
1626,"Hickory-Lenoir-Morganton, NC Metro Area-Bus",2013,0,34,125083.0,-23291.73177,-14881.097109999999,44.38860153,-1155.637491,-958.9534858999999,967.7862597000001,842.2348632000001,-20.88418516,0.0,0.0,0.0,0.0,13106.391790000001,59265.933437,-2897.376377900001,151.63579814,-1870.3122039,9178.292092180001,1551.684057,-808.8458427,-21.884271030000004,0.0,0.0,0.0,0.0,-70587.782284,65817.066563,127980.3763779,124931.36420186,126953.3122039,115904.70790782,123531.315943,125891.8458427,125104.88427103,125083.0,125083.0,125083.0,125083.0,195670.78228400002
1627,"Hickory-Lenoir-Morganton, NC Metro Area-Bus",2014,0,34,116807.0,-23416.112419999998,9204.280316,7.31919255,-2143.266577,-1241.630997,-956.2231349,-1110.213216,26.47469732,0.0,0.0,0.0,0.0,12313.43812,35974.201667,-17778.4734879,196.02439966999998,-3025.9496949,8219.338606280002,2519.4703167,33.389020500000015,-42.76845619000001,0.0,0.0,0.0,0.0,-57481.390494,80832.798333,134585.4734879,116610.97560033,119832.9496949,108587.66139372,114287.5296833,116773.6109795,116849.76845619,116807.0,116807.0,116807.0,116807.0,174288.390494
1628,"Hickory-Lenoir-Morganton, NC Metro Area-Bus",2015,0,34,123714.0,4934.857551,-620.9259642999999,40.91510078,1198.491176,-7025.739111,-1347.006704,215.360569,16.48143441,0.0,0.0,0.0,0.0,9795.634745000001,12558.089247000004,-8574.193171899999,203.34359221999998,-5169.2162719,6977.707609280002,1563.2471818,-1076.8241955,-16.29375887000001,0.0,0.0,0.0,0.0,-45167.952374,111155.910753,132288.1931719,123510.65640778,128883.2162719,116736.29239072,122150.7528182,124790.8241955,123730.29375887,123714.0,123714.0,123714.0,123714.0,168881.952374
1629,"Hickory-Lenoir-Morganton, NC Metro Area-Bus",2016,0,34,132058.0,6574.236963,5193.676727,176.2915075,-832.3289734,-1987.191919,-1268.822567,-1143.226415,-30.54209211,0.0,0.0,0.0,0.0,1800.396612,17492.946798000004,-9195.119136199999,244.258693,-3970.7250959,-48.03150171999823,216.2404778,-861.4636265000001,0.1876755399999901,0.0,0.0,0.0,0.0,-35372.317629,114565.053202,141253.1191362,131813.741307,136028.7250959,132106.03150172,131841.7595222,132919.4636265,132057.81232446,132058.0,132058.0,132058.0,132058.0,167430.317629
1630,"Hickory-Lenoir-Morganton, NC Metro Area-Bus",2017,0,34,138370.0,3087.092204,4558.407709,213.014342,1105.137339,1746.399912,200.092517,976.6139531,-32.60203049,-3127.132796,0.0,0.0,0.0,-2528.391459,24067.183761000004,-4001.442409199999,420.55020049999996,-4803.0540693,-2035.2234207199983,-1052.5820892,-2004.6900415000002,-30.35441657000001,0.0,0.0,0.0,0.0,-33571.921017,114302.81623899999,142371.4424092,137949.4497995,143173.0540693,140405.22342072,139422.5820892,140374.6900415,138400.35441657,138370.0,138370.0,138370.0,138370.0,171941.921017
1631,"Hickory-Lenoir-Morganton, NC Metro Area-Bus",2018,0,34,127570.0,11997.079020000001,637.0220345,162.56502790000002,894.1081664999999,1842.238998,-363.76249839999997,459.5490763,-34.16031561,-3276.600926,0.0,0.0,0.0,-23084.01844,27154.275965000004,556.965299800001,633.5645425,-3697.9167303000004,-288.82350871999824,-852.4895721999999,-1028.0760884000001,-62.95644706,-3127.132796,0.0,0.0,0.0,-36100.312476,100415.72403499999,127013.0347002,126936.4354575,131267.9167303,127858.82350872,128422.4895722,128598.0760884,127632.95644706,130697.132796,127570.0,127570.0,127570.0,163670.312476
