,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,WEIGHTED_POP_DENSITY_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,WEIGHTED_POP_DENSITY_log_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_WEIGHTED_POP_DENSITY_log_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
1755,"Jackson, MS Metro Area-Bus",2007,0,34,748645.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,748645.0,748645.0,748645.0,748645.0,748645.0,748645.0,748645.0,748645.0,748645.0,748645.0,748645.0,748645.0,748645.0
1756,"Jackson, MS Metro Area-Bus",2008,0,34,567242.0,-29572.68285,-22967.60026,312.6851647,-19.15946942,17615.15212,-10292.658609999999,2099.0602910000002,-264.0187954,0.0,0.0,0.0,0.0,-138362.3881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,567242.0,567242.0,567242.0,567242.0,567242.0,567242.0,567242.0,567242.0,567242.0,567242.0,567242.0,567242.0,567242.0
1757,"Jackson, MS Metro Area-Bus",2009,0,34,516721.0,-29458.85351,-12052.54463,-459.3891844,1884.592785,-33749.2896,16231.29021,-2127.551516,140.0733591,0.0,0.0,0.0,0.0,8027.070303,-29572.68285,-22967.60026,312.6851647,-19.15946942,17615.15212,-10292.658609999999,2099.0602910000002,-264.0187954,0.0,0.0,0.0,0.0,-138362.3881,546293.68285,539688.60026,516408.3148353,516740.15946942,499105.84788,527013.65861,514621.939709,516985.0187954,516721.0,516721.0,516721.0,516721.0,655083.3881
1758,"Jackson, MS Metro Area-Bus",2010,0,34,496443.0,70235.60768,-1772.589741,-141.98984330000002,-3458.9351090000005,14428.08297,3677.444993,-2620.347863,-18.22568921,0.0,0.0,0.0,0.0,-101823.0038,-59031.53636,-35020.144889999996,-146.7040197,1865.43331558,-16134.137479999998,5938.631600000001,-28.49122499999976,-123.94543629999998,0.0,0.0,0.0,0.0,-130335.31779700001,555474.53636,531463.14489,496589.7040197,494577.56668442,512577.13748,490504.3684,496471.491225,496566.9454363,496443.0,496443.0,496443.0,496443.0,626778.317797
1759,"Jackson, MS Metro Area-Bus",2011,0,34,568628.0,-57923.2028,-16422.817880000002,1232.274492,7076.947497,19577.527280000002,-5205.5313479999995,-329.0979442,52.53504782,0.0,0.0,0.0,0.0,125447.2965,11204.071320000003,-36792.734631,-288.693863,-1593.5017934200005,-1706.0545099999981,9616.076593000002,-2648.8390879999997,-142.17112550999997,0.0,0.0,0.0,0.0,-232158.321597,557423.92868,605420.734631,568916.693863,570221.50179342,570334.05451,559011.923407,571276.839088,568770.17112551,568628.0,568628.0,568628.0,568628.0,800786.321597
1760,"Jackson, MS Metro Area-Bus",2012,0,34,675472.0,-104093.4311,15604.214559999999,133.751459,-3526.1882530000003,-737.4224094,14718.4061,0.0,100.2933298,0.0,0.0,0.0,0.0,189303.2,-46719.13148,-53215.552511,943.580629,5483.44570358,17871.472770000004,4410.545245000002,-2977.9370321999995,-89.63607768999996,0.0,0.0,0.0,0.0,-106711.025097,722191.13148,728687.552511,674528.419371,669988.55429642,657600.52723,671061.454755,678449.9370322,675561.63607769,675472.0,675472.0,675472.0,675472.0,782183.025097
1761,"Jackson, MS Metro Area-Bus",2013,0,34,681974.0,17817.74315,-22294.57716,2540.493977,9502.209590999999,-5570.832967,-5997.320032,7003.812753,23.82596602,0.0,0.0,0.0,0.0,4236.952757,-150812.56258,-37611.337951,1077.332088,1957.2574505799994,17134.050360600006,19128.951345,-2977.9370321999995,10.65725211000003,0.0,0.0,0.0,0.0,82592.174903,832786.56258,719585.337951,680896.667912,680016.74254942,664839.9496394,662845.048655,684951.9370322,681963.34274789,681974.0,681974.0,681974.0,681974.0,599381.825097
1762,"Jackson, MS Metro Area-Bus",2014,0,34,617657.0,4001.7446630000004,-20726.52778,-311.7805076,-7402.425906,-8061.474739,-7966.321234999999,-5106.158609,-24.054463000000002,0.0,0.0,0.0,0.0,-19754.6834,-132994.81943,-59905.915111,3617.826065,11459.46704158,11563.217393600005,13131.631313000002,4025.8757208000006,34.483218130000026,0.0,0.0,0.0,0.0,86829.12766000001,750651.81943,677562.915111,614039.173935,606197.53295842,606093.7826064,604525.368687,613631.1242792,617622.51678187,617657.0,617657.0,617657.0,617657.0,530827.87234
1763,"Jackson, MS Metro Area-Bus",2015,0,34,550545.0,-1910.1531739999998,-9993.064435,936.9786238,20.61267011,-37738.98322,-10134.74806,1093.200738,43.57407632,-14626.11475,0.0,0.0,0.0,2500.4481579999997,-128993.074767,-80632.442891,3306.0455574000002,4057.041135579999,3501.742654600005,5165.310078000002,-1080.2828881999994,10.428755130000024,0.0,0.0,0.0,0.0,67074.44426000002,679538.074767,631177.442891,547238.9544426,546487.95886442,547043.2573454,545379.689922,551625.2828882,550534.57124487,550545.0,550545.0,550545.0,550545.0,483470.55574
1764,"Jackson, MS Metro Area-Bus",2016,0,34,447810.0,-18060.93228,38867.630560000005,623.057781,-4923.910213,-10092.67492,-1074.8546720000002,-6732.825261,38.83950129,-13036.90292,0.0,0.0,0.0,-86652.84886,-130903.227941,-90625.50732599999,4243.0241812,4077.653805689999,-34237.240565399996,-4969.437981999998,12.917849800000567,54.00283145000003,-14626.11475,0.0,0.0,0.0,69574.89241800002,578713.227941,538435.507326,443566.9758188,443732.34619431,482047.2405654,452779.437982,447797.0821502,447755.99716855,462436.11475,447810.0,447810.0,447810.0,378235.10758199997
