,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,WEIGHTED_POP_DENSITY_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,WEIGHTED_POP_DENSITY_log_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_WEIGHTED_POP_DENSITY_log_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
1800,"Jacksonville, FL Metro Area-Rail",2002,1,24,96929.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96929.0,96929.0,96929.0,96929.0,96929.0,96929.0,96929.0,96929.0,96929.0,96929.0,96929.0,96929.0,96929.0
1801,"Jacksonville, FL Metro Area-Rail",2003,1,24,89283.0,7280.189167,-7231.923748,379.2637828,1.088018328,1828.426604,656.4580565,-49.98009036,0.0,0.0,0.0,0.0,0.0,-9972.571592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89283.0,89283.0,89283.0,89283.0,89283.0,89283.0,89283.0,89283.0,89283.0,89283.0,89283.0,89283.0,89283.0
1802,"Jacksonville, FL Metro Area-Rail",2004,1,24,86330.0,-3925.447357,3959.6346909999997,406.0191845,-0.503164643,2392.842648,876.2434714999999,-39.46219953,0.0,0.0,0.0,0.0,0.0,-6479.293721,7280.189167,-7231.923748,379.2637828,1.088018328,1828.426604,656.4580565,-49.98009036,0.0,0.0,0.0,0.0,0.0,-9972.571592,79049.810833,93561.923748,85950.7362172,86328.911981672,84501.573396,85673.5419435,86379.98009036,86330.0,86330.0,86330.0,86330.0,86330.0,96302.571592
1803,"Jacksonville, FL Metro Area-Rail",2005,1,24,105821.0,-737.9222276,15521.5484,460.2454783,-2.151764399,2848.94891,827.6661812000001,-57.22917943,0.0,0.0,0.0,0.0,0.0,18.81710272,3354.7418100000004,-3272.2890570000004,785.2829673,0.584853685,4221.269252,1532.701528,-89.44228989,0.0,0.0,0.0,0.0,0.0,-16451.865313000002,102466.25819,109093.289057,105035.7170327,105820.415146315,101599.730748,104288.298472,105910.44228989,105821.0,105821.0,105821.0,105821.0,105821.0,122272.865313
1804,"Jacksonville, FL Metro Area-Rail",2006,1,24,140855.0,5542.08835,-66194.25036,569.7760493,11.59735496,1672.2288800000001,1288.716692,23.39367078,-33.58775266,0.0,0.0,0.0,0.0,97746.81766,2616.8195824000004,12249.259343,1245.5284456,-1.566910714,7070.218162,2360.3677092000003,-146.67146932,0.0,0.0,0.0,0.0,0.0,-16433.04821028,138238.1804176,128605.740657,139609.4715544,140856.566910714,133784.781838,138494.6322908,141001.67146932,140855.0,140855.0,140855.0,140855.0,140855.0,157288.04821028002
1805,"Jacksonville, FL Metro Area-Rail",2007,1,24,88529.0,-10662.06909,193649.7336,299.2689555,-29.644518599999998,1080.1229289999999,521.7238466,-435.2181539,19.87460036,0.0,0.0,0.0,0.0,-223856.1453,8158.9079324,-53944.99101700001,1815.3044949,10.030444246,8742.447042,3649.0844012000002,-123.27779853999999,-33.58775266,0.0,0.0,0.0,0.0,81313.76944972,80370.0920676,142473.991017,86713.6955051,88518.969555754,79786.552958,84879.9155988,88652.27779854,88562.58775266,88529.0,88529.0,88529.0,88529.0,7215.230550280001
1806,"Jacksonville, FL Metro Area-Rail",2008,1,24,511662.0,-3051.813434,96207.39669,99.09674915,20.97895768,2240.1139789999997,-1279.8772689999998,39.14624127,-15.61179265,0.0,0.0,0.0,0.0,331131.6528,-2503.1611576000005,139704.74258299998,2114.5734504,-19.614074353999996,9822.569970999999,4170.808247800001,-558.49595244,-13.7131523,0.0,0.0,0.0,0.0,-142542.37585028,514165.1611576,371957.257417,509547.4265496,511681.614074354,501839.430029,507491.1917522,512220.49595244,511675.7131523,511662.0,511662.0,511662.0,511662.0,654204.37585028
1807,"Jacksonville, FL Metro Area-Rail",2009,1,24,427312.0,-100091.7852,-4607.981632,-704.2982166,391.0724645,-30263.63523,18407.523380000002,867.8332842,-36.09386161,0.0,0.0,0.0,0.0,29365.373610000002,-5554.974591600001,235912.13927299998,2213.6701995500002,1.3648833260000046,12062.683949999999,2890.930978800001,-519.34971117,-29.324944950000003,0.0,0.0,0.0,0.0,188589.27694972,432866.9745916,191399.86072700002,425098.32980045,427310.635116674,415249.31605,424421.0690212,427831.34971117,427341.32494495,427312.0,427312.0,427312.0,427312.0,238722.72305028
1808,"Jacksonville, FL Metro Area-Rail",2010,1,24,500299.0,-15208.014,57471.44908,896.3680402000001,98.54176358,11566.80787,2776.457591,377.98590319999994,-75.35504006,0.0,0.0,0.0,0.0,15524.84454,-105646.7597916,231304.15764099997,1509.37198295,392.437347826,-18200.95128,21298.4543588,348.48357303,-65.41880656000001,0.0,0.0,0.0,0.0,217954.65055972,605945.7597916,268994.842359,498789.62801705,499906.562652174,518499.95128,479000.5456412,499950.51642697,500364.41880656,500299.0,500299.0,500299.0,500299.0,282344.34944028
1809,"Jacksonville, FL Metro Area-Rail",2011,1,24,491757.0,-20638.31009,20887.79738,641.9763852000001,1892.7428739999998,19764.78995,4388.733475,147.47244619999998,-70.58208721,0.0,0.0,0.0,0.0,-34965.19788,-120854.77379159999,288775.606721,2405.74002315,490.979111406,-6634.143410000001,24074.9119498,726.4694762299999,-140.77384662,0.0,0.0,0.0,0.0,233479.49509972,612611.7737916,202981.393279,489351.25997685,491266.020888594,498391.14341,467682.0880502,491030.53052377,491897.77384662,491757.0,491757.0,491757.0,491757.0,258277.50490028
