,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,WEIGHTED_POP_DENSITY_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,WEIGHTED_POP_DENSITY_log_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_WEIGHTED_POP_DENSITY_log_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
2008,"Lansing-East Lansing, MI Metro Area-Bus",2002,0,23,7508125.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7508125.69,7508125.69,7508125.69,7508125.69,7508125.69,7508125.69,7508125.69,7508125.69,7508125.69,7508125.69,7508125.69,7508125.69,7508125.69
2009,"Lansing-East Lansing, MI Metro Area-Bus",2003,0,23,7439144.919,1372911.84,-1429070.8090000001,20717.22459,1247.991839,131168.4573,95650.39052,-25955.82764,0.0,0.0,0.0,0.0,0.0,33674.863919999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7439144.919,7439144.919,7439144.919,7439144.919,7439144.919,7439144.919,7439144.919,7439144.919,7439144.919,7439144.919,7439144.919,7439144.919,7439144.919
2010,"Lansing-East Lansing, MI Metro Area-Bus",2004,0,23,8568326.85,609649.8758,339978.0377,24401.226469999998,3487.0185030000002,169425.6454,118076.12599999999,-26809.74035,0.0,0.0,0.0,0.0,0.0,-177792.4351,1372911.84,-1429070.8090000001,20717.22459,1247.991839,131168.4573,95650.39052,-25955.82764,0.0,0.0,0.0,0.0,0.0,33674.863919999996,7195415.01,9997397.659,8547609.62541,8567078.858161,8437158.3927,8472676.459479999,8594282.67764,8568326.85,8568326.85,8568326.85,8568326.85,8568326.85,8534651.98608
2011,"Lansing-East Lansing, MI Metro Area-Bus",2005,0,23,9046013.395,182534.8418,-236355.0343,23579.291540000002,-17694.70879,264526.0105,134249.7217,-22697.59915,0.0,0.0,0.0,0.0,0.0,153938.5851,1982561.7158000001,-1089092.7713000001,45118.45106,4735.0103420000005,300594.10270000005,213726.51652,-52765.567989999996,0.0,0.0,0.0,0.0,0.0,-144117.57118,7063451.679199999,10135106.166299999,9000894.943939999,9041278.384658,8745419.292299999,8832286.87848,9098778.962989999,9046013.395,9046013.395,9046013.395,9046013.395,9046013.395,9190130.96618
2012,"Lansing-East Lansing, MI Metro Area-Bus",2006,0,23,9750063.704,144608.9975,52638.13313,35333.73829,39365.13935,146299.2991,167853.7069,-55152.50962999999,-1595.234166,0.0,0.0,0.0,0.0,163492.114,2165096.5576,-1325447.8056,68697.7426,-12959.698448,565120.1132,347976.23822,-75463.16713999999,0.0,0.0,0.0,0.0,0.0,9821.013919999998,7584967.1464,11075511.5096,9681365.9614,9763023.402448,9184943.5908,9402087.46578,9825526.87114,9750063.704,9750063.704,9750063.704,9750063.704,9750063.704,9740242.69008
2013,"Lansing-East Lansing, MI Metro Area-Bus",2007,0,23,10215193.3,-578283.7966,86994.15445,5291.905011,-46040.49978,128907.5968,88775.83799,77896.4344,0.0,0.0,0.0,0.0,0.0,718158.0653,2309705.5551,-1272809.67247,104031.48089,26405.440902,711419.4123,515829.94512,-130615.67676999999,-1595.234166,0.0,0.0,0.0,0.0,173313.12792,7905487.744900001,11488002.97247,10111161.81911,10188787.859098,9503773.8877,9699363.354880001,10345808.97677,10216788.534166,10215193.3,10215193.3,10215193.3,10215193.3,10041880.17208
2014,"Lansing-East Lansing, MI Metro Area-Bus",2008,0,23,10947913.66,434840.5121,-1187694.129,-10246.454290000001,-31884.56378,195803.1964,95232.47914,-32313.53696,1441.360863,0.0,0.0,0.0,0.0,1335347.205,1731421.7585,-1185815.51802,109323.385901,-19635.058878,840327.0090999999,604605.78311,-52719.24236999999,-1595.234166,0.0,0.0,0.0,0.0,891471.19322,9216491.9015,12133729.17802,10838590.274099,10967548.718878001,10107586.6509,10343307.87689,11000632.90237,10949508.894166,10947913.66,10947913.66,10947913.66,10947913.66,10056442.46678
2015,"Lansing-East Lansing, MI Metro Area-Bus",2009,0,23,10979429.42,14595.5286,-71274.01228,-26873.30743,321902.9259,-628880.8855,332986.6252,102111.9776,-386.1528212,0.0,0.0,0.0,0.0,16462.403830000003,2166262.2706,-2373509.64702,99076.931611,-51519.622658,1036130.2054999999,699838.2622499999,-85032.77932999999,-153.87330299999985,0.0,0.0,0.0,0.0,2226818.39822,8813167.1494,13352939.067019999,10880352.488389,11030949.042658,9943299.2145,10279591.15775,11064462.19933,10979583.293303,10979429.42,10979429.42,10979429.42,10979429.42,8752611.02178
2016,"Lansing-East Lansing, MI Metro Area-Bus",2010,0,23,10824739.28,217615.2337,21937.78167,24072.25484,-744239.7409999999,315010.1974,195015.8295,-41986.4015,-2710.5642420000004,0.0,0.0,0.0,0.0,-104690.0321,2180857.7992,-2444783.6593,72203.624181,270383.303242,407249.31999999995,1032824.8874499999,17079.198270000008,-540.0261241999999,0.0,0.0,0.0,0.0,2243280.80205,8643881.4808,13269522.939299999,10752535.655818999,10554355.976758,10417489.959999999,9791914.392549999,10807660.081729999,10825279.3061242,10824739.28,10824739.28,10824739.28,10824739.28,8581458.47795
2017,"Lansing-East Lansing, MI Metro Area-Bus",2011,0,23,11456433.52,-271287.7666,294652.3469,-840.8512402999999,1191311.4440000001,434962.5321,-47530.23595,23154.57288,-381.80823680000003,0.0,0.0,0.0,0.0,-1031185.703,2398473.0329,-2422845.87763,96275.879021,-473856.4377579999,722259.5174,1227840.7169499998,-24907.203229999992,-3250.5903662,0.0,0.0,0.0,0.0,2138590.76995,9057960.4871,13879279.397629999,11360157.640979,11930289.957758,10734174.0026,10228592.80305,11481340.723229999,11459684.1103662,11456433.52,11456433.52,11456433.52,11456433.52,9317842.750049999
