,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,WEIGHTED_POP_DENSITY_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,WEIGHTED_POP_DENSITY_log_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_WEIGHTED_POP_DENSITY_log_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
2025,"Laredo, TX Metro Area-Bus",2004,0,31,3737392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3737392.0,3737392.0,3737392.0,3737392.0,3737392.0,3737392.0,3737392.0,3737392.0,3737392.0,3737392.0,3737392.0,3737392.0,3737392.0
2026,"Laredo, TX Metro Area-Bus",2005,0,31,3939505.0,-74417.76986,57390.00181,17724.90051,-2027.325718,123615.8626,51223.25203,-3303.050193,0.0,0.0,0.0,0.0,0.0,31715.98192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3939505.0,3939505.0,3939505.0,3939505.0,3939505.0,3939505.0,3939505.0,3939505.0,3939505.0,3939505.0,3939505.0,3939505.0,3939505.0
2027,"Laredo, TX Metro Area-Bus",2006,0,31,4248933.0,2120.694728,38483.68057,21073.97785,4824.371588,64309.51944,54400.24496,23874.01164,-694.7185127,0.0,0.0,0.0,0.0,96701.45062,-74417.76986,57390.00181,17724.90051,-2027.325718,123615.8626,51223.25203,-3303.050193,0.0,0.0,0.0,0.0,0.0,31715.98192,4323350.76986,4191542.99819,4231208.09949,4250960.325718,4125317.1374,4197709.74797,4252236.050193,4248933.0,4248933.0,4248933.0,4248933.0,4248933.0,4217217.01808
2028,"Laredo, TX Metro Area-Bus",2007,0,31,4359029.0,-81746.08782999999,25622.59613,6350.077664,-6319.806528,33925.10098,64917.78071,-87987.19896000001,-3894.839911,0.0,0.0,0.0,0.0,161350.964,-72297.075132,95873.68238,38798.87836,2797.04587,187925.38204,105623.49699000001,20570.961447,-694.7185127,0.0,0.0,0.0,0.0,128417.43254000001,4431326.075132,4263155.31762,4320230.12164,4356231.95413,4171103.61796,4253405.50301,4338458.038553,4359723.7185127,4359029.0,4359029.0,4359029.0,4359029.0,4230611.56746
2029,"Laredo, TX Metro Area-Bus",2008,0,31,4249930.0,-72521.33858,-280603.4154,10804.99973,-1725.6249870000001,102565.2464,-255646.9681,11577.78907,6000.516309000001,0.0,0.0,0.0,0.0,362062.0331,-154043.162962,121496.27851,45148.956024,-3522.760658,221850.48301999999,170541.2777,-67416.237513,-4589.5584237,0.0,0.0,0.0,0.0,289768.39654,4403973.162962,4128433.72149,4204781.043976,4253452.760658,4028079.51698,4079388.7223,4317346.237513,4254519.5584237,4249930.0,4249930.0,4249930.0,4249930.0,3960161.60346
2030,"Laredo, TX Metro Area-Bus",2009,0,31,3842544.0,190720.9119,-20796.633840000002,5306.3133259999995,31972.812980000002,-252858.7769,26217.884530000003,-24666.22925,-1948.323503,0.0,0.0,0.0,0.0,-349415.9793,-226564.50154199998,-159107.13689,55953.955753999995,-5248.385645,324415.72942,-85105.69039999999,-55838.448443,1410.9578853000003,0.0,0.0,0.0,0.0,651830.42964,4069108.501542,4001651.13689,3786590.0442460002,3847792.385645,3518128.2705800002,3927649.6904,3898382.448443,3841133.0421147,3842544.0,3842544.0,3842544.0,3842544.0,3190713.5703600002
2031,"Laredo, TX Metro Area-Bus",2010,0,31,3252641.0,-75458.14307,-163118.1042,30309.667510000003,-72280.6902,107292.995,85656.32251,59343.29106,-2032.5008280000002,0.0,0.0,0.0,0.0,-551818.7462,-35843.58964199998,-179903.77073,61260.26908,26724.427335,71556.95251999999,-58887.80586999999,-80504.677693,-537.3656176999998,0.0,0.0,0.0,0.0,302414.45034,3288484.589642,3432544.77073,3191380.73092,3225916.572665,3181084.04748,3311528.80587,3333145.677693,3253178.3656177,3252641.0,3252641.0,3252641.0,3252641.0,2950226.54966
2032,"Laredo, TX Metro Area-Bus",2011,0,31,3121580.0,-19568.97593,-53179.22585,10063.06448,104476.8428,128269.8475,56123.85586,-65242.951279999994,-1376.451702,0.0,0.0,0.0,0.0,-288557.5054,-111301.73271199998,-343021.87493,91569.93659,-45556.262865,178849.94752,26768.51664000001,-21161.386633000002,-2569.8664457,0.0,0.0,0.0,0.0,-249404.29586000007,3232881.732712,3464601.87493,3030010.06341,3167136.262865,2942730.05248,3094811.48336,3142741.386633,3124149.8664457,3121580.0,3121580.0,3121580.0,3121580.0,3370984.29586
2033,"Laredo, TX Metro Area-Bus",2012,0,31,3219490.0,-31676.623239999997,45368.32471,5493.222666,-35030.902160000005,-4048.2055840000003,-65065.454139999994,30740.65131,2202.891809,0.0,0.0,0.0,0.0,151002.1002,-130870.70864199998,-396201.10078,101633.00107,58920.579935,307119.79501999996,82892.37250000001,-86404.337913,-3946.3181477,0.0,0.0,0.0,0.0,-537961.8012600001,3350360.708642,3615691.10078,3117856.99893,3160569.420065,2912370.20498,3136597.6275,3305894.337913,3223436.3181477,3219490.0,3219490.0,3219490.0,3219490.0,3757451.80126
2034,"Laredo, TX Metro Area-Bus",2013,0,31,3211810.0,849.0089654999999,-15527.50114,5578.079783,-27576.61548,-26552.1606,-63634.088579999996,-35151.90241,681.4277181,0.0,0.0,0.0,0.0,150726.1438,-162547.33188199997,-350832.77606999996,107126.223736,23889.677774999996,303071.589436,17826.918360000018,-55663.686602999995,-1743.4263386999996,0.0,0.0,0.0,0.0,-386959.7010600001,3374357.331882,3562642.77607,3104683.776264,3187920.322225,2908738.410564,3193983.08164,3267473.686603,3213553.4263387,3211810.0,3211810.0,3211810.0,3211810.0,3598769.70106
