,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,WEIGHTED_POP_DENSITY_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,WEIGHTED_POP_DENSITY_log_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_WEIGHTED_POP_DENSITY_log_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
2184,"Los Angeles-Long Beach-Santa Ana, CA Metro Area-Rail",2002,1,10,72526724.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72526724.02,72526724.02,72526724.02,72526724.02,72526724.02,72526724.02,72526724.02,72526724.02,72526724.02,72526724.02,72526724.02,72526724.02,72526724.02
2185,"Los Angeles-Long Beach-Santa Ana, CA Metro Area-Rail",2003,1,10,65675610.98,-93066.6736,-4577636.206,95193.92616,182.94041049999998,2089115.405,529490.2386,-90788.7996,0.0,0.0,0.0,0.0,0.0,-4655068.553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65675610.98,65675610.98,65675610.98,65675610.98,65675610.98,65675610.98,65675610.98,65675610.98,65675610.98,65675610.98,65675610.98,65675610.98,65675610.98
2186,"Los Angeles-Long Beach-Santa Ana, CA Metro Area-Rail",2004,1,10,75555648.05,6322752.987000001,2548616.304,117133.8006,2896.5739519999997,1297101.187,690457.7383,-82212.5908,0.0,0.0,0.0,0.0,0.0,-1559894.061,-93066.6736,-4577636.206,95193.92616,182.94041049999998,2089115.405,529490.2386,-90788.7996,0.0,0.0,0.0,0.0,0.0,-4655068.553,75648714.7236,80133284.256,75460454.12384,75555465.1095895,73466532.645,75026157.8114,75646436.8496,75555648.05,75555648.05,75555648.05,75555648.05,75555648.05,80210716.603
2187,"Los Angeles-Long Beach-Santa Ana, CA Metro Area-Rail",2005,1,10,82974329.8,-458741.7975,2259743.419,142345.0532,-10621.67571,1849348.207,725201.2933,-89020.12617,0.0,0.0,0.0,0.0,0.0,2932751.276,6229686.3134,-2029019.9020000002,212327.72676,3079.5143624999996,3386216.592,1219947.9769000001,-173001.3904,0.0,0.0,0.0,0.0,0.0,-6214962.614,76744643.4866,85003349.70199999,82762002.07324,82971250.2856375,79588113.208,81754381.8231,83147331.1904,82974329.8,82974329.8,82974329.8,82974329.8,82974329.8,89189292.414
2188,"Los Angeles-Long Beach-Santa Ana, CA Metro Area-Rail",2006,1,10,89616535.67,2565697.332,-2374837.297,180025.7815,20994.88333,1375730.489,1240519.298,-109972.8686,-2926.655483,0.0,0.0,0.0,0.0,3793411.4269999997,5770944.5159,230723.517,354672.77995999996,-7542.1613474999995,5235564.799000001,1945149.2702000001,-262021.51657,0.0,0.0,0.0,0.0,0.0,-3282211.338,83845591.1541,89385812.153,89261862.89004,89624077.8313475,84380970.871,87671386.3998,89878557.18657,89616535.67,89616535.67,89616535.67,89616535.67,89616535.67,92898747.008
2189,"Los Angeles-Long Beach-Santa Ana, CA Metro Area-Rail",2007,1,10,90830289.79,3422782.455,-211771.5848,-22637.38799,-16475.29475,887544.5574,-383365.4027,-85798.7147,-6321.76483,0.0,0.0,0.0,0.0,-2370804.749,8336641.8478999995,-2144113.78,534698.56146,13452.721982500001,6611295.288000001,3185668.5682,-371994.38517,-2926.655483,0.0,0.0,0.0,0.0,511200.0889999997,82493647.9421,92974403.57000001,90295591.22854,90816837.06801751,84218994.502,87644621.2218,91202284.17517,90833216.44548301,90830289.79,90830289.79,90830289.79,90830289.79,90319089.701
2190,"Los Angeles-Long Beach-Santa Ana, CA Metro Area-Rail",2008,1,10,97492595.24,1929389.846,-3536054.6,-47442.61791,-39367.3889,1854085.535,319976.6509,93743.25045,-3203.749476,0.0,0.0,0.0,0.0,6200184.528,11759424.3029,-2355885.3647999996,512061.17347,-3022.5727675,7498839.845400001,2802303.1655,-457793.09987000003,-9248.420313,0.0,0.0,0.0,0.0,-1859604.6600000001,85733170.9371,99848480.6048,96980534.06652999,97495617.81276749,89993755.39459999,94690292.0745,97950388.33986999,97501843.660313,97492595.24,97492595.24,97492595.24,97492595.24,99352199.89999999
2191,"Los Angeles-Long Beach-Santa Ana, CA Metro Area-Rail",2009,1,10,98403452.21,830136.9763,-1769278.245,-192025.9876,234596.9272,-4954859.672,1848477.19,-35910.28877,-10315.85944,0.0,0.0,0.0,0.0,5038026.48,13688814.148899999,-5891939.9648,464618.55556,-42389.9616675,9352925.3804,3122279.8164,-364049.84942000004,-12452.169789,0.0,0.0,0.0,0.0,4340579.868,84714638.06109999,104295392.1748,97938833.65444,98445842.17166749,89050526.82959999,95281172.39359999,98767502.05941999,98415904.379789,98403452.21,98403452.21,98403452.21,98403452.21,94062872.342
2192,"Los Angeles-Long Beach-Santa Ana, CA Metro Area-Rail",2010,1,10,101431813.7,245855.8666,2983169.3219999997,-90928.95538,-342062.2852,2421088.8109999998,563806.3938,195958.1902,-6941.614945,0.0,0.0,0.0,0.0,-3045271.8460000004,14518951.125199998,-7661218.2098,272592.56796,192206.9655325,4398065.7084,4970757.0064,-399960.13819,-22768.029229,0.0,0.0,0.0,0.0,9378606.348000001,86912862.5748,109093031.90980001,101159221.13204001,101239606.7344675,97033747.9916,96461056.6936,101831773.83819,101454581.729229,101431813.7,101431813.7,101431813.7,101431813.7,92053207.352
2193,"Los Angeles-Long Beach-Santa Ana, CA Metro Area-Rail",2011,1,10,104053558.1,4412245.868,-910757.4144,99082.79183999999,550637.5283,3528600.292,1414193.9109999998,254421.8868,0.0,0.0,0.0,0.0,0.0,-6985864.632,14764806.991799997,-4678048.887800001,181663.61258000002,-149855.31966749998,6819154.5194,5534563.4002,-204001.94799000002,-29709.644174,0.0,0.0,0.0,0.0,6333334.502,89288751.1082,108731606.9878,103871894.48742,104203413.4196675,97234403.5806,98518994.6998,104257560.04799,104083267.74417399,104053558.1,104053558.1,104053558.1,104053558.1,97720223.59799999
