,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,WEIGHTED_POP_DENSITY_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,WEIGHTED_POP_DENSITY_log_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_WEIGHTED_POP_DENSITY_log_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
2291,"Merced, CA Metro Area-Bus",2002,0,32,443629.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,443629.0,443629.0,443629.0,443629.0,443629.0,443629.0,443629.0,443629.0,443629.0,443629.0,443629.0,443629.0,443629.0
2292,"Merced, CA Metro Area-Bus",2003,0,32,518878.0,49998.41207,27522.021630000003,1342.499229,-17.01720404,12778.63009,10699.18077,261.5743632,0.0,0.0,0.0,0.0,0.0,-35459.26806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,518878.0,518878.0,518878.0,518878.0,518878.0,518878.0,518878.0,518878.0,518878.0,518878.0,518878.0,518878.0,518878.0
2293,"Merced, CA Metro Area-Bus",2004,0,32,584484.0,148439.9036,65777.1565,1721.99812,24.00612133,10247.90268,15206.781509999999,305.9429894,0.0,0.0,0.0,0.0,0.0,-207873.9068,49998.41207,27522.021630000003,1342.499229,-17.01720404,12778.63009,10699.18077,261.5743632,0.0,0.0,0.0,0.0,0.0,-35459.26806,534485.58793,556961.97837,583141.500771,584501.01720404,571705.36991,573784.81923,584222.4256368,584484.0,584484.0,584484.0,584484.0,584484.0,619943.26806
2294,"Merced, CA Metro Area-Bus",2005,0,32,772398.0,69477.09098,20559.67208,1918.56203,9.203480968,14306.20299,14294.79337,258.4503573,0.0,0.0,0.0,0.0,0.0,59242.80749,198438.31566999998,93299.17813,3064.497349,6.98891729,23026.532769999998,25905.96228,567.5173526,0.0,0.0,0.0,0.0,0.0,-243333.17486,573959.6843300001,679098.82187,769333.502651,772391.01108271,749371.46723,746492.03772,771830.4826474,772398.0,772398.0,772398.0,772398.0,772398.0,1015731.17486
2295,"Merced, CA Metro Area-Bus",2006,0,32,920339.7919,109427.8543,19359.17301,2486.6034649999997,-175.8636236,12806.50872,40159.565930000004,797.1690868,-354.0955209,0.0,0.0,0.0,0.0,-49799.97232,267915.40664999996,113858.85021,4983.059379,16.192398257999997,37332.735759999996,40200.75565,825.9677099,0.0,0.0,0.0,0.0,0.0,-184090.36737,652424.38525,806480.94169,915356.732521,920323.5995017419,883007.05614,880139.03625,919513.8241901,920339.7919,920339.7919,920339.7919,920339.7919,920339.7919,1104430.15927
2296,"Merced, CA Metro Area-Bus",2007,0,32,1017552.1170000001,93788.7511,62223.20963,346.7034846,578.5100056,9114.864429000001,-43097.38225,-1287.523308,714.4550393999999,0.0,0.0,0.0,0.0,-25058.628269999997,377343.26094999997,133218.02322,7469.662844,-159.671225342,50139.244479999994,80360.32158,1623.1367967,-354.0955209,0.0,0.0,0.0,0.0,-233890.33969,640208.8560500001,884334.0937800001,1010082.454156,1017711.788225342,967412.8725200001,937191.7954200001,1015928.9802033001,1017906.2125209001,1017552.1170000001,1017552.1170000001,1017552.1170000001,1017552.1170000001,1251442.4566900001
2297,"Merced, CA Metro Area-Bus",2008,0,32,899761.1096,-101081.6481,-61562.059989999994,20.34219117,-970.6938296,20770.91976,40647.677189999995,10172.07227,-322.9726502,0.0,0.0,0.0,0.0,-21914.765769999998,471132.01204999996,195441.23285,7816.3663286,418.838780258,59254.108908999995,37262.93933,335.61348870000006,360.3595184999999,0.0,0.0,0.0,0.0,-258948.96795999998,428629.09755,704319.8767499999,891944.7432714,899342.270819742,840507.000691,862498.17027,899425.4961113,899400.7500814999,899761.1096,899761.1096,899761.1096,899761.1096,1158710.07756
2298,"Merced, CA Metro Area-Bus",2009,0,32,863135.6937,47350.37734,-42678.45466,-760.3515301,520.2184527,-45728.49892,13579.918609999999,-9036.805374,-349.0367537,0.0,0.0,0.0,0.0,3170.246323,370050.36394999997,133879.17286,7836.70851977,-551.855049342,80025.02866899999,77910.61652,10507.685758700001,37.386868299999946,0.0,0.0,0.0,0.0,-280863.73373,493085.32975,729256.5208399999,855298.98518023,863687.548749342,783110.6650309999,785225.0771799999,852628.0079412999,863098.3068316999,863135.6937,863135.6937,863135.6937,863135.6937,1143999.42743
2299,"Merced, CA Metro Area-Bus",2010,0,32,810816.9497,-59302.385570000006,-41449.81151,5521.34893,2895.47187,21236.329859999998,1327.4809890000001,-8983.688890000001,517.7185432,0.0,0.0,0.0,0.0,25660.40486,417400.74129,91200.71819999999,7076.35698967,-31.636596642000086,34296.529748999994,91490.53512999999,1470.8803847000017,-311.6498854000001,0.0,0.0,0.0,0.0,-277693.487407,393416.20841,719616.2315,803740.59271033,810848.586296642,776520.419951,719326.41457,809346.0693153,811128.5995854,810816.9497,810816.9497,810816.9497,810816.9497,1088510.437107
2300,"Merced, CA Metro Area-Bus",2011,0,32,849618.0934,-29379.438089999996,59390.15707000001,1324.085502,-7500.664898999999,28206.62296,5337.4435060000005,4012.613219,-428.87892029999995,0.0,0.0,0.0,0.0,-21107.9092,358098.35572,49750.90668999999,12597.70591967,2863.8352733579995,55532.85960899999,92818.01611899999,-7512.8085052999995,206.06865779999993,0.0,0.0,0.0,0.0,-252033.08254699997,491519.73768,799867.18671,837020.38748033,846754.258126642,794085.233791,756800.077281,857130.9019053,849412.0247422,849618.0934,849618.0934,849618.0934,849618.0934,1101651.175947
