,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,WEIGHTED_POP_DENSITY_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,WEIGHTED_POP_DENSITY_log_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_WEIGHTED_POP_DENSITY_log_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
2308,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area-Bus",2002,0,10,104049588.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104049588.0,104049588.0,104049588.0,104049588.0,104049588.0,104049588.0,104049588.0,104049588.0,104049588.0,104049588.0,104049588.0,104049588.0,104049588.0
2309,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area-Bus",2003,0,10,109392894.7,-3743361.1780000003,2168555.675,204159.9991,-4350.86267,1962746.2869999998,-281291.36199999996,-237390.5467,0.0,0.0,0.0,0.0,0.0,5384651.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109392894.7,109392894.7,109392894.7,109392894.7,109392894.7,109392894.7,109392894.7,109392894.7,109392894.7,109392894.7,109392894.7,109392894.7,109392894.7
2310,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area-Bus",2004,0,10,124779128.6,7020405.896000001,3374791.242,303599.9511,-2407.501161,2931800.9460000005,72712.95132000001,-241539.2563,0.0,0.0,0.0,0.0,0.0,1409866.6330000001,-3743361.1780000003,2168555.675,204159.9991,-4350.86267,1962746.2869999998,-281291.36199999996,-237390.5467,0.0,0.0,0.0,0.0,0.0,5384651.056,128522489.778,122610572.925,124574968.6009,124783479.46267,122816382.313,125060419.962,125016519.1467,124779128.6,124779128.6,124779128.6,124779128.6,124779128.6,119394477.544
2311,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area-Bus",2005,0,10,126170479.3,77952.74683999999,-5816501.675,386270.4628,29520.69167,4117796.3910000003,61007.77775,-303029.747,0.0,0.0,0.0,0.0,0.0,3034841.124,3277044.7180000003,5543346.916999999,507759.95019999996,-6758.363831000001,4894547.233,-208578.41067999997,-478929.803,0.0,0.0,0.0,0.0,0.0,6794517.689,122893434.582,120627132.383,125662719.34979999,126177237.663831,121275932.067,126379057.71068,126649409.103,126170479.3,126170479.3,126170479.3,126170479.3,126170479.3,119375961.611
2312,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area-Bus",2006,0,10,133827715.6,5890920.375,5388605.155,457306.657,-76634.90273,1993800.09,524618.1168,-250753.4141,-26699.21889,0.0,0.0,0.0,0.0,-6745243.996,3354997.4648400005,-273154.7580000004,894030.413,22762.327838999998,9012343.624,-147570.63292999996,-781959.55,0.0,0.0,0.0,0.0,0.0,9829358.813000001,130472718.13516,134100870.358,132933685.18699999,133804953.27216099,124815371.976,133975286.23292999,134609675.15,133827715.6,133827715.6,133827715.6,133827715.6,133827715.6,123998356.787
2313,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area-Bus",2007,0,10,135079704.8,-1942894.741,360618.362,-16721.48659,120512.5329,1026235.378,-936790.8559,-501946.8925,-14160.541119999998,0.0,0.0,0.0,0.0,3166249.738,9245917.83984,5115450.397,1351337.0699999998,-53872.574891000004,11006143.714,377047.48387,-1032712.9641,-26699.21889,0.0,0.0,0.0,0.0,3084114.8170000007,125833786.96016002,129964254.40300001,133728367.73000002,135133577.374891,124073561.08600001,134702657.31613,136112417.76410002,135106404.01889002,135079704.8,135079704.8,135079704.8,135079704.8,131995589.98300001
2314,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area-Bus",2008,0,10,135112085.6,-4394087.646000001,-1120467.969,-92955.12872000001,-30259.077080000003,3418020.479,1381381.374,448621.4755,-4764.5068009999995,0.0,0.0,0.0,0.0,553935.6214,7303023.09884,5476068.759,1334615.5834099997,66639.958009,12032379.092,-559743.37203,-1534659.8566,-40859.76001,0.0,0.0,0.0,0.0,6250364.555000001,127809062.50116,129636016.84099999,133777470.01659,135045445.641991,123079706.50799999,135671828.97202998,136646745.45659998,135152945.36001,135112085.6,135112085.6,135112085.6,135112085.6,128861721.04499999
2315,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area-Bus",2009,0,10,119986362.0,-10309072.53,-7260222.092,-106662.7255,-306272.3249,-7991570.359,3941521.8239999996,69704.60946,-9531.129768,0.0,0.0,0.0,0.0,5931910.438999999,2908935.4528399995,4355600.789999999,1241660.4546899998,36380.88092899999,15450399.571,821638.0019700001,-1086038.3811,-45624.266810999994,0.0,0.0,0.0,0.0,6804300.1764,117077426.54716,115630761.21000001,118744701.54531,119949981.119071,104535962.429,119164723.99803,121072400.3811,120031986.266811,119986362.0,119986362.0,119986362.0,119986362.0,113182061.8236
2316,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area-Bus",2010,0,10,117936124.9,-3555211.791,-1005638.122,31549.69965,1395036.749,3247882.5689999997,1465828.719,123834.3686,4232.286437,0.0,0.0,0.0,0.0,-3650174.3639999996,-7400137.07716,-2904621.302000001,1134997.7291899999,-269891.44397100003,7458829.212,4763159.82597,-1016333.7716400002,-55155.39657899999,0.0,0.0,0.0,0.0,12736210.6154,125336261.97716,120840746.202,116801127.17081,118206016.343971,110477295.68800001,113172965.07403001,118952458.67164001,117991280.296579,117936124.9,117936124.9,117936124.9,117936124.9,105199914.2846
2317,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area-Bus",2011,0,10,124749495.3,-953115.5188,158156.5456,315154.0879,-1921032.832,4659179.284,748688.8612,165219.6668,-4159.821566,0.0,0.0,0.0,0.0,3717726.015,-10955348.86816,-3910259.424000001,1166547.42884,1125145.3050290002,10706711.781,6228988.54497,-892499.4030400001,-50923.11014199999,0.0,0.0,0.0,0.0,9086036.2514,135704844.16816,128659754.72399999,123582947.87116,123624349.99497099,114042783.519,118520506.75502999,125641994.70304,124800418.41014199,124749495.3,124749495.3,124749495.3,124749495.3,115663459.0486
2318,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area-Bus",2012,0,10,128204682.8,800085.3049,342980.8399,338805.9825,1692582.804,-46718.13379,511699.3294,156356.8814,-21999.15569,0.0,0.0,0.0,0.0,-359756.5018,-11908464.38696,-3752102.878400001,1481701.5167399999,-795887.5269709998,15365891.065,6977677.40617,-727279.7362400001,-55082.93170799999,0.0,0.0,0.0,0.0,12803762.2664,140113147.18695998,131956785.6784,126722981.28326,129000570.326971,112838791.735,121227005.39383,128931962.53624,128259765.73170799,128204682.8,128204682.8,128204682.8,128204682.8,115400920.5336
2319,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area-Bus",2013,0,10,128328691.1,1351760.061,-836116.5456,246566.9249,2186891.399,-830517.4421,-584281.752,236374.8186,9044.50307,0.0,0.0,0.0,0.0,-1634921.1069999998,-11108379.08206,-3409122.038500001,1820507.4992399998,896695.2770290002,15319172.93121,7489376.7355700005,-570922.8548400002,-77082.08739799999,0.0,0.0,0.0,0.0,12444005.7646,139437070.18206,131737813.13849999,126508183.60076,127431995.82297099,113009518.16879,120839314.36443,128899613.95483999,128405773.18739799,128328691.1,128328691.1,128328691.1,128328691.1,115884685.3354
2320,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area-Bus",2014,0,10,125697271.5,929512.2025,-1765860.425,343806.4845,2750431.59,-1273849.209,449759.9917,-1073403.942,-9052.612890999999,0.0,0.0,693433.1059999999,0.0,-3621330.762,-9756619.02106,-4245238.5841000015,2067074.4241399998,3083586.6760290004,14488655.48911,6905094.98357,-334548.03624000016,-68037.58432799998,0.0,0.0,0.0,0.0,10809084.6576,135453890.52106,129942510.08410001,123630197.07586,122613684.823971,111208616.01089,118792176.51643,126031819.53624,125765309.084328,125697271.5,125697271.5,125697271.5,125697271.5,114888186.8424
2321,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area-Bus",2015,0,10,117429493.3,423866.4699,-1929192.4440000001,205384.74800000002,2084158.17,-7560473.572000001,-2238858.953,203919.0644,-13300.24482,-2976510.776,0.0,0.0,0.0,3292608.277,-8827106.818559999,-6011099.009100001,2410880.90864,5834018.266029,13214806.28011,7354854.97527,-1407951.97824,-77090.19721899998,0.0,0.0,693433.1059999999,0.0,7187753.8956,126256600.11856,123440592.3091,115018612.39136,111595475.033971,104214687.01989,110074638.32473,118837445.27824,117506583.497219,117429493.3,117429493.3,116736060.19399999,117429493.3,110241739.40439999
2322,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area-Bus",2016,0,10,104503539.1,1108507.1570000001,-3973981.9039999996,205781.2579,1610924.3569999998,-1886245.2119999998,-767276.3979,-146997.9911,-8283.757403,-2780729.829,0.0,0.0,0.0,-6342870.544,-8403240.348659998,-7940291.453100001,2616265.65664,7918176.436029,5654332.708109999,5115996.02227,-1204032.91384,-90390.44203899999,-2976510.776,0.0,693433.1059999999,0.0,10480362.172600001,112906779.44865999,112443830.55309999,101887273.44336,96585362.66397099,98849206.39188999,99387543.07773,105707572.01383999,104593929.54203899,107480049.87599999,104503539.1,103810105.99399999,104503539.1,94023176.9274
2323,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area-Bus",2017,0,10,94157070.3,-906344.6428,3076715.6339999996,288617.5482,1654149.264,1382006.175,76905.25114,-253789.8875,-14743.3393,-2474643.296,0.0,0.0,0.0,-13110364.77,-7294733.191659998,-11914273.3571,2822046.9145400003,9529100.793029,3768087.4961099993,4348719.624369999,-1351030.90494,-98674.19944199998,-5757240.605,0.0,693433.1059999999,0.0,4137491.6286000013,101451803.49166,106071343.65709999,91335023.38545999,84627969.506971,90388982.80389,89808350.67563,95508101.20493999,94255744.499442,99914310.905,94157070.3,93463637.19399999,94157070.3,90019578.6714
2324,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area-Bus",2018,0,10,87496634.09,-3521680.3310000002,1407842.736,156293.6179,1806370.1169999999,1253594.1809999999,-218070.7784,-194052.9779,-11623.306270000001,-2229638.966,0.0,0.0,-5753577.853999999,658084.0803,-8201077.834459998,-8837557.723100001,3110664.4627400003,11183250.057029,5150093.6711099995,4425624.87551,-1604820.79244,-113417.53874199998,-8231883.901000001,0.0,693433.1059999999,0.0,-8972873.141399998,95697711.92446,96334191.81310001,84385969.62726,76313384.03297101,82346540.41889,83071009.21449,89101454.88244,87610051.62874201,95728517.991,87496634.09,86803200.984,87496634.09,96469507.2314
