,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,WEIGHTED_POP_DENSITY_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,WEIGHTED_POP_DENSITY_log_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_WEIGHTED_POP_DENSITY_log_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
2342,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area-Bus",2002,0,10,73240005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73240005.0,73240005.0,73240005.0,73240005.0,73240005.0,73240005.0,73240005.0,73240005.0,73240005.0,73240005.0,73240005.0,73240005.0,73240005.0
2343,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area-Bus",2003,0,10,72131794.0,-259554.2824,962139.04,197966.1216,-503.0318735,1279517.534,271655.3542,135034.7937,0.0,0.0,0.0,0.0,0.0,-3721335.228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72131794.0,72131794.0,72131794.0,72131794.0,72131794.0,72131794.0,72131794.0,72131794.0,72131794.0,72131794.0,72131794.0,72131794.0,72131794.0
2344,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area-Bus",2004,0,10,58688797.0,3131334.2180000003,-11169.931129999999,200062.3123,3077.817815,1642793.074,487074.5374,132991.5519,0.0,0.0,0.0,0.0,0.0,-19157722.18,-259554.2824,962139.04,197966.1216,-503.0318735,1279517.534,271655.3542,135034.7937,0.0,0.0,0.0,0.0,0.0,-3721335.228,58948351.2824,57726657.96,58490830.8784,58689300.0318735,57409279.466,58417141.6458,58553762.2063,58688797.0,58688797.0,58688797.0,58688797.0,58688797.0,62410132.228
2345,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area-Bus",2005,0,10,70216577.0,-3505575.378,1063682.52,159212.7527,-5786.501816,1811872.2130000002,393216.1644,99542.45468,0.0,0.0,0.0,0.0,0.0,11659072.57,2871779.9356000004,950969.10887,398028.4339,2574.7859415,2922310.608,758729.8916,268026.3456,0.0,0.0,0.0,0.0,0.0,-22879057.408,67344797.0644,69265607.89113,69818548.5661,70214002.2140585,67294266.392,69457847.1084,69948550.6544,70216577.0,70216577.0,70216577.0,70216577.0,70216577.0,93095634.40799999
2346,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area-Bus",2006,0,10,73610411.0,-1004488.339,-672462.2622,199722.1503,9371.946397,1135598.142,616753.6667,134643.78699999998,-7429.7369659999995,0.0,0.0,0.0,0.0,3003731.354,-633795.4423999996,2014651.6288700001,557241.1866,-3211.7158745,4734182.821,1151946.0559999999,367568.80027999997,0.0,0.0,0.0,0.0,0.0,-11219984.838,74244206.4424,71595759.37113,73053169.8134,73613622.7158745,68876228.179,72458464.944,73242842.19972,73610411.0,73610411.0,73610411.0,73610411.0,73610411.0,84830395.838
2347,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area-Bus",2007,0,10,77286162.0,1369962.946,709255.1298,71621.70342,583.8834487,973218.378,187959.0865,54257.09122,-7788.8443879999995,0.0,0.0,0.0,0.0,262573.8652,-1638283.7813999997,1342189.3666700001,756963.3369,6160.2305225,5869780.963,1768699.7226999998,502212.58728,-7429.7369659999995,0.0,0.0,0.0,0.0,-8216253.483999999,78924445.7814,75943972.63333,76529198.6631,77280001.7694775,71416381.037,75517462.2773,76783949.41272,77293591.736966,77286162.0,77286162.0,77286162.0,77286162.0,85502415.484
2348,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area-Bus",2008,0,10,80906141.0,764781.4821,-38748.87161,29783.24375,-41035.717280000004,1481408.83,-14571.778880000002,96867.91304,8178.64733,0.0,0.0,0.0,0.0,1317552.592,-268320.83539999975,2051444.4964700001,828585.04032,6744.1139712,6842999.341,1956658.8091999998,556469.6784999999,-15218.581353999998,0.0,0.0,0.0,0.0,-7953679.618799999,81174461.8354,78854696.50353,80077555.95968,80899396.8860288,74063141.659,78949482.1908,80349671.3215,80921359.581354,80906141.0,80906141.0,80906141.0,80906141.0,88859820.6188
2349,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area-Bus",2009,0,10,77038939.0,1089870.133,-1676731.372,-16045.1058,157833.9797,-4647490.579,1921144.832,143197.0383,-2853.7067030000003,0.0,0.0,0.0,0.0,-712810.1453,496460.6467000003,2012695.62486,858368.28407,-34291.603308800004,8324408.171,1942087.0303199997,653337.5915399999,-7039.934023999998,0.0,0.0,0.0,0.0,-6636127.026799999,76542478.3533,75026243.37514,76180570.71593,77073230.6033088,68714530.829,75096851.96968,76385601.40846,77045978.934024,77038939.0,77038939.0,77038939.0,77038939.0,83675066.0268
2350,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area-Bus",2010,0,10,78266736.0,1188248.5359999998,948354.36,34249.2748,-109824.7427,2210319.904,499214.2515,102241.7047,-8151.622840999999,0.0,0.0,416285.32399999996,0.0,-4186038.8310000002,1586330.7797000003,335964.2528600001,842323.17827,123542.3763912,3676917.592,3863231.8623199994,796534.62984,-9893.640726999998,0.0,0.0,0.0,0.0,-7348937.172099999,76680405.2203,77930771.74714,77424412.82173,78143193.6236088,74589818.40799999,74403504.13768,77470201.37016,78276629.640727,78266736.0,78266736.0,78266736.0,78266736.0,85615673.1721
2351,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area-Bus",2011,0,10,81398030.0,-1078548.274,847284.2747,121837.5066,150658.568,3144934.653,283588.6735,161636.9251,8282.414534,0.0,0.0,0.0,0.0,-516311.8223,2774579.3157,1284318.6128600002,876572.45307,13717.633691199997,5887237.496,4362446.11382,898776.33454,-18045.263568,0.0,0.0,416285.32399999996,0.0,-11534976.0031,78623450.6843,80113711.38714,80521457.54693,81384312.3663088,75510792.504,77035583.88618,80499253.66546,81416075.263568,81398030.0,81398030.0,80981744.676,81398030.0,92933006.00310001
