,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,WEIGHTED_POP_DENSITY_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,WEIGHTED_POP_DENSITY_log_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_WEIGHTED_POP_DENSITY_log_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
2390,"Mobile, AL Metro Area-Bus",2005,0,34,802368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,802368.0,802368.0,802368.0,802368.0,802368.0,802368.0,802368.0,802368.0,802368.0,802368.0,802368.0,802368.0,802368.0
2391,"Mobile, AL Metro Area-Bus",2006,0,34,914634.0,23528.66575,21903.10545,2472.936075,43.7968719,13098.06702,14246.682780000001,-2007.5478190000001,226.4437667,0.0,0.0,0.0,0.0,36232.96279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,914634.0,914634.0,914634.0,914634.0,914634.0,914634.0,914634.0,914634.0,914634.0,914634.0,914634.0,914634.0,914634.0
2392,"Mobile, AL Metro Area-Bus",2007,0,34,970640.0,-34447.734469999996,-2352.837982,596.9784887,-464.79799360000004,7302.786561,14444.50144,7579.068279000001,-419.30171060000004,0.0,0.0,0.0,0.0,64569.01319,23528.66575,21903.10545,2472.936075,43.7968719,13098.06702,14246.682780000001,-2007.5478190000001,226.4437667,0.0,0.0,0.0,0.0,36232.96279,947111.33425,948736.89455,968167.063925,970596.2031281,957541.93298,956393.31722,972647.547819,970413.5562333,970640.0,970640.0,970640.0,970640.0,934407.03721
2393,"Mobile, AL Metro Area-Bus",2008,0,34,1135077.0,-6068.906362,39855.4512,309.17422660000005,1331.6806900000001,22838.55666,-34475.929639999995,-2357.2275019999997,410.9290587,0.0,0.0,0.0,0.0,144094.2147,-10919.068719999996,19550.267468,3069.9145637,-421.00112170000006,20400.853581,28691.184220000003,5571.520460000001,-192.85794390000004,0.0,0.0,0.0,0.0,100801.97597999999,1145996.06872,1115526.732532,1132007.0854363,1135498.0011217,1114676.146419,1106385.81578,1129505.47954,1135269.8579439,1135077.0,1135077.0,1135077.0,1135077.0,1034275.02402
2394,"Mobile, AL Metro Area-Bus",2009,0,34,1081929.0,-5453.722725,-15609.1092,-1391.495056,-1358.41907,-67533.86101000001,13286.2943,-7502.152958,-80.07104721,0.0,0.0,0.0,0.0,31490.48779,-16987.975081999997,59405.718668,3379.0887903000003,910.6795683,43239.410241,-5784.745419999992,3214.292958000001,218.07111479999995,0.0,0.0,0.0,0.0,244896.19068,1098916.975082,1022523.281332,1078549.9112097,1081018.3204317,1038689.589759,1087713.74542,1078714.707042,1081710.9288852,1081929.0,1081929.0,1081929.0,1081929.0,837032.80932
2395,"Mobile, AL Metro Area-Bus",2010,0,34,1082703.0,57998.70402999999,-1723.554027,1638.325124,3310.012818,30210.03865,17945.06119,7118.20968,-381.55546519999996,0.0,0.0,0.0,0.0,-119472.8772,-22441.697806999997,43796.609468,1987.5937343000003,-447.7395016999999,-24294.45076900001,7501.548880000008,-4287.859999999999,138.00006758999996,0.0,0.0,0.0,0.0,276386.67847,1105144.697807,1038906.390532,1080715.4062657,1083150.7395017,1106997.450769,1075201.45112,1086990.86,1082564.99993241,1082703.0,1082703.0,1082703.0,1082703.0,806316.3215300001
2396,"Mobile, AL Metro Area-Bus",2011,0,34,1077236.0,731.7181977000001,22194.006680000002,319.0748636,7463.728236,42697.04178,-13238.7039,159.5616775,-152.7475321,0.0,0.0,0.0,0.0,-66126.75072000001,35557.006223,42073.055441000004,3625.9188583000005,2862.2733163000003,5915.587880999989,25446.61007000001,2830.349680000001,-243.55539761,0.0,0.0,0.0,0.0,156913.80127,1041678.993777,1035162.944559,1073610.0811417,1074373.7266837,1071320.412119,1051789.38993,1074405.65032,1077479.55539761,1077236.0,1077236.0,1077236.0,1077236.0,920322.1987300001
2397,"Mobile, AL Metro Area-Bus",2012,0,34,1137564.0,-59021.28264,32067.596360000003,-71.76279737,-20406.25013,-1397.008179,25310.96931,3975.926532,266.0100364,0.0,0.0,0.0,0.0,82025.62741,36288.7244207,64267.06212100001,3944.9937219000003,10326.0015523,48612.629660999984,12207.90617000001,2989.911357500001,-396.30292971,0.0,0.0,0.0,0.0,90787.05054999999,1101275.2755793,1073296.937879,1133619.0062781,1127237.9984477,1088951.3703390001,1125356.09383,1134574.0886425,1137960.30292971,1137564.0,1137564.0,1137564.0,1137564.0,1046776.94945
2398,"Mobile, AL Metro Area-Bus",2013,0,34,1272429.0,18644.59474,-2061.086441,-20.30194554,3723.134616,-9381.853034,4586.8987130000005,-4433.648502,0.0,0.0,0.0,0.0,0.0,123971.3007,-22732.5582193,96334.65848100002,3873.2309245300003,-10080.2485777,47215.62148199999,37518.87548000001,6965.8378895000005,-130.29289331,0.0,0.0,0.0,0.0,172812.67796,1295161.5582193001,1176094.341519,1268555.76907547,1282509.2485777,1225213.378518,1234910.12452,1265463.1621105,1272559.29289331,1272429.0,1272429.0,1272429.0,1272429.0,1099616.32204
2399,"Mobile, AL Metro Area-Bus",2014,0,34,1182093.0,9078.334723,58577.40809,276.8872397,-15331.89735,-15041.122159999999,-19386.930330000003,-13521.999919999998,-359.002754,0.0,0.0,0.0,0.0,-92885.29407999999,-4087.9634793000005,94273.57204000001,3852.9289789900004,-6357.113961700001,37833.76844799999,42105.77419300001,2532.1893875000005,-130.29289331,0.0,0.0,0.0,0.0,296783.97866,1186180.9634793,1087819.42796,1178240.07102101,1188450.1139617,1144259.231552,1139987.225807,1179560.8106125,1182223.29289331,1182093.0,1182093.0,1182093.0,1182093.0,885309.02134
2400,"Mobile, AL Metro Area-Bus",2015,0,34,1112634.0,-9197.805922,-3079.423508,862.0576892999999,12711.57842,-72226.15122999999,-7639.819464,12784.97279,-208.4581415,0.0,0.0,0.0,0.0,-2910.2187489999997,4990.3712436999995,152850.98013,4129.816218690001,-21689.0113117,22792.64628799999,22718.84386300001,-10989.810532499998,-489.29564731,0.0,0.0,0.0,0.0,203898.68458000003,1107643.6287563,959783.01987,1108504.18378131,1134323.0113117,1089841.353712,1089915.156137,1123623.8105325,1113123.29564731,1112634.0,1112634.0,1112634.0,1112634.0,908735.31542
2401,"Mobile, AL Metro Area-Bus",2016,0,34,975058.0,-59349.642770000006,-14180.74198,159.9826087,-13474.77716,-20396.9762,-14805.692990000001,-5479.1457,-156.9701919,-26347.1677,0.0,0.0,0.0,8385.931968,-4207.4346783,149771.556622,4991.873907990001,-8977.4328917,-49433.504942,15079.024399000009,1795.162257500002,-697.7537888100001,0.0,0.0,0.0,0.0,200988.46583100004,979265.4346783,825286.443378,970066.12609201,984035.4328917,1024491.504942,959978.975601,973262.8377425,975755.75378881,975058.0,975058.0,975058.0,975058.0,774069.534169
2402,"Mobile, AL Metro Area-Bus",2017,0,34,848714.0,-30258.42643,-1551.3664119999999,93.56519357,-16450.36738,15476.595630000002,714.7745126,4608.844592,68.78777656,-23089.36869,0.0,0.0,0.0,-76257.74054,-63557.077448300006,135590.814642,5151.856516690001,-22452.2100517,-69830.481142,273.3314090000076,-3683.983442499998,-854.7239807100001,-26347.1677,0.0,0.0,0.0,209374.39779900003,912271.0774483,713123.185358,843562.14348331,871166.2100517,918544.4811420001,848440.668591,852397.9834425,849568.72398071,875061.1677,848714.0,848714.0,848714.0,639339.602201
2403,"Mobile, AL Metro Area-Bus",2018,0,34,844255.0,-83133.05815,27959.17682,311.34549189999996,-6093.438227000001,13746.618859999999,-3286.52317,1940.7804219999998,14.96823896,-20097.543380000003,0.0,4586.085778000001,0.0,62046.46327000001,-93815.5038783,134039.44823,5245.4217102600005,-38902.5774317,-54353.885512,988.1059216000076,924.8611495000023,-785.9362041500001,-49436.53639,0.0,0.0,0.0,133116.65725900003,938070.5038783,710215.55177,839009.57828974,883157.5774317,898608.885512,843266.8940784,843330.1388505,845040.93620415,893691.53639,844255.0,844255.0,844255.0,711138.342741
