,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,WEIGHTED_POP_DENSITY_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,WEIGHTED_POP_DENSITY_log_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_WEIGHTED_POP_DENSITY_log_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
2559,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area-Rail",2002,1,100,2028458449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2028458449.0,2028458449.0,2028458449.0,2028458449.0,2028458449.0,2028458449.0,2028458449.0,2028458449.0,2028458449.0,2028458449.0,2028458449.0,2028458449.0,2028458449.0
2560,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area-Rail",2003,1,100,1999850730.0,99237212.3,-76950471.71,3509996.367,-25703.43994,42758522.08,22717855.24,-5224341.399,0.0,0.0,0.0,0.0,0.0,-111864924.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999850730.0,1999850730.0,1999850730.0,1999850730.0,1999850730.0,1999850730.0,1999850730.0,1999850730.0,1999850730.0,1999850730.0,1999850730.0,1999850730.0,1999850730.0
2561,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area-Rail",2004,1,100,2115153452.0,58381083.3,12248157.05,5151380.448,17116.04076,45198538.21,29127600.24,-5297628.233,0.0,0.0,0.0,0.0,0.0,-33176786.32,99237212.3,-76950471.71,3509996.367,-25703.43994,42758522.08,22717855.24,-5224341.399,0.0,0.0,0.0,0.0,0.0,-111864924.8,2015916239.7,2192103923.71,2111643455.633,2115179155.43994,2072394929.92,2092435596.76,2120377793.399,2115153452.0,2115153452.0,2115153452.0,2115153452.0,2115153452.0,2227018376.8
2562,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area-Rail",2005,1,100,2507212523.0,20024090.02,152624156.3,5300214.945,57589.17464,62462340.65,27984596.82,-4981237.249,0.0,0.0,0.0,0.0,0.0,118769037.0,157618295.6,-64702314.66,8661376.815,-8587.39918,87957060.28999999,51845455.48,-10521969.632,0.0,0.0,0.0,0.0,0.0,-145041711.12,2349594227.4,2571914837.66,2498551146.185,2507221110.39918,2419255462.71,2455367067.52,2517734492.632,2507212523.0,2507212523.0,2507212523.0,2507212523.0,2507212523.0,2652254234.12
2563,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area-Rail",2006,1,100,2603647775.0,45674616.87,13320357.11,6830270.143999999,-267204.3438,45725736.15,51470156.28,-9219739.949,-176864.7698,0.0,0.0,0.0,0.0,-60215330.58,177642385.62,87921841.64000002,13961591.76,49001.77546,150419400.94,79830052.3,-15503206.881,0.0,0.0,0.0,0.0,0.0,-26272674.120000005,2426005389.38,2515725933.36,2589686183.24,2603598773.22454,2453228374.06,2523817722.7,2619150981.881,2603647775.0,2603647775.0,2603647775.0,2603647775.0,2603647775.0,2629920449.12
2564,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area-Rail",2007,1,100,2751026060.0,12211297.07,42792693.9,721292.3837,589043.5806,15584519.87,-16274623.62,4223905.674,91838.6305,0.0,0.0,0.0,0.0,87231641.0,223317002.49,101242198.75000001,20791861.904,-218202.56833999997,196145137.09,131300208.58,-24722946.83,-176864.7698,0.0,0.0,0.0,0.0,-86488004.7,2527709057.51,2649783861.25,2730234198.096,2751244262.56834,2554880922.91,2619725851.42,2775749006.83,2751202924.7698,2751026060.0,2751026060.0,2751026060.0,2751026060.0,2837514064.7
2565,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area-Rail",2008,1,100,2818659239.0,62280457.75,-17672567.48,3113544.06,-605784.3693,64782598.2,-1523812.8369999998,405428.2041,-97033.69127000001,0.0,0.0,0.0,0.0,-43740221.61,235528299.56,144034892.65,21513154.287699997,370841.01226,211729656.96,115025584.96,-20499041.156,-85026.13930000001,0.0,0.0,0.0,0.0,743636.299999997,2583130939.44,2674624346.35,2797146084.7123,2818288397.98774,2606929582.04,2703633654.04,2839158280.156,2818744265.1393,2818659239.0,2818659239.0,2818659239.0,2818659239.0,2817915602.7
2566,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area-Rail",2009,1,100,2717269400.0,15315870.71,-58832468.95,-2917450.7630000003,581545.0814,-160672593.0,34640616.06,3948730.22,-198834.9662,0.0,0.0,0.0,0.0,67137227.34,297808757.31,126362325.17,24626698.347699996,-234943.35704000003,276512255.16,113501772.123,-20093612.951899998,-182059.83057000002,0.0,0.0,0.0,0.0,-42996585.31,2419460642.69,2590907074.83,2692642701.6523,2717504343.35704,2440757144.84,2603767627.877,2737363012.9519,2717451459.83057,2717269400.0,2717269400.0,2717269400.0,2717269400.0,2760265985.31
2567,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area-Rail",2010,1,100,2812782058.0,-37931109.12,-985747.0058,-2306515.378,7753510.72,71832944.72,7809030.805,6414340.714,0.0,0.0,0.0,0.0,0.0,43669097.43,313124628.02,67529856.22,21709247.584699996,346601.72436,115839662.16000003,148142388.183,-16144882.731899997,-380894.79677,0.0,0.0,0.0,0.0,24140642.03,2499657429.98,2745252201.78,2791072810.4153,2812435456.27564,2696942395.84,2664639669.817,2828926940.7319,2813162952.79677,2812782058.0,2812782058.0,2812782058.0,2812782058.0,2788641415.97
2568,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area-Rail",2011,1,100,2875478447.0,-39735518.27,-71214429.73,1705527.8059999999,-9431071.595,113492980.9,31339621.31,7678690.94,0.0,0.0,0.0,0.0,0.0,32328191.85,275193518.9,66544109.2142,19402732.206699997,8100112.44436,187672606.88000003,155951418.988,-9730542.017899998,-380894.79677,0.0,0.0,0.0,0.0,67809739.46000001,2600284928.1,2808934337.7858,2856075714.7933,2867378334.55564,2687805840.12,2719527028.012,2885208989.0179,2875859341.79677,2875478447.0,2875478447.0,2875478447.0,2875478447.0,2807668707.54
2569,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area-Rail",2012,1,100,2929500931.0,-2017890.957,29780690.92,3041266.046,16442873.03,5876919.016,5620262.429,4452692.52,-202843.1291,0.0,-30161097.14,0.0,0.0,21382287.26,235458000.62999997,-4670320.515800007,21108260.0127,-1330959.1506400006,301165587.78000003,187291040.298,-2051851.0778999971,-380894.79677,0.0,0.0,0.0,0.0,100137931.31,2694042930.37,2934171251.5158,2908392670.9873,2930831890.15064,2628335343.22,2742209890.702,2931552782.0779,2929881825.79677,2929500931.0,2929500931.0,2929500931.0,2929500931.0,2829362999.69
2570,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area-Rail",2013,1,100,3028731446.0,52578542.4,-42714673.44,12206481.16,18137505.04,-23090452.7,8225019.223999999,-33906462.87,-103328.8245,0.0,-30727742.8,15829764.27,0.0,124057733.3,233440109.67299998,25110370.404199995,24149526.0587,15111913.879359998,307042506.796,192911302.727,2400841.4421000024,-583737.92587,0.0,-30161097.14,0.0,0.0,121520218.57000001,2795291336.327,3003621075.5958,3004581919.9413,3013619532.12064,2721688939.204,2835820143.273,3026330604.5579,3029315183.92587,3028731446.0,3058892543.14,3028731446.0,3028731446.0,2907211227.43
2571,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area-Rail",2014,1,100,3137384054.0,30463639.93,6583517.774,3971782.445,41772192.95,-28032263.09,3883604.562,6031340.562999999,0.0,0.0,-31768578.7,0.0,0.0,76330292.34,286018652.07299995,-17604303.035800003,36356007.2187,33249418.919359997,283952054.096,201136321.951,-31505621.427899994,-687066.75037,0.0,-60888839.94,15829764.27,0.0,245577951.87,2851365401.927,3154988357.0358,3101028046.7813,3104134635.08064,2853431999.904,2936247732.049,3168889675.4279,3138071120.75037,3137384054.0,3198272893.94,3121554289.73,3137384054.0,2891806102.13
2572,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area-Rail",2015,1,100,3049980993.0,5377390.066000001,-97178046.32,3728405.5519999997,37989948.06,-180653890.1,-19730568.55,-693422.9307,110665.1436,0.0,-32908243.6,0.0,0.0,190851494.0,316482292.00299996,-11020785.261800002,40327789.6637,75021611.86936,255919791.006,205019926.513,-25474280.864899993,-687066.75037,0.0,-92657418.64,15829764.27,0.0,321908244.21000004,2733498700.997,3061001778.2618,3009653203.3363,2974959381.13064,2794061201.994,2844961066.487,3075455273.8649,3050668059.75037,3049980993.0,3142638411.64,3034151228.73,3049980993.0,2728072748.79
2573,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area-Rail",2016,1,100,3072351668.0,-2281548.454,-6776310.955,799110.4832,19673181.69,-55951197.61,-35537977.44,-6510112.299,-430290.735,0.0,-31991466.7,0.0,0.0,140023810.2,321859682.06899995,-108198831.5818,44056195.2157,113011559.92936,75265900.90600002,185289357.963,-26167703.795599993,-576401.6067700001,0.0,-125565662.24000001,15829764.27,0.0,512759738.21000004,2750491985.931,3180550499.5818,3028295472.7843,2959340108.07064,2997085767.094,2887062310.037,3098519371.7956,3072928069.60677,3072351668.0,3197917330.24,3056521903.73,3072351668.0,2559591929.79
2574,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area-Rail",2017,1,100,3093336562.0,14232576.53,-2731811.2830000003,3113246.97,42964605.03,55363554.52,-19960702.19,2717699.527,0.0,0.0,-32226114.3,0.0,0.0,-42063625.34,319578133.61499995,-114975142.5368,44855305.6989,132684741.61936,19314703.29600002,149751380.523,-32677816.094599992,-1006692.34177,0.0,-157557128.94,15829764.27,0.0,652783548.4100001,2773758428.385,3208311704.5368,3048481256.3011,2960651820.38064,3074021858.704,2943585181.477,3126014378.0946,3094343254.34177,3093336562.0,3250893690.94,3077506797.73,3093336562.0,2440553013.59
2575,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area-Rail",2018,1,100,3028681761.0,-20326485.97,-39636545.76,1880608.23,47552130.89,44212758.56,-26136620.55,227929.4447,-109107.6051,0.0,-32446226.34,0.0,-189021946.8,148734306.7,333810710.1449999,-117706953.8198,47968552.6689,175649346.64936,74678257.81600001,129790678.333,-29960116.567599993,-1006692.34177,0.0,-189783243.24,15829764.27,0.0,610719923.07,2694871050.855,3146388714.8198,2980713208.3311,2853032414.35064,2954003503.184,2898891082.667,3058641877.5676,3029688453.34177,3028681761.0,3218465004.24,3012851996.73,3028681761.0,2417961837.93
