,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,WEIGHTED_POP_DENSITY_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,WEIGHTED_POP_DENSITY_log_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_WEIGHTED_POP_DENSITY_log_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
2623,"Olympia, WA Metro Area-Bus",2002,0,23,2419096.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2419096.0,2419096.0,2419096.0,2419096.0,2419096.0,2419096.0,2419096.0,2419096.0,2419096.0,2419096.0,2419096.0,2419096.0,2419096.0
2624,"Olympia, WA Metro Area-Bus",2003,0,23,2587111.0,241066.5833,34460.431339999996,12071.301000000001,69.84693249,69681.49725,29340.055239999998,17351.4187,0.0,0.0,0.0,0.0,0.0,-256682.2053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2587111.0,2587111.0,2587111.0,2587111.0,2587111.0,2587111.0,2587111.0,2587111.0,2587111.0,2587111.0,2587111.0,2587111.0,2587111.0
2625,"Olympia, WA Metro Area-Bus",2004,0,23,2760580.0,162741.0847,71447.75235,13424.635419999999,73.37210729,51095.75227,40883.01888,17980.63449,0.0,0.0,0.0,0.0,0.0,-202283.4486,241066.5833,34460.431339999996,12071.301000000001,69.84693249,69681.49725,29340.055239999998,17351.4187,0.0,0.0,0.0,0.0,0.0,-256682.2053,2519513.4167,2726119.56866,2748508.699,2760510.15306751,2690898.50275,2731239.94476,2743228.5813,2760580.0,2760580.0,2760580.0,2760580.0,2760580.0,3017262.2053
2626,"Olympia, WA Metro Area-Bus",2005,0,23,2839816.0,195437.5605,26658.715790000002,11889.24317,-549.4814409,67569.71592,36824.75163,14479.46172,0.0,0.0,0.0,0.0,0.0,-287629.7808,403807.668,105908.18368999999,25495.936419999998,143.21903978,120777.24952,70223.07412,35332.05319,0.0,0.0,0.0,0.0,0.0,-458965.65390000003,2436008.332,2733907.81631,2814320.06358,2839672.78096022,2719038.75048,2769592.92588,2804483.94681,2839816.0,2839816.0,2839816.0,2839816.0,2839816.0,3298781.6539000003
2627,"Olympia, WA Metro Area-Bus",2006,0,23,3240316.0,207577.453,70477.93521,12158.438909999999,1391.90845,47084.70035,72229.73481000001,26698.36866,400.6972283,0.0,0.0,0.0,0.0,-61997.28557000001,599245.2285,132566.89948,37385.17959,-406.26240112000005,188346.96544,107047.82575,49811.51491,0.0,0.0,0.0,0.0,0.0,-746595.4347000001,2641070.7715,3107749.10052,3202930.82041,3240722.26240112,3051969.03456,3133268.17425,3190504.48509,3240316.0,3240316.0,3240316.0,3240316.0,3240316.0,3986911.4347
2628,"Olympia, WA Metro Area-Bus",2007,0,23,3635842.0,34147.00767,40790.51482,9346.625922,-2148.7788100000002,32091.45286,-62910.52276,-27340.3329,-2513.48941,0.0,0.0,0.0,0.0,375341.92600000004,806822.6815,203044.83469,49543.6185,985.6460488799999,235431.66579,179277.56056,76509.88357,400.6972283,0.0,0.0,0.0,0.0,-808592.7202700002,2829019.3185,3432797.16531,3586298.3815,3634856.35395112,3400410.33421,3456564.43944,3559332.11643,3635441.3027717,3635842.0,3635842.0,3635842.0,3635842.0,4444434.72027
2629,"Olympia, WA Metro Area-Bus",2008,0,23,4307998.0,228902.4543,62010.087810000005,12323.58413,193.7886255,74217.11496,-15086.875230000001,-2410.242722,1410.968929,0.0,0.0,0.0,0.0,301098.0019,840969.6891699999,243835.34950999997,58890.244421999996,-1163.1327611200004,267523.11865,116367.03780000002,49169.550670000004,-2112.7921817,0.0,0.0,0.0,0.0,-433250.79427000013,3467028.31083,4064162.65049,4249107.755578,4309161.13276112,4040474.88135,4191630.9622,4258828.44933,4310110.7921817,4307998.0,4307998.0,4307998.0,4307998.0,4741248.79427
2630,"Olympia, WA Metro Area-Bus",2009,0,23,4298847.0,247551.5427,-219588.4638,3933.782881,12088.2294,-218945.0953,100812.0919,22595.792230000003,303.9179247,0.0,0.0,0.0,0.0,61161.60389,1069872.14347,305845.43731999997,71213.82855199999,-969.3441356200004,341740.23361,101280.16257000001,46759.307948,-701.8232527000002,0.0,0.0,0.0,0.0,-132152.79237000016,3228974.85653,3993001.56268,4227633.171448,4299816.34413562,3957106.76639,4197566.83743,4252087.692052,4299548.8232527,4298847.0,4298847.0,4298847.0,4298847.0,4430999.79237
2631,"Olympia, WA Metro Area-Bus",2010,0,23,4313015.0,-72580.51377,-27526.12932,-5676.075508,-29455.35332,105767.5329,-58592.37078,-12019.46111,1061.546817,0.0,0.0,0.0,0.0,114512.61099999999,1317423.6861700001,86256.97351999997,75147.611433,11118.88526438,122795.13831000001,202092.25447,69355.10017800001,-397.9053280000002,0.0,0.0,0.0,0.0,-70991.18848000016,2995591.31383,4226758.0264800005,4237867.388567,4301896.11473562,4190219.86169,4110922.74553,4243659.899822,4313412.905328,4313015.0,4313015.0,4313015.0,4313015.0,4384006.18848
2632,"Olympia, WA Metro Area-Bus",2011,0,23,4505329.0,237198.7387,91547.13157,291.00386480000003,58464.208170000005,150040.7558,63682.322920000006,-19657.95392,-3801.5877200000004,0.0,0.0,0.0,0.0,-413710.3239,1244843.1724,58730.84419999997,69471.535925,-18336.468055619996,228562.67121,143499.88369000002,57335.639068000004,663.6414889999996,0.0,0.0,0.0,0.0,43521.42251999983,3260485.8276,4446598.1558,4435857.464075,4523665.46805562,4276766.32879,4361829.11631,4447993.360932,4504665.358511,4505329.0,4505329.0,4505329.0,4505329.0,4461807.57748
2633,"Olympia, WA Metro Area-Bus",2012,0,23,4567371.0,-152310.9655,-26858.03788,3660.591422,-35125.08403,21136.24923,45898.838130000004,25967.308930000003,2384.339931,0.0,0.0,0.0,0.0,178955.5096,1482041.9111000001,150277.97576999996,69762.53978980001,40127.74011438001,378603.42701,207182.20661000002,37677.685148000004,-3137.946231000001,0.0,0.0,0.0,0.0,-370188.90138000017,3085329.0889,4417093.02423,4497608.4602102,4527243.25988562,4188767.5729900002,4360188.79339,4529693.314852,4570508.946231,4567371.0,4567371.0,4567371.0,4567371.0,4937559.901380001
2634,"Olympia, WA Metro Area-Bus",2013,0,23,4434071.0,54481.04547999999,-161311.0506,7521.40673,37525.08943,-43838.31188,35956.01378,7746.7480000000005,1933.637049,0.0,0.0,0.0,0.0,-69998.44762,1329730.9456000002,123419.93788999996,73423.1312118,5002.656084380011,399739.67624,253081.04474000004,63644.994078,-753.6063000000008,0.0,0.0,0.0,0.0,-191233.39178000018,3104340.0544,4310651.06211,4360647.8687882,4429068.34391562,4034331.32376,4180989.95526,4370426.005922,4434824.6063,4434071.0,4434071.0,4434071.0,4434071.0,4625304.39178
