,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,WEIGHTED_POP_DENSITY_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,WEIGHTED_POP_DENSITY_log_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_WEIGHTED_POP_DENSITY_log_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
2726,"Pensacola-Ferry Pass-Brent, FL Metro Area-Bus",2002,0,34,1368144.264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1368144.264,1368144.264,1368144.264,1368144.264,1368144.264,1368144.264,1368144.264,1368144.264,1368144.264,1368144.264,1368144.264,1368144.264,1368144.264
2727,"Pensacola-Ferry Pass-Brent, FL Metro Area-Bus",2003,0,34,1395493.6030000001,67926.36977,29860.42191,9005.123972,76.50238659,25808.079840000002,24422.50254,10422.58359,0.0,0.0,0.0,0.0,0.0,-148061.4464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1395493.6030000001,1395493.6030000001,1395493.6030000001,1395493.6030000001,1395493.6030000001,1395493.6030000001,1395493.6030000001,1395493.6030000001,1395493.6030000001,1395493.6030000001,1395493.6030000001,1395493.6030000001,1395493.6030000001
2728,"Pensacola-Ferry Pass-Brent, FL Metro Area-Bus",2004,0,34,1406702.494,-23845.92479,15814.954569999998,8534.156307,145.5565882,37400.13898,29932.662510000002,11252.69996,0.0,0.0,0.0,0.0,0.0,-69074.82911,67926.36977,29860.42191,9005.123972,76.50238659,25808.079840000002,24422.50254,10422.58359,0.0,0.0,0.0,0.0,0.0,-148061.4464,1338776.12423,1376842.07209,1397697.3700279999,1406625.99161341,1380894.41416,1382279.99146,1396279.91041,1406702.494,1406702.494,1406702.494,1406702.494,1406702.494,1554763.9404
2729,"Pensacola-Ferry Pass-Brent, FL Metro Area-Bus",2005,0,34,1193417.501,-48880.457780000004,-133658.2349,9668.326336,-749.4718202,46422.14222,28872.51721,10089.83685,0.0,0.0,0.0,0.0,0.0,-119554.6709,44080.44498,45675.37648,17539.280279,222.05897478999998,63208.21882000001,54355.16505,21675.28355,0.0,0.0,0.0,0.0,0.0,-217136.27551,1149337.05602,1147742.1245199998,1175878.2207209999,1193195.44202521,1130209.2821799999,1139062.33595,1171742.2174499999,1193417.501,1193417.501,1193417.501,1193417.501,1193417.501,1410553.77651
2730,"Pensacola-Ferry Pass-Brent, FL Metro Area-Bus",2006,0,34,1092234.173,59891.06021,-132741.9181,7634.721528,1429.8997980000001,18858.895790000002,33047.66036,13796.616769999999,-1009.8464449999999,0.0,0.0,0.0,0.0,-91990.2671,-4800.012800000004,-87982.85842,27207.606614999997,-527.41284541,109630.36104000002,83227.68226,31765.1204,0.0,0.0,0.0,0.0,0.0,-336690.94641,1097034.1857999999,1180217.03142,1065026.566385,1092761.58584541,982603.81196,1009006.4907399999,1060469.0526,1092234.173,1092234.173,1092234.173,1092234.173,1092234.173,1428925.1194099998
2731,"Pensacola-Ferry Pass-Brent, FL Metro Area-Bus",2007,0,34,1049237.148,-25647.53528,44873.294389999995,3107.5701510000004,-1565.294556,8375.614453,2535.7207329999997,-5618.90334,346.7869236,0.0,0.0,0.0,0.0,-68437.8698,55091.04741,-220724.77652,34842.328143,902.4869525900001,128489.25683000003,116275.34262000001,45561.73717,-1009.8464449999999,0.0,0.0,0.0,0.0,-428681.21351,994146.10059,1269961.9245200001,1014394.819857,1048334.66104741,920747.89117,932961.80538,1003675.4108300001,1050246.994445,1049237.148,1049237.148,1049237.148,1049237.148,1477918.36151
2732,"Pensacola-Ferry Pass-Brent, FL Metro Area-Bus",2008,0,34,1118868.9070000001,-124622.8407,32976.31669,-1449.3448720000001,-461.1843468,26549.61428,-5340.315965999999,-1776.604718,-185.029457,0.0,0.0,0.0,0.0,149626.3302,29443.51213,-175851.48213000002,37949.898294,-662.80760341,136864.87128300001,118811.063353,39942.83383,-663.0595213999999,0.0,0.0,0.0,0.0,-497119.08330999996,1089425.3948700002,1294720.38913,1080919.0087060002,1119531.71460341,982004.0357170001,1000057.8436470001,1078926.0731700002,1119531.9665214,1118868.9070000001,1118868.9070000001,1118868.9070000001,1118868.9070000001,1615987.99031
2733,"Pensacola-Ferry Pass-Brent, FL Metro Area-Bus",2009,0,34,1109147.1409999998,68689.87342,19118.8438,-1417.126894,8732.648242,-66178.53283,21650.86374,9520.846578,-1222.7537109999998,0.0,0.0,0.0,0.0,-65451.98529,-95179.32857,-142875.16544,36500.553422,-1123.99195021,163414.48556300002,113470.74738700001,38166.229112,-848.0889783999999,0.0,0.0,0.0,0.0,-347492.75310999993,1204326.4695699997,1252022.30644,1072646.5875779998,1110271.1329502098,945732.6554369999,995676.3936129998,1070980.9118879999,1109995.2299783998,1109147.1409999998,1109147.1409999998,1109147.1409999998,1109147.1409999998,1456639.8941099998
2734,"Pensacola-Ferry Pass-Brent, FL Metro Area-Bus",2010,0,34,1163710.358,26963.43603,-15399.87326,-446.72348250000005,-18893.943219999997,30023.24269,68.24713708,2700.1535289999997,430.42908719999997,0.0,0.0,0.0,0.0,29842.59597,-26489.455149999994,-123756.32164000001,35083.426527999996,7608.656291789999,97235.95273300003,135121.611127,47687.07569,-2070.8426893999995,0.0,0.0,0.0,0.0,-412944.7383999999,1190199.81315,1287466.67964,1128626.931472,1156101.70170821,1066474.405267,1028588.7468729999,1116023.28231,1165781.2006894,1163710.358,1163710.358,1163710.358,1163710.358,1576655.0964
2735,"Pensacola-Ferry Pass-Brent, FL Metro Area-Bus",2011,0,34,1341653.825,15197.403409999999,45800.39026,1472.3553539999998,36428.75346,45973.48944,-14033.741580000002,-6583.570479,246.3074878,0.0,0.0,0.0,0.0,49345.1637,473.98088000000644,-139156.1949,34636.7030455,-11285.286928209998,127259.19542300003,135189.85826408002,50387.229219,-1640.4136021999996,0.0,0.0,0.0,0.0,-383102.1424299999,1341179.84412,1480810.0199,1307017.1219545,1352939.11192821,1214394.629577,1206463.96673592,1291266.5957809999,1343294.2386022,1341653.825,1341653.825,1341653.825,1341653.825,1724755.9674299997
