,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,WEIGHTED_POP_DENSITY_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,WEIGHTED_POP_DENSITY_log_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_WEIGHTED_POP_DENSITY_log_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
2790,"Phoenix-Mesa-Glendale, AZ Metro Area-Bus",2002,0,10,46652516.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46652516.0,46652516.0,46652516.0,46652516.0,46652516.0,46652516.0,46652516.0,46652516.0,46652516.0,46652516.0,46652516.0,46652516.0,46652516.0
2791,"Phoenix-Mesa-Glendale, AZ Metro Area-Bus",2003,0,10,43351302.0,-5900971.348999999,-4658378.55,313840.401,486.0874903,1343814.865,-67862.63207,-147575.0635,0.0,0.0,0.0,0.0,0.0,5533282.279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43351302.0,43351302.0,43351302.0,43351302.0,43351302.0,43351302.0,43351302.0,43351302.0,43351302.0,43351302.0,43351302.0,43351302.0,43351302.0
2792,"Phoenix-Mesa-Glendale, AZ Metro Area-Bus",2004,0,10,54289124.0,8711442.974,1710526.4209999999,292650.7837,4673.047538000001,856193.4094,74704.81907,-140316.3515,0.0,0.0,0.0,0.0,0.0,-1190820.245,-5900971.348999999,-4658378.55,313840.401,486.0874903,1343814.865,-67862.63207,-147575.0635,0.0,0.0,0.0,0.0,0.0,5533282.279,60190095.349,58947502.55,53975283.599,54288637.9125097,52945309.135,54356986.63207,54436699.0635,54289124.0,54289124.0,54289124.0,54289124.0,54289124.0,48755841.721
2793,"Phoenix-Mesa-Glendale, AZ Metro Area-Bus",2005,0,10,58016383.0,1941817.4340000001,1670254.1909999999,367070.8141,-19646.665390000002,1328815.2079999999,108160.8762,-139822.8877,0.0,0.0,0.0,0.0,0.0,-1707939.9519999998,2810471.625,-2947852.1289999997,606491.1847000001,5159.135028300001,2200008.2744,6842.186999999991,-287891.415,0.0,0.0,0.0,0.0,0.0,4342462.034,55205911.375,60964235.129,57409891.8153,58011223.8649717,55816374.7256,58009540.813,58304274.415,58016383.0,58016383.0,58016383.0,58016383.0,58016383.0,53673920.966
2794,"Phoenix-Mesa-Glendale, AZ Metro Area-Bus",2006,0,10,58385669.0,950147.3483,-769187.0483,414905.365,38767.56099,961922.8882,211176.8809,-298460.2169,-6138.813423,0.0,0.0,0.0,0.0,-1129508.89,4752289.059,-1277597.9379999998,973561.9988000002,-14487.5303617,3528823.4824,115003.06319999999,-427714.3027,0.0,0.0,0.0,0.0,0.0,2634522.0820000004,53633379.941,59663266.938,57412107.0012,58400156.5303617,54856845.5176,58270665.9368,58813383.3027,58385669.0,58385669.0,58385669.0,58385669.0,58385669.0,55751146.918
2795,"Phoenix-Mesa-Glendale, AZ Metro Area-Bus",2007,0,10,58433432.0,3573826.869,-589495.7579999999,223762.9279,-31150.24355,578240.1915,-1794.7483140000002,314887.1076,-8237.039013,0.0,0.0,0.0,0.0,-4036569.9310000003,5702436.4073,-2046784.9863,1388467.3638000002,24280.030628299995,4490746.3706,326179.94409999996,-726174.5196,-6138.813423,0.0,0.0,0.0,0.0,1505013.1920000005,52730995.5927,60480216.9863,57044964.6362,58409151.9693717,53942685.6294,58107252.0559,59159606.5196,58439570.813423,58433432.0,58433432.0,58433432.0,58433432.0,56928418.808
2796,"Phoenix-Mesa-Glendale, AZ Metro Area-Bus",2008,0,10,65426588.0,6225589.49,2967744.6010000003,112261.8631,-59949.91574,1192780.308,-21289.9036,-292038.4539,0.0,0.0,0.0,0.0,0.0,-3593229.142,9276263.2763,-2636280.7443,1612230.2917000002,-6870.212921700004,5068986.5621,324385.19578599994,-411287.412,-14375.852436,0.0,0.0,0.0,0.0,-2531556.739,56150324.7237,68062868.7443,63814357.7083,65433458.2129217,60357601.4379,65102202.804214,65837875.412,65440963.852436,65426588.0,65426588.0,65426588.0,65426588.0,67958144.739
2797,"Phoenix-Mesa-Glendale, AZ Metro Area-Bus",2009,0,10,59038992.0,-1596817.138,-3626684.9489999996,3888.816015,382867.4585,-3325171.122,1440421.9630000002,386796.1308,-9230.370518000002,0.0,0.0,0.0,0.0,-133544.6603,15501852.7663,331463.85670000035,1724492.1548000001,-66820.1286617,6261766.8701,303095.2921859999,-703325.8659000001,-14375.852436,0.0,0.0,0.0,0.0,-6124785.881,43537139.2337,58707528.1433,57314499.8452,59105812.1286617,52777225.1299,58735896.707814,59742317.8659,59053367.852436,59038992.0,59038992.0,59038992.0,59038992.0,65163777.881
2798,"Phoenix-Mesa-Glendale, AZ Metro Area-Bus",2010,0,10,53759251.0,-4273469.603999999,-1506711.909,-219751.169,-571771.8154,1452577.524,727385.2554,78353.1973,-14575.345809999999,0.0,0.0,0.0,0.0,-914208.4071,13905035.6283,-3295221.092299999,1728380.9708150001,316047.3298383,2936595.7481,1743517.2551860001,-316529.7351000001,-23606.222954,0.0,0.0,0.0,0.0,-6258330.5413,39854215.371700004,57054472.0923,52030870.029185,53443203.6701617,50822655.2519,52015733.744814,54075780.7351,53782857.222954,53759251.0,53759251.0,53759251.0,53759251.0,60017581.5413
2799,"Phoenix-Mesa-Glendale, AZ Metro Area-Bus",2011,0,10,55713211.0,-2068405.7519999999,805890.5583,52063.52691,789440.6532,1870171.7130000002,379595.6239,67380.06282,3792.5737200000003,0.0,0.0,0.0,0.0,108832.2531,9631566.024300002,-4801933.0013,1508629.8018150001,-255724.48556169996,4389173.2721,2470902.510586,-238176.5378000001,-38181.568763999996,0.0,0.0,0.0,0.0,-7172538.9484,46081644.9757,60515144.0013,54204581.198185,55968935.4855617,51324037.7279,53242308.489414,55951387.5378,55751392.568764,55713211.0,55713211.0,55713211.0,55713211.0,62885749.9484
