,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,WEIGHTED_POP_DENSITY_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,WEIGHTED_POP_DENSITY_log_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_WEIGHTED_POP_DENSITY_log_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
2807,"Phoenix-Mesa-Glendale, AZ Metro Area-Rail",2009,1,10,11348341.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11348341.0,11348341.0,11348341.0,11348341.0,11348341.0,11348341.0,11348341.0,11348341.0,11348341.0,11348341.0,11348341.0,11348341.0,11348341.0
2808,"Phoenix-Mesa-Glendale, AZ Metro Area-Rail",2010,1,10,12616937.0,-382952.0829,-2103529.498,-42240.07079,-109904.6802,279211.1536,139816.3423,15060.87369,-2801.63988,0.0,0.0,0.0,0.0,3465561.312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12616937.0,12616937.0,12616937.0,12616937.0,12616937.0,12616937.0,12616937.0,12616937.0,12616937.0,12616937.0,12616937.0,12616937.0,12616937.0
2809,"Phoenix-Mesa-Glendale, AZ Metro Area-Rail",2011,1,10,13161638.0,-612859.2971,-121525.6964,12218.96189,185276.4464,438916.8049,89088.55653999999,15813.65052,890.0917107,0.0,0.0,0.0,0.0,561981.613,-382952.0829,-2103529.498,-42240.07079,-109904.6802,279211.1536,139816.3423,15060.87369,-2801.63988,0.0,0.0,0.0,0.0,3465561.312,13544590.0829,15265167.498,13203878.07079,13271542.6802,12882426.8464,13021821.6577,13146577.12631,13164439.63988,13161638.0,13161638.0,13161638.0,13161638.0,9696076.688000001
2810,"Phoenix-Mesa-Glendale, AZ Metro Area-Rail",2012,1,10,14042008.0,157424.012,-232543.3785,25552.721080000003,69602.08574,61746.35883,49860.83275,-30028.455660000003,928.5189332,0.0,0.0,0.0,0.0,780947.6212,-995811.3799999999,-2225055.1944,-30021.1089,75371.76619999998,718127.9585,228904.89883999998,30874.52421,-1911.5481693000002,0.0,0.0,0.0,0.0,4027542.925,15037819.379999999,16267063.1944,14072029.1089,13966636.2338,13323880.0415,13813103.10116,14011133.47579,14043919.5481693,14042008.0,14042008.0,14042008.0,14042008.0,10014465.075
2811,"Phoenix-Mesa-Glendale, AZ Metro Area-Rail",2013,1,10,14226293.0,60804.97975,-225280.6485,27250.993280000002,118014.2686,-134777.2988,89084.20765,3104.243129,-1485.8090550000002,0.0,-147287.6167,0.0,0.0,397411.956,-838387.3679999999,-2457598.5729,-4468.387819999996,144973.85193999996,779874.31733,278765.73159,846.0685499999963,-983.0292361000002,0.0,0.0,0.0,0.0,4808490.5462,15064680.368,16683891.572900001,14230761.38782,14081319.14806,13446418.682670001,13947527.268410001,14225446.93145,14227276.0292361,14226293.0,14226293.0,14226293.0,14226293.0,9417802.4538
2812,"Phoenix-Mesa-Glendale, AZ Metro Area-Rail",2014,1,10,14263662.0,-55893.67989,200736.4888,45093.92333,194665.1195,-136245.8027,-135423.2585,-3144.287603,-1003.556744,0.0,-149220.5951,76872.77457000001,0.0,6102.563101,-777582.3882499998,-2682879.2214,22782.605460000006,262988.12054,645097.01853,367849.93924,3950.3116789999963,-2468.8382911000003,0.0,-147287.6167,0.0,0.0,5205902.5022,15041244.38825,16946541.2214,14240879.39454,14000673.87946,13618564.98147,13895812.06076,14259711.688321,14266130.8382911,14263662.0,14410949.6167,14263662.0,14263662.0,9057759.4978
2813,"Phoenix-Mesa-Glendale, AZ Metro Area-Rail",2015,1,10,14759817.0,807329.5232,37558.17403,44981.25614,227188.8971,-525661.8378,-101385.9534,-4203.240992,1006.263827,0.0,-149612.5612,0.0,0.0,190745.4738,-833476.0681399999,-2482142.7326,67876.52879000001,457653.24003999995,508851.21583,232426.68073999998,806.0240759999961,-3472.3950351000003,0.0,-296508.21180000005,76872.77457000001,0.0,5212005.065301,15593293.06814,17241959.7326,14691940.47121,14302163.75996,14250965.78417,14527390.31926,14759010.975924,14763289.3950351,14759817.0,15056325.2118,14682944.22543,14759817.0,9547811.934698999
2814,"Phoenix-Mesa-Glendale, AZ Metro Area-Rail",2016,1,10,16303599.0,2651092.338,281057.1779,45817.84819,288264.4991,-372378.5714,-111616.0835,-51025.15354,-4684.789245,0.0,-154816.7661,0.0,0.0,-1000315.656,-26146.544939999818,-2444584.5585700003,112857.78493000001,684842.13714,-16810.62196999998,131040.72733999998,-3397.216916000004,-2466.1312081000005,0.0,-446120.77300000004,76872.77457000001,0.0,5402750.539101,16329745.54494,18748183.55857,16190741.21507,15618756.86286,16320409.62197,16172558.27266,16306996.216916,16306065.1312081,16303599.0,16749719.773,16226726.22543,16303599.0,10900848.460899
2815,"Phoenix-Mesa-Glendale, AZ Metro Area-Rail",2017,1,10,16268923.0,460721.3897,168435.4307,46682.60927,150307.3471,226934.4083,-71517.13157,-80286.77387,0.0,0.0,-171009.6049,0.0,0.0,-770220.3670000001,2624945.79306,-2163527.3806700003,158675.63312,973106.63624,-389189.19337,19424.64383999999,-54422.370456000004,-7150.9204531000005,0.0,-600937.5391,76872.77457000001,0.0,4402434.8831009995,13643977.206939999,18432450.38067,16110247.36688,15295816.36376,16658112.19337,16249498.35616,16323345.370456,16276073.9204531,16268923.0,16869860.5391,16192050.22543,16268923.0,11866488.116899
2816,"Phoenix-Mesa-Glendale, AZ Metro Area-Rail",2018,1,10,15406410.0,-151870.4214,-265256.0404,44175.53505,272244.3622,363880.5769,-99333.40169,-71764.17293,-1291.099153,0.0,-170645.8859,0.0,-994131.5589,216303.1106,3085667.18276,-1995091.9499700004,205358.24239000003,1123413.98334,-162254.78506999998,-52092.48773000001,-134709.144326,-7150.9204531000005,0.0,-771947.1440000001,76872.77457000001,0.0,3632214.5161009994,12320742.81724,17401501.94997,15201051.75761,14282996.01666,15568664.78507,15458502.48773,15541119.144326,15413560.9204531,15406410.0,16178357.144,15329537.22543,15406410.0,11774195.483899001
