,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,WEIGHTED_POP_DENSITY_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,WEIGHTED_POP_DENSITY_log_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_WEIGHTED_POP_DENSITY_log_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
2912,"Portland-Vancouver-Hillsboro, OR-WA Metro Area-Bus",2002,0,10,69127310.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69127310.58,69127310.58,69127310.58,69127310.58,69127310.58,69127310.58,69127310.58,69127310.58,69127310.58,69127310.58,69127310.58,69127310.58,69127310.58
2913,"Portland-Vancouver-Hillsboro, OR-WA Metro Area-Bus",2003,0,10,69176455.66,-50645.50706,11796849.51,187312.7785,-3084.2072350000003,1991196.092,112790.1959,-91620.24761,0.0,0.0,0.0,0.0,0.0,-14264783.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69176455.66,69176455.66,69176455.66,69176455.66,69176455.66,69176455.66,69176455.66,69176455.66,69176455.66,69176455.66,69176455.66,69176455.66,69176455.66
2914,"Portland-Vancouver-Hillsboro, OR-WA Metro Area-Bus",2004,0,10,71124158.87,759089.8867,-8944956.611,237033.3061,2768.121509,1366243.289,336208.9348,-86594.94076,0.0,0.0,0.0,0.0,0.0,8589370.734,-50645.50706,11796849.51,187312.7785,-3084.2072350000003,1991196.092,112790.1959,-91620.24761,0.0,0.0,0.0,0.0,0.0,-14264783.02,71174804.37706001,59327309.36000001,70936846.0915,71127243.077235,69132962.77800001,71011368.67410001,71215779.11761001,71124158.87,71124158.87,71124158.87,71124158.87,71124158.87,85388941.89
2915,"Portland-Vancouver-Hillsboro, OR-WA Metro Area-Bus",2005,0,10,69284521.85,-1583539.121,-439162.7561,263196.0706,4267.657467,1740880.253,308425.7183,-99500.22056,0.0,0.0,0.0,0.0,0.0,-1992927.3059999999,708444.37964,2851892.899,424346.08459999994,-316.08572600000025,3357439.381,448999.1307,-178215.18837,0.0,0.0,0.0,0.0,0.0,-5675412.286,68576077.47036,66432628.95099999,68860175.76539999,69284837.93572599,65927082.469,68835522.71929999,69462737.03837,69284521.85,69284521.85,69284521.85,69284521.85,69284521.85,74959934.13599999
2916,"Portland-Vancouver-Hillsboro, OR-WA Metro Area-Bus",2006,0,10,68247296.59,-1306589.241,-1213375.491,306192.9272,-23100.87673,1148750.817,591777.7898,-51030.93138,-21991.01674,0.0,0.0,0.0,0.0,-434634.2605,-875094.74136,2412730.1429000003,687542.1551999999,3951.5717409999997,5098319.634,757424.8489999999,-277715.40893,0.0,0.0,0.0,0.0,0.0,-7668339.592,69122391.33136,65834566.447100006,67559754.4348,68243345.018259,63148976.956,67489871.741,68525011.99893,68247296.59,68247296.59,68247296.59,68247296.59,68247296.59,75915636.18200001
2917,"Portland-Vancouver-Hillsboro, OR-WA Metro Area-Bus",2007,0,10,68180330.29,-380963.8711,-1312133.3190000001,173251.655,52647.42852,675907.8131,-381421.9411,-190817.6139,14445.020669999998,0.0,0.0,0.0,0.0,1287250.894,-2181683.98236,1199354.6519000004,993735.0824,-19149.304989,6247070.450999999,1349202.6387999998,-328746.34031,-21991.01674,0.0,0.0,0.0,0.0,-8102973.8525,70362014.27236001,66980975.638100006,67186595.20760001,68199479.594989,61933259.83900001,66831127.651200004,68509076.63031001,68202321.30674,68180330.29,68180330.29,68180330.29,68180330.29,76283304.14250001
2918,"Portland-Vancouver-Hillsboro, OR-WA Metro Area-Bus",2008,0,10,73265408.73,1865283.4519999998,714000.1004,123205.0431,-65203.92461,1391740.1830000002,-880165.5266,150875.1422,-14427.79303,0.0,0.0,0.0,0.0,1770552.081,-2562647.85346,-112778.66709999973,1166986.7374,33498.123531000005,6922978.264099999,967780.6976999999,-519563.95421,-7545.996070000001,0.0,0.0,0.0,0.0,-6815722.9585,75828056.58346,73378187.3971,72098421.99260001,73231910.606469,66342430.465900004,72297628.03230001,73784972.68421,73272954.72607,73265408.73,73265408.73,73265408.73,73265408.73,80081131.6885
2919,"Portland-Vancouver-Hillsboro, OR-WA Metro Area-Bus",2009,0,10,68952784.03,-1556393.4819999998,-4092451.0489999996,-32306.90495,7843.1912090000005,-3723562.986,2369457.27,-59357.1356,-2584.204183,0.0,0.0,0.0,0.0,2690094.648,-697364.4014600001,601221.4333000003,1290191.7804999999,-31705.801078999997,8314718.4470999995,87615.17109999992,-368688.81201,-21973.7891,0.0,0.0,0.0,0.0,-5045170.8774999995,69650148.43146001,68351562.5967,67662592.2495,68984489.831079,60638065.5829,68865168.8589,69321472.84201,68974757.8191,68952784.03,68952784.03,68952784.03,68952784.03,73997954.9075
2920,"Portland-Vancouver-Hillsboro, OR-WA Metro Area-Bus",2010,0,10,65272024.14,-5328375.177,-1069529.34,52812.33445,368669.3999,1696493.468,828631.2389,453653.0352,-9727.84558,0.0,0.0,0.0,0.0,-495808.3217,-2253757.88346,-3491229.6156999995,1257884.8755499998,-23862.609869999997,4591155.461099999,2457072.4411,-428045.94761,-24557.993283000003,0.0,0.0,0.0,0.0,-2355076.2294999994,67525782.02346,68763253.7557,64014139.26445,65295886.74987,60680868.6789,62814951.6989,65700070.08761,65296582.133283004,65272024.14,65272024.14,65272024.14,65272024.14,67627100.3695
2921,"Portland-Vancouver-Hillsboro, OR-WA Metro Area-Bus",2011,0,10,65343577.99,-2043748.729,749614.7997,131672.4819,-792128.3115,2270676.97,189592.3789,14429.57677,2302.344182,0.0,0.0,0.0,0.0,-371544.7496,-7582133.06046,-4560758.9557,1310697.2099999997,344806.79003000003,6287648.929099999,3285703.6799999997,25607.08759000001,-34285.838863000004,0.0,0.0,0.0,0.0,-2850884.5511999996,72925711.05046,69904336.9457,64032880.78,64998771.19997,59055929.0609,62057874.31,65317970.90241,65377863.828863,65343577.99,65343577.99,65343577.99,65343577.99,68194462.5412
2922,"Portland-Vancouver-Hillsboro, OR-WA Metro Area-Bus",2012,0,10,66991124.22,-37616.3612,200370.1777,60956.77066,1332167.4309999999,306552.1187,-20294.49533,67439.17047000001,0.0,0.0,0.0,0.0,0.0,-275278.1155,-9625881.78946,-3811144.156,1442369.6918999997,-447321.5214699999,8558325.8991,3475296.0588999996,40036.66436000001,-31983.494681000004,0.0,0.0,0.0,0.0,-3222429.3007999994,76617006.00946,70802268.376,65548754.5281,67438445.74147,58432798.3209,63515828.1611,66951087.55564,67023107.714681,66991124.22,66991124.22,66991124.22,66991124.22,70213553.5208
2923,"Portland-Vancouver-Hillsboro, OR-WA Metro Area-Bus",2013,0,10,64994648.89,-29689.173689999996,-3036250.44,48535.299660000004,1210209.031,-642990.8578,-171243.2645,-157765.7087,0.0,0.0,0.0,0.0,0.0,807636.8864,-9663498.150659999,-3610773.9783,1503326.4625599997,884845.90953,8864878.0178,3455001.5635699998,107475.83483000002,-31983.494681000004,0.0,0.0,0.0,0.0,-3497707.416299999,74658147.04066,68605422.8683,63491322.42744,64109802.98047,56129770.8722,61539647.32643,64887173.05517,65026632.384681,64994648.89,64994648.89,64994648.89,64994648.89,68492356.3063
2924,"Portland-Vancouver-Hillsboro, OR-WA Metro Area-Bus",2014,0,10,68285420.78,1485844.082,995917.8799,148702.9361,1128066.044,-622456.4693,-197235.1842,-215143.1814,0.0,0.0,0.0,0.0,0.0,548592.3601,-9693187.32435,-6647024.4183,1551861.7622199997,2095054.9405299998,8221887.159999999,3283758.2990699997,-50289.87386999997,-31983.494681000004,0.0,0.0,0.0,0.0,-2690070.5298999995,77978608.10435,74932445.1983,66733559.01778,66190365.83947,60063533.620000005,65001662.48093,68335710.65387,68317404.274681,68285420.78,68285420.78,68285420.78,68285420.78,70975491.3099
2925,"Portland-Vancouver-Hillsboro, OR-WA Metro Area-Bus",2015,0,10,67322005.13,964730.2262,-1228350.621,209156.4207,1196615.324,-2516537.463,-753082.6299,216691.4978,0.0,-1616998.4309999999,0.0,0.0,0.0,2569810.71,-8207343.242349999,-5651106.5384,1700564.6983199997,3223120.98453,7599430.690699999,3086523.1148699997,-265433.05526999995,-31983.494681000004,0.0,0.0,0.0,0.0,-2141478.1697999993,75529348.37234999,72973111.66839999,65621440.431679994,64098884.14546999,59722574.43929999,64235482.01513,67587438.18527,67353988.624681,67322005.13,67322005.13,67322005.13,67322005.13,69463483.2998
2926,"Portland-Vancouver-Hillsboro, OR-WA Metro Area-Bus",2016,0,10,63908507.51,1013950.0440000001,-367460.8947,207403.5188,732913.7915,-1698481.227,-1381547.024,-375934.76,-16620.22796,-1594184.753,0.0,363779.1886,0.0,-301322.0711,-7242613.016149999,-6879457.1594,1909721.1190199996,4419736.30853,5082893.227699999,2333440.4849699996,-48741.55746999994,-31983.494681000004,-1616998.4309999999,0.0,0.0,0.0,428332.5402000006,71151120.52615,70787964.66939999,61998786.39098,59488771.201469995,58825614.282299995,61575067.02503,63957249.06747,63940491.004681,65525505.941,63908507.51,63908507.51,63908507.51,63480174.969799995
2927,"Portland-Vancouver-Hillsboro, OR-WA Metro Area-Bus",2017,0,10,63132816.09,728201.7781,1009417.281,158454.6013,889595.5281,889560.6018,-847876.8339,-37659.79303,-13523.82301,-1513353.146,0.0,0.0,0.0,-2001755.7240000002,-6228662.972149999,-7246918.0541,2117124.63782,5152650.10003,3384412.000699999,951893.4609699997,-424676.31746999995,-48603.722641,-3211183.184,0.0,363779.1886,0.0,127010.46910000063,69361479.06215,70379734.14410001,61015691.452180006,57980165.989970006,59748404.08930001,62180922.629030004,63557492.40747,63181419.812641,66343999.274000004,63132816.09,62769036.9014,63132816.09,63005805.620900005
2928,"Portland-Vancouver-Hillsboro, OR-WA Metro Area-Bus",2018,0,10,62639730.4,1212581.7659999998,894198.8153,86236.0733,975982.5407,1412066.769,-934832.0746,-106898.6732,-13916.269059999999,-1494984.7769999998,0.0,0.0,-3857804.5319999997,1491256.007,-5500461.194049999,-6237500.7731,2275579.23912,6042245.62813,4273972.602499999,104016.6270699997,-462336.11049999995,-62127.545651,-4724536.33,0.0,363779.1886,0.0,-1874745.2548999996,68140191.59404999,68877231.1731,60364151.16088,56597484.77187,58365757.7975,62535713.772929996,63102066.5105,62701857.945651,67364266.73,62639730.4,62275951.2114,62639730.4,64514475.6549
