,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,WEIGHTED_POP_DENSITY_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,WEIGHTED_POP_DENSITY_log_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_WEIGHTED_POP_DENSITY_log_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
2980,"Racine, WI Metro Area-Bus",2003,0,31,1517475.878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1517475.878,1517475.878,1517475.878,1517475.878,1517475.878,1517475.878,1517475.878,1517475.878,1517475.878,1517475.878,1517475.878,1517475.878,1517475.878
2981,"Racine, WI Metro Area-Bus",2004,0,31,1471117.2040000001,-223261.355,40818.97919,3719.032075,85.18983221,34560.33358,29319.35865,-3462.141803,0.0,0.0,0.0,0.0,0.0,85253.14382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1471117.2040000001,1471117.2040000001,1471117.2040000001,1471117.2040000001,1471117.2040000001,1471117.2040000001,1471117.2040000001,1471117.2040000001,1471117.2040000001,1471117.2040000001,1471117.2040000001,1471117.2040000001,1471117.2040000001
2982,"Racine, WI Metro Area-Bus",2005,0,31,1495598.237,-40866.56181,33739.65897,2036.9930530000001,-513.8439364,45417.12423,26889.0858,-1949.795549,0.0,0.0,0.0,0.0,0.0,-39742.03335,-223261.355,40818.97919,3719.032075,85.18983221,34560.33358,29319.35865,-3462.141803,0.0,0.0,0.0,0.0,0.0,85253.14382,1718859.592,1454779.2578099999,1491879.204925,1495513.04716779,1461037.9034199999,1466278.87835,1499060.3788029999,1495598.237,1495598.237,1495598.237,1495598.237,1495598.237,1410345.0931799999
2983,"Racine, WI Metro Area-Bus",2006,0,31,1511481.2140000002,-39623.25999,-2138.061953,4616.980917,1240.2775800000002,24188.00021,37834.59468,-7584.339795999999,-210.99871319999997,0.0,0.0,0.0,0.0,-1311.370387,-264127.91681,74558.63816,5756.025128,-428.65410418999994,79977.45780999999,56208.444449999995,-5411.937352,0.0,0.0,0.0,0.0,0.0,45511.11047,1775609.1308100002,1436922.57584,1505725.1888720002,1511909.86810419,1431503.75619,1455272.76955,1516893.1513520002,1511481.2140000002,1511481.2140000002,1511481.2140000002,1511481.2140000002,1511481.2140000002,1465970.1035300002
2984,"Racine, WI Metro Area-Bus",2007,0,31,1451076.958,-43955.2612,-78792.93692000001,-261.8041702,-1633.1868140000001,19983.603890000002,84.35756939,15559.680209999999,266.59166239999996,0.0,0.0,0.0,0.0,28607.365889999997,-303751.1768,72420.576207,10373.006045,811.6234758100002,104165.45801999999,94043.03912999999,-12996.277148,-210.99871319999997,0.0,0.0,0.0,0.0,44199.740083,1754828.1348,1378656.381793,1440703.9519550002,1450265.33452419,1346911.49998,1357033.9188700002,1464073.235148,1451287.9567132,1451076.958,1451076.958,1451076.958,1451076.958,1406877.2179170002
2985,"Racine, WI Metro Area-Bus",2008,0,31,1480338.005,104656.6444,27208.59745,2660.512119,-67.76062599,27814.011769999997,9922.423447,-19223.54829,-153.5409525,0.0,0.0,0.0,0.0,-127143.0492,-347706.438,-6372.360713000002,10111.201874800001,-821.56333819,124149.06190999999,94127.39669939,2563.4030619999994,55.59294919999999,0.0,0.0,0.0,0.0,72807.105973,1828044.443,1486710.3657129998,1470226.8031251999,1481159.56833819,1356188.94309,1386210.60830061,1477774.601938,1480282.4120508,1480338.005,1480338.005,1480338.005,1480338.005,1407530.899027
2986,"Racine, WI Metro Area-Bus",2009,0,31,1377212.063,-18556.76233,6306.403121,-2476.144833,7084.420956999999,-85035.03995,42568.76197,21422.809869999997,52.21605486,0.0,0.0,0.0,0.0,-71393.78011,-243049.79360000003,20836.236737,12771.7139938,-889.32396418,151963.07367999997,104049.82014638999,-16660.145228,-97.94800330000001,0.0,0.0,0.0,0.0,-54335.943226999996,1620261.8566,1356375.826263,1364440.3490062,1378101.38696418,1225248.9893200002,1273162.24285361,1393872.208228,1377310.0110033,1377212.063,1377212.063,1377212.063,1377212.063,1431548.0062270002
2987,"Racine, WI Metro Area-Bus",2010,0,31,1408344.3290000001,-13678.15439,3298.242109,-2601.470899,-17188.25474,39513.51453,-6198.9079710000005,14074.9542,-242.86673480000002,0.0,0.0,0.0,0.0,14884.7227,-261606.55593000003,27142.639858,10295.5691608,6195.096992819999,66928.03372999997,146618.58211639,4762.664641999996,-45.73194844000001,0.0,0.0,0.0,0.0,-125729.723337,1669950.8849300002,1381201.6891420002,1398048.7598392002,1402149.23200718,1341416.2952700001,1261725.7468836103,1403581.664358,1408390.06094844,1408344.3290000001,1408344.3290000001,1408344.3290000001,1408344.3290000001,1534074.0523370001
2988,"Racine, WI Metro Area-Bus",2011,0,31,1531872.624,-10859.93995,25851.50314,757.8030977000001,31142.64498,56590.46372000001,-18850.760769999997,2284.7612719999997,99.35498711,0.0,0.0,0.0,0.0,35737.35262,-275284.71032,30440.881966999998,7694.0982618,-10993.157747180001,106441.54825999997,140419.67414539,18837.618841999996,-288.59868324,0.0,0.0,0.0,0.0,-110845.000637,1807157.3343200001,1501431.742033,1524178.5257382002,1542865.78174718,1425431.07574,1391452.94985461,1513035.0051580002,1532161.22268324,1531872.624,1531872.624,1531872.624,1531872.624,1642717.624637
2989,"Racine, WI Metro Area-Bus",2012,0,31,1409660.449,240538.0686,-161382.7488,9.125805284,-15977.944630000002,-1376.516323,26560.6584,-19179.7503,-54.03193282,0.0,0.0,0.0,0.0,-165244.7901,-286144.65027,56292.385106999995,8451.9013595,20149.48723282,163032.01197999998,121568.91337539,21122.380113999996,-189.24369613000002,0.0,0.0,0.0,0.0,-75107.648017,1695805.0992700001,1353368.0638930001,1401208.5476405001,1389510.9617671801,1246628.43702,1288091.53562461,1388538.068886,1409849.6926961301,1409660.449,1409660.449,1409660.449,1409660.449,1484768.097017
