,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,WEIGHTED_POP_DENSITY_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,WEIGHTED_POP_DENSITY_log_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_WEIGHTED_POP_DENSITY_log_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
3112,"Rochester, NY Metro Area-Bus",2002,0,33,12517825.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12517825.0,12517825.0,12517825.0,12517825.0,12517825.0,12517825.0,12517825.0,12517825.0,12517825.0,12517825.0,12517825.0,12517825.0,12517825.0
3113,"Rochester, NY Metro Area-Bus",2003,0,33,14035137.0,-160457.0832,877625.6438,31250.412139999997,201.6599334,263867.2224,265501.2865,22155.493309999998,0.0,0.0,0.0,0.0,0.0,187146.8534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14035137.0,14035137.0,14035137.0,14035137.0,14035137.0,14035137.0,14035137.0,14035137.0,14035137.0,14035137.0,14035137.0,14035137.0,14035137.0
3114,"Rochester, NY Metro Area-Bus",2004,0,33,14156851.0,28647.43867,-216324.9644,40396.18044,335.8561466,317207.5128,354266.1454,25877.00301,0.0,0.0,0.0,0.0,0.0,-429516.4402,-160457.0832,877625.6438,31250.412139999997,201.6599334,263867.2224,265501.2865,22155.493309999998,0.0,0.0,0.0,0.0,0.0,187146.8534,14317308.0832,13279225.3562,14125600.58786,14156649.3400666,13892983.7776,13891349.7135,14134695.50669,14156851.0,14156851.0,14156851.0,14156851.0,14156851.0,13969704.1466
3115,"Rochester, NY Metro Area-Bus",2005,0,33,14037110.0,-1016279.9959999999,315563.5258,44496.76969,-1896.8082949999998,418064.2539,336447.8096,26101.41076,0.0,0.0,0.0,0.0,0.0,-190541.6971,-131809.64453,661300.6794,71646.59258,537.51608,581074.7352,619767.4319,48032.49632,0.0,0.0,0.0,0.0,0.0,-242369.58680000002,14168919.64453,13375809.3206,13965463.40742,14036572.48392,13456035.264800001,13417342.5681,13989077.50368,14037110.0,14037110.0,14037110.0,14037110.0,14037110.0,14279479.5868
3116,"Rochester, NY Metro Area-Bus",2006,0,33,13955990.0,-1478575.085,599037.1018,46229.22088,4433.122789,256004.3005,487426.7043,24844.499480000002,-495.1143931,0.0,0.0,0.0,0.0,85892.0998,-1148089.64053,976864.2052,116143.36227,-1359.292215,999138.9891,956215.2415,74133.90708,0.0,0.0,0.0,0.0,0.0,-432911.28390000004,15104079.64053,12979125.7948,13839846.63773,13957349.292215,12956851.0109,12999774.7585,13881856.09292,13955990.0,13955990.0,13955990.0,13955990.0,13955990.0,14388901.2839
3117,"Rochester, NY Metro Area-Bus",2007,0,33,14872304.0,-164187.9255,-34110.0131,-11684.9643,-5514.646942,83535.64779,-60631.44337000001,29852.44995,-1476.707342,0.0,0.0,0.0,0.0,1080986.634,-2626664.72553,1575901.307,162372.58315,3073.830574,1255143.2896,1443641.9457999999,98978.40656,-495.1143931,0.0,0.0,0.0,0.0,-347019.1841000001,17498968.72553,13296402.693,14709931.41685,14869230.169426,13617160.7104,13428662.054200001,14773325.59344,14872799.1143931,14872304.0,14872304.0,14872304.0,14872304.0,15219323.1841
3118,"Rochester, NY Metro Area-Bus",2008,0,33,16087986.0,-28986.7023,758139.4479,5591.6855,-654.3711947,350220.7806,-22047.4593,57091.45417999999,-1049.127906,0.0,0.0,0.0,0.0,78933.35354,-2790852.65103,1541791.2939,150687.61885,-2440.8163680000002,1338678.93739,1383010.5024299999,128830.85651,-1971.8217350999998,0.0,0.0,0.0,0.0,733967.4499,18878838.65103,14546194.7061,15937298.38115,16090426.816368,14749307.06261,14704975.49757,15959155.14349,16089957.8217351,16087986.0,16087986.0,16087986.0,16087986.0,15354018.5501
3119,"Rochester, NY Metro Area-Bus",2009,0,33,16844073.0,-74100.03309,187018.8996,-19954.986869999997,34873.23337,-917066.6643,156585.353,-27240.7357,567.4725344999999,0.0,0.0,0.0,0.0,1430132.7240000002,-2819839.35333,2299930.7418,156279.30435,-3095.1875627000004,1688899.71799,1360963.04313,185922.31068999998,-3020.9496411,0.0,0.0,0.0,0.0,812900.80344,19663912.35333,14544142.258200001,16687793.69565,16847168.1875627,15155173.28201,15483109.95687,16658150.68931,16847093.9496411,16844073.0,16844073.0,16844073.0,16844073.0,16031172.19656
3120,"Rochester, NY Metro Area-Bus",2010,0,33,16838790.0,-185652.4769,245711.0011,28574.53783,-62053.99148,445285.02200000006,-241695.1197,64660.635089999996,-1782.300379,0.0,0.0,0.0,0.0,-290108.5691,-2893939.38642,2486949.6414,136324.31748,31778.0458073,771833.0536900001,1517548.3961299998,158681.57499,-2453.4771066000003,0.0,0.0,0.0,0.0,2243033.5274400003,19732729.38642,14351840.3586,16702465.68252,16807011.9541927,16066956.94631,15321241.60387,16680108.42501,16841243.4771066,16838790.0,16838790.0,16838790.0,16838790.0,14595756.47256
3121,"Rochester, NY Metro Area-Bus",2011,0,33,21061698.0,-208927.0941,1156345.9,-5325.835756,145787.8032,679428.563,366466.5829,-18600.27753,1187.932332,0.0,0.0,0.0,0.0,2032547.8080000002,-3079591.86332,2732660.6425,164898.85531,-30275.945672699996,1217118.07569,1275853.2764299999,223342.21008,-4235.777485600001,0.0,0.0,0.0,0.0,1952924.9583400004,24141289.86332,18329037.3575,20896799.14469,21091973.9456727,19844579.92431,19785844.72357,20838355.78992,21065933.7774856,21061698.0,21061698.0,21061698.0,21061698.0,19108773.04166
3122,"Rochester, NY Metro Area-Bus",2012,0,33,20874982.0,82979.08545,252264.7214,6026.341372,-75835.99799999999,43046.01678,-78256.20379,102671.7541,1485.847381,0.0,0.0,0.0,0.0,-521491.6436,-3288518.95742,3889006.5425,159573.019554,115511.8575273,1896546.63869,1642319.85933,204741.93255,-3047.8451536000002,0.0,0.0,0.0,0.0,3985472.7663400006,24163500.95742,16985975.4575,20715408.980446,20759470.1424727,18978435.36131,19232662.14067,20670240.06745,20878029.8451536,20874982.0,20874982.0,20874982.0,20874982.0,16889509.233659998
3123,"Rochester, NY Metro Area-Bus",2013,0,33,18132511.0,182230.37,-4696452.642,49695.5571,51391.59857,-164537.5085,45180.79541,-7689.0622299999995,-1472.571173,0.0,0.0,0.0,0.0,1834824.541,-3205539.8719699997,4141271.2639,165599.360926,39675.85952730001,1939592.6554699999,1564063.65554,307413.68665,-1561.9977726000002,0.0,0.0,0.0,0.0,3463981.1227400005,21338050.871969998,13991239.7361,17966911.639074,18092835.1404727,16192918.34453,16568447.34446,17825097.31335,18134072.9977726,18132511.0,18132511.0,18132511.0,18132511.0,14668529.87726
3124,"Rochester, NY Metro Area-Bus",2014,0,33,17035545.0,173198.8698,-427799.0833,-7525.204855,84189.88029,-167824.4928,75110.189,-44035.330930000004,-1918.6322239999997,0.0,0.0,0.0,0.0,-776099.1423,-3023309.5019699996,-555181.3780999999,215294.918026,91067.45809730001,1775055.14697,1609244.45095,299724.62442,-3034.5689456,0.0,0.0,0.0,0.0,5298805.663740001,20058854.50197,17590726.3781,16820250.081974,16944477.5419027,15260489.85303,15426300.54905,16735820.37558,17038579.5689456,17035545.0,17035545.0,17035545.0,17035545.0,11736739.336259998
3125,"Rochester, NY Metro Area-Bus",2015,0,33,16841704.0,-232495.03100000002,-109875.2906,5814.859252,7408.250543000001,-980924.688,-357328.5305,56577.7912,-600.8746474999999,-403401.6226,0.0,0.0,0.0,1741966.273,-2850110.6321699996,-982980.4613999999,207769.713171,175257.33838730003,1607230.65417,1684354.63995,255689.29349,-4953.2011696,0.0,0.0,0.0,0.0,4522706.521440001,19691814.63217,17824684.4614,16633934.286829,16666446.6616127,15234473.345830001,15157349.36005,16586014.70651,16846657.2011696,16841704.0,16841704.0,16841704.0,16841704.0,12318997.478559999
3126,"Rochester, NY Metro Area-Bus",2016,0,33,15788241.0,223115.20899999997,-196615.4141,-4675.896554,-101134.04699999999,-308957.1741,45739.011510000004,-40900.56855,-2376.024378,-398811.4686,0.0,0.0,0.0,-276627.4094,-3082605.6631699996,-1092855.7519999999,213584.572423,182665.58893030003,626305.96617,1327026.1094499999,312267.08469,-5554.0758171,-403401.6226,0.0,0.0,0.0,6264672.794440001,18870846.66317,16881096.752,15574656.427577,15605575.4110697,15161935.03383,14461214.89055,15475973.91531,15793795.0758171,16191642.6226,15788241.0,15788241.0,15788241.0,9523568.205559999
3127,"Rochester, NY Metro Area-Bus",2017,0,33,15125019.0,149537.4251,162646.21,-5513.202527,-37199.311030000004,284502.9592,-47382.15767,-47623.25103,-1113.740293,-373865.4699,0.0,85312.87042,0.0,-824356.8114,-2859490.45417,-1289471.1660999998,208908.675869,81531.54193030004,317348.79207,1372765.12096,271366.51613999996,-7930.1001951,-802213.0912,0.0,0.0,0.0,5988045.385040001,17984509.45417,16414490.1661,14916110.324131,15043487.4580697,14807670.20793,13752253.87904,14853652.483860001,15132949.1001951,15927232.0912,15125019.0,15125019.0,15125019.0,9136973.61496
3128,"Rochester, NY Metro Area-Bus",2018,0,33,14626707.0,-250884.9603,123506.6957,3024.191369,3615.9591630000004,216180.4252,-42274.08839,-42289.14814,-1333.682022,-358160.3762,0.0,0.0,0.0,-145317.4524,-2709953.0290699997,-1126824.9560999998,203395.473342,44332.230900300034,601851.75127,1325382.9632899999,223743.26510999998,-9043.8404881,-1176078.5611,0.0,85312.87042,0.0,5163688.573640001,17336660.02907,15753531.9561,14423311.526658,14582374.7690997,14024855.24873,13301324.03671,14402963.73489,14635750.8404881,15802785.5611,14626707.0,14541394.12958,14626707.0,9463018.42636
