,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,WEIGHTED_POP_DENSITY_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,WEIGHTED_POP_DENSITY_log_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_WEIGHTED_POP_DENSITY_log_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
3352,"San Francisco-Oakland-Fremont, CA Metro Area-Bus",2002,0,10,271791417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271791417.0,271791417.0,271791417.0,271791417.0,271791417.0,271791417.0,271791417.0,271791417.0,271791417.0,271791417.0,271791417.0,271791417.0,271791417.0
3353,"San Francisco-Oakland-Fremont, CA Metro Area-Bus",2003,0,10,272940093.0,11870230.07,7423414.05,228360.8326,-11295.55003,7828888.509,3016041.312,-620095.8052,0.0,0.0,0.0,0.0,0.0,-29739976.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272940093.0,272940093.0,272940093.0,272940093.0,272940093.0,272940093.0,272940093.0,272940093.0,272940093.0,272940093.0,272940093.0,272940093.0,272940093.0
3354,"San Francisco-Oakland-Fremont, CA Metro Area-Bus",2004,0,10,265653893.0,2348604.525,-6502711.485,483826.5786,-13883.886830000001,5390599.544,3962871.275,-662842.9631,0.0,0.0,0.0,0.0,0.0,-12164717.72,11870230.07,7423414.05,228360.8326,-11295.55003,7828888.509,3016041.312,-620095.8052,0.0,0.0,0.0,0.0,0.0,-29739976.14,253783662.93,258230478.95,265425532.1674,265665188.55003,257825004.491,262637851.688,266273988.8052,265653893.0,265653893.0,265653893.0,265653893.0,265653893.0,295393869.14
3355,"San Francisco-Oakland-Fremont, CA Metro Area-Bus",2005,0,10,263004924.0,-12092915.42,152178.5341,515329.2733,85461.79887,6502314.036,3439173.7830000003,-547499.2889,0.0,0.0,0.0,0.0,0.0,-327824.6873,14218834.595,920702.5649999995,712187.4112,-25179.43686,13219488.053,6978912.586999999,-1282938.7683,0.0,0.0,0.0,0.0,0.0,-41904693.86,248786089.405,262084221.435,262292736.5888,263030103.43686,249785435.947,256026011.413,264287862.7683,263004924.0,263004924.0,263004924.0,263004924.0,263004924.0,304909617.86
3356,"San Francisco-Oakland-Fremont, CA Metro Area-Bus",2006,0,10,264502039.0,1922807.969,-4573934.179,714278.5871,-197128.1212,4360672.676,5578865.8270000005,-909216.3289,-83478.17857,0.0,0.0,0.0,0.0,-5257055.85,2125919.1750000007,1072881.0990999995,1227516.6845,60282.36201,19721802.089,10418086.37,-1830438.0572000002,0.0,0.0,0.0,0.0,0.0,-42232518.547299996,262376119.825,263429157.9009,263274522.3155,264441756.63799,244780236.911,254083952.63,266332477.0572,264502039.0,264502039.0,264502039.0,264502039.0,264502039.0,306734557.5473
3357,"San Francisco-Oakland-Fremont, CA Metro Area-Bus",2007,0,10,258878971.0,3239244.252,-3071971.6560000004,307483.1286,259682.0584,2619576.213,-2449836.716,546251.172,9329.796933,0.0,0.0,0.0,0.0,-7023696.597,4048727.144000001,-3501053.0799000002,1941795.2716,-136845.75919,24082474.765,15996952.197,-2739654.3861000002,-83478.17857,0.0,0.0,0.0,0.0,-47489574.3973,254830243.856,262380024.0799,256937175.7284,259015816.75919,234796496.235,242882018.803,261618625.3861,258962449.17857,258878971.0,258878971.0,258878971.0,258878971.0,306368545.3973
3358,"San Francisco-Oakland-Fremont, CA Metro Area-Bus",2008,0,10,263860204.0,1743065.949,3049419.8860000004,462357.9496,24275.87705,5284401.893999999,688020.075,343569.4683,27395.328610000004,0.0,0.0,0.0,0.0,-6824103.426,7287971.396000001,-6573024.735900001,2249278.4002,122836.29921,26702050.978,13547115.481,-2193403.2141000004,-74148.381637,0.0,0.0,0.0,0.0,-54513270.9943,256572232.604,270433228.7359,261610925.5998,263737367.70079,237158153.022,250313088.519,266053607.2141,263934352.381637,263860204.0,263860204.0,263860204.0,263860204.0,318373474.9943
3359,"San Francisco-Oakland-Fremont, CA Metro Area-Bus",2009,0,10,265644164.0,3853599.68,-501624.992,-160222.609,-957348.6001,-13410149.57,4484532.464,-116623.5904,-55836.0512,0.0,0.0,0.0,0.0,8968631.877,9031037.345,-3523604.8499000003,2711636.3498,147112.17626,31986452.872,14235135.556,-1849833.7458000004,-46753.053026999994,0.0,0.0,0.0,0.0,-61337374.4203,256613126.655,269167768.8499,262932527.6502,265497051.82374,233657711.128,251409028.444,267493997.7458,265690917.053027,265644164.0,265644164.0,265644164.0,265644164.0,326981538.4203
3360,"San Francisco-Oakland-Fremont, CA Metro Area-Bus",2010,0,10,240944119.0,-22530922.39,-17086329.69,417295.9734,3682721.79,6535828.76,3638974.8589999997,1452358.303,-18739.17487,0.0,0.0,0.0,0.0,-267947.51399999997,12884637.025,-4025229.8419000003,2551413.7408,-810236.4238400001,18576303.302,18719668.02,-1966457.3362000005,-102589.104227,0.0,0.0,0.0,0.0,-52368742.5433,228059481.975,244969348.8419,238392705.2592,241754355.42384,222367815.698,222224450.98,242910576.3362,241046708.104227,240944119.0,240944119.0,240944119.0,240944119.0,293312861.54330003
3361,"San Francisco-Oakland-Fremont, CA Metro Area-Bus",2011,0,10,242662460.0,-6037809.193,2820530.775,420809.7354,-4628296.647,8381941.106000001,3714799.1989999996,-425697.2983,-16996.7746,-5705555.562999999,0.0,0.0,0.0,3566073.316,-9646285.365,-21111559.531900004,2968709.7142,2872485.3661599997,25112132.062,22358642.879,-514099.0332000004,-121328.279097,0.0,0.0,0.0,0.0,-52636690.0573,252308745.365,263774019.5319,239693750.2858,239789974.63384,217550327.938,220303817.121,243176559.0332,242783788.279097,242662460.0,242662460.0,242662460.0,242662460.0,295299150.0573
