,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,WEIGHTED_POP_DENSITY_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,WEIGHTED_POP_DENSITY_log_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_WEIGHTED_POP_DENSITY_log_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
3369,"San Francisco-Oakland-Fremont, CA Metro Area-Rail",2002,1,10,157212322.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157212322.0,157212322.0,157212322.0,157212322.0,157212322.0,157212322.0,157212322.0,157212322.0,157212322.0,157212322.0,157212322.0,157212322.0,157212322.0
3370,"San Francisco-Oakland-Fremont, CA Metro Area-Rail",2003,1,10,158741030.0,5806919.517000001,3511078.422,132090.767,-6533.685529,4528464.345,1744568.916,-358682.0455,0.0,0.0,0.0,0.0,0.0,-14364864.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158741030.0,158741030.0,158741030.0,158741030.0,158741030.0,158741030.0,158741030.0,158741030.0,158741030.0,158741030.0,158741030.0,158741030.0,158741030.0
3371,"San Francisco-Oakland-Fremont, CA Metro Area-Rail",2004,1,10,160883561.0,-848983.6874,-6756123.453,281391.893,-8074.821370999999,3135154.365,2304792.458,-385507.2134,0.0,0.0,0.0,0.0,0.0,4598792.906,5806919.517000001,3511078.422,132090.767,-6533.685529,4528464.345,1744568.916,-358682.0455,0.0,0.0,0.0,0.0,0.0,-14364864.84,155076641.483,157372482.578,160751470.233,160890094.685529,156355096.655,159138992.084,161242243.0455,160883561.0,160883561.0,160883561.0,160883561.0,160883561.0,175248425.84
3372,"San Francisco-Oakland-Fremont, CA Metro Area-Rail",2005,1,10,163072360.0,-49675.61689,-1708243.1940000001,312090.3204,51756.811760000004,3937888.6,2082809.775,-331572.9133,0.0,0.0,0.0,0.0,0.0,-2091624.5559999999,4957935.829600001,-3245045.031,413482.66,-14608.5069,7663618.71,4049361.374,-744189.2589,0.0,0.0,0.0,0.0,0.0,-9766071.934,158114424.1704,166317405.031,162658877.34,163086968.5069,155408741.29,159022998.626,163816549.2589,163072360.0,163072360.0,163072360.0,163072360.0,163072360.0,172838431.93400002
3373,"San Francisco-Oakland-Fremont, CA Metro Area-Rail",2006,1,10,167023560.0,5586627.131,-3992570.736,442878.0006,-122226.411,2703771.373,3459094.235,-563746.2989,-51759.424810000004,0.0,0.0,0.0,0.0,-3471618.216,4908260.212710001,-4953288.225,725572.9804,37148.304860000004,11601507.31,6132171.149,-1075762.1722,0.0,0.0,0.0,0.0,0.0,-11857696.49,162115299.78729,171976848.225,166297987.0196,166986411.69514,155422052.69,160891388.851,168099322.1722,167023560.0,167023560.0,167023560.0,167023560.0,167023560.0,178881256.49
3374,"San Francisco-Oakland-Fremont, CA Metro Area-Rail",2007,1,10,173009157.0,3163807.3660000004,-2252080.117,194164.578,163979.9149,1654168.514,-1546984.104,344938.0418,5891.432458,0.0,0.0,0.0,0.0,4310171.998,10494887.343710002,-8945858.961,1168450.9810000001,-85078.10613999999,14305278.683,9591265.384,-1639508.4711,-51759.424810000004,0.0,0.0,0.0,0.0,-15329314.706,162514269.65629,181955015.961,171840706.019,173094235.10614,158703878.317,163417891.616,174648665.4711,173060916.42481,173009157.0,173009157.0,173009157.0,173009157.0,188338471.706
3375,"San Francisco-Oakland-Fremont, CA Metro Area-Rail",2008,1,10,183856984.0,7809809.325,-23906.27181,308994.4261,16223.600580000002,3531572.74,459804.7216,229607.9278,18308.33416,0.0,0.0,0.0,0.0,-1731109.541,13658694.709710002,-11197939.078,1362615.5590000001,78901.80876000001,15959447.197,8044281.279999999,-1294570.4293,-45867.992352,0.0,0.0,0.0,0.0,-11019142.708,170198289.29029,195054923.078,182494368.441,183778082.19124,167897536.803,175812702.72,185151554.4293,183902851.992352,183856984.0,183856984.0,183856984.0,183856984.0,194876126.708
3376,"San Francisco-Oakland-Fremont, CA Metro Area-Rail",2009,1,10,182907571.0,-7355665.853999999,-3595334.125,-111642.6244,-667077.5796,-9344151.247000001,3124808.52,-81262.96145,-38906.38989,0.0,0.0,0.0,0.0,16676848.26,21468504.03471,-11221845.34981,1671609.9851000002,95125.40934000001,19491019.937,8504086.0016,-1064962.5015,-27559.658192000003,0.0,0.0,0.0,0.0,-12750252.249,161439066.96529,194129416.34981,181235961.0149,182812445.59066,163416551.063,174403484.9984,183972533.5015,182935130.658192,182907571.0,182907571.0,182907571.0,182907571.0,195657823.249
3377,"San Francisco-Oakland-Fremont, CA Metro Area-Rail",2010,1,10,175084638.0,-4543113.366,-6840096.333,287326.4435,2535714.27,4500202.621,2505592.603,1000011.916,-12902.737659999999,0.0,0.0,0.0,0.0,-6977236.032000001,14112838.180710003,-14817179.47481,1559967.3607,-571952.17026,10146868.689999998,11628894.521599999,-1146225.46295,-66466.048082,0.0,0.0,0.0,0.0,3926596.011,160971799.81928998,189901817.47481,173524670.6393,175656590.17026,164937769.31,163455743.4784,176230863.46295,175151104.048082,175084638.0,175084638.0,175084638.0,175084638.0,171158041.989
3378,"San Francisco-Oakland-Fremont, CA Metro Area-Rail",2011,1,10,185128530.0,1810540.997,3376092.4560000002,305785.9245,-3363201.585,6090827.742000001,2699398.83,-309337.5248,-12350.88925,0.0,-1836475.1709999999,0.0,0.0,1278813.898,9569724.814710002,-21657275.80781,1847293.8042000001,1963762.09974,14647071.310999997,14134487.124599999,-146213.5469500001,-79368.785742,0.0,0.0,0.0,0.0,-3050640.0210000006,175558805.18529,206785805.80781,183281236.1958,183164767.90026,170481458.689,170994042.8754,185274743.54695,185207898.785742,185128530.0,185128530.0,185128530.0,185128530.0,188179170.021
