,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,WEIGHTED_POP_DENSITY_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,WEIGHTED_POP_DENSITY_log_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_WEIGHTED_POP_DENSITY_log_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
3532,"Seattle-Tacoma-Bellevue, WA Metro Area-Rail",2002,1,10,3077061.548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3077061.548,3077061.548,3077061.548,3077061.548,3077061.548,3077061.548,3077061.548,3077061.548,3077061.548,3077061.548,3077061.548,3077061.548,3077061.548
3533,"Seattle-Tacoma-Bellevue, WA Metro Area-Rail",2003,1,10,3521512.215,701608.7844,41163.21484,11225.580329999999,-119.5555374,88634.04172000001,-12212.13882,-14024.69829,0.0,0.0,0.0,0.0,0.0,-398585.0803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3521512.215,3521512.215,3521512.215,3521512.215,3521512.215,3521512.215,3521512.215,3521512.215,3521512.215,3521512.215,3521512.215,3521512.215,3521512.215
3534,"Seattle-Tacoma-Bellevue, WA Metro Area-Rail",2004,1,10,2872766.655,-90113.05921,221336.703,15409.82255,169.94440469999998,69550.28824,-1954.984665,-15792.12876,0.0,0.0,0.0,0.0,0.0,-843973.7171,701608.7844,41163.21484,11225.580329999999,-119.5555374,88634.04172000001,-12212.13882,-14024.69829,0.0,0.0,0.0,0.0,0.0,-398585.0803,2171157.8706,2831603.4401599998,2861541.07467,2872886.2105373996,2784132.6132799997,2884978.79382,2886791.35329,2872766.655,2872766.655,2872766.655,2872766.655,2872766.655,3271351.7353
3535,"Seattle-Tacoma-Bellevue, WA Metro Area-Rail",2005,1,10,4015078.4760000003,472607.164,-83073.4183,12321.563259999999,34.61863356,70315.668,-1613.135393,-11829.05256,0.0,0.0,0.0,0.0,0.0,688246.2166,611495.72519,262499.91784,26635.40288,50.38886729999997,158184.32996,-14167.123485,-29816.82705,0.0,0.0,0.0,0.0,0.0,-1242558.7974,3403582.75081,3752578.5581600005,3988443.0731200003,4015028.0871327003,3856894.14604,4029245.599485,4044895.30305,4015078.4760000003,4015078.4760000003,4015078.4760000003,4015078.4760000003,4015078.4760000003,5257637.2734
3536,"Seattle-Tacoma-Bellevue, WA Metro Area-Rail",2006,1,10,2816481.082,-357880.4034,-549243.4208,20080.626969999998,-895.8866286,66570.78026,11098.94454,-21538.06594,-1132.813092,0.0,0.0,0.0,0.0,-398763.62200000003,1084102.88919,179426.49954,38956.966140000004,85.00750085999996,228499.99796,-15780.258878,-41645.87961,0.0,0.0,0.0,0.0,0.0,-554312.5808,1732378.19281,2637054.58246,2777524.11586,2816396.07449914,2587981.08404,2832261.340878,2858126.96161,2816481.082,2816481.082,2816481.082,2816481.082,2816481.082,3370793.6628
3537,"Seattle-Tacoma-Bellevue, WA Metro Area-Rail",2007,1,10,4661464.688999999,827703.2108,1688.101773,6953.883473000001,1779.446945,27893.87513,-19041.90536,0.0,496.76460870000005,0.0,0.0,0.0,0.0,991885.6376,726222.4857900001,-369816.92126,59037.59311,-810.8791277400001,295070.77822,-4681.314338,-63183.945550000004,-1132.813092,0.0,0.0,0.0,0.0,-953076.2028000001,3935242.203209999,5031281.6102599995,4602427.0958899995,4662275.568127739,4366393.91078,4666146.003337999,4724648.63455,4662597.502091999,4661464.688999999,4661464.688999999,4661464.688999999,4661464.688999999,5614540.891799999
3538,"Seattle-Tacoma-Bellevue, WA Metro Area-Rail",2008,1,10,5569068.921,1310020.018,73078.19425,7127.916423999999,-4570.978196999999,95152.77636,-16446.15727,0.0,-493.2376085,0.0,0.0,0.0,0.0,-600721.7905,1553925.69659,-368128.819487,65991.476583,968.5678172599999,322964.65335,-23723.219698,-63183.945550000004,-636.0484833,0.0,0.0,0.0,0.0,38809.43479999993,4015143.2244100003,5937197.740487,5503077.444417,5568100.3531827405,5246104.26765,5592792.140698,5632252.86655,5569704.9694833,5569068.921,5569068.921,5569068.921,5569068.921,5530259.4862
3539,"Seattle-Tacoma-Bellevue, WA Metro Area-Rail",2009,1,10,8058494.102999999,4487641.137,59652.06435,2444.3108780000002,3908.182725,-283036.4187,93121.76688,1641.586765,0.0,0.0,0.0,0.0,0.0,-1764761.856,2863945.71459,-295050.625237,73119.39300699999,-3602.4103797399994,418117.42971,-40169.376968,-63183.945550000004,-1129.2860918000001,0.0,0.0,0.0,0.0,-561912.3557000001,5194548.388409999,8353544.728236999,7985374.709992999,8062096.51337974,7640376.673289999,8098663.479967999,8121678.0485499995,8059623.389091799,8058494.102999999,8058494.102999999,8058494.102999999,8058494.102999999,8620406.4587
3540,"Seattle-Tacoma-Bellevue, WA Metro Area-Rail",2010,1,10,12535957.68,3459950.27,-620435.0767,3646.5981840000004,28051.49921,198268.7544,117844.2938,26763.55801,-1136.890806,0.0,0.0,0.0,0.0,1404686.119,7351586.85159,-235398.560887,75563.703885,305.77234526000075,135081.01101000002,52952.389912,-61542.358785000004,-1129.2860918000001,0.0,0.0,0.0,0.0,-2326674.2117,5184370.82841,12771356.240887,12460393.976115,12535651.90765474,12400876.66899,12483005.290088,12597500.038785,12537086.9660918,12535957.68,12535957.68,12535957.68,12535957.68,14862631.8917
3541,"Seattle-Tacoma-Bellevue, WA Metro Area-Rail",2011,1,10,13929197.73,-344593.4807,-382150.95399999997,19323.82153,-115485.1201,436099.70399999997,90978.10394,27740.616530000003,1326.591645,0.0,0.0,0.0,0.0,1675860.439,10811537.12159,-855833.6375869999,79210.302069,28357.271555260002,333349.76541,170796.683712,-34778.800775,-2266.1768978,0.0,0.0,0.0,0.0,-921988.0926999999,3117660.608410001,14785031.367587,13849987.427931,13900840.45844474,13595847.96459,13758401.046288,13963976.530775001,13931463.9068978,13929197.73,13929197.73,13929197.73,13929197.73,14851185.822700001
3542,"Seattle-Tacoma-Bellevue, WA Metro Area-Rail",2012,1,10,15382723.55,282151.0391,-174218.9077,32677.214369999998,262679.3995,65347.27982,11335.9887,-18461.53907,-1473.872406,0.0,-146104.3418,0.0,0.0,1143538.67,10466943.64089,-1237984.5915869998,98534.123599,-87127.84854474,769449.4694099999,261774.787652,-7038.184245,-939.5852528,0.0,0.0,0.0,0.0,753872.3463000001,4915779.90911,16620708.141587,15284189.426401,15469851.39854474,14613274.08059,15120948.762348,15389761.734245,15383663.1352528,15382723.55,15382723.55,15382723.55,15382723.55,14628851.2037
3543,"Seattle-Tacoma-Bellevue, WA Metro Area-Rail",2013,1,10,16502420.21,626875.9085,272639.6984,35993.403510000004,266358.2305,-147645.6878,-34679.91824,35176.14733,542.5957681,0.0,-161350.4771,0.0,0.0,219206.0374,10749094.679990001,-1412203.499287,131211.337969,175551.55095526,834796.74923,273110.776352,-25499.723315,-2413.4576588,0.0,-146104.3418,0.0,0.0,1897411.0163,5753325.53001,17914623.709287003,16371208.872031001,16326868.65904474,15667623.460770002,16229309.433648001,16527919.933315001,16504833.6676588,16502420.21,16648524.551800001,16502420.21,16502420.21,14605009.1937
3544,"Seattle-Tacoma-Bellevue, WA Metro Area-Rail",2014,1,10,18130443.8,54079.74195,410773.5572,39506.028360000004,421442.907,-158044.3682,-179354.7805,41393.09683,-1746.149509,0.0,-173095.0547,89171.98800000001,0.0,1088676.264,11375970.588490002,-1139563.8008869998,167204.741479,441909.78145526,687151.06143,238430.85811200002,9676.424015,-1870.8618907,0.0,-307454.81889999995,0.0,0.0,2116617.0537,6754473.211509999,19270007.600887,17963239.058521003,17688534.01854474,17443292.73857,17892012.941888,18120767.375985,18132314.6618907,18130443.8,18437898.6189,18130443.8,18130443.8,16013826.7463
3545,"Seattle-Tacoma-Bellevue, WA Metro Area-Rail",2015,1,10,19257342.42,642186.8658,-583765.7623,43307.61894,470251.3897,-668165.1884,-275931.4856,-68001.75797,-639.4937191,0.0,-190171.5094,0.0,0.0,1788109.291,11430050.330440002,-728790.2436869999,206710.769839,863352.68845526,529106.69323,59076.07761200002,51069.52084500001,-3617.0113997,0.0,-480549.87359999993,89171.98800000001,0.0,3205293.3177,7827292.08956,19986132.663687002,19050631.650161,18393989.73154474,18728235.726770002,19198266.342388,19206272.899155002,19260959.431399703,19257342.42,19737892.2936,19168170.432,19257342.42,16052049.102300001
