,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,WEIGHTED_POP_DENSITY_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,WEIGHTED_POP_DENSITY_log_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_WEIGHTED_POP_DENSITY_log_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
3562,"Shreveport-Bossier City, LA Metro Area-Bus",2004,0,33,2827947.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2827947.0,2827947.0,2827947.0,2827947.0,2827947.0,2827947.0,2827947.0,2827947.0,2827947.0,2827947.0,2827947.0,2827947.0,2827947.0
3563,"Shreveport-Bossier City, LA Metro Area-Bus",2005,0,33,2815341.0,42434.5807,3161.343842,11299.839109999999,-229.91111769999998,93535.57448,24277.31475,-7906.8640909999995,0.0,0.0,0.0,0.0,0.0,-182094.9599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2815341.0,2815341.0,2815341.0,2815341.0,2815341.0,2815341.0,2815341.0,2815341.0,2815341.0,2815341.0,2815341.0,2815341.0,2815341.0
3564,"Shreveport-Bossier City, LA Metro Area-Bus",2006,0,33,3145290.0,53534.12444,53524.38566,11193.4413,1407.490366,45958.369589999995,37235.678889999996,-21491.10257,-496.4759563,0.0,0.0,0.0,0.0,144986.0798,42434.5807,3161.343842,11299.839109999999,-229.91111769999998,93535.57448,24277.31475,-7906.8640909999995,0.0,0.0,0.0,0.0,0.0,-182094.9599,3102855.4193,3142128.656158,3133990.16089,3145519.9111177,3051754.42552,3121012.68525,3153196.864091,3145290.0,3145290.0,3145290.0,3145290.0,3145290.0,3327384.9599
3565,"Shreveport-Bossier City, LA Metro Area-Bus",2007,0,33,3382898.0,194368.5079,29754.192069999997,-379.3706687,-3629.8606729999997,25113.1945,-9997.188203,37064.78716,-110.9400973,0.0,0.0,0.0,0.0,-39898.45078,95968.70514,56685.729502,22493.28041,1177.5792483,139493.94407,61512.99364,-29397.966661,-496.4759563,0.0,0.0,0.0,0.0,-37108.88009999998,3286929.29486,3326212.270498,3360404.71959,3381720.4207517,3243404.05593,3321385.00636,3412295.966661,3383394.4759563,3382898.0,3382898.0,3382898.0,3382898.0,3420006.8801
3566,"Shreveport-Bossier City, LA Metro Area-Bus",2008,0,33,3483430.0,-31221.12117,-12596.71095,3184.843732,5087.249325,79597.48995,-27453.85918,-43585.8908,596.6679528,0.0,0.0,0.0,0.0,128299.8282,290337.21304,86439.92157199999,22113.909741299998,-2452.2814246999997,164607.13857,51515.805437,7666.820499000001,-607.4160536,0.0,0.0,0.0,0.0,-77007.33087999998,3193092.78696,3396990.078428,3461316.0902587,3485882.2814247,3318822.86143,3431914.194563,3475763.179501,3484037.4160536,3483430.0,3483430.0,3483430.0,3483430.0,3560437.33088
3567,"Shreveport-Bossier City, LA Metro Area-Bus",2009,0,33,3069009.0,-33844.92594,-149622.2323,-2274.214854,2241.3978690000004,-207254.2017,-49832.52336,3852.082874,-122.86691,0.0,0.0,0.0,0.0,5189.967613000001,259116.09187,73843.21062199998,25298.7534733,2634.9679003,244204.62852000003,24061.946257000003,-35919.070301,-10.748100800000088,0.0,0.0,0.0,0.0,51292.497320000024,2809892.90813,2995165.789378,3043710.2465267,3066374.0320997,2824804.37148,3044947.053743,3104928.070301,3069019.7481008,3069009.0,3069009.0,3069009.0,3069009.0,3017716.50268
3568,"Shreveport-Bossier City, LA Metro Area-Bus",2010,0,33,3180428.0,-8980.156651000001,35426.59598,5753.388384000001,-14635.96498,85694.05248,97249.23593,33650.16834,-324.73712889999996,0.0,0.0,0.0,0.0,-128183.5643,225271.16593000002,-75779.02167800002,23024.5386193,4876.3657693000005,36950.42682000002,-25770.577102999996,-32066.987427,-133.6150108000001,0.0,0.0,0.0,0.0,56482.464933000025,2955156.83407,3256207.021678,3157403.4613807,3175551.6342307,3143477.57318,3206198.577103,3212494.987427,3180561.6150108,3180428.0,3180428.0,3180428.0,3180428.0,3123945.535067
3569,"Shreveport-Bossier City, LA Metro Area-Bus",2011,0,33,3316056.0,-20217.74445,34579.434330000004,2331.513651,61950.740620000004,125422.0845,-127877.4182,-2108.343388,-224.35500019999998,0.0,0.0,0.0,0.0,66941.00903,216291.00927900002,-40352.42569800002,28777.927003300003,-9759.5992107,122644.47930000002,71478.658827,1583.1809129999965,-458.35213970000007,0.0,0.0,0.0,0.0,-71701.09936699997,3099764.990721,3356408.425698,3287278.0729967,3325815.5992107,3193411.5206999998,3244577.341173,3314472.819087,3316514.3521397,3316056.0,3316056.0,3316056.0,3316056.0,3387757.099367
3570,"Shreveport-Bossier City, LA Metro Area-Bus",2012,0,33,3373943.0,8964.289662000001,38895.25874,1029.538402,-98286.29945,-4300.410822999999,73393.2569,-11220.21471,0.0,0.0,0.0,0.0,0.0,51953.1105,196073.26482900002,-5772.991368000017,31109.440654300004,52191.141409300006,248066.5638,-56398.75937299999,-525.1624750000033,-682.7071399,0.0,0.0,0.0,0.0,-4760.090336999972,3177869.735171,3379715.991368,3342833.5593457,3321751.8585907,3125876.4362,3430341.759373,3374468.162475,3374625.7071399,3373943.0,3373943.0,3373943.0,3373943.0,3378703.090337
3571,"Shreveport-Bossier City, LA Metro Area-Bus",2013,0,33,3268971.0,-12293.453000000001,14163.06822,27318.824,9641.543144,-27825.983739999996,18918.28854,-21311.70537,476.06239580000005,0.0,0.0,0.0,0.0,-113658.1092,205037.55449100002,33122.26737199998,32138.979056300002,-46095.1580407,243766.152977,16994.497527,-11745.377185000003,-682.7071399,0.0,0.0,0.0,0.0,47193.02016300003,3063933.4455089998,3235848.732628,3236832.0209437,3315066.1580407,3025204.847023,3251976.502473,3280716.377185,3269653.7071399,3268971.0,3268971.0,3268971.0,3268971.0,3221777.979837
