,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,WEIGHTED_POP_DENSITY_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,WEIGHTED_POP_DENSITY_log_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_WEIGHTED_POP_DENSITY_log_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
3608,"Spokane, WA Metro Area-Bus",2002,0,23,7522394.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7522394.0,7522394.0,7522394.0,7522394.0,7522394.0,7522394.0,7522394.0,7522394.0,7522394.0,7522394.0,7522394.0,7522394.0,7522394.0
3609,"Spokane, WA Metro Area-Bus",2003,0,23,7487408.0,45253.164860000004,-62176.89015,37069.61106,53.15655161,216680.8084,-13796.7745,9983.294113,0.0,0.0,0.0,0.0,0.0,-268022.8287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7487408.0,7487408.0,7487408.0,7487408.0,7487408.0,7487408.0,7487408.0,7487408.0,7487408.0,7487408.0,7487408.0,7487408.0,7487408.0
3610,"Spokane, WA Metro Area-Bus",2004,0,23,7740359.0,62716.63382,103033.0065,42037.23364,-687.8151293999999,147877.2052,10159.66459,10489.297120000001,0.0,0.0,0.0,0.0,0.0,-129589.0186,45253.164860000004,-62176.89015,37069.61106,53.15655161,216680.8084,-13796.7745,9983.294113,0.0,0.0,0.0,0.0,0.0,-268022.8287,7695105.83514,7802535.89015,7703289.38894,7740305.84344839,7523678.1916,7754155.7745,7730375.705887,7740359.0,7740359.0,7740359.0,7740359.0,7740359.0,8008381.8287
3611,"Spokane, WA Metro Area-Bus",2005,0,23,7691052.0,225089.1692,27700.40246,39542.965,1927.0378510000003,189457.9613,12872.36345,8559.524476,0.0,0.0,0.0,0.0,0.0,-565267.1468,107969.79868,40856.116350000004,79106.8447,-634.65857779,364558.0136,-3637.109909999999,20472.591233,0.0,0.0,0.0,0.0,0.0,-397611.8473,7583082.20132,7650195.88365,7611945.1553,7691686.65857779,7326493.9864,7694689.10991,7670579.408767,7691052.0,7691052.0,7691052.0,7691052.0,7691052.0,8088663.8473000005
3612,"Spokane, WA Metro Area-Bus",2006,0,23,8420620.0,681263.8047,124944.7785,38489.236469999996,-2864.232685,127519.1346,24995.97799,15883.605980000002,2441.9271329999997,0.0,0.0,0.0,0.0,-317844.0158,333058.96788,68556.51881000001,118649.8097,1292.3792732100003,554015.9749,9235.253540000002,29032.115708999998,0.0,0.0,0.0,0.0,0.0,-962878.9941,8087561.03212,8352063.48119,8301970.1903,8419327.62072679,7866604.0251,8411384.74646,8391587.884291,8420620.0,8420620.0,8420620.0,8420620.0,8420620.0,9383498.9941
3613,"Spokane, WA Metro Area-Bus",2007,0,23,9046264.0,26156.361259999998,143918.0779,26047.49306,1123.9806609999998,83396.16562,-871.1479012,-13638.67128,-594.0106807999999,0.0,0.0,0.0,0.0,357647.684,1014322.77258,193501.29731,157139.04617,-1571.8534117899997,681535.1095,34231.231530000005,44915.721689,2441.9271329999997,0.0,0.0,0.0,0.0,-1280723.0099,8031941.22742,8852762.70269,8889124.95383,9047835.85341179,8364728.8905,9012032.76847,9001348.278311,9043822.072867,9046264.0,9046264.0,9046264.0,9046264.0,10326987.0099
3614,"Spokane, WA Metro Area-Bus",2008,0,23,11110265.0,162773.4128,217050.00699999998,17731.5128,10078.603140000001,184658.0834,-169460.1849,-38576.85845,-3509.241049,0.0,0.0,0.0,0.0,1683035.07,1040479.13384,337419.37520999997,183186.53923,-447.8727507899998,764931.27512,33360.08362880001,31277.050408999996,1847.9164521999996,0.0,0.0,0.0,0.0,-923075.3258999999,10069785.86616,10772845.62479,10927078.46077,11110712.87275079,10345333.72488,11076904.9163712,11078987.949591,11108417.0835478,11110265.0,11110265.0,11110265.0,11110265.0,12033340.3259
3615,"Spokane, WA Metro Area-Bus",2009,0,23,11150243.0,100594.0446,4718.988217,-2669.310728,-39377.26267,-564656.2578,179952.4121,45937.35581,391.8930709,0.0,0.0,0.0,0.0,328196.4637,1203252.54664,554469.38221,200918.05203,9630.73038921,949589.35852,-136100.1012712,-7299.808041000004,-1661.3245968000006,0.0,0.0,0.0,0.0,759959.7441000001,9946990.45336,10595773.61779,10949324.94797,11140612.26961079,10200653.64148,11286343.1012712,11157542.808041,11151904.3245968,11150243.0,11150243.0,11150243.0,11150243.0,10390283.2559
3616,"Spokane, WA Metro Area-Bus",2010,0,23,10710562.0,-15012.39596,-592413.6742,-406.78609720000003,90391.59633,274337.2103,-119703.6932,12330.27795,-393.28934489999995,0.0,0.0,0.0,0.0,-74264.88014,1303846.59124,559188.370427,198248.74130199998,-29746.532280789994,384933.10072,43852.31082879999,38637.547769,-1269.4315259000005,0.0,0.0,0.0,0.0,1088156.2078000002,9406715.40876,10151373.629573,10512313.258698,10740308.53228079,10325628.89928,10666709.6891712,10671924.452231,10711831.4315259,10710562.0,10710562.0,10710562.0,10710562.0,9622405.7922
3617,"Spokane, WA Metro Area-Bus",2011,0,23,10832037.0,-345268.8736,-106779.3644,-8095.325769,-58984.59827,372598.0126,245573.145,48247.59823,-6042.897204999999,0.0,0.0,0.0,0.0,-4905.467778,1288834.1952799999,-33225.30377300002,197841.95520479998,60645.06404921001,659270.3110199999,-75851.3823712,50967.825719,-1662.7208708000003,0.0,0.0,0.0,0.0,1013891.3276600002,9543202.80472,10865262.303773,10634195.0447952,10771391.93595079,10172766.68898,10907888.3823712,10781069.174281,10833699.7208708,10832037.0,10832037.0,10832037.0,10832037.0,9818145.67234
