,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,WEIGHTED_POP_DENSITY_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,WEIGHTED_POP_DENSITY_log_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_WEIGHTED_POP_DENSITY_log_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
3659,"St. Cloud, MN Metro Area-Bus",2002,0,33,705954.5664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,705954.5664,705954.5664,705954.5664,705954.5664,705954.5664,705954.5664,705954.5664,705954.5664,705954.5664,705954.5664,705954.5664,705954.5664,705954.5664
3660,"St. Cloud, MN Metro Area-Bus",2003,0,33,1458527.906,511010.00299999997,171880.6365,3012.040849,41.8648314,12333.16745,15550.337,1770.7491,0.0,0.0,0.0,0.0,0.0,-125860.23300000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1458527.906,1458527.906,1458527.906,1458527.906,1458527.906,1458527.906,1458527.906,1458527.906,1458527.906,1458527.906,1458527.906,1458527.906,1458527.906
3661,"St. Cloud, MN Metro Area-Bus",2004,0,33,1584723.0,123381.2664,40537.84491,6677.522746,-133.1957396,33217.800489999994,38384.72541,3335.260648,0.0,0.0,0.0,0.0,0.0,-133523.1988,511010.00299999997,171880.6365,3012.040849,41.8648314,12333.16745,15550.337,1770.7491,0.0,0.0,0.0,0.0,0.0,-125860.23300000001,1073712.997,1412842.3635,1581710.959151,1584681.1351686,1572389.83255,1569172.663,1582952.2509,1584723.0,1584723.0,1584723.0,1584723.0,1584723.0,1710583.233
3662,"St. Cloud, MN Metro Area-Bus",2005,0,33,1643215.3490000002,-6837.482942000001,-33051.70411,7089.812101,59.19106751,48924.42367,38253.094339999996,3623.8348530000003,0.0,0.0,0.0,0.0,0.0,991.1992602,634391.2694,212418.48141,9689.563595,-91.3309082,45550.967939999995,53935.06241,5106.009748,0.0,0.0,0.0,0.0,0.0,-259383.43180000002,1008824.0796000002,1430796.8675900002,1633525.7854050002,1643306.6799082002,1597664.3810600003,1589280.2865900001,1638109.3392520002,1643215.3490000002,1643215.3490000002,1643215.3490000002,1643215.3490000002,1643215.3490000002,1902598.7808000003
3663,"St. Cloud, MN Metro Area-Bus",2006,0,33,1739142.35,43266.84244,-4210.287752,8645.296959000001,420.6124087,26575.38115,63367.56855,3150.947354,-173.8714466,0.0,0.0,0.0,0.0,-49173.27362,627553.786458,179366.77730000002,16779.375696,-32.13984068999999,94475.39160999999,92188.15675,8729.844601,0.0,0.0,0.0,0.0,0.0,-258392.23253980002,1111588.563542,1559775.5727000001,1722362.9743040001,1739174.48984069,1644666.95839,1646954.19325,1730412.5053990001,1739142.35,1739142.35,1739142.35,1739142.35,1739142.35,1997534.5825398
3664,"St. Cloud, MN Metro Area-Bus",2007,0,33,1806148.802,-13655.271130000001,-23468.302219999998,3406.295064,-1584.675488,22993.558569999997,-23364.90665,4876.22925,61.34487668,0.0,0.0,0.0,0.0,97996.36391,670820.628898,175156.489548,25424.672655000002,388.47256801000003,121050.77275999999,155555.7253,11880.791955,-173.8714466,0.0,0.0,0.0,0.0,-307565.50615980005,1135328.1731019998,1630992.3124519999,1780724.1293449998,1805760.32943199,1685098.0292399998,1650593.0766999999,1794268.010045,1806322.6734465999,1806148.802,1806148.802,1806148.802,1806148.802,2113714.3081598
3665,"St. Cloud, MN Metro Area-Bus",2008,0,33,2100522.067,140653.1675,34782.179110000005,610.7945927000001,3113.202938,34619.97226,-4627.526034,-22088.084130000003,-955.3563826999999,0.0,0.0,0.0,0.0,104991.1445,657165.357768,151688.18732800003,28830.967719,-1196.20291999,144044.33133,132190.81865,16757.021205,-112.52656992000001,0.0,0.0,0.0,0.0,-209569.14224980003,1443356.7092319997,1948833.8796719997,2071691.0992809997,2101718.2699199896,1956477.7356699998,1968331.2483499998,2083765.0457949997,2100634.59356992,2100522.067,2100522.067,2100522.067,2100522.067,2310091.2092498
3666,"St. Cloud, MN Metro Area-Bus",2009,0,33,2082721.5580000002,71579.9537,-61148.44628,604.4625963,-2948.853035,-120660.2663,93849.64054,23657.144180000003,370.4853654,0.0,0.0,0.0,0.0,-15231.08331,797818.525268,186470.36643800003,29441.7623117,1917.0000180099998,178664.30359,127563.292616,-5331.062925000002,-1067.88295262,0.0,0.0,0.0,0.0,-104577.99774980004,1284903.032732,1896251.1915620002,2053279.7956883002,2080804.5579819903,1904057.2544100003,1955158.2653840003,2088052.6209250002,2083789.4409526202,2082721.5580000002,2082721.5580000002,2082721.5580000002,2082721.5580000002,2187299.5557498
3667,"St. Cloud, MN Metro Area-Bus",2010,0,33,2137845.989,176214.5176,-7818.8582129999995,-111.2252101,-4082.365436,59755.248120000004,-37731.19192,-2607.1464379999998,-807.9326432,0.0,0.0,0.0,0.0,-126942.5839,869398.4789679999,125321.92015800002,30046.224908,-1031.8530169900002,58004.03728999999,221412.93315599998,18326.081255,-697.39758722,0.0,0.0,0.0,0.0,-119809.08105980004,1268447.510032,2012524.068842,2107799.764092,2138877.84201699,2079841.9517100002,1916433.055844,2119519.907745,2138543.3865872202,2137845.989,2137845.989,2137845.989,2137845.989,2257655.0700598
3668,"St. Cloud, MN Metro Area-Bus",2011,0,33,2161855.891,80325.9626,-22300.73837,2138.73275,28992.40175,85903.49205,-989.6384105000001,10579.883759999999,527.914486,0.0,0.0,0.0,0.0,-165619.1905,1045612.996568,117503.06194500002,29934.9996979,-5114.2184529900005,117759.28541,183681.74123599997,15718.934817000001,-1505.3302304200001,0.0,0.0,0.0,0.0,-246751.66495980002,1116242.894432,2044352.8290549999,2131920.8913021,2166970.10945299,2044096.6055899998,1978174.149764,2146136.956183,2163361.22123042,2161855.891,2161855.891,2161855.891,2161855.891,2408607.5559598
3669,"St. Cloud, MN Metro Area-Bus",2012,0,33,2112140.398,6941.52375,-40689.15086,1598.697669,-62998.93117,-1942.6092449999999,-17038.052669999997,-20135.2647,1144.111635,0.0,0.0,0.0,0.0,80797.25757,1125938.959168,95202.32357500002,32073.732447899998,23878.18329701,203662.77746,182692.10282549998,26298.818577,-977.4157444200001,0.0,0.0,0.0,0.0,-412370.8554598,986201.4388320001,2016938.074425,2080066.6655521,2088262.2147029901,1908477.62054,1929448.2951745,2085841.579423,2113117.81374442,2112140.398,2112140.398,2112140.398,2112140.398,2524511.2534598
3670,"St. Cloud, MN Metro Area-Bus",2013,0,33,2111857.9390000002,7959.484119,-23260.68709,1862.959378,21539.79739,-13702.72103,-21488.90877,38157.51119,-148.9954369,0.0,0.0,0.0,0.0,-10476.23417,1132880.4829179998,54513.172715000015,33672.430116899995,-39120.74787299,201720.168215,165654.05015549998,6163.5538769999985,166.69589057999985,0.0,0.0,0.0,0.0,-331573.5978898,978977.4560820004,2057344.7662850001,2078185.5088831002,2150978.6868729903,1910137.7707850002,1946203.8888445003,2105694.3851230005,2111691.2431094204,2111857.9390000002,2111857.9390000002,2111857.9390000002,2111857.9390000002,2443431.5368898003
3671,"St. Cloud, MN Metro Area-Bus",2014,0,33,2047644.166,52496.44765,-9181.001367,3020.610075,-27920.11748,-25582.62656,20160.43841,-17355.98428,-446.89500810000004,0.0,0.0,0.0,0.0,-58239.275929999996,1140839.9670369998,31252.485625000016,35535.389494899995,-17580.950482990003,188017.447185,144165.14138549997,44321.065066999996,17.700453679999868,0.0,0.0,0.0,0.0,-342049.8320598,906804.1989630002,2016391.680375,2012108.7765051,2065225.1164829899,1859626.718815,1903479.0246144999,2003323.100933,2047626.46554632,2047644.166,2047644.166,2047644.166,2047644.166,2389693.9980598
