,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,WEIGHTED_POP_DENSITY_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,WEIGHTED_POP_DENSITY_log_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_WEIGHTED_POP_DENSITY_log_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
3841,"Terre Haute, IN Metro Area-Bus",2002,0,34,149211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149211.0,149211.0,149211.0,149211.0,149211.0,149211.0,149211.0,149211.0,149211.0,149211.0,149211.0,149211.0,149211.0
3842,"Terre Haute, IN Metro Area-Bus",2003,0,34,144784.0,8644.87794,2013.366425,524.109008,1.7277540519999999,2606.746009,4491.203483,-515.8271396,0.0,0.0,0.0,0.0,0.0,-22905.89409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144784.0,144784.0,144784.0,144784.0,144784.0,144784.0,144784.0,144784.0,144784.0,144784.0,144784.0,144784.0,144784.0
3843,"Terre Haute, IN Metro Area-Bus",2004,0,34,136896.0,3798.402895,-4436.985007,568.8307464,7.254265759,3297.43847,5155.960059,-500.5228608,0.0,0.0,0.0,0.0,0.0,-15736.75161,8644.87794,2013.366425,524.109008,1.7277540519999999,2606.746009,4491.203483,-515.8271396,0.0,0.0,0.0,0.0,0.0,-22905.89409,128251.12206,134882.633575,136371.890992,136894.272245948,134289.253991,132404.796517,137411.8271396,136896.0,136896.0,136896.0,136896.0,136896.0,159801.89409000002
3844,"Terre Haute, IN Metro Area-Bus",2005,0,34,152042.0,-15030.368859999999,4218.830008,501.06975389999997,-26.73968628,4226.327189,4531.860821,-523.5035628,0.0,0.0,0.0,0.0,0.0,18305.43599,12443.280835000001,-2423.618582,1092.9397543999999,8.982019811,5904.184479,9647.163542,-1016.3500004,0.0,0.0,0.0,0.0,0.0,-38642.6457,139598.719165,154465.618582,150949.0602456,152033.017980189,146137.815521,142394.836458,153058.3500004,152042.0,152042.0,152042.0,152042.0,152042.0,190684.6457
3845,"Terre Haute, IN Metro Area-Bus",2006,0,34,163267.0,42510.08198,7673.180962,778.9027709,59.39516354,2458.943743,8419.980155,-413.93362,-58.98037329,0.0,0.0,0.0,0.0,-56433.93792999999,-2587.0880249999973,1795.2114259999998,1594.0095082999999,-17.757666469,10130.511668,14179.024363,-1539.8535632,0.0,0.0,0.0,0.0,0.0,-20337.20971,165854.088025,161471.788574,161672.9904917,163284.757666469,153136.488332,149087.975637,164806.8535632,163267.0,163267.0,163267.0,163267.0,163267.0,183604.20971
3846,"Terre Haute, IN Metro Area-Bus",2007,0,34,210629.0,19115.041269999998,4587.907992,73.5231172,-62.26584303,2158.586574,-3570.6729060000002,-1210.49243,28.79666684,0.0,0.0,0.0,0.0,26130.322780000002,39922.993955000005,9468.392388,2372.9122792,41.637497071,12589.455410999999,22599.004518,-1953.7871832,-58.98037329,0.0,0.0,0.0,0.0,-76771.14764,170706.006045,201160.607612,208256.0877208,210587.362502929,198039.544589,188029.995482,212582.7871832,210687.98037329,210629.0,210629.0,210629.0,210629.0,287400.14764
3847,"Terre Haute, IN Metro Area-Bus",2008,0,34,319926.0,61150.8867,4890.652768999999,-63.36684092,-82.25643029999999,4037.303089,1488.539137,1698.427664,52.01221269,0.0,0.0,0.0,0.0,32328.23839,59038.035225,14056.30038,2446.4353963999997,-20.628345959,14748.041985,19028.331612,-3164.2796132000003,-30.183706450000003,0.0,0.0,0.0,0.0,-50640.82485999999,260887.964775,305869.69961999997,317479.5646036,319946.628345959,305177.958015,300897.668388,323090.2796132,319956.18370645,319926.0,319926.0,319926.0,319926.0,370566.82486
3848,"Terre Haute, IN Metro Area-Bus",2009,0,34,282282.0,-3.126806549,-10351.014720000001,-307.752027,952.4027802999999,-18377.50574,3786.9975649999997,519.0169192,-157.94498959999999,0.0,0.0,0.0,0.0,-13888.8032,120188.921925,18946.953149,2383.0685554799998,-102.88477625899999,18785.345074,20516.870749,-1465.8519492000003,21.828506239999996,0.0,0.0,0.0,0.0,-18312.586469999995,162093.078075,263335.046851,279898.93144452,282384.884776259,263496.654926,261765.129251,283747.8519492,282260.17149376,282282.0,282282.0,282282.0,282282.0,300594.58647
3849,"Terre Haute, IN Metro Area-Bus",2010,0,34,277568.0,1643.166245,2839.262641,503.618297,-1675.80583,8098.937126000001,-6487.621295,-747.7683561000001,69.70603014,0.0,0.0,0.0,0.0,-8771.27677,120185.795118451,8595.938429,2075.3165284799998,849.5180040409999,407.83933400000024,24303.868314,-946.8350300000003,-136.11648336,0.0,0.0,0.0,0.0,-32201.389669999997,157382.204881549,268972.061571,275492.68347152,276718.481995959,277160.160666,253264.131686,278514.83503,277704.11648336,277568.0,277568.0,277568.0,277568.0,309769.38967
3850,"Terre Haute, IN Metro Area-Bus",2011,0,34,328772.0,-5315.590896,10403.74025,-18.35312251,2567.775251,11153.31067,8848.376376999999,-1570.31213,19.58169213,0.0,0.0,0.0,0.0,24524.250369999998,121828.961363451,11435.20107,2578.9348254799997,-826.2878259590001,8506.776460000001,17816.247019,-1694.6033861000005,-66.41045322,0.0,0.0,0.0,0.0,-40972.66644,206943.038636549,317336.79893,326193.06517452,329598.287825959,320265.22354,310955.752981,330466.6033861,328838.41045322,328772.0,328772.0,328772.0,328772.0,369744.66644
