,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,WEIGHTED_POP_DENSITY_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,WEIGHTED_POP_DENSITY_log_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_WEIGHTED_POP_DENSITY_log_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
3888,"Tucson, AZ Metro Area-Bus",2002,0,23,14351532.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14351532.81,14351532.81,14351532.81,14351532.81,14351532.81,14351532.81,14351532.81,14351532.81,14351532.81,14351532.81,14351532.81,14351532.81,14351532.81
3889,"Tucson, AZ Metro Area-Bus",2003,0,23,15033828.03,-25162.56991,-75375.20291,70918.33755,435.9834276,413392.5624,97505.56519,14811.79172,0.0,0.0,0.0,0.0,0.0,183884.0801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15033828.03,15033828.03,15033828.03,15033828.03,15033828.03,15033828.03,15033828.03,15033828.03,15033828.03,15033828.03,15033828.03,15033828.03,15033828.03
3890,"Tucson, AZ Metro Area-Bus",2004,0,23,15409528.05,58594.024020000004,171955.8015,79528.55797000001,952.2910124,296919.9051,149728.4495,14407.154080000002,0.0,0.0,0.0,0.0,0.0,-411355.1837,-25162.56991,-75375.20291,70918.33755,435.9834276,413392.5624,97505.56519,14811.79172,0.0,0.0,0.0,0.0,0.0,183884.0801,15434690.61991,15484903.252910001,15338609.712450001,15409092.066572402,14996135.4876,15312022.48481,15394716.258280002,15409528.05,15409528.05,15409528.05,15409528.05,15409528.05,15225643.9699
3891,"Tucson, AZ Metro Area-Bus",2005,0,23,16161596.13,-69932.70053999999,217341.0745,63715.183410000005,-4767.469299,377173.4319,142361.4462,20450.65051,0.0,0.0,0.0,0.0,0.0,-5277.506096,33431.454110000006,96580.59859,150446.89552000002,1388.2744400000001,710312.4675,247234.01468999998,29218.9458,0.0,0.0,0.0,0.0,0.0,-227471.1036,16128164.67589,16065015.531410001,16011149.234480001,16160207.855560001,15451283.662500001,15914362.11531,16132377.1842,16161596.13,16161596.13,16161596.13,16161596.13,16161596.13,16389067.2336
3892,"Tucson, AZ Metro Area-Bus",2006,0,23,17365297.97,33390.40695,85296.62054,86069.60588999999,11051.572390000001,267962.4,223227.143,-8333.502203,-4559.828108,0.0,0.0,0.0,0.0,498879.5614,-36501.246429999985,313921.67309,214162.07893000002,-3379.194859,1087485.8994,389595.46089,49669.59631,0.0,0.0,0.0,0.0,0.0,-232748.609696,17401799.216429997,17051376.29691,17151135.891069997,17368677.164859,16277812.0706,16975702.50911,17315628.373689998,17365297.97,17365297.97,17365297.97,17365297.97,17365297.97,17598046.579696
3893,"Tucson, AZ Metro Area-Bus",2007,0,23,18231363.66,790321.9936,99252.67074,46531.97724,-13872.38758,171982.4984,-41347.58756,111673.8443,-612.5056344,0.0,0.0,0.0,0.0,-317388.028,-3110.839479999988,399218.29363,300231.68482,7672.377531000001,1355448.2994,612822.60389,41336.094107,-4559.828108,0.0,0.0,0.0,0.0,266130.951704,18234474.49948,17832145.36637,17931131.97518,18223691.282469,16875915.360600002,17618541.05611,18190027.565893,18235923.488108,18231363.66,18231363.66,18231363.66,18231363.66,17965232.708296
3894,"Tucson, AZ Metro Area-Bus",2008,0,23,20828652.17,474832.3684,444590.5049,82969.36412,-5576.561406,372150.1684,77013.62952,-136504.0816,3858.796436,0.0,0.0,0.0,0.0,1252707.807,787211.1541200001,498470.96436999994,346763.66206,-6200.0100489999995,1527430.7977999998,571475.01633,153009.93840699998,-5172.3337424,0.0,0.0,0.0,0.0,-51257.076295999985,20041441.015880004,20330181.20563,20481888.50794,20834852.180049002,19301221.3722,20257177.15367,20675642.231593,20833824.5037424,20828652.17,20828652.17,20828652.17,20828652.17,20879909.246296003
3895,"Tucson, AZ Metro Area-Bus",2009,0,23,20654756.94,488694.1592,-454512.9121,5966.79538,94869.41403,-1058573.201,511995.7434,89202.02866,-6611.04712,0.0,0.0,0.0,0.0,196858.5101,1262043.52252,943061.46927,429733.02618,-11776.571455,1899580.9662,648488.64585,16505.856806999975,-1313.5373064,0.0,0.0,0.0,0.0,1201450.730704,19392713.41748,19711695.470730003,20225023.913820002,20666533.511455003,18755175.9738,20006268.294150002,20638251.083193,20656070.4773064,20654756.94,20654756.94,20654756.94,20654756.94,19453306.209296003
3896,"Tucson, AZ Metro Area-Bus",2010,0,23,19492518.58,19641.65171,-602375.1302,-85070.12913,-607964.0814,508183.4,-30783.696,-75953.46862,-4370.799569,0.0,0.0,0.0,0.0,-278427.4895,1750737.6817200002,488548.55717,435699.82156,83092.842575,841007.7652,1160484.38925,105707.88546699997,-7924.584426400001,0.0,0.0,0.0,0.0,1398309.240804,17741780.89828,19003970.02283,19056818.75844,19409425.737425,18651510.814799998,18332034.19075,19386810.694532998,19500443.164426398,19492518.58,19492518.58,19492518.58,19492518.58,18094209.339195997
3897,"Tucson, AZ Metro Area-Bus",2011,0,23,19829969.66,387032.9518,431450.7351,1149.7541429999999,346134.7387,678103.8832,120699.6326,56093.683410000005,8252.330741,0.0,0.0,0.0,0.0,-1774737.6069999998,1770379.33343,-113826.57303000003,350629.69243,-524871.238825,1349191.1652000002,1129700.69325,29754.41684699997,-12295.3839954,0.0,0.0,0.0,0.0,1119881.7513040002,18059590.32657,19943796.23303,19479339.96757,20354840.898825,18480778.4948,18700268.96675,19800215.243153,19842265.0439954,19829969.66,19829969.66,19829969.66,19829969.66,18710087.908696
