,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,WEIGHTED_POP_DENSITY_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,WEIGHTED_POP_DENSITY_log_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_WEIGHTED_POP_DENSITY_log_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
3942,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area-Bus",2002,0,22,8811312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8811312.0,8811312.0,8811312.0,8811312.0,8811312.0,8811312.0,8811312.0,8811312.0,8811312.0,8811312.0,8811312.0,8811312.0,8811312.0
3943,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area-Bus",2003,0,22,8193006.0,21135.08552,-407112.8692,29695.909630000002,-1648.209686,166212.7669,36515.09772,9743.816886,0.0,0.0,0.0,0.0,0.0,-462826.0985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8193006.0,8193006.0,8193006.0,8193006.0,8193006.0,8193006.0,8193006.0,8193006.0,8193006.0,8193006.0,8193006.0,8193006.0,8193006.0
3944,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area-Bus",2004,0,22,11972309.0,-142788.5096,1309695.7920000001,28646.44055,-7619.120488,219577.9059,59438.7392,9060.0753,0.0,0.0,0.0,0.0,0.0,2279967.537,21135.08552,-407112.8692,29695.909630000002,-1648.209686,166212.7669,36515.09772,9743.816886,0.0,0.0,0.0,0.0,0.0,-462826.0985,11951173.91448,12379421.8692,11942613.09037,11973957.209686,11806096.2331,11935793.90228,11962565.183114,11972309.0,11972309.0,11972309.0,11972309.0,11972309.0,12435135.0985
3945,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area-Bus",2005,0,22,8654145.0,516812.6932,-1499341.032,44610.66687,42942.29481,395094.3667,82535.81184,11473.252190000001,0.0,0.0,0.0,0.0,0.0,-2803470.458,-121653.42408,902582.9228000001,58342.35018,-9267.330173999999,385790.6728,95953.83692,18803.892186,0.0,0.0,0.0,0.0,0.0,1817141.4385,8775798.42408,7751562.0772,8595802.64982,8663412.330174,8268354.3272,8558191.16308,8635341.107814,8654145.0,8654145.0,8654145.0,8654145.0,8654145.0,6837003.5615
3946,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area-Bus",2006,0,22,14614295.0,454741.5776,2207279.608,36410.23231,-59150.00577999999,136756.5153,87943.37477000001,14678.35227,-7017.9676,0.0,0.0,0.0,0.0,2904300.9080000003,395159.26911999995,-596758.1091999998,102953.01705,33674.964636000004,780885.0395,178489.64876,30277.144376000004,0.0,0.0,0.0,0.0,0.0,-986329.0195000002,14219135.73088,15211053.1092,14511341.98295,14580620.035364,13833409.9605,14435805.35124,14584017.855624,14614295.0,14614295.0,14614295.0,14614295.0,14614295.0,15600624.0195
3947,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area-Bus",2007,0,22,16240202.0,-49758.12334,538878.5442,17913.82889,94974.66119,112067.2686,-10675.1954,-22595.31874,-3607.92751,0.0,0.0,0.0,0.0,943820.3576,849900.84672,1610521.4988000002,139363.24936,-25475.041143999988,917641.5547999999,266433.02353,44955.496646,-7017.9676,0.0,0.0,0.0,0.0,1917971.8885000001,15390301.15328,14629680.5012,16100838.75064,16265677.041144,15322560.4452,15973768.97647,16195246.503354,16247219.9676,16240202.0,16240202.0,16240202.0,16240202.0,14322230.1115
3948,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area-Bus",2008,0,22,24282720.0,1289318.508,2298625.597,3417.707503,138913.637,410937.6986,-7960.926449,77965.49421,8021.62222,0.0,0.0,0.0,0.0,3486456.762,800142.72338,2149400.043,157277.07825,69499.62004600001,1029708.8233999999,255757.82813,22360.177906,-10625.89511,0.0,0.0,0.0,0.0,2861792.2461,23482577.27662,22133319.957,24125442.92175,24213220.379954,23253011.1766,24026962.17187,24260359.822094,24293345.89511,24282720.0,24282720.0,24282720.0,24282720.0,21420927.7539
3949,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area-Bus",2009,0,22,17932285.0,1146251.4109999998,-2679028.339,-17476.915569999997,-1016170.33,-1436267.263,262696.2059,-51830.89157,5139.608596,0.0,0.0,0.0,0.0,-2628506.954,2089461.2313799998,4448025.640000001,160694.785753,208413.25704599998,1440646.5219999999,247796.90168100002,100325.672116,-2604.2728899999993,0.0,0.0,0.0,0.0,6348249.0081,15842823.76862,13484259.36,17771590.214247,17723871.742954,16491638.478,17684488.098319,17831959.327884,17934889.27289,17932285.0,17932285.0,17932285.0,17932285.0,11584035.9919
3950,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area-Bus",2010,0,22,18055019.0,-243036.0837,973587.7369,8432.377779999999,2657162.01,485404.7985,-190518.3903,-50138.18871,1897.646759,0.0,0.0,0.0,0.0,-3655712.0730000003,3235712.6423799996,1768997.3010000004,143217.870183,-807757.072954,4379.258999999845,510493.107581,48494.780546,2535.3357060000008,0.0,0.0,0.0,0.0,3719742.0541000003,14819306.35762,16286021.699,17911801.129817,18862776.072954,18050639.741,17544525.892419,18006524.219454,18052483.664294,18055019.0,18055019.0,18055019.0,18055019.0,14335276.9459
3951,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area-Bus",2011,0,22,18716728.0,-145261.3219,121840.9331,9947.681663,-2540854.6859999998,713280.7744,492385.2515,-6650.360927000001,-10186.63856,0.0,0.0,0.0,0.0,2178562.043,2992676.55868,2742585.0379000003,151650.247963,1849404.9370459998,489784.0574999998,319974.717281,-1643.4081640000004,4432.982465000001,0.0,0.0,0.0,0.0,64029.981099999975,15724051.44132,15974142.9621,18565077.752037,16867323.062954,18226943.9425,18396753.282719,18718371.408164,18712295.017535,18716728.0,18716728.0,18716728.0,18716728.0,18652698.0189
3952,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area-Bus",2012,0,22,18896387.0,-954457.755,-31496.39617,18819.82776,-34795.05283,-7009.331787,195550.445,31745.565489999997,2640.9249870000003,0.0,0.0,0.0,0.0,967889.7603,2847415.23678,2864425.9710000004,161597.929626,-691449.748954,1203064.8318999999,812359.968781,-8293.769091000002,-5753.6560949999985,0.0,0.0,0.0,0.0,2242592.0241,16048971.763220001,16031961.029,18734789.070374,19587836.748953998,17693322.1681,18084027.031218998,18904680.769091,18902140.656095,18896387.0,18896387.0,18896387.0,18896387.0,16653794.9759
3953,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area-Bus",2013,0,22,18356947.0,-127106.2576,459121.3356,21398.345409999998,99897.41837999999,-122411.9015,96760.08748999999,52981.928139999996,5999.647398,0.0,0.0,0.0,0.0,-1025308.255,1892957.48178,2832929.5748300003,180417.757386,-726244.8017839999,1196055.500113,1007910.4137810001,23451.796398999995,-3112.731107999998,0.0,0.0,0.0,0.0,3210481.7844000002,16463989.51822,15524017.42517,18176529.242614,19083191.801784,17160891.499887,17349036.586219,18333495.203601,18360059.731108,18356947.0,18356947.0,18356947.0,18356947.0,15146465.215599999
3954,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area-Bus",2014,0,22,17226005.0,-246129.3725,-531038.368,16288.93576,82041.08461,-182219.4415,-275378.0204,81333.46923,1942.585732,0.0,0.0,0.0,0.0,-95281.225,1765851.2241800001,3292050.91043,201816.10279600002,-626347.383404,1073643.598613,1104670.5012710001,76433.72453899999,2886.916290000002,0.0,0.0,0.0,0.0,2185173.5294000003,15460153.77582,13933954.08957,17024188.897204,17852352.383404,16152361.401387,16121334.498729,17149571.275461,17223118.08371,17226005.0,17226005.0,17226005.0,17226005.0,15040831.4706
3955,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area-Bus",2015,0,22,16130386.0,615442.3212,-472074.3038,2278.261317,74103.17312,-1036114.42,-154770.2913,-117635.2971,-3037.748289,-407911.7144,0.0,0.0,0.0,391888.4265,1519721.85168,2761012.5424300004,218105.038556,-544306.298794,891424.157113,829292.4808710001,157767.193769,4829.502022000002,0.0,0.0,0.0,0.0,2089892.3044000003,14610664.14832,13369373.45757,15912280.961444,16674692.298794,15238961.842887,15301093.519129,15972618.806231,16125556.497978,16130386.0,16130386.0,16130386.0,16130386.0,14040493.6956
3956,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area-Bus",2016,0,22,15348856.0,476283.9119,-166133.3858,5647.630156,-396.80008080000005,-259098.9921,34842.98207,34503.5745,568.9681122999999,-381967.4619,0.0,0.0,0.0,-513500.4596,2135164.17288,2288938.2386300005,220383.299873,-470203.12567399995,-144690.262887,674522.189571,40131.89666900001,1791.7537330000023,-407911.7144,0.0,0.0,0.0,2481780.7309000003,13213691.82712,13059917.76137,15128472.700127,15819059.125674,15493546.262887,14674333.810429,15308724.103331,15347064.246267,15756767.7144,15348856.0,15348856.0,15348856.0,12867075.2691
3957,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area-Bus",2017,0,22,14433601.0,-262095.9922,188508.7634,11332.2591,-33346.039039999996,202980.8173,73401.71973,-7914.424061,541.4011558,-363460.8353,0.0,0.0,0.0,-717159.8677,2611448.08478,2122804.8528300007,226030.930029,-470599.9257548,-403789.254987,709365.1716410001,74635.47116900001,2360.7218453000023,-789879.1762999999,0.0,0.0,0.0,1968280.2713000004,11822152.91522,12310796.14717,14207570.069971,14904200.9257548,14837390.254987,13724235.828359,14358965.528831,14431240.2781547,15223480.1763,14433601.0,14433601.0,14433601.0,12465320.728699999
3958,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area-Bus",2018,0,22,13357352.0,-177061.2194,-74804.85342999999,7811.347687,36888.20603,192166.9628,38026.118160000005,1063.525612,509.1173091,-341787.6013,0.0,77992.97792,-881982.0625,34904.43054,2349352.09258,2311313.6162300007,237363.189129,-503945.9647948,-200808.43768700003,782766.8913710001,66721.04710800001,2902.1230011000025,-1153340.0115999999,0.0,0.0,0.0,1251120.4036000003,11007999.90742,11046038.38377,13119988.810871,13861297.9647948,13558160.437687,12574585.108629,13290630.952892,13354449.8769989,14510692.011599999,13357352.0,13357352.0,13357352.0,12106231.5964
