,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,WEIGHTED_POP_DENSITY_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,WEIGHTED_POP_DENSITY_log_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_WEIGHTED_POP_DENSITY_log_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
4028,"Wenatchee-East Wenatchee, WA Metro Area-Bus",2007,0,33,812057.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,812057.0,812057.0,812057.0,812057.0,812057.0,812057.0,812057.0,812057.0,812057.0,812057.0,812057.0,812057.0,812057.0
4029,"Wenatchee-East Wenatchee, WA Metro Area-Bus",2008,0,33,939619.0,57851.073110000005,41155.285,770.4639075,2802.620821,16576.222980000002,-9311.821958,19312.938309999998,515.7418836,0.0,0.0,0.0,0.0,-9023.792959999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,939619.0,939619.0,939619.0,939619.0,939619.0,939619.0,939619.0,939619.0,939619.0,939619.0,939619.0,939619.0,939619.0
4030,"Wenatchee-East Wenatchee, WA Metro Area-Bus",2009,0,33,911198.0,33694.20605,-85856.84473,1760.2122140000001,-22444.689980000003,-47754.193830000004,-9166.926273000001,-14085.981090000001,-463.88262639999994,0.0,0.0,0.0,0.0,110874.2974,57851.073110000005,41155.285,770.4639075,2802.620821,16576.222980000002,-9311.821958,19312.938309999998,515.7418836,0.0,0.0,0.0,0.0,-9023.792959999999,853346.92689,870042.715,910427.5360925,908395.379179,894621.77702,920509.821958,891885.06169,910682.2581164,911198.0,911198.0,911198.0,911198.0,920221.79296
4031,"Wenatchee-East Wenatchee, WA Metro Area-Bus",2010,0,33,956798.0,2360.881302,-1762.0285399999998,-1000.0990810000001,56012.76932000001,22418.84032,-7504.007181999999,5049.307367,450.0735966,0.0,0.0,0.0,0.0,-31541.973860000002,91545.27916,-44701.55972999999,2530.6761215,-19642.069159000002,-31177.97085,-18478.748231,5226.957219999997,51.859257200000116,0.0,0.0,0.0,0.0,101850.50443999999,865252.72084,1001499.55973,954267.3238785,976440.069159,987975.97085,975276.748231,951571.04278,956746.1407428,956798.0,956798.0,956798.0,956798.0,854947.49556
4032,"Wenatchee-East Wenatchee, WA Metro Area-Bus",2011,0,33,962314.0,-41759.19456,-22026.59262,154.9390201,-73885.16111,33284.99786,11658.46372,-5763.417156,-404.89750810000004,0.0,0.0,0.0,0.0,103704.0227,93906.160462,-46463.58826999999,1530.5770405,36370.700161,-8759.130530000002,-25982.755413,10276.264586999998,501.9328538000001,0.0,0.0,0.0,0.0,70308.53057999999,868407.8395380001,1008777.58827,960783.4229595,925943.299839,971073.13053,988296.755413,952037.735413,961812.0671462,962314.0,962314.0,962314.0,962314.0,892005.46942
4033,"Wenatchee-East Wenatchee, WA Metro Area-Bus",2012,0,33,861913.0,-38802.71446,-28660.619089999997,594.5779650000001,4669.147925,4514.5889560000005,25166.07922,12704.135629999999,509.2821627,0.0,0.0,0.0,0.0,-79654.16924,52146.965901999996,-68490.18088999999,1685.5160606,-37514.460949,24525.86733,-14324.291693,4512.847430999997,97.03534570000005,0.0,0.0,0.0,0.0,174012.55328,809766.034098,930403.18089,860227.4839394,899427.460949,837387.13267,876237.291693,857400.152569,861815.9646543,861913.0,861913.0,861913.0,861913.0,687900.44672
4034,"Wenatchee-East Wenatchee, WA Metro Area-Bus",2013,0,33,890632.0,-6348.148403,35035.56698,-256.8348543,26374.20956,-8272.770246,-20656.71523,9257.86219,-941.9399472000001,0.0,0.0,0.0,0.0,-4648.191428,13344.251441999993,-97150.79997999998,2280.0940256,-32845.313024,29040.456286,10841.787527,17216.983060999995,606.3175084000001,0.0,0.0,0.0,0.0,94358.38403999999,877287.748558,987782.79998,888351.9059744,923477.313024,861591.543714,879790.212473,873415.016939,890025.6824916,890632.0,890632.0,890632.0,890632.0,796273.61596
4035,"Wenatchee-East Wenatchee, WA Metro Area-Bus",2014,0,33,987371.0,14213.718630000001,37800.80311,1867.8491620000002,45149.7816,-8529.619894,18236.64059,-3405.863029,817.1585102999999,0.0,0.0,0.0,0.0,-13483.06665,6996.103038999993,-62115.23299999998,2023.2591713,-6471.103464000003,20767.68604,-9814.927703000001,26474.845250999995,-335.62243880000005,0.0,0.0,0.0,0.0,89710.19261199998,980374.896961,1049486.233,985347.7408287,993842.103464,966603.3139599999,997185.927703,960896.154749,987706.6224388,987371.0,987371.0,987371.0,987371.0,897660.807388
4036,"Wenatchee-East Wenatchee, WA Metro Area-Bus",2015,0,33,1010404.0,37686.9533,17312.91373,2923.84824,12137.48245,-36387.7982,-34853.29619,-12003.07367,-522.2665961,0.0,0.0,0.0,0.0,38929.84038,21209.821668999994,-24314.429889999978,3891.1083333,38678.678136,12238.066146000001,8421.712886999998,23068.982221999995,481.5360714999998,0.0,0.0,0.0,0.0,76227.12596199999,989194.178331,1034718.42989,1006512.8916667,971725.321864,998165.933854,1001982.287113,987335.017778,1009922.4639285,1010404.0,1010404.0,1010404.0,1010404.0,934176.874038
4037,"Wenatchee-East Wenatchee, WA Metro Area-Bus",2016,0,33,981913.0,29045.97983,3743.854261,2020.533808,17569.04884,-25491.69804,-11899.230029999999,-12503.68078,-178.18136140000001,0.0,0.0,0.0,0.0,-29753.09298,58896.77496899999,-7001.516159999977,6814.9565733,50816.160586,-24149.732053999996,-26431.583303000003,11065.908551999995,-40.730524600000194,0.0,0.0,0.0,0.0,115156.966342,923016.225031,988914.51616,975098.0434267,931096.839414,1006062.732054,1008344.583303,970847.091448,981953.7305246,981913.0,981913.0,981913.0,981913.0,866756.033658
